"TotalMoneyOfficialandUnofficial_RANKTHISWEEK_2008","TotalMoneyOfficialandUnofficial_RANKLASTWEEK_2008","TotalMoneyOfficialandUnofficial_PLAYERNAME_2008","TotalMoneyOfficialandUnofficial_EVENTS_2008","TotalMoneyOfficialandUnofficial_MONEY_2008","stat_name","year"
1,1,"Vijay Singh",24,7951094,"TotalMoneyOfficialandUnofficial",2008
2,2,"Tiger Woods",7,5875000,"TotalMoneyOfficialandUnofficial",2008
3,3,"Anthony Kim",25,5651265,"TotalMoneyOfficialandUnofficial",2008
4,4,"Phil Mickelson",23,5383875,"TotalMoneyOfficialandUnofficial",2008
5,5,"Kenny Perry",30,5287127,"TotalMoneyOfficialandUnofficial",2008
6,6,"Sergio Garcia",20,4858224,"TotalMoneyOfficialandUnofficial",2008
7,7,"Camilo Villegas",25,4840141,"TotalMoneyOfficialandUnofficial",2008
8,8,"Padraig Harrington",17,4613551,"TotalMoneyOfficialandUnofficial",2008
9,9,"Jim Furyk",29,4340714,"TotalMoneyOfficialandUnofficial",2008
10,10,"Hunter Mahan",30,4203855,"TotalMoneyOfficialandUnofficial",2008
11,11,"Stewart Cink",27,4142634,"TotalMoneyOfficialandUnofficial",2008
12,12,"Justin Leonard",27,4118542,"TotalMoneyOfficialandUnofficial",2008
13,13,"Robert Allenby",29,3706700,"TotalMoneyOfficialandUnofficial",2008
14,14,"Steve Stricker",25,3365804,"TotalMoneyOfficialandUnofficial",2008
15,15,"KJ Choi",23,3313442,"TotalMoneyOfficialandUnofficial",2008
16,16,"Ryuji Imada",26,3243863,"TotalMoneyOfficialandUnofficial",2008
17,17,"Mike Weir",27,3195135,"TotalMoneyOfficialandUnofficial",2008
18,18,"Ben Curtis",26,2968298,"TotalMoneyOfficialandUnofficial",2008
19,19,"Geoff Ogilvy",20,2880099,"TotalMoneyOfficialandUnofficial",2008
20,20,"Boo Weekley",27,2843751,"TotalMoneyOfficialandUnofficial",2008
21,21,"Henrik Stenson",12,2837993,"TotalMoneyOfficialandUnofficial",2008
22,22,"Trevor Immelman",24,2816199,"TotalMoneyOfficialandUnofficial",2008
23,23,"Stephen Ames",26,2720707,"TotalMoneyOfficialandUnofficial",2008
24,24,"Ernie Els",17,2587290,"TotalMoneyOfficialandUnofficial",2008
25,25,"Stuart Appleby",24,2584630,"TotalMoneyOfficialandUnofficial",2008
26,26,"Kevin Sutherland",26,2581311,"TotalMoneyOfficialandUnofficial",2008
27,27,"Carl Pettersson",29,2512538,"TotalMoneyOfficialandUnofficial",2008
28,28,"JB Holmes",29,2496131,"TotalMoneyOfficialandUnofficial",2008
29,29,"Chad Campbell",29,2404770,"TotalMoneyOfficialandUnofficial",2008
30,30,"DJ Trahan",27,2304368,"TotalMoneyOfficialandUnofficial",2008
31,31,"Ken Duke",33,2238885,"TotalMoneyOfficialandUnofficial",2008
32,32,"Adam Scott",16,2229160,"TotalMoneyOfficialandUnofficial",2008
33,33,"Dudley Hart",22,2218817,"TotalMoneyOfficialandUnofficial",2008
34,34,"Woody Austin",31,2216431,"TotalMoneyOfficialandUnofficial",2008
35,35,"Brian Gay",31,2205513,"TotalMoneyOfficialandUnofficial",2008
36,36,"Steve Marino",32,2094267,"TotalMoneyOfficialandUnofficial",2008
37,37,"Sean OHair",25,2089857,"TotalMoneyOfficialandUnofficial",2008
38,38,"Andres Romero",20,2064612,"TotalMoneyOfficialandUnofficial",2008
39,39,"Briny Baird",30,2039808,"TotalMoneyOfficialandUnofficial",2008
40,40,"Jeff Quinney",28,1999371,"TotalMoneyOfficialandUnofficial",2008
41,41,"Mathew Goggin",27,1969962,"TotalMoneyOfficialandUnofficial",2008
42,42,"Brandt Snedeker",29,1943942,"TotalMoneyOfficialandUnofficial",2008
43,43,"Nicholas Thompson",36,1869329,"TotalMoneyOfficialandUnofficial",2008
44,44,"Rocco Mediate",32,1836709,"TotalMoneyOfficialandUnofficial",2008
45,45,"Robert Karlsson",10,1835685,"TotalMoneyOfficialandUnofficial",2008
46,46,"Dustin Johnson",30,1789895,"TotalMoneyOfficialandUnofficial",2008
47,47,"Pat Perez",27,1756038,"TotalMoneyOfficialandUnofficial",2008
48,48,"Billy Mayfair",29,1750683,"TotalMoneyOfficialandUnofficial",2008
49,49,"Jerry Kelly",32,1739900,"TotalMoneyOfficialandUnofficial",2008
50,50,"Retief Goosen",20,1731965,"TotalMoneyOfficialandUnofficial",2008
51,51,"Daniel Chopra",28,1730690,"TotalMoneyOfficialandUnofficial",2008
52,52,"Tim Clark",27,1722030,"TotalMoneyOfficialandUnofficial",2008
53,53,"Bart Bryant",23,1719153,"TotalMoneyOfficialandUnofficial",2008
54,54,"Ian Poulter",19,1713214,"TotalMoneyOfficialandUnofficial",2008
55,55,"Rod Pampling",28,1702952,"TotalMoneyOfficialandUnofficial",2008
56,56,"Zach Johnson",26,1702623,"TotalMoneyOfficialandUnofficial",2008
57,57,"Davis Love III",24,1695237,"TotalMoneyOfficialandUnofficial",2008
58,58,"Luke Donald",12,1686650,"TotalMoneyOfficialandUnofficial",2008
59,59,"Aaron Baddeley",22,1665587,"TotalMoneyOfficialandUnofficial",2008
60,60,"Paul Goydos",25,1640737,"TotalMoneyOfficialandUnofficial",2008
61,61,"Rory Sabbatini",24,1636777,"TotalMoneyOfficialandUnofficial",2008
62,62,"Freddie Jacobson",24,1597423,"TotalMoneyOfficialandUnofficial",2008
63,63,"Mark Wilson",29,1578337,"TotalMoneyOfficialandUnofficial",2008
64,64,"Lee Westwood",11,1550880,"TotalMoneyOfficialandUnofficial",2008
65,65,"Charles Howell III",33,1549232,"TotalMoneyOfficialandUnofficial",2008
66,66,"Bubba Watson",30,1533523,"TotalMoneyOfficialandUnofficial",2008
67,67,"Steve Lowery",25,1524275,"TotalMoneyOfficialandUnofficial",2008
68,68,"Charlie Wi",27,1515395,"TotalMoneyOfficialandUnofficial",2008
69,69,"Tommy Armour III",25,1501256,"TotalMoneyOfficialandUnofficial",2008
70,70,"Heath Slocum",29,1491916,"TotalMoneyOfficialandUnofficial",2008
71,71,"Ben Crane",25,1488505,"TotalMoneyOfficialandUnofficial",2008
72,72,"Nick OHern",27,1470771,"TotalMoneyOfficialandUnofficial",2008
73,73,"Peter Lonard",30,1462894,"TotalMoneyOfficialandUnofficial",2008
74,74,"Ryan Palmer",22,1453183,"TotalMoneyOfficialandUnofficial",2008
75,75,"Matt Kuchar",27,1447638,"TotalMoneyOfficialandUnofficial",2008
76,76,"Scott Verplank",25,1447120,"TotalMoneyOfficialandUnofficial",2008
77,77,"Chez Reavie",30,1444102,"TotalMoneyOfficialandUnofficial",2008
78,78,"Johnson Wagner",26,1431001,"TotalMoneyOfficialandUnofficial",2008
79,79,"George McNeill",29,1361532,"TotalMoneyOfficialandUnofficial",2008
80,80,"Paul Casey",18,1356414,"TotalMoneyOfficialandUnofficial",2008
81,81,"Kevin Streelman",32,1352705,"TotalMoneyOfficialandUnofficial",2008
82,82,"Dean Wilson",32,1350002,"TotalMoneyOfficialandUnofficial",2008
83,83,"Tom Pernice Jr",30,1336277,"TotalMoneyOfficialandUnofficial",2008
84,84,"Marc Turnesa",29,1329920,"TotalMoneyOfficialandUnofficial",2008
85,85,"Cameron Beckman",29,1312837,"TotalMoneyOfficialandUnofficial",2008
86,86,"John Merrick",28,1312005,"TotalMoneyOfficialandUnofficial",2008
87,87,"Parker McLachlin",27,1311839,"TotalMoneyOfficialandUnofficial",2008
88,88,"Fred Couples",21,1296781,"TotalMoneyOfficialandUnofficial",2008
89,89,"Steve Elkington",25,1291114,"TotalMoneyOfficialandUnofficial",2008
90,90,"John Senden",28,1269083,"TotalMoneyOfficialandUnofficial",2008
91,91,"Steve Flesch",29,1265059,"TotalMoneyOfficialandUnofficial",2008
92,92,"Ryan Moore",24,1214900,"TotalMoneyOfficialandUnofficial",2008
93,93,"Troy Matteson",30,1212018,"TotalMoneyOfficialandUnofficial",2008
94,94,"Greg Kraft",21,1204559,"TotalMoneyOfficialandUnofficial",2008
95,95,"John Mallinger",29,1201433,"TotalMoneyOfficialandUnofficial",2008
96,96,"Miguel Angel Jimenez",10,1175946,"TotalMoneyOfficialandUnofficial",2008
97,97,"Tim Wilkinson",29,1167607,"TotalMoneyOfficialandUnofficial",2008
98,98,"Michael Letzig",29,1166977,"TotalMoneyOfficialandUnofficial",2008
99,99,"Tim Herron",29,1164999,"TotalMoneyOfficialandUnofficial",2008
100,100,"Brian Davis",34,1151558,"TotalMoneyOfficialandUnofficial",2008
101,101,"Justin Rose",18,1097854,"TotalMoneyOfficialandUnofficial",2008
102,102,"Cliff Kresge",28,1068207,"TotalMoneyOfficialandUnofficial",2008
103,103,"Vaughn Taylor",32,1053423,"TotalMoneyOfficialandUnofficial",2008
104,104,"Kevin Na",29,1041059,"TotalMoneyOfficialandUnofficial",2008
105,105,"Jonathan Byrd",27,1039584,"TotalMoneyOfficialandUnofficial",2008
106,106,"Joe Ogilvie",29,1035831,"TotalMoneyOfficialandUnofficial",2008
107,107,"Scott McCarron",23,1024570,"TotalMoneyOfficialandUnofficial",2008
108,108,"John Rollins",28,1016032,"TotalMoneyOfficialandUnofficial",2008
109,109,"Alex Cejka",26,1008998,"TotalMoneyOfficialandUnofficial",2008
110,110,"Bill Haas",31,1000939,"TotalMoneyOfficialandUnofficial",2008
111,111,"Lucas Glover",26,998491,"TotalMoneyOfficialandUnofficial",2008
112,112,"Michael Allen",28,981263,"TotalMoneyOfficialandUnofficial",2008
113,113,"Tim Petrovic",32,958577,"TotalMoneyOfficialandUnofficial",2008
114,114,"Charley Hoffman",29,945702,"TotalMoneyOfficialandUnofficial",2008
115,115,"JJ Henry",35,931162,"TotalMoneyOfficialandUnofficial",2008
116,116,"Corey Pavin",20,924282,"TotalMoneyOfficialandUnofficial",2008
117,117,"Nathan Green",30,912867,"TotalMoneyOfficialandUnofficial",2008
118,118,"Will Ma Kenzie",21,911194,"TotalMoneyOfficialandUnofficial",2008
119,119,"Bo Van Pelt",32,903967,"TotalMoneyOfficialandUnofficial",2008
120,120,"Eric Axley",35,899215,"TotalMoneyOfficialandUnofficial",2008
121,121,"Jeff Overton",32,890489,"TotalMoneyOfficialandUnofficial",2008
122,122,"Richard Johnson",21,884367,"TotalMoneyOfficialandUnofficial",2008
123,123,"Brett Quigley",26,878216,"TotalMoneyOfficialandUnofficial",2008
124,124,"Nick Watney",27,878173,"TotalMoneyOfficialandUnofficial",2008
125,125,"Angel Cabrera",17,868182,"TotalMoneyOfficialandUnofficial",2008
126,126,"Jason Bohn",15,866786,"TotalMoneyOfficialandUnofficial",2008
127,127,"Brad Adamonis",29,862413,"TotalMoneyOfficialandUnofficial",2008
128,128,"Mark Calcavecchia",26,854810,"TotalMoneyOfficialandUnofficial",2008
129,129,"Martin Laird",29,852752,"TotalMoneyOfficialandUnofficial",2008
130,130,"Shane Bertsch",29,841248,"TotalMoneyOfficialandUnofficial",2008
131,131,"Bob Estes",28,829395,"TotalMoneyOfficialandUnofficial",2008
132,132,"Patrick Sheehan",36,805897,"TotalMoneyOfficialandUnofficial",2008
133,133,"Charles Warren",30,805694,"TotalMoneyOfficialandUnofficial",2008
134,134,"Joe Durant",29,802568,"TotalMoneyOfficialandUnofficial",2008
135,135,"David Toms",20,799114,"TotalMoneyOfficialandUnofficial",2008
136,136,"Greg Norman",6,787118,"TotalMoneyOfficialandUnofficial",2008
137,137,"Bob Tway",20,785641,"TotalMoneyOfficialandUnofficial",2008
138,138,"Jason Gore",34,784664,"TotalMoneyOfficialandUnofficial",2008
139,139,"Jay Williamson",34,783862,"TotalMoneyOfficialandUnofficial",2008
140,140,"Robert Garrigus",30,781732,"TotalMoneyOfficialandUnofficial",2008
141,141,"Matt Jones",32,775899,"TotalMoneyOfficialandUnofficial",2008
142,142,"Jason Day",29,772393,"TotalMoneyOfficialandUnofficial",2008
143,143,"Steve Allan",22,748970,"TotalMoneyOfficialandUnofficial",2008
144,144,"Rich Beem",29,730001,"TotalMoneyOfficialandUnofficial",2008
145,145,"James Driscoll",29,708549,"TotalMoneyOfficialandUnofficial",2008
146,146,"Chris DiMarco",31,708244,"TotalMoneyOfficialandUnofficial",2008
147,147,"Tom Lehman",17,676651,"TotalMoneyOfficialandUnofficial",2008
148,148,"Jesper Parnevik",29,635819,"TotalMoneyOfficialandUnofficial",2008
149,149,"Scott Sterling",29,629822,"TotalMoneyOfficialandUnofficial",2008
150,150,"Kevin Stadler",31,598945,"TotalMoneyOfficialandUnofficial",2008
151,151,"Tag Ridings",30,568494,"TotalMoneyOfficialandUnofficial",2008
152,152,"Tommy Gainey",25,562205,"TotalMoneyOfficialandUnofficial",2008
153,153,"Frank Lickliter II",33,553113,"TotalMoneyOfficialandUnofficial",2008
154,154,"Todd Hamilton",28,537958,"TotalMoneyOfficialandUnofficial",2008
155,155,"John Huston",19,525626,"TotalMoneyOfficialandUnofficial",2008
156,156,"Chris Stroud",30,511155,"TotalMoneyOfficialandUnofficial",2008
157,157,"Pablo Larrazabal",4,500686,"TotalMoneyOfficialandUnofficial",2008
158,158,"Lee Janzen",28,500155,"TotalMoneyOfficialandUnofficial",2008
159,159,"Jon Mills",33,494510,"TotalMoneyOfficialandUnofficial",2008
160,160,"Harrison Frazar",24,494059,"TotalMoneyOfficialandUnofficial",2008
161,161,"YE Yang",30,486726,"TotalMoneyOfficialandUnofficial",2008
162,162,"Mark Hensby",26,480483,"TotalMoneyOfficialandUnofficial",2008
163,163,"Glen Day",20,460263,"TotalMoneyOfficialandUnofficial",2008
164,164,"Gavin Coles",17,460003,"TotalMoneyOfficialandUnofficial",2008
165,165,"Justin Bolli",28,458022,"TotalMoneyOfficialandUnofficial",2008
166,166,"Arron Oberholser",10,454881,"TotalMoneyOfficialandUnofficial",2008
167,167,"Roland Thatcher",15,445212,"TotalMoneyOfficialandUnofficial",2008
168,168,"Jeff Maggert",28,444484,"TotalMoneyOfficialandUnofficial",2008
169,169,"Marco Dawson",22,439964,"TotalMoneyOfficialandUnofficial",2008
170,170,"Richard Green",10,438810,"TotalMoneyOfficialandUnofficial",2008
171,171,"Graeme McDowell",8,426545,"TotalMoneyOfficialandUnofficial",2008
172,172,"Chris Riley",18,413850,"TotalMoneyOfficialandUnofficial",2008
173,173,"Niclas Fasth",10,391690,"TotalMoneyOfficialandUnofficial",2008
174,174,"Brett Rumford",26,386419,"TotalMoneyOfficialandUnofficial",2008
175,175,"Brenden Pappas",24,384072,"TotalMoneyOfficialandUnofficial",2008
176,176,"Nick Flanagan",29,379036,"TotalMoneyOfficialandUnofficial",2008
177,177,"Carlos Franco",26,378769,"TotalMoneyOfficialandUnofficial",2008
178,178,"Brendan Jones",6,377686,"TotalMoneyOfficialandUnofficial",2008
179,179,"Scott Hoch",2,376385,"TotalMoneyOfficialandUnofficial",2008
180,180,"Craig Kanada",24,368597,"TotalMoneyOfficialandUnofficial",2008
181,181,"Ryan Armour",32,354508,"TotalMoneyOfficialandUnofficial",2008
182,182,"Jeev Milkha Singh",6,349849,"TotalMoneyOfficialandUnofficial",2008
183,183,"Omar Uresti",24,346285,"TotalMoneyOfficialandUnofficial",2008
184,184,"Chad Collins",24,339959,"TotalMoneyOfficialandUnofficial",2008
185,185,"Doug LaBelle II",22,338132,"TotalMoneyOfficialandUnofficial",2008
186,186,"Toru Taniguchi",8,337120,"TotalMoneyOfficialandUnofficial",2008
187,187,"Kent Jones",24,329432,"TotalMoneyOfficialandUnofficial",2008
188,188,"Bob Heintz",18,326015,"TotalMoneyOfficialandUnofficial",2008
189,189,"Fred Funk",15,324783,"TotalMoneyOfficialandUnofficial",2008
190,190,"JP Hayes",26,312152,"TotalMoneyOfficialandUnofficial",2008
191,191,"Jason Dufner",17,309138,"TotalMoneyOfficialandUnofficial",2008
192,192,"Jimmy Walker",25,307249,"TotalMoneyOfficialandUnofficial",2008
193,193,"Richard Sterne",9,303794,"TotalMoneyOfficialandUnofficial",2008
194,194,"John Riegger",25,294501,"TotalMoneyOfficialandUnofficial",2008
195,195,"Brandt Jobe",19,293214,"TotalMoneyOfficialandUnofficial",2008
196,196,"Jeff Gove",19,290410,"TotalMoneyOfficialandUnofficial",2008
197,197,"Kenneth Ferrie",25,288772,"TotalMoneyOfficialandUnofficial",2008
198,198,"Tom Scherrer",20,288391,"TotalMoneyOfficialandUnofficial",2008
199,199,"Anders Hansen",7,287058,"TotalMoneyOfficialandUnofficial",2008
200,200,"Ted Purdy",26,273207,"TotalMoneyOfficialandUnofficial",2008
201,201,"Brad Elder",24,270365,"TotalMoneyOfficialandUnofficial",2008
202,202,"Mathias Gronberg",31,270281,"TotalMoneyOfficialandUnofficial",2008
203,203,"Michael Sim",7,269864,"TotalMoneyOfficialandUnofficial",2008
204,204,"Martin Kaymer",9,269388,"TotalMoneyOfficialandUnofficial",2008
205,205,"Bob Sowards",22,263327,"TotalMoneyOfficialandUnofficial",2008
206,206,"Colin Montgomerie",8,250034,"TotalMoneyOfficialandUnofficial",2008
207,207,"Robert Gamez",27,249944,"TotalMoneyOfficialandUnofficial",2008
208,208,"Billy Andrade",25,243490,"TotalMoneyOfficialandUnofficial",2008
209,209,"Jose Coceres",13,240393,"TotalMoneyOfficialandUnofficial",2008
210,210,"Graeme Storm",3,231600,"TotalMoneyOfficialandUnofficial",2008
211,211,"Ross Fisher",7,230767,"TotalMoneyOfficialandUnofficial",2008
212,212,"Brian Bateman",18,227470,"TotalMoneyOfficialandUnofficial",2008
213,213,"Jin Park",30,227102,"TotalMoneyOfficialandUnofficial",2008
214,214,"David Howell",3,226243,"TotalMoneyOfficialandUnofficial",2008
