"GIRPercentagefromOtherthanFairway_RANKTHISWEEK_2010","GIRPercentagefromOtherthanFairway_RANKLASTWEEK_2010","GIRPercentagefromOtherthanFairway_PLAYERNAME_2010","GIRPercentagefromOtherthanFairway_ROUNDS_2010","GIRPercentagefromOtherthanFairway_Pct_2010","GIRPercentagefromOtherthanFairway_GREENSHIT_2010","GIRPercentagefromOtherthanFairway_OFHOLES_2010","stat_name","year"
1,1,"DJ Trahan",92,62.5,310,496,"GIRPercentagefromOtherthanFairway",2010
2,2,"Bubba Watson",77,62.05,296,477,"GIRPercentagefromOtherthanFairway",2010
3,3,"Jonathan Byrd",85,60.66,276,455,"GIRPercentagefromOtherthanFairway",2010
4,4,"Bill Haas",87,60,261,435,"GIRPercentagefromOtherthanFairway",2010
5,5,"Troy Matteson",84,59.74,279,467,"GIRPercentagefromOtherthanFairway",2010
6,6,"Adam Scott",70,59.6,211,354,"GIRPercentagefromOtherthanFairway",2010
7,7,"Cameron Percy",73,59.59,233,391,"GIRPercentagefromOtherthanFairway",2010
8,8,"Nick Watney",91,59.18,274,463,"GIRPercentagefromOtherthanFairway",2010
9,9,"Kris Blanks",91,59.01,226,383,"GIRPercentagefromOtherthanFairway",2010
10,10,"Kevin Sutherland",86,58.99,233,395,"GIRPercentagefromOtherthanFairway",2010
11,11,"Garth Mulroy",53,58.96,158,268,"GIRPercentagefromOtherthanFairway",2010
12,12,"Chris Couch",66,58.28,183,314,"GIRPercentagefromOtherthanFairway",2010
13,13,"Hunter Mahan",85,58.2,220,378,"GIRPercentagefromOtherthanFairway",2010
14,14,"Graham DeLaet",88,58.06,234,403,"GIRPercentagefromOtherthanFairway",2010
15,15,"Chris Tidland",77,57.56,217,377,"GIRPercentagefromOtherthanFairway",2010
16,16,"Robert Garrigus",71,57.46,231,402,"GIRPercentagefromOtherthanFairway",2010
17,17,"John Senden",103,57.29,271,473,"GIRPercentagefromOtherthanFairway",2010
18,18,"Geoff Ogilvy",62,57.18,203,355,"GIRPercentagefromOtherthanFairway",2010
19,19,"Davis Love III",79,56.93,226,397,"GIRPercentagefromOtherthanFairway",2010
20,20,"Kevin Stadler",86,56.82,229,403,"GIRPercentagefromOtherthanFairway",2010
21,21,"Phil Mickelson",76,56.8,288,507,"GIRPercentagefromOtherthanFairway",2010
22,22,"Angel Cabrera",64,56.79,230,405,"GIRPercentagefromOtherthanFairway",2010
23,23,"Charles Howell III",103,56.64,354,625,"GIRPercentagefromOtherthanFairway",2010
24,24,"Mark Wilson",87,56.51,204,361,"GIRPercentagefromOtherthanFairway",2010
25,25,"Rory Sabbatini",79,56.5,239,423,"GIRPercentagefromOtherthanFairway",2010
26,26,"Freddie Jacobson",83,56.49,248,439,"GIRPercentagefromOtherthanFairway",2010
26,26,"Greg Owen",69,56.49,209,370,"GIRPercentagefromOtherthanFairway",2010
28,28,"John Rollins",81,56.47,227,402,"GIRPercentagefromOtherthanFairway",2010
29,29,"Brett Wetterich",54,56.29,179,318,"GIRPercentagefromOtherthanFairway",2010
30,30,"Nicholas Thompson",88,56.19,236,420,"GIRPercentagefromOtherthanFairway",2010
31,31,"Kevin Streelman",90,56.07,231,412,"GIRPercentagefromOtherthanFairway",2010
32,32,"George McNeill",79,56.04,283,505,"GIRPercentagefromOtherthanFairway",2010
33,33,"Tim Herron",79,56.03,265,473,"GIRPercentagefromOtherthanFairway",2010
34,34,"Sean OHair",84,56.01,233,416,"GIRPercentagefromOtherthanFairway",2010
35,35,"Mark Calcavecchia",50,56,126,225,"GIRPercentagefromOtherthanFairway",2010
35,35,"Daniel Chopra",74,56,280,500,"GIRPercentagefromOtherthanFairway",2010
37,37,"Roger Tambellini",77,55.99,201,359,"GIRPercentagefromOtherthanFairway",2010
38,38,"Will Ma Kenzie",72,55.92,189,338,"GIRPercentagefromOtherthanFairway",2010
38,38,"Chris Stroud",90,55.92,236,422,"GIRPercentagefromOtherthanFairway",2010
40,40,"Joe Ogilvie",99,55.89,294,526,"GIRPercentagefromOtherthanFairway",2010
41,41,"Boo Weekley",88,55.86,205,367,"GIRPercentagefromOtherthanFairway",2010
42,42,"Ricky Barnes",103,55.76,334,599,"GIRPercentagefromOtherthanFairway",2010
43,43,"Omar Uresti",74,55.75,126,226,"GIRPercentagefromOtherthanFairway",2010
