"Front9ScoringAverage_RANKTHISWEEK_2006","Front9ScoringAverage_RANKLASTWEEK_2006","Front9ScoringAverage_PLAYERNAME_2006","Front9ScoringAverage_ROUNDS_2006","Front9ScoringAverage_AVG_2006","Front9ScoringAverage_TOTALSTROKES_2006","Front9ScoringAverage_TOTALHOLES_2006","stat_name","year"
1,1,"Tiger Woods",55,34.5,1794,52,"Front9ScoringAverage",2006
2,2,"Steve Stricker",64,34.63,2147,62,"Front9ScoringAverage",2006
3,3,"Jim Furyk",89,34.65,3049,88,"Front9ScoringAverage",2006
4,4,"Trevor Immelman",86,34.79,2992,86,"Front9ScoringAverage",2006
5,5,"Luke Donald",66,34.81,2193,63,"Front9ScoringAverage",2006
6,6,"Stewart Cink",93,34.85,3067,88,"Front9ScoringAverage",2006
7,7,"Adam Scott",70,34.87,2371,68,"Front9ScoringAverage",2006
8,8,"Phil Mickelson",74,34.96,2412,69,"Front9ScoringAverage",2006
9,9,"Lucas Glover",105,34.97,3532,101,"Front9ScoringAverage",2006
10,10,"John Senden",96,35,3255,93,"Front9ScoringAverage",2006
11,11,"Scott Verplank",88,35.02,3012,86,"Front9ScoringAverage",2006
12,12,"Ernie Els",69,35.06,2244,64,"Front9ScoringAverage",2006
12,12,"Vijay Singh",103,35.06,3506,100,"Front9ScoringAverage",2006
14,14,"Tom Pernice Jr",108,35.09,3649,104,"Front9ScoringAverage",2006
15,15,"Kent Jones",103,35.1,3545,101,"Front9ScoringAverage",2006
16,16,"Charley Hoffman",100,35.11,3441,98,"Front9ScoringAverage",2006
16,16,"Brett Wetterich",82,35.11,2879,82,"Front9ScoringAverage",2006
18,18,"Charles Warren",93,35.12,3161,90,"Front9ScoringAverage",2006
19,19,"Frank Lickliter II",99,35.13,3408,97,"Front9ScoringAverage",2006
19,19,"David Toms",76,35.13,2424,69,"Front9ScoringAverage",2006
21,21,"Padraig Harrington",54,35.14,1757,50,"Front9ScoringAverage",2006
21,21,"Skip Kendall",72,35.14,2530,72,"Front9ScoringAverage",2006
21,21,"Rod Pampling",89,35.14,2952,84,"Front9ScoringAverage",2006
21,21,"Rory Sabbatini",84,35.14,2917,83,"Front9ScoringAverage",2006
21,21,"Kevin Sutherland",100,35.14,3373,96,"Front9ScoringAverage",2006
21,21,"Vaughn Taylor",88,35.14,3092,88,"Front9ScoringAverage",2006
21,21,"Bubba Watson",83,35.14,2776,79,"Front9ScoringAverage",2006
21,21,"Dean Wilson",115,35.14,3901,111,"Front9ScoringAverage",2006
29,29,"Arron Oberholser",82,35.15,2777,79,"Front9ScoringAverage",2006
29,29,"Brett Quigley",109,35.15,3691,105,"Front9ScoringAverage",2006
31,31,"Sergio Garcia",59,35.16,1934,55,"Front9ScoringAverage",2006
32,32,"Zach Johnson",98,35.17,3095,88,"Front9ScoringAverage",2006
32,32,"Mark Wilson",79,35.17,2673,76,"Front9ScoringAverage",2006
34,34,"Eric Axley",91,35.18,3131,89,"Front9ScoringAverage",2006
34,34,"Jonathan Byrd",66,35.18,2322,66,"Front9ScoringAverage",2006
34,34,"Retief Goosen",68,35.18,2111,60,"Front9ScoringAverage",2006
37,37,"Bob Estes",85,35.2,2992,85,"Front9ScoringAverage",2006
38,38,"David Branshaw",98,35.21,3451,98,"Front9ScoringAverage",2006
38,38,"Brian Gay",107,35.21,3767,107,"Front9ScoringAverage",2006
40,40,"Robert Allenby",79,35.22,2712,77,"Front9ScoringAverage",2006
40,40,"Stuart Appleby",83,35.22,2747,78,"Front9ScoringAverage",2006
40,40,"Shigeki Maruyama",94,35.22,3240,92,"Front9ScoringAverage",2006
43,43,"Briny Baird",81,35.23,2713,77,"Front9ScoringAverage",2006
43,43,"Chad Campbell",91,35.23,3065,87,"Front9ScoringAverage",2006
43,43,"Harrison Frazar",95,35.23,3206,91,"Front9ScoringAverage",2006
46,46,"Jeff Gove",91,35.24,3066,87,"Front9ScoringAverage",2006
46,46,"Richard Johnson",94,35.24,3313,94,"Front9ScoringAverage",2006
46,46,"Jeff Sluman",101,35.24,3559,101,"Front9ScoringAverage",2006
46,46,"Mike Weir",88,35.24,2995,85,"Front9ScoringAverage",2006
50,50,"Bo Van Pelt",102,35.25,3596,102,"Front9ScoringAverage",2006
51,51,"Steve Flesch",119,35.26,4055,115,"Front9ScoringAverage",2006
51,51,"Stephen Leaney",84,35.26,2962,84,"Front9ScoringAverage",2006
53,53,"Craig Barlow",77,35.27,2575,73,"Front9ScoringAverage",2006
53,53,"KJ Choi",93,35.27,3245,92,"Front9ScoringAverage",2006
53,53,"Bill Haas",99,35.27,3386,96,"Front9ScoringAverage",2006
53,53,"JJ Henry",96,35.27,3280,93,"Front9ScoringAverage",2006
53,53,"Jesper Parnevik",84,35.27,2963,84,"Front9ScoringAverage",2006
58,58,"Steve Elkington",52,35.29,1800,51,"Front9ScoringAverage",2006
58,58,"Justin Rose",98,35.29,3353,95,"Front9ScoringAverage",2006
60,60,"Billy Mayfair",94,35.3,3318,94,"Front9ScoringAverage",2006
61,61,"Paul Goydos",72,35.32,2543,72,"Front9ScoringAverage",2006
61,61,"Kenny Perry",73,35.32,2543,72,"Front9ScoringAverage",2006
63,63,"Michael Allen",84,35.33,2968,84,"Front9ScoringAverage",2006
63,63,"Ian Poulter",53,35.33,1837,52,"Front9ScoringAverage",2006
65,65,"Nathan Green",108,35.34,3675,104,"Front9ScoringAverage",2006
65,65,"Joe Ogilvie",95,35.34,3216,91,"Front9ScoringAverage",2006
67,67,"Alex Cejka",93,35.35,3217,91,"Front9ScoringAverage",2006
67,67,"Daisuke Maruyama",83,35.35,2793,79,"Front9ScoringAverage",2006
67,67,"Ryan Moore",68,35.35,2298,65,"Front9ScoringAverage",2006
67,67,"Jerry Smith",94,35.35,3252,92,"Front9ScoringAverage",2006
71,71,"Aaron Baddeley",78,35.37,2688,76,"Front9ScoringAverage",2006
71,71,"Daniel Chopra",110,35.37,3785,107,"Front9ScoringAverage",2006
71,71,"Tim Clark",80,35.37,2794,79,"Front9ScoringAverage",2006
71,71,"Hunter Mahan",98,35.37,3466,98,"Front9ScoringAverage",2006
71,71,"Camilo Villegas",95,35.37,3289,93,"Front9ScoringAverage",2006
76,76,"Marco Dawson",87,35.38,3078,87,"Front9ScoringAverage",2006
76,76,"Chris DiMarco",83,35.38,2760,78,"Front9ScoringAverage",2006
76,76,"Davis Love III",85,35.38,2689,76,"Front9ScoringAverage",2006
76,76,"David McKenzie",82,35.38,2830,80,"Front9ScoringAverage",2006
76,76,"Kirk Triplett",58,35.38,1981,56,"Front9ScoringAverage",2006
