"Back9ScoringAverage_RANKTHISWEEK_2013","Back9ScoringAverage_RANKLASTWEEK_2013","Back9ScoringAverage_PLAYERNAME_2013","Back9ScoringAverage_ROUNDS_2013","Back9ScoringAverage_AVG_2013","Back9ScoringAverage_TOTALSTROKES_2013","Back9ScoringAverage_TOTALHOLES_2013","stat_name","year"
1,1,"Steve Stricker",51,34.34,1614,47,"Back9ScoringAverage",2013
2,2,"Adam Scott",61,34.87,2092,60,"Back9ScoringAverage",2013
3,3,"Phil Mickelson",78,34.92,2724,78,"Back9ScoringAverage",2013
4,4,"Brendon de Jonge",110,34.95,3844,110,"Back9ScoringAverage",2013
5,5,"Ryan Palmer",79,34.99,2764,79,"Back9ScoringAverage",2013
6,6,"Matt Kuchar",93,35,3045,87,"Back9ScoringAverage",2013
7,7,"Graham DeLaet",94,35.05,3295,94,"Back9ScoringAverage",2013
8,8,"Jordan Spieth",82,35.07,2876,82,"Back9ScoringAverage",2013
9,9,"Webb Simpson",92,35.08,3087,88,"Back9ScoringAverage",2013
10,10,"Billy Horschel",96,35.09,3369,96,"Back9ScoringAverage",2013
11,11,"Henrik Stenson",65,35.11,2247,64,"Back9ScoringAverage",2013
11,11,"Vaughn Taylor",50,35.11,1615,46,"Back9ScoringAverage",2013
13,13,"Justin Rose",62,35.13,2108,60,"Back9ScoringAverage",2013
14,14,"Charles Howell III",87,35.15,2988,85,"Back9ScoringAverage",2013
15,15,"John Rollins",77,35.16,2567,73,"Back9ScoringAverage",2013
16,16,"Bob Estes",66,35.17,2321,66,"Back9ScoringAverage",2013
17,17,"Harris English",95,35.18,3342,95,"Back9ScoringAverage",2013
17,17,"Rory Sabbatini",86,35.18,2885,82,"Back9ScoringAverage",2013
19,19,"Dustin Johnson",71,35.19,2463,70,"Back9ScoringAverage",2013
20,20,"Martin Flores",83,35.2,2922,83,"Back9ScoringAverage",2013
21,21,"Camilo Villegas",79,35.21,2641,75,"Back9ScoringAverage",2013
22,22,"Matt Jones",83,35.24,2925,83,"Back9ScoringAverage",2013
22,22,"Kevin Streelman",86,35.24,3031,86,"Back9ScoringAverage",2013
24,24,"Jason Day",86,35.25,2820,80,"Back9ScoringAverage",2013
24,24,"Lee Westwood",70,35.25,2432,69,"Back9ScoringAverage",2013
24,24,"Tiger Woods",61,35.25,2115,60,"Back9ScoringAverage",2013
27,27,"Bill Haas",85,35.27,2963,84,"Back9ScoringAverage",2013
27,27,"Brandt Snedeker",79,35.27,2786,79,"Back9ScoringAverage",2013
27,27,"Gary Woodland",94,35.27,3174,90,"Back9ScoringAverage",2013
30,30,"Morgan Hoffmann",64,35.28,2258,64,"Back9ScoringAverage",2013
31,31,"Stuart Appleby",88,35.29,2964,84,"Back9ScoringAverage",2013
31,31,"Hunter Mahan",91,35.29,3000,85,"Back9ScoringAverage",2013
33,33,"Roberto Castro",97,35.3,3424,97,"Back9ScoringAverage",2013
34,34,"Chez Reavie",72,35.32,2543,72,"Back9ScoringAverage",2013
34,34,"Charl Schwartzel",69,35.32,2402,68,"Back9ScoringAverage",2013
36,36,"Luke Donald",60,35.33,2049,58,"Back9ScoringAverage",2013
37,37,"Jimmy Walker",84,35.35,2969,84,"Back9ScoringAverage",2013
38,38,"Keegan Bradley",88,35.36,3076,87,"Back9ScoringAverage",2013
38,38,"John Huh",88,35.36,3112,88,"Back9ScoringAverage",2013
38,38,"Patrick Reed",83,35.36,2935,83,"Back9ScoringAverage",2013
38,38,"David Toms",49,35.36,1556,44,"Back9ScoringAverage",2013
42,42,"Chris Stroud",88,35.38,3113,88,"Back9ScoringAverage",2013
43,43,"KJ Choi",85,35.39,2973,84,"Back9ScoringAverage",2013
43,43,"Cameron Tringale",80,35.39,2831,80,"Back9ScoringAverage",2013
45,45,"Henrik Norlander",70,35.4,2407,68,"Back9ScoringAverage",2013
46,46,"Bubba Watson",76,35.41,2585,73,"Back9ScoringAverage",2013
47,47,"John Merrick",79,35.42,2798,79,"Back9ScoringAverage",2013
48,48,"Boo Weekley",100,35.43,3543,100,"Back9ScoringAverage",2013
49,49,"Jim Furyk",80,35.44,2764,78,"Back9ScoringAverage",2013
50,50,"Zach Johnson",84,35.45,2942,83,"Back9ScoringAverage",2013
51,51,"Bryce Molder",82,35.46,2837,80,"Back9ScoringAverage",2013
52,52,"Jerry Kelly",75,35.47,2660,75,"Back9ScoringAverage",2013
52,52,"Richard Lee",81,35.47,2731,77,"Back9ScoringAverage",2013
52,52,"Daniel Summerhays",83,35.47,2944,83,"Back9ScoringAverage",2013
55,55,"DH Lee",65,35.48,2306,65,"Back9ScoringAverage",2013
56,56,"Jason Dufner",78,35.49,2733,77,"Back9ScoringAverage",2013
56,56,"Rickie Fowler",75,35.49,2626,74,"Back9ScoringAverage",2013
56,56,"David Hearn",88,35.49,3123,88,"Back9ScoringAverage",2013
56,56,"Ryan Moore",72,35.49,2520,71,"Back9ScoringAverage",2013
60,60,"Jason Kokrak",78,35.5,2769,78,"Back9ScoringAverage",2013
60,60,"Josh Teater",86,35.5,2911,82,"Back9ScoringAverage",2013
62,62,"Sergio Garcia",65,35.51,2237,63,"Back9ScoringAverage",2013
62,62,"Chris Kirk",89,35.51,3160,89,"Back9ScoringAverage",2013
64,64,"Angel Cabrera",73,35.52,2593,73,"Back9ScoringAverage",2013
64,64,"Cameron Percy",68,35.52,2344,66,"Back9ScoringAverage",2013
66,66,"Kevin Chappell",80,35.53,2842,80,"Back9ScoringAverage",2013
66,66,"Matt Every",89,35.53,3162,89,"Back9ScoringAverage",2013
68,68,"Chad Campbell",78,35.54,2701,76,"Back9ScoringAverage",2013
68,68,"Pat Perez",69,35.54,2452,69,"Back9ScoringAverage",2013
68,68,"Shawn Stefani",63,35.54,2239,63,"Back9ScoringAverage",2013
71,71,"Greg Chalmers",77,35.55,2595,73,"Back9ScoringAverage",2013
71,71,"Ben Kohles",75,35.55,2524,71,"Back9ScoringAverage",2013
71,71,"Brian Stuard",78,35.55,2631,74,"Back9ScoringAverage",2013
74,74,"Kevin Stadler",83,35.56,2809,79,"Back9ScoringAverage",2013
74,74,"Charlie Wi",75,35.56,2525,71,"Back9ScoringAverage",2013
76,76,"Martin Kaymer",61,35.57,2063,58,"Back9ScoringAverage",2013
76,76,"Nicholas Thompson",99,35.57,3521,99,"Back9ScoringAverage",2013
78,78,"Sangmoon Bae",83,35.58,2953,83,"Back9ScoringAverage",2013
78,78,"James Driscoll",76,35.58,2562,72,"Back9ScoringAverage",2013
78,78,"Jeff Overton",78,35.58,2775,78,"Back9ScoringAverage",2013
81,81,"JJ Henry",83,35.59,2883,81,"Back9ScoringAverage",2013
81,81,"Jeff Maggert",63,35.59,2242,63,"Back9ScoringAverage",2013
83,83,"Peter Hanson",45,35.6,1531,43,"Back9ScoringAverage",2013
83,83,"Scott Langley",79,35.6,2670,75,"Back9ScoringAverage",2013
83,83,"David Lingmerth",68,35.6,2421,68,"Back9ScoringAverage",2013
86,86,"Brian Harman",89,35.61,3027,85,"Back9ScoringAverage",2013
86,86,"Marc Leishman",77,35.61,2742,77,"Back9ScoringAverage",2013
86,86,"Ted Potter Jr",65,35.61,2172,61,"Back9ScoringAverage",2013
89,89,"Brian Davis",91,35.62,3241,91,"Back9ScoringAverage",2013
89,89,"Russell Henley",80,35.62,2778,78,"Back9ScoringAverage",2013
89,89,"Charley Hoffman",84,35.62,2992,84,"Back9ScoringAverage",2013
89,89,"Freddie Jacobson",63,35.62,2137,60,"Back9ScoringAverage",2013
89,89,"David Lynn",70,35.62,2458,69,"Back9ScoringAverage",2013
94,94,"Brendan Steele",86,35.63,2922,82,"Back9ScoringAverage",2013
95,95,"Rory McIlroy",56,35.64,1960,55,"Back9ScoringAverage",2013
95,95,"Nick Watney",88,35.64,3065,86,"Back9ScoringAverage",2013
97,97,"Ernie Els",63,35.65,2210,62,"Back9ScoringAverage",2013
97,97,"Luke Guthrie",82,35.65,2923,82,"Back9ScoringAverage",2013
97,97,"William McGirt",75,35.65,2674,75,"Back9ScoringAverage",2013
97,97,"Tag Ridings",69,35.65,2317,65,"Back9ScoringAverage",2013
97,97,"Darron Stiles",51,35.65,1747,49,"Back9ScoringAverage",2013
97,97,"DJ Trahan",48,35.65,1640,46,"Back9ScoringAverage",2013
103,103,"Justin Leonard",86,35.66,3067,86,"Back9ScoringAverage",2013
104,104,"Ken Duke",87,35.67,3103,87,"Back9ScoringAverage",2013
105,105,"Steven Bowditch",67,35.68,2319,65,"Back9ScoringAverage",2013
106,106,"Erik Compton",74,35.69,2641,74,"Back9ScoringAverage",2013
107,107,"Stewart Cink",71,35.7,2535,71,"Back9ScoringAverage",2013
107,107,"Troy Matteson",68,35.7,2356,66,"Back9ScoringAverage",2013
109,109,"Andres Romero",63,35.71,2107,59,"Back9ScoringAverage",2013
110,110,"Brian Gay",79,35.72,2822,79,"Back9ScoringAverage",2013
110,110,"Lee Williams",62,35.72,2143,60,"Back9ScoringAverage",2013
112,112,"Jason Bohn",70,35.73,2501,70,"Back9ScoringAverage",2013
113,113,"Fabian Gomez",65,35.74,2323,65,"Back9ScoringAverage",2013
113,113,"George McNeill",68,35.74,2430,68,"Back9ScoringAverage",2013
113,113,"Bo Van Pelt",72,35.74,2502,70,"Back9ScoringAverage",2013
116,116,"Tim Clark",64,35.75,2181,61,"Back9ScoringAverage",2013
117,117,"Steve LeBrun",66,35.76,2217,62,"Back9ScoringAverage",2013
117,117,"Robert Streb",75,35.76,2539,71,"Back9ScoringAverage",2013
117,117,"Michael Thompson",66,35.76,2360,66,"Back9ScoringAverage",2013
120,120,"Robert Garrigus",69,35.77,2325,65,"Back9ScoringAverage",2013
120,120,"Ian Poulter",59,35.77,1896,53,"Back9ScoringAverage",2013
122,122,"Scott Brown",65,35.78,2326,65,"Back9ScoringAverage",2013
122,122,"Jim Herman",59,35.78,1968,55,"Back9ScoringAverage",2013
122,122,"Martin Laird",68,35.78,2433,68,"Back9ScoringAverage",2013
122,122,"Graeme McDowell",53,35.78,1753,49,"Back9ScoringAverage",2013
126,126,"Justin Hicks",79,35.79,2684,75,"Back9ScoringAverage",2013
126,126,"Rod Pampling",46,35.79,1503,42,"Back9ScoringAverage",2013
126,126,"John Senden",79,35.79,2792,78,"Back9ScoringAverage",2013
126,126,"Mark Wilson",56,35.79,1861,52,"Back9ScoringAverage",2013
130,130,"Stephen Ames",49,35.8,1754,49,"Back9ScoringAverage",2013
131,131,"Ben Crane",62,35.81,2077,58,"Back9ScoringAverage",2013
131,131,"Scott Piercy",78,35.81,2686,75,"Back9ScoringAverage",2013
131,131,"Dicky Pride",71,35.81,2399,67,"Back9ScoringAverage",2013
134,134,"Brad Fritsch",81,35.83,2759,77,"Back9ScoringAverage",2013
135,135,"Brandt Jobe",62,35.84,2079,58,"Back9ScoringAverage",2013
135,135,"Andrew Svoboda",46,35.84,1577,44,"Back9ScoringAverage",2013
135,135,"Aaron Watkins",46,35.84,1577,44,"Back9ScoringAverage",2013
138,138,"DA Points",87,35.86,3120,87,"Back9ScoringAverage",2013
139,139,"Doug LaBelle II",72,35.87,2511,70,"Back9ScoringAverage",2013
140,140,"Colt Knost",69,35.88,2332,65,"Back9ScoringAverage",2013
141,141,"Alistair Presnell",59,35.89,2046,57,"Back9ScoringAverage",2013
142,142,"Tommy Gainey",84,35.9,3016,84,"Back9ScoringAverage",2013
143,143,"Carl Pettersson",82,35.91,2873,80,"Back9ScoringAverage",2013
144,144,"Will Claxton",67,35.92,2263,63,"Back9ScoringAverage",2013
144,144,"Greg Owen",73,35.92,2550,71,"Back9ScoringAverage",2013
146,146,"Derek Ernst",58,35.93,2084,58,"Back9ScoringAverage",2013
146,146,"Vijay Singh",61,35.93,2192,61,"Back9ScoringAverage",2013
148,148,"Ricky Barnes",74,35.94,2516,70,"Back9ScoringAverage",2013
149,149,"Jin Park",52,35.96,1798,50,"Back9ScoringAverage",2013
150,150,"Aaron Baddeley",68,35.97,2374,66,"Back9ScoringAverage",2013
151,151,"Bud Cauley",67,35.98,2267,63,"Back9ScoringAverage",2013
152,152,"Jonas Blixt",76,36,2736,76,"Back9ScoringAverage",2013
153,153,"Trevor Immelman",73,36.06,2488,69,"Back9ScoringAverage",2013
154,154,"Sean OHair",56,36.07,2020,56,"Back9ScoringAverage",2013
154,154,"Geoff Ogilvy",57,36.07,2056,57,"Back9ScoringAverage",2013
156,156,"Lucas Glover",65,36.08,2345,65,"Back9ScoringAverage",2013
157,157,"Eric Meierdierks",48,36.09,1660,46,"Back9ScoringAverage",2013
157,157,"Casey Wittenberg",72,36.09,2526,70,"Back9ScoringAverage",2013
159,159,"Charlie Beljan",62,36.11,2239,62,"Back9ScoringAverage",2013
159,159,"James Hahn",78,36.11,2672,74,"Back9ScoringAverage",2013
161,161,"Robert Allenby",58,36.13,2023,56,"Back9ScoringAverage",2013
161,161,"Tim Herron",45,36.13,1626,45,"Back9ScoringAverage",2013
