"FirstTeeEarlyScoringAverage_RANKTHISWEEK_2010","FirstTeeEarlyScoringAverage_RANKLASTWEEK_2010","FirstTeeEarlyScoringAverage_PLAYERNAME_2010","FirstTeeEarlyScoringAverage_ROUNDS_2010","FirstTeeEarlyScoringAverage_AVG_2010","FirstTeeEarlyScoringAverage_TOTALSTROKES_2010","FirstTeeEarlyScoringAverage_TOTEARLYRDS1STTEE_2010","stat_name","year"
1,1,"Dean Wilson",54,68.53,1165,17,"FirstTeeEarlyScoringAverage",2010
2,2,"Charley Hoffman",85,69.08,1658,24,"FirstTeeEarlyScoringAverage",2010
3,3,"Kevin Sutherland",86,69.09,1589,23,"FirstTeeEarlyScoringAverage",2010
4,4,"Chris Riley",73,69.22,1592,23,"FirstTeeEarlyScoringAverage",2010
5,5,"Michael Letzig",84,69.29,2148,31,"FirstTeeEarlyScoringAverage",2010
6,6,"Pat Perez",90,69.33,2288,33,"FirstTeeEarlyScoringAverage",2010
7,7,"Jeev Milkha Singh",59,69.42,1319,19,"FirstTeeEarlyScoringAverage",2010
8,8,"Paul Stankowski",62,69.43,1458,21,"FirstTeeEarlyScoringAverage",2010
9,9,"Matt Kuchar",97,69.52,1877,27,"FirstTeeEarlyScoringAverage",2010
10,10,"Chad Collins",87,69.57,1948,28,"FirstTeeEarlyScoringAverage",2010
11,11,"Tom Gillis",97,69.61,2645,38,"FirstTeeEarlyScoringAverage",2010
12,12,"Graham DeLaet",88,69.62,2019,29,"FirstTeeEarlyScoringAverage",2010
12,12,"Bryce Molder",84,69.62,1462,21,"FirstTeeEarlyScoringAverage",2010
12,12,"Justin Rose",78,69.62,1810,26,"FirstTeeEarlyScoringAverage",2010
15,15,"Paul Casey",64,69.63,1114,16,"FirstTeeEarlyScoringAverage",2010
15,15,"Charles Warren",64,69.63,1323,19,"FirstTeeEarlyScoringAverage",2010
17,17,"Webb Simpson",98,69.69,1812,26,"FirstTeeEarlyScoringAverage",2010
18,18,"Boo Weekley",88,69.72,2022,29,"FirstTeeEarlyScoringAverage",2010
19,19,"Bubba Watson",77,69.73,1534,22,"FirstTeeEarlyScoringAverage",2010
20,20,"Chris Stroud",90,69.74,1883,27,"FirstTeeEarlyScoringAverage",2010
21,21,"Joe Durant",67,69.82,1536,22,"FirstTeeEarlyScoringAverage",2010
22,22,"Kevin Na",94,69.86,2026,29,"FirstTeeEarlyScoringAverage",2010
23,23,"Brian Stuard",81,69.9,1468,21,"FirstTeeEarlyScoringAverage",2010
24,24,"David Toms",86,69.93,1888,27,"FirstTeeEarlyScoringAverage",2010
