"TenthTeeEarlyScoringAverage_RANKTHISWEEK_2005","TenthTeeEarlyScoringAverage_RANKLASTWEEK_2005","TenthTeeEarlyScoringAverage_PLAYERNAME_2005","TenthTeeEarlyScoringAverage_ROUNDS_2005","TenthTeeEarlyScoringAverage_AVG_2005","TenthTeeEarlyScoringAverage_TOTALSTROKES_2005","TenthTeeEarlyScoringAverage_TOTAL10THTEEEARLYRDS_2005","stat_name","year"
1,1,"Tiger Woods",76,68.67,824,12,"TenthTeeEarlyScoringAverage",2005
2,2,"Arron Oberholser",65,69,483,7,"TenthTeeEarlyScoringAverage",2005
3,3,"Luke Donald",67,69.18,761,11,"TenthTeeEarlyScoringAverage",2005
4,4,"Mark Calcavecchia",92,69.2,692,10,"TenthTeeEarlyScoringAverage",2005
4,4,"Tom Lehman",69,69.2,692,10,"TenthTeeEarlyScoringAverage",2005
4,4,"Geoff Ogilvy",97,69.2,1038,15,"TenthTeeEarlyScoringAverage",2005
7,7,"Kenny Perry",82,69.23,900,13,"TenthTeeEarlyScoringAverage",2005
8,8,"Charles Howell III",95,69.29,1178,17,"TenthTeeEarlyScoringAverage",2005
9,9,"Phillip Price",77,69.33,1040,15,"TenthTeeEarlyScoringAverage",2005
10,10,"Arjun Atwal",65,69.38,902,13,"TenthTeeEarlyScoringAverage",2005
11,11,"Shigeki Maruyama",99,69.43,1458,21,"TenthTeeEarlyScoringAverage",2005
12,12,"Mathias Gronberg",60,69.44,625,9,"TenthTeeEarlyScoringAverage",2005
13,13,"Bart Bryant",91,69.55,765,11,"TenthTeeEarlyScoringAverage",2005
14,14,"Retief Goosen",71,69.56,626,9,"TenthTeeEarlyScoringAverage",2005
14,14,"Tim Herron",100,69.56,1113,16,"TenthTeeEarlyScoringAverage",2005
16,16,"David Toms",87,69.57,974,14,"TenthTeeEarlyScoringAverage",2005
17,17,"Ryuji Imada",78,69.73,1046,15,"TenthTeeEarlyScoringAverage",2005
17,17,"Phil Mickelson",81,69.73,767,11,"TenthTeeEarlyScoringAverage",2005
19,19,"Jesper Parnevik",84,69.82,768,11,"TenthTeeEarlyScoringAverage",2005
20,20,"Tom Byrum",83,69.83,838,12,"TenthTeeEarlyScoringAverage",2005
21,21,"Chad Campbell",95,69.88,1118,16,"TenthTeeEarlyScoringAverage",2005
22,22,"Sergio Garcia",73,69.89,629,9,"TenthTeeEarlyScoringAverage",2005
22,22,"Vijay Singh",111,69.89,1258,18,"TenthTeeEarlyScoringAverage",2005
22,22,"Dean Wilson",86,69.89,1258,18,"TenthTeeEarlyScoringAverage",2005
25,25,"Glen Day",80,70,1050,15,"TenthTeeEarlyScoringAverage",2005
25,25,"Davis Love III",80,70,910,13,"TenthTeeEarlyScoringAverage",2005
25,25,"Bob Tway",87,70,980,14,"TenthTeeEarlyScoringAverage",2005
28,28,"Briny Baird",98,70.04,1751,25,"TenthTeeEarlyScoringAverage",2005
29,29,"Kirk Triplett",55,70.1,701,10,"TenthTeeEarlyScoringAverage",2005
30,30,"John Senden",101,70.16,1333,19,"TenthTeeEarlyScoringAverage",2005
31,31,"Ben Crane",78,70.18,772,11,"TenthTeeEarlyScoringAverage",2005
32,32,"Corey Pavin",77,70.2,702,10,"TenthTeeEarlyScoringAverage",2005
33,33,"Brandt Jobe",96,70.22,1264,18,"TenthTeeEarlyScoringAverage",2005
34,34,"Loren Roberts",54,70.25,562,8,"TenthTeeEarlyScoringAverage",2005
35,35,"JP Hayes",63,70.27,773,11,"TenthTeeEarlyScoringAverage",2005
36,36,"Tom Pernice Jr",111,70.28,1265,18,"TenthTeeEarlyScoringAverage",2005
37,37,"Rocco Mediate",73,70.29,1195,17,"TenthTeeEarlyScoringAverage",2005
38,38,"Billy Andrade",83,70.3,1406,20,"TenthTeeEarlyScoringAverage",2005
39,39,"Carlos Franco",78,70.31,914,13,"TenthTeeEarlyScoringAverage",2005
39,39,"Joey Snyder III",102,70.31,1125,16,"TenthTeeEarlyScoringAverage",2005
39,39,"DJ Trahan",81,70.31,1125,16,"TenthTeeEarlyScoringAverage",2005
42,42,"Adam Scott",72,70.33,844,12,"TenthTeeEarlyScoringAverage",2005
43,43,"Daniel Chopra",108,70.35,1196,17,"TenthTeeEarlyScoringAverage",2005
44,44,"Harrison Frazar",105,70.37,1337,19,"TenthTeeEarlyScoringAverage",2005
45,45,"Justin Rose",99,70.39,1267,18,"TenthTeeEarlyScoringAverage",2005
46,46,"Scott Gutschewski",86,70.42,1338,19,"TenthTeeEarlyScoringAverage",2005
46,46,"Jerry Kelly",101,70.42,1338,19,"TenthTeeEarlyScoringAverage",2005
48,48,"Jason Bohn",91,70.44,1127,16,"TenthTeeEarlyScoringAverage",2005
48,48,"Richard Johnson",50,70.44,634,9,"TenthTeeEarlyScoringAverage",2005
50,50,"Stuart Appleby",84,70.45,775,11,"TenthTeeEarlyScoringAverage",2005
51,51,"Jose Maria Olazabal",55,70.5,564,8,"TenthTeeEarlyScoringAverage",2005
52,52,"Alex Cejka",84,70.53,1199,17,"TenthTeeEarlyScoringAverage",2005
52,52,"Stewart Cink",98,70.53,1340,19,"TenthTeeEarlyScoringAverage",2005
54,54,"Vaughn Taylor",99,70.56,1129,16,"TenthTeeEarlyScoringAverage",2005
54,54,"Brett Wetterich",76,70.56,1270,18,"TenthTeeEarlyScoringAverage",2005
56,56,"Steve Lowery",100,70.57,988,14,"TenthTeeEarlyScoringAverage",2005
57,57,"Marco Dawson",82,70.58,847,12,"TenthTeeEarlyScoringAverage",2005
57,57,"Brent Geiberger",61,70.58,847,12,"TenthTeeEarlyScoringAverage",2005
59,59,"Kevin Na",88,70.59,1200,17,"TenthTeeEarlyScoringAverage",2005
60,60,"Dudley Hart",84,70.6,1059,15,"TenthTeeEarlyScoringAverage",2005
60,60,"Brett Quigley",96,70.6,1412,20,"TenthTeeEarlyScoringAverage",2005
60,60,"Lee Westwood",50,70.6,706,10,"TenthTeeEarlyScoringAverage",2005
63,63,"Bob Estes",92,70.61,1271,18,"TenthTeeEarlyScoringAverage",2005
64,64,"Stephen Ames",82,70.62,1483,21,"TenthTeeEarlyScoringAverage",2005
65,65,"John Huston",90,70.63,1130,16,"TenthTeeEarlyScoringAverage",2005
65,65,"Ryan Palmer",101,70.63,1342,19,"TenthTeeEarlyScoringAverage",2005
67,67,"Jeff Sluman",94,70.65,1413,20,"TenthTeeEarlyScoringAverage",2005
68,68,"Cameron Beckman",96,70.67,848,12,"TenthTeeEarlyScoringAverage",2005
68,68,"Paul Claxton",79,70.67,1272,18,"TenthTeeEarlyScoringAverage",2005
68,68,"Todd Hamilton",94,70.67,1272,18,"TenthTeeEarlyScoringAverage",2005
71,71,"Carl Pettersson",109,70.68,1555,22,"TenthTeeEarlyScoringAverage",2005
72,72,"Padraig Harrington",50,70.7,707,10,"TenthTeeEarlyScoringAverage",2005
73,73,"Hunter Haas",83,70.74,1344,19,"TenthTeeEarlyScoringAverage",2005
73,73,"Hidemichi Tanaka",106,70.74,1344,19,"TenthTeeEarlyScoringAverage",2005
75,75,"Craig Barlow",81,70.78,1274,18,"TenthTeeEarlyScoringAverage",2005
75,75,"Chris DiMarco",83,70.78,637,9,"TenthTeeEarlyScoringAverage",2005
