"FirstTeeLateScoringAverage_RANKTHISWEEK_2010","FirstTeeLateScoringAverage_RANKLASTWEEK_2010","FirstTeeLateScoringAverage_PLAYERNAME_2010","FirstTeeLateScoringAverage_ROUNDS_2010","FirstTeeLateScoringAverage_AVG_2010","FirstTeeLateScoringAverage_TOTALSTROKES_2010","FirstTeeLateScoringAverage_TOTAL1STTEELATEROUNDS_2010","stat_name","year"
1,1,"Michael Sim",64,69.05,1519,22,"FirstTeeLateScoringAverage",2010
2,2,"Jonathan Byrd",85,69.32,1733,25,"FirstTeeLateScoringAverage",2010
3,3,"Scott Verplank",74,69.5,1251,18,"FirstTeeLateScoringAverage",2010
4,4,"Steve Stricker",73,69.53,2781,40,"FirstTeeLateScoringAverage",2010
5,5,"Jeff Overton",89,69.55,2295,33,"FirstTeeLateScoringAverage",2010
6,6,"Scott Piercy",88,69.6,1392,20,"FirstTeeLateScoringAverage",2010
7,7,"Matt Kuchar",97,69.61,3063,44,"FirstTeeLateScoringAverage",2010
8,8,"Carl Pettersson",99,69.62,2019,29,"FirstTeeLateScoringAverage",2010
9,9,"Briny Baird",87,69.71,1673,24,"FirstTeeLateScoringAverage",2010
10,10,"Freddie Jacobson",83,69.74,1325,19,"FirstTeeLateScoringAverage",2010
11,11,"Cameron Beckman",68,69.8,1396,20,"FirstTeeLateScoringAverage",2010
11,11,"Vaughn Taylor",87,69.8,1396,20,"FirstTeeLateScoringAverage",2010
13,13,"Aaron Baddeley",94,69.81,1885,27,"FirstTeeLateScoringAverage",2010
13,13,"Aron Price",70,69.81,1885,27,"FirstTeeLateScoringAverage",2010
15,15,"Retief Goosen",75,69.83,2095,30,"FirstTeeLateScoringAverage",2010
16,16,"Paul Stankowski",62,69.88,1188,17,"FirstTeeLateScoringAverage",2010
17,17,"Martin Flores",75,69.9,1468,21,"FirstTeeLateScoringAverage",2010
18,18,"Spencer Levin",110,69.92,2517,36,"FirstTeeLateScoringAverage",2010
19,19,"Dean Wilson",54,69.95,1329,19,"FirstTeeLateScoringAverage",2010
20,20,"Graham DeLaet",88,69.97,2029,29,"FirstTeeLateScoringAverage",2010
20,20,"Kevin Na",94,69.97,2449,35,"FirstTeeLateScoringAverage",2010
22,22,"JJ Henry",92,70,1330,19,"FirstTeeLateScoringAverage",2010
22,22,"Charlie Wi",95,70,2450,35,"FirstTeeLateScoringAverage",2010
24,24,"Brandt Snedeker",89,70.03,2101,30,"FirstTeeLateScoringAverage",2010
24,24,"David Toms",86,70.03,2171,31,"FirstTeeLateScoringAverage",2010
26,26,"Matt Jones",89,70.04,1891,27,"FirstTeeLateScoringAverage",2010
26,26,"Bubba Watson",77,70.04,1891,27,"FirstTeeLateScoringAverage",2010
28,28,"Scott McCarron",90,70.08,1682,24,"FirstTeeLateScoringAverage",2010
29,29,"Rickie Fowler",98,70.12,2875,41,"FirstTeeLateScoringAverage",2010
30,30,"Omar Uresti",74,70.13,1052,15,"FirstTeeLateScoringAverage",2010
31,31,"Josh Teater",101,70.14,1964,28,"FirstTeeLateScoringAverage",2010
32,32,"Chris Riley",73,70.16,1754,25,"FirstTeeLateScoringAverage",2010
33,33,"Tim Herron",79,70.19,1474,21,"FirstTeeLateScoringAverage",2010
34,34,"Kris Blanks",91,70.21,1966,28,"FirstTeeLateScoringAverage",2010
34,34,"Justin Rose",78,70.21,1966,28,"FirstTeeLateScoringAverage",2010
36,36,"Chris DiMarco",88,70.23,1545,22,"FirstTeeLateScoringAverage",2010
37,37,"DJ Trahan",92,70.25,1967,28,"FirstTeeLateScoringAverage",2010
38,38,"Luke Donald",71,70.26,2389,34,"FirstTeeLateScoringAverage",2010
38,38,"DA Points",90,70.26,1897,27,"FirstTeeLateScoringAverage",2010
40,40,"Mark Wilson",87,70.27,1827,26,"FirstTeeLateScoringAverage",2010
41,41,"Chad Collins",87,70.29,1968,28,"FirstTeeLateScoringAverage",2010
41,41,"Jeev Milkha Singh",59,70.29,984,14,"FirstTeeLateScoringAverage",2010
41,41,"Bo Van Pelt",104,70.29,2952,42,"FirstTeeLateScoringAverage",2010
44,44,"Charles Howell III",103,70.3,2109,30,"FirstTeeLateScoringAverage",2010
45,45,"Brendon de Jonge",114,70.32,3094,44,"FirstTeeLateScoringAverage",2010
45,45,"Martin Laird",91,70.32,1969,28,"FirstTeeLateScoringAverage",2010
47,47,"Jason Bohn",84,70.35,1829,26,"FirstTeeLateScoringAverage",2010
47,47,"Lee Janzen",77,70.35,1407,20,"FirstTeeLateScoringAverage",2010
47,47,"Geoff Ogilvy",62,70.35,1829,26,"FirstTeeLateScoringAverage",2010
50,50,"Kevin Streelman",90,70.36,1548,22,"FirstTeeLateScoringAverage",2010
51,51,"Bill Haas",87,70.38,2393,34,"FirstTeeLateScoringAverage",2010
