"TenthTeeLateScoringAverage_RANKTHISWEEK_2013","TenthTeeLateScoringAverage_RANKLASTWEEK_2013","TenthTeeLateScoringAverage_PLAYERNAME_2013","TenthTeeLateScoringAverage_ROUNDS_2013","TenthTeeLateScoringAverage_AVG_2013","TenthTeeLateScoringAverage_TOTALSTROKES_2013","TenthTeeLateScoringAverage_TOTAL10THTEELATERNDS_2013","stat_name","year"
1,1,"Steve Stricker",51,66.5,133,2,"TenthTeeLateScoringAverage",2013
2,2,"Adam Scott",61,67,67,1,"TenthTeeLateScoringAverage",2013
3,3,"Sergio Garcia",65,68,340,5,"TenthTeeLateScoringAverage",2013
4,4,"Graeme McDowell",53,68.33,205,3,"TenthTeeLateScoringAverage",2013
5,5,"Jim Furyk",80,68.44,616,9,"TenthTeeLateScoringAverage",2013
6,6,"Charl Schwartzel",69,69.13,553,8,"TenthTeeLateScoringAverage",2013
7,7,"Graham DeLaet",94,69.17,830,12,"TenthTeeLateScoringAverage",2013
8,8,"Charles Howell III",87,69.29,970,14,"TenthTeeLateScoringAverage",2013
9,9,"Chris Kirk",89,69.36,1526,22,"TenthTeeLateScoringAverage",2013
10,10,"Webb Simpson",92,69.4,347,5,"TenthTeeLateScoringAverage",2013
11,11,"Martin Flores",83,69.56,1252,18,"TenthTeeLateScoringAverage",2013
12,12,"George McNeill",68,69.57,974,14,"TenthTeeLateScoringAverage",2013
13,13,"Steven Bowditch",67,69.62,905,13,"TenthTeeLateScoringAverage",2013
14,14,"Lucas Glover",65,69.67,836,12,"TenthTeeLateScoringAverage",2013
14,14,"Ryan Palmer",79,69.67,836,12,"TenthTeeLateScoringAverage",2013
16,16,"Peter Hanson",45,69.71,488,7,"TenthTeeLateScoringAverage",2013
16,16,"Kevin Streelman",86,69.71,976,14,"TenthTeeLateScoringAverage",2013
18,18,"Stephen Ames",49,69.73,767,11,"TenthTeeLateScoringAverage",2013
18,18,"Ted Potter Jr",65,69.73,767,11,"TenthTeeLateScoringAverage",2013
20,20,"Bob Estes",66,69.78,628,9,"TenthTeeLateScoringAverage",2013
21,21,"John Huh",88,69.8,1047,15,"TenthTeeLateScoringAverage",2013
21,21,"Jordan Spieth",82,69.8,698,10,"TenthTeeLateScoringAverage",2013
23,23,"Brian Stuard",78,69.82,768,11,"TenthTeeLateScoringAverage",2013
24,24,"KJ Choi",85,69.83,838,12,"TenthTeeLateScoringAverage",2013
24,24,"Bubba Watson",76,69.83,419,6,"TenthTeeLateScoringAverage",2013
26,26,"Tim Clark",64,69.85,908,13,"TenthTeeLateScoringAverage",2013
27,27,"Jim Herman",59,69.88,559,8,"TenthTeeLateScoringAverage",2013
28,28,"Stuart Appleby",88,69.91,769,11,"TenthTeeLateScoringAverage",2013
28,28,"Harris English",95,69.91,769,11,"TenthTeeLateScoringAverage",2013
30,30,"Greg Chalmers",77,69.93,979,14,"TenthTeeLateScoringAverage",2013
31,31,"Ben Crane",62,70,910,13,"TenthTeeLateScoringAverage",2013
31,31,"Brian Davis",91,70,910,13,"TenthTeeLateScoringAverage",2013
31,31,"Mark Wilson",56,70,630,9,"TenthTeeLateScoringAverage",2013
34,34,"Jimmy Walker",84,70.04,1611,23,"TenthTeeLateScoringAverage",2013
35,35,"Rory Sabbatini",86,70.07,1051,15,"TenthTeeLateScoringAverage",2013
36,36,"Stewart Cink",71,70.11,631,9,"TenthTeeLateScoringAverage",2013
36,36,"David Toms",49,70.11,631,9,"TenthTeeLateScoringAverage",2013
36,36,"Charlie Wi",75,70.11,631,9,"TenthTeeLateScoringAverage",2013
39,39,"Brendon de Jonge",110,70.13,1052,15,"TenthTeeLateScoringAverage",2013
40,40,"Tag Ridings",69,70.14,982,14,"TenthTeeLateScoringAverage",2013
41,41,"John Rollins",77,70.17,842,12,"TenthTeeLateScoringAverage",2013
42,42,"Cameron Percy",68,70.18,1193,17,"TenthTeeLateScoringAverage",2013
43,43,"Morgan Hoffmann",64,70.21,983,14,"TenthTeeLateScoringAverage",2013
44,44,"Luke Donald",60,70.25,281,4,"TenthTeeLateScoringAverage",2013
44,44,"Bryce Molder",82,70.25,1124,16,"TenthTeeLateScoringAverage",2013
46,46,"Jeff Overton",78,70.29,984,14,"TenthTeeLateScoringAverage",2013
47,47,"Jonas Blixt",76,70.31,914,13,"TenthTeeLateScoringAverage",2013
