"HitFairwayPercentage_RANKTHISWEEK_2016","HitFairwayPercentage_RANKLASTWEEK_2016","HitFairwayPercentage_PLAYERNAME_2016","HitFairwayPercentage_ROUNDS_2016","HitFairwayPercentage_Pct_2016","HitFairwayPercentage_FAIRWAYSHIT_2016","HitFairwayPercentage_POSSIBLEFAIRWAYS_2016","HitFairwayPercentage_RELATIVETOPAR_2016","stat_name","year"
1,1,"Thomas Aiken",42,74.65,268,359,-0.08,"HitFairwayPercentage",2016
2,2,"Colt Knost",56,73.04,428,586,-0.11,"HitFairwayPercentage",2016
3,3,"Andrew Landry",24,71.43,120,168,-0.06,"HitFairwayPercentage",2016
3,3,"Darron Stiles",28,71.43,160,224,0.04,"HitFairwayPercentage",2016
5,6,"Jerry Kelly",44,70.98,274,386,-0.06,"HitFairwayPercentage",2016
6,7,"Zac Blair",56,70.72,413,584,-0.05,"HitFairwayPercentage",2016
7,8,"Brice Garnett",29,70.19,146,208,-0.13,"HitFairwayPercentage",2016
8,9,"Graeme McDowell",33,69.88,225,322,-0.14,"HitFairwayPercentage",2016
9,5,"Danny Lee",53,69.72,350,502,-0.16,"HitFairwayPercentage",2016
10,17,"Justin Hicks",26,69.58,231,332,-0.03,"HitFairwayPercentage",2016
11,12,"Lucas Lee",22,69.42,143,206,-0.01,"HitFairwayPercentage",2016
12,13,"Justin Leonard",28,69.41,211,304,-0.07,"HitFairwayPercentage",2016
13,15,"Matthew Fitzpatrick",23,69.05,116,168,-0.06,"HitFairwayPercentage",2016
14,10,"Jason Bohn",37,68.97,280,406,-0.13,"HitFairwayPercentage",2016
14,11,"Emiliano Grillo",47,68.97,340,493,-0.17,"HitFairwayPercentage",2016
16,23,"Henrik Stenson",30,68.95,171,248,-0.19,"HitFairwayPercentage",2016
17,20,"Chad Campbell",54,68.61,411,599,-0.09,"HitFairwayPercentage",2016
18,14,"Kevin Kisner",49,68.39,318,465,-0.21,"HitFairwayPercentage",2016
19,21,"John Huh",51,68.31,416,609,-0.13,"HitFairwayPercentage",2016
20,18,"David Lingmerth",54,68.24,346,507,-0.13,"HitFairwayPercentage",2016
21,24,"Russell Knox",48,68.15,276,405,-0.14,"HitFairwayPercentage",2016
22,25,"Billy Hurley III",22,68.09,160,235,-0.07,"HitFairwayPercentage",2016
