"DrivingPct260280AllDrives_RANKTHISWEEK_2008","DrivingPct260280AllDrives_RANKLASTWEEK_2008","DrivingPct260280AllDrives_PLAYERNAME_2008","DrivingPct260280AllDrives_ROUNDS_2008","DrivingPct260280AllDrives_Pct_2008","DrivingPct260280AllDrives_TOTALDRIVESFOR260280_2008","DrivingPct260280AllDrives_TOTALDRIVESOVERALL_2008","DrivingPct260280AllDrives_RELATIVETOPAR_2008","stat_name","year"
1,NA,"Stephen Leaney",53,43.15,271,628,0.037,"DrivingPct260280AllDrives",2008
2,NA,"Craig Kanada",65,41.41,318,768,-0.019,"DrivingPct260280AllDrives",2008
3,NA,"Paul Goydos",78,40.79,383,939,0.042,"DrivingPct260280AllDrives",2008
4,NA,"Nick OHern",82,39.92,396,992,-0.058,"DrivingPct260280AllDrives",2008
5,NA,"Dean Wilson",109,39.89,517,1296,-0.031,"DrivingPct260280AllDrives",2008
6,NA,"Brian Gay",102,39.85,479,1202,-0.106,"DrivingPct260280AllDrives",2008
7,NA,"Chez Reavie",102,39.78,498,1252,-0.014,"DrivingPct260280AllDrives",2008
8,NA,"Bart Bryant",81,39.61,370,934,-0.022,"DrivingPct260280AllDrives",2008
9,NA,"Heath Slocum",104,39.17,470,1200,-0.006,"DrivingPct260280AllDrives",2008
10,NA,"Chris DiMarco",87,39.15,415,1060,0.029,"DrivingPct260280AllDrives",2008
11,NA,"Brian Davis",108,38.47,547,1422,-0.064,"DrivingPct260280AllDrives",2008
12,NA,"Gavin Coles",54,38.4,235,612,-0.089,"DrivingPct260280AllDrives",2008
13,NA,"Paul Claxton",63,38.36,267,696,0.015,"DrivingPct260280AllDrives",2008
14,NA,"Shane Bertsch",96,38.02,476,1252,-0.044,"DrivingPct260280AllDrives",2008
15,NA,"Dudley Hart",74,37.74,354,938,0,"DrivingPct260280AllDrives",2008
16,NA,"Olin Browne",77,37.58,366,974,0.057,"DrivingPct260280AllDrives",2008
17,NA,"Scott Verplank",82,37.28,340,912,-0.05,"DrivingPct260280AllDrives",2008
18,NA,"Tim Wilkinson",95,36.85,412,1118,-0.002,"DrivingPct260280AllDrives",2008
19,NA,"Cliff Kresge",84,36.71,373,1016,0.054,"DrivingPct260280AllDrives",2008
20,NA,"Glen Day",64,36.59,285,779,-0.039,"DrivingPct260280AllDrives",2008
21,NA,"Tom Pernice Jr",104,36.58,499,1364,-0.008,"DrivingPct260280AllDrives",2008
22,NA,"Jin Park",85,36.45,355,974,0.031,"DrivingPct260280AllDrives",2008
23,NA,"John Mallinger",95,36.36,425,1169,0.002,"DrivingPct260280AllDrives",2008
24,NA,"Omar Uresti",74,36.22,318,878,-0.035,"DrivingPct260280AllDrives",2008
25,NA,"Tim Clark",90,36.2,370,1022,-0.078,"DrivingPct260280AllDrives",2008
26,NA,"Tom Lehman",51,35.9,191,532,0.005,"DrivingPct260280AllDrives",2008
27,NA,"Cameron Beckman",87,35.89,370,1031,-0.027,"DrivingPct260280AllDrives",2008
28,NA,"Jeff Quinney",87,35.85,366,1021,0.063,"DrivingPct260280AllDrives",2008
29,NA,"Greg Kraft",63,35.67,249,698,-0.036,"DrivingPct260280AllDrives",2008
30,NA,"Brandt Snedeker",85,35.39,332,938,0.03,"DrivingPct260280AllDrives",2008
31,NA,"Zach Johnson",85,35.37,353,998,0.008,"DrivingPct260280AllDrives",2008
31,NA,"Rocco Mediate",87,35.37,341,964,-0.021,"DrivingPct260280AllDrives",2008
33,NA,"Briny Baird",113,35.05,469,1338,-0.013,"DrivingPct260280AllDrives",2008
34,NA,"Chad Collins",72,34.97,307,878,0.059,"DrivingPct260280AllDrives",2008
35,NA,"Shigeki Maruyama",50,34.77,202,581,-0.025,"DrivingPct260280AllDrives",2008
36,NA,"Chris Riley",51,34.53,192,556,-0.026,"DrivingPct260280AllDrives",2008
37,NA,"Kevin Na",97,34.52,438,1269,-0.014,"DrivingPct260280AllDrives",2008
38,NA,"Jerry Kelly",89,34.5,356,1032,-0.039,"DrivingPct260280AllDrives",2008
39,NA,"Billy Andrade",71,34.45,297,862,0.077,"DrivingPct260280AllDrives",2008
40,NA,"David Toms",70,34.27,268,782,-0.019,"DrivingPct260280AllDrives",2008
41,NA,"Alex Cejka",75,34.21,286,836,0.031,"DrivingPct260280AllDrives",2008
42,NA,"Billy Mayfair",103,34.16,453,1326,-0.015,"DrivingPct260280AllDrives",2008
43,NA,"Kent Jones",68,34.07,261,766,0.023,"DrivingPct260280AllDrives",2008
44,NA,"Jim Furyk",95,34.06,359,1054,-0.031,"DrivingPct260280AllDrives",2008
45,NA,"Scott McCarron",63,33.99,257,756,0.031,"DrivingPct260280AllDrives",2008
46,NA,"Matt Kuchar",88,33.88,332,980,-0.021,"DrivingPct260280AllDrives",2008
47,NA,"Justin Leonard",101,33.82,347,1026,-0.049,"DrivingPct260280AllDrives",2008
48,NA,"Jay Williamson",96,33.81,378,1118,0.008,"DrivingPct260280AllDrives",2008
49,NA,"Lee Janzen",89,33.75,352,1043,0.082,"DrivingPct260280AllDrives",2008
50,NA,"Ron Whittaker",54,33.68,192,570,0.057,"DrivingPct260280AllDrives",2008
51,NA,"Ben Crane",86,33.65,352,1046,-0.031,"DrivingPct260280AllDrives",2008
52,NA,"Richard Johnson",60,33.58,229,682,0.07,"DrivingPct260280AllDrives",2008
52,NA,"Marc Turnesa",87,33.58,356,1060,0.003,"DrivingPct260280AllDrives",2008
54,NA,"Bob Tway",70,33.38,265,794,-0.087,"DrivingPct260280AllDrives",2008
55,NA,"Ian Poulter",51,33.13,167,504,0.06,"DrivingPct260280AllDrives",2008
56,NA,"Freddie Jacobson",78,33.04,296,896,0.037,"DrivingPct260280AllDrives",2008
57,NA,"Brett Quigley",80,33.01,336,1018,-0.009,"DrivingPct260280AllDrives",2008
58,NA,"Jim McGovern",75,32.92,289,878,0.083,"DrivingPct260280AllDrives",2008
59,NA,"Doug LaBelle II",65,32.91,235,714,0.03,"DrivingPct260280AllDrives",2008
60,NA,"Woody Austin",109,32.85,406,1236,-0.047,"DrivingPct260280AllDrives",2008
61,NA,"Ryuji Imada",80,32.7,310,948,0.003,"DrivingPct260280AllDrives",2008
62,NA,"Bob Sowards",61,32.51,236,726,0.085,"DrivingPct260280AllDrives",2008
63,NA,"Ben Curtis",80,32.43,286,882,0.014,"DrivingPct260280AllDrives",2008
64,NA,"Nathan Green",95,32.23,408,1266,-0.002,"DrivingPct260280AllDrives",2008
65,NA,"Justin Bolli",87,32.19,329,1022,0.134,"DrivingPct260280AllDrives",2008
66,NA,"Joe Durant",92,32,352,1100,0.048,"DrivingPct260280AllDrives",2008
67,NA,"Brad Elder",67,31.78,239,752,-0.008,"DrivingPct260280AllDrives",2008
67,NA,"Peter Lonard",92,31.78,354,1114,0.034,"DrivingPct260280AllDrives",2008
69,NA,"Jeff Gove",50,31.71,195,615,0.036,"DrivingPct260280AllDrives",2008
70,NA,"Patrick Sheehan",124,31.69,463,1461,0.039,"DrivingPct260280AllDrives",2008
71,NA,"Robert Gamez",79,31.68,313,988,0.105,"DrivingPct260280AllDrives",2008
72,NA,"Frank Lickliter II",107,31.61,440,1392,0.034,"DrivingPct260280AllDrives",2008
73,NA,"Kenneth Ferrie",72,31.46,263,836,0.057,"DrivingPct260280AllDrives",2008
74,NA,"Rich Beem",90,31.4,346,1102,0.032,"DrivingPct260280AllDrives",2008
75,NA,"Carl Pettersson",110,31.39,425,1354,-0.031,"DrivingPct260280AllDrives",2008
76,NA,"Retief Goosen",59,31.23,183,586,0.055,"DrivingPct260280AllDrives",2008
77,NA,"Bob Estes",90,31.22,374,1198,-0.053,"DrivingPct260280AllDrives",2008
78,NA,"Jeff Maggert",86,31.09,342,1100,0.07,"DrivingPct260280AllDrives",2008
79,NA,"Johnson Wagner",83,31.05,295,950,0.081,"DrivingPct260280AllDrives",2008
80,NA,"Brett Rumford",72,31.01,263,848,0.068,"DrivingPct260280AllDrives",2008
81,NA,"Tom Scherrer",56,30.94,190,614,0.1,"DrivingPct260280AllDrives",2008
82,NA,"KJ Choi",74,30.92,248,802,-0.02,"DrivingPct260280AllDrives",2008
83,NA,"Alejandro Canizares",52,30.88,176,570,0.176,"DrivingPct260280AllDrives",2008
84,NA,"Steve Elkington",84,30.55,311,1018,-0.035,"DrivingPct260280AllDrives",2008
85,NA,"Chad Campbell",94,30.35,360,1186,0.031,"DrivingPct260280AllDrives",2008
86,NA,"Tommy Armour III",77,30.21,277,917,0.076,"DrivingPct260280AllDrives",2008
87,NA,"Mark Calcavecchia",67,30.03,227,756,0.009,"DrivingPct260280AllDrives",2008
88,NA,"Ryan Armour",87,30.02,317,1056,0.038,"DrivingPct260280AllDrives",2008
89,NA,"Tim Petrovic",97,29.91,338,1130,0.033,"DrivingPct260280AllDrives",2008
90,NA,"Ken Duke",116,29.89,437,1462,0.025,"DrivingPct260280AllDrives",2008
90,NA,"John Rollins",94,29.89,330,1104,0.048,"DrivingPct260280AllDrives",2008
92,NA,"Ernie Els",51,29.88,150,502,0.08,"DrivingPct260280AllDrives",2008
93,NA,"Mike Weir",88,29.85,277,928,-0.018,"DrivingPct260280AllDrives",2008
94,NA,"Chris Stroud",81,29.78,274,920,0.08,"DrivingPct260280AllDrives",2008
95,NA,"Stephen Ames",83,29.69,274,923,-0.055,"DrivingPct260280AllDrives",2008
95,NA,"Charlie Wi",97,29.69,364,1226,-0.003,"DrivingPct260280AllDrives",2008
97,NA,"Mark Wilson",107,29.48,428,1452,-0.016,"DrivingPct260280AllDrives",2008
98,NA,"Cody Freeman",66,29.3,225,768,0.084,"DrivingPct260280AllDrives",2008
99,NA,"Steve Flesch",95,29.2,330,1130,0.003,"DrivingPct260280AllDrives",2008
100,NA,"Scott Sterling",89,29.17,301,1032,-0.01,"DrivingPct260280AllDrives",2008
101,NA,"JP Hayes",67,29.04,255,878,0.047,"DrivingPct260280AllDrives",2008
102,NA,"Vaughn Taylor",103,29,381,1314,0.052,"DrivingPct260280AllDrives",2008
103,NA,"Todd Hamilton",92,28.9,298,1031,0.064,"DrivingPct260280AllDrives",2008
104,NA,"Corey Pavin",69,28.87,224,776,-0.067,"DrivingPct260280AllDrives",2008
105,NA,"John Senden",93,28.85,330,1144,0.003,"DrivingPct260280AllDrives",2008
106,NA,"Joe Ogilvie",100,28.84,351,1217,-0.037,"DrivingPct260280AllDrives",2008
107,NA,"Steve Stricker",75,28.69,233,812,-0.103,"DrivingPct260280AllDrives",2008
108,NA,"Mark Hensby",71,28.6,256,895,0.035,"DrivingPct260280AllDrives",2008
109,NA,"John Riegger",73,28.56,255,893,0.004,"DrivingPct260280AllDrives",2008
110,NA,"Carlos Franco",73,28.47,250,878,0.02,"DrivingPct260280AllDrives",2008
111,NA,"Kyle Thompson",70,28.39,226,796,0.159,"DrivingPct260280AllDrives",2008
112,NA,"JJ Henry",108,28.29,391,1382,0.046,"DrivingPct260280AllDrives",2008
