"DrivingPctAll_RANKTHISWEEK_2010","DrivingPctAll_RANKLASTWEEK_2010","DrivingPctAll_PLAYERNAME_2010","DrivingPctAll_ROUNDS_2010","DrivingPctAll_Pct_2010","DrivingPctAll_TOTALDRIVESFOR_2010","DrivingPctAll_TOTALDRIVESOVERALL_2010","DrivingPctAll_RELATIVETOPAR_2010","stat_name","year"
1,1,"Brad Faxon",58,13.34,89,667,0.315,"DrivingPctAll",2010
2,2,"Mike Weir",59,12.23,68,556,0.235,"DrivingPctAll",2010
3,3,"Trevor Immelman",55,11.6,69,595,0.246,"DrivingPctAll",2010
4,4,"Michael Bradley",77,11.55,110,952,0.073,"DrivingPctAll",2010
5,5,"Brian Gay",101,10.03,115,1146,0.113,"DrivingPctAll",2010
6,6,"Jim Furyk",76,9.81,82,836,0.049,"DrivingPctAll",2010
7,7,"Shaun Micheel",70,9.3,69,742,0.101,"DrivingPctAll",2010
8,8,"Kevin Johnson",62,9.08,62,683,0.226,"DrivingPctAll",2010
9,9,"Steve Flesch",78,8.77,79,901,0.127,"DrivingPctAll",2010
10,10,"Alex Cejka",81,8.68,82,945,0.268,"DrivingPctAll",2010
11,11,"Nathan Green",86,8.58,97,1130,0.165,"DrivingPctAll",2010
12,12,"Charlie Wi",95,8.48,105,1238,0.048,"DrivingPctAll",2010
13,13,"Bryce Molder",84,8.46,86,1016,-0.012,"DrivingPctAll",2010
14,14,"Craig Bowden",56,8.36,56,670,0.107,"DrivingPctAll",2010
15,15,"JP Hayes",79,8.25,78,946,0.064,"DrivingPctAll",2010
16,16,"Richard Johnson",90,8.15,83,1018,0.193,"DrivingPctAll",2010
17,17,"Bob Estes",79,8.12,80,985,0.063,"DrivingPctAll",2010
18,18,"Kevin Na",94,7.87,83,1055,0.048,"DrivingPctAll",2010
19,19,"Luke Donald",71,7.77,57,734,0.105,"DrivingPctAll",2010
20,20,"Jeff Quinney",91,7.66,85,1110,0.259,"DrivingPctAll",2010
21,21,"Tim Clark",88,7.61,72,946,-0.083,"DrivingPctAll",2010
22,22,"Greg Kraft",52,7.55,41,543,0.293,"DrivingPctAll",2010
