"FinalRoundPerformance_RANKTHISWEEK_2015","FinalRoundPerformance_RANKLASTWEEK_2015","FinalRoundPerformance_PLAYERNAME_2015","FinalRoundPerformance_EVENTS_2015","FinalRoundPerformance_Pct_2015","stat_name","year"
1,1,"Will Wilcox",17,91.67,"FinalRoundPerformance",2015
2,2,"Jason Day",20,88.24,"FinalRoundPerformance",2015
3,3,"Chez Reavie",19,87.5,"FinalRoundPerformance",2015
4,4,"Henrik Stenson",16,86.67,"FinalRoundPerformance",2015
5,5,"Hideki Matsuyama",25,80.95,"FinalRoundPerformance",2015
6,6,"Jordan Spieth",25,80,"FinalRoundPerformance",2015
7,7,"Russell Henley",24,78.95,"FinalRoundPerformance",2015
8,8,"Colt Knost",29,76.47,"FinalRoundPerformance",2015
9,9,"Kevin Kisner",30,76.19,"FinalRoundPerformance",2015
10,10,"Robert Streb",30,76,"FinalRoundPerformance",2015
11,11,"Chris Kirk",21,75,"FinalRoundPerformance",2015
11,11,"Bubba Watson",19,75,"FinalRoundPerformance",2015
11,11,"Lee Westwood",15,75,"FinalRoundPerformance",2015
11,11,"Mark Wilson",28,75,"FinalRoundPerformance",2015
15,15,"Ben Martin",27,73.68,"FinalRoundPerformance",2015
16,16,"Paul Casey",24,72.22,"FinalRoundPerformance",2015
16,16,"Scott Langley",28,72.22,"FinalRoundPerformance",2015
18,18,"Oscar Fraustro",21,71.43,"FinalRoundPerformance",2015
18,18,"Tom Hoge",26,71.43,"FinalRoundPerformance",2015
18,18,"Martin Laird",24,71.43,"FinalRoundPerformance",2015
18,18,"Brandt Snedeker",27,71.43,"FinalRoundPerformance",2015
18,18,"Steve Wheatcroft",28,71.43,"FinalRoundPerformance",2015
23,23,"Johnson Wagner",23,70,"FinalRoundPerformance",2015
24,24,"Marc Leishman",23,69.23,"FinalRoundPerformance",2015
25,25,"Rickie Fowler",21,68.75,"FinalRoundPerformance",2015
26,26,"Keegan Bradley",24,68.42,"FinalRoundPerformance",2015
26,26,"John Huh",31,68.42,"FinalRoundPerformance",2015
26,26,"George McNeill",27,68.42,"FinalRoundPerformance",2015
29,29,"Jamie Donaldson",16,66.67,"FinalRoundPerformance",2015
29,29,"Jim Furyk",19,66.67,"FinalRoundPerformance",2015
29,29,"David Hearn",30,66.67,"FinalRoundPerformance",2015
29,29,"Brooks Koepka",23,66.67,"FinalRoundPerformance",2015
29,29,"DA Points",26,66.67,"FinalRoundPerformance",2015
29,29,"Alex Prugh",27,66.67,"FinalRoundPerformance",2015
29,29,"Rory Sabbatini",25,66.67,"FinalRoundPerformance",2015
29,29,"Boo Weekley",24,66.67,"FinalRoundPerformance",2015
37,37,"Jason Bohn",27,65,"FinalRoundPerformance",2015
37,37,"Charley Hoffman",28,65,"FinalRoundPerformance",2015
37,37,"William McGirt",30,65,"FinalRoundPerformance",2015
40,40,"David Lingmerth",28,64.71,"FinalRoundPerformance",2015
40,40,"Ryan Palmer",22,64.71,"FinalRoundPerformance",2015
42,42,"Justin Rose",20,64.29,"FinalRoundPerformance",2015
42,42,"John Senden",24,64.29,"FinalRoundPerformance",2015
42,42,"Chris Stroud",28,64.29,"FinalRoundPerformance",2015
42,42,"Gary Woodland",24,64.29,"FinalRoundPerformance",2015
46,46,"Blayne Barber",26,63.64,"FinalRoundPerformance",2015
46,46,"Charlie Beljan",27,63.64,"FinalRoundPerformance",2015
46,46,"Tony Finau",31,63.64,"FinalRoundPerformance",2015
46,46,"Whee Kim",23,63.64,"FinalRoundPerformance",2015
46,46,"Scott Stallings",19,63.64,"FinalRoundPerformance",2015
46,46,"Bo Van Pelt",28,63.64,"FinalRoundPerformance",2015
52,52,"Steven Bowditch",32,63.16,"FinalRoundPerformance",2015
52,52,"James Hahn",28,63.16,"FinalRoundPerformance",2015
54,54,"Phil Mickelson",19,62.5,"FinalRoundPerformance",2015
54,54,"Ryan Moore",24,62.5,"FinalRoundPerformance",2015
54,54,"Kyle Reifers",31,62.5,"FinalRoundPerformance",2015
57,57,"Shawn Stefani",26,61.9,"FinalRoundPerformance",2015
58,58,"Ricky Barnes",27,61.54,"FinalRoundPerformance",2015
58,58,"Brian Davis",31,61.54,"FinalRoundPerformance",2015
58,58,"Billy Hurley III",28,61.54,"FinalRoundPerformance",2015
58,58,"Louis Oosthuizen",20,61.54,"FinalRoundPerformance",2015
58,58,"SJ Park",27,61.54,"FinalRoundPerformance",2015
58,58,"Charl Schwartzel",19,61.54,"FinalRoundPerformance",2015
64,64,"Harris English",29,60.87,"FinalRoundPerformance",2015
64,64,"Matt Kuchar",25,60.87,"FinalRoundPerformance",2015
66,66,"Robert Garrigus",25,60,"FinalRoundPerformance",2015
66,66,"Chesson Hadley",30,60,"FinalRoundPerformance",2015
66,66,"Jerry Kelly",24,60,"FinalRoundPerformance",2015
66,66,"Geoff Ogilvy",15,60,"FinalRoundPerformance",2015
66,66,"Jimmy Walker",24,60,"FinalRoundPerformance",2015
71,71,"Brian Stuard",31,58.82,"FinalRoundPerformance",2015
72,72,"Jon Curran",28,58.33,"FinalRoundPerformance",2015
72,72,"Lucas Glover",26,58.33,"FinalRoundPerformance",2015
72,72,"Danny Lee",36,58.33,"FinalRoundPerformance",2015
75,75,"Zach Johnson",25,57.89,"FinalRoundPerformance",2015
75,75,"Matt Jones",25,57.89,"FinalRoundPerformance",2015
77,77,"Eric Axley",21,57.14,"FinalRoundPerformance",2015
77,77,"KJ Choi",19,57.14,"FinalRoundPerformance",2015
77,77,"Sergio Garcia",15,57.14,"FinalRoundPerformance",2015
77,77,"Davis Love III",18,57.14,"FinalRoundPerformance",2015
77,77,"Nicholas Thompson",31,57.14,"FinalRoundPerformance",2015
82,82,"Vijay Singh",23,56.25,"FinalRoundPerformance",2015
83,83,"Greg Owen",19,55.56,"FinalRoundPerformance",2015
84,84,"Matt Every",26,54.55,"FinalRoundPerformance",2015
84,84,"David Toms",21,54.55,"FinalRoundPerformance",2015
86,86,"Aaron Baddeley",25,53.85,"FinalRoundPerformance",2015
87,87,"Jim Herman",27,53.33,"FinalRoundPerformance",2015
87,87,"Camilo Villegas",27,53.33,"FinalRoundPerformance",2015
89,89,"Dustin Johnson",21,52.94,"FinalRoundPerformance",2015
89,89,"Sean OHair",26,52.94,"FinalRoundPerformance",2015
89,89,"Jeff Overton",30,52.94,"FinalRoundPerformance",2015
92,92,"Billy Horschel",28,52.38,"FinalRoundPerformance",2015
92,92,"Carl Pettersson",32,52.38,"FinalRoundPerformance",2015
94,94,"Sangmoon Bae",30,50,"FinalRoundPerformance",2015
94,94,"Angel Cabrera",19,50,"FinalRoundPerformance",2015
94,94,"Roberto Castro",16,50,"FinalRoundPerformance",2015
94,94,"Alex Cejka",30,50,"FinalRoundPerformance",2015
94,94,"Greg Chalmers",17,50,"FinalRoundPerformance",2015
94,94,"Andres Gonzales",28,50,"FinalRoundPerformance",2015
94,94,"Brian Harman",29,50,"FinalRoundPerformance",2015
94,94,"Troy Merritt",29,50,"FinalRoundPerformance",2015
94,94,"Pat Perez",26,50,"FinalRoundPerformance",2015
94,94,"Webb Simpson",22,50,"FinalRoundPerformance",2015
