"Front9Par3ScoringAverage_RANKTHISWEEK_2011","Front9Par3ScoringAverage_RANKLASTWEEK_2011","Front9Par3ScoringAverage_PLAYERNAME_2011","Front9Par3ScoringAverage_ROUNDS_2011","Front9Par3ScoringAverage_AVG_2011","Front9Par3ScoringAverage_TOTALSTROKES_2011","Front9Par3ScoringAverage_TOTALHOLES_2011","stat_name","year"
1,1,"Jason Day",76,2.92,426,146,"Front9Par3ScoringAverage",2011
2,2,"Tom Gillis",55,2.95,328,111,"Front9Par3ScoringAverage",2011
2,2,"Mark Wilson",89,2.95,516,175,"Front9Par3ScoringAverage",2011
4,4,"Jim Furyk",87,2.96,512,173,"Front9Par3ScoringAverage",2011
4,4,"Michael Putnam",67,2.96,400,135,"Front9Par3ScoringAverage",2011
4,4,"David Toms",78,2.96,465,157,"Front9Par3ScoringAverage",2011
7,7,"Brian Gay",90,2.97,537,181,"Front9Par3ScoringAverage",2011
7,7,"John Senden",94,2.97,558,188,"Front9Par3ScoringAverage",2011
7,7,"YE Yang",63,2.97,351,118,"Front9Par3ScoringAverage",2011
10,10,"Luke Donald",73,2.98,399,134,"Front9Par3ScoringAverage",2011
10,10,"Freddie Jacobson",92,2.98,548,184,"Front9Par3ScoringAverage",2011
10,10,"Heath Slocum",89,2.98,528,177,"Front9Par3ScoringAverage",2011
13,13,"Kris Blanks",92,2.99,553,185,"Front9Par3ScoringAverage",2011
13,13,"Michael Bradley",74,2.99,446,149,"Front9Par3ScoringAverage",2011
13,13,"Fabian Gomez",84,2.99,506,169,"Front9Par3ScoringAverage",2011
13,13,"Marc Leishman",87,2.99,524,175,"Front9Par3ScoringAverage",2011
13,13,"Jim Renner",65,2.99,392,131,"Front9Par3ScoringAverage",2011
13,13,"Nate Smith",66,2.99,398,133,"Front9Par3ScoringAverage",2011
13,13,"Michael Thompson",79,2.99,476,159,"Front9Par3ScoringAverage",2011
13,13,"Gary Woodland",93,2.99,560,187,"Front9Par3ScoringAverage",2011
21,21,"Briny Baird",60,3,363,121,"Front9Par3ScoringAverage",2011
21,21,"Brendon de Jonge",105,3,634,211,"Front9Par3ScoringAverage",2011
21,21,"Tommy Gainey",104,3,628,209,"Front9Par3ScoringAverage",2011
21,21,"Retief Goosen",50,3,294,98,"Front9Par3ScoringAverage",2011
21,21,"Tim Herron",85,3,513,171,"Front9Par3ScoringAverage",2011
21,21,"Charley Hoffman",93,3,555,185,"Front9Par3ScoringAverage",2011
21,21,"Matt Kuchar",94,3,528,176,"Front9Par3ScoringAverage",2011
21,21,"Aron Price",58,3,351,117,"Front9Par3ScoringAverage",2011
21,21,"Cameron Tringale",110,3,662,221,"Front9Par3ScoringAverage",2011
30,30,"Robert Allenby",84,3.01,499,166,"Front9Par3ScoringAverage",2011
30,30,"Shane Bertsch",62,3.01,376,125,"Front9Par3ScoringAverage",2011
30,30,"Charles Howell III",108,3.01,651,216,"Front9Par3ScoringAverage",2011
30,30,"Brandt Jobe",100,3.01,605,201,"Front9Par3ScoringAverage",2011
