"Back9Par3ScoringAverage_RANKTHISWEEK_2008","Back9Par3ScoringAverage_RANKLASTWEEK_2008","Back9Par3ScoringAverage_PLAYERNAME_2008","Back9Par3ScoringAverage_ROUNDS_2008","Back9Par3ScoringAverage_AVG_2008","Back9Par3ScoringAverage_TOTALSTROKES_2008","Back9Par3ScoringAverage_TOTALHOLES_2008","stat_name","year"
1,1,"Corey Pavin",69,2.92,421,144,"Back9Par3ScoringAverage",2008
2,2,"Zach Johnson",85,2.95,484,164,"Back9Par3ScoringAverage",2008
2,2,"Tom Scherrer",56,2.95,336,114,"Back9Par3ScoringAverage",2008
2,2,"DJ Trahan",94,2.95,572,194,"Back9Par3ScoringAverage",2008
5,5,"Lee Janzen",89,2.96,544,184,"Back9Par3ScoringAverage",2008
6,6,"James Driscoll",85,2.98,521,175,"Back9Par3ScoringAverage",2008
6,6,"Craig Kanada",65,2.98,391,131,"Back9Par3ScoringAverage",2008
6,6,"Tom Pernice Jr",104,2.98,634,213,"Back9Par3ScoringAverage",2008
6,6,"Jeff Quinney",87,2.98,528,177,"Back9Par3ScoringAverage",2008
10,10,"Briny Baird",113,2.99,685,229,"Back9Par3ScoringAverage",2008
10,10,"Chad Collins",72,2.99,433,145,"Back9Par3ScoringAverage",2008
10,10,"Brian Gay",102,2.99,619,207,"Back9Par3ScoringAverage",2008
13,13,"Paul Casey",55,3,324,108,"Back9Par3ScoringAverage",2008
14,14,"Stewart Cink",87,3.01,502,167,"Back9Par3ScoringAverage",2008
14,14,"Jason Gore",94,3.01,580,193,"Back9Par3ScoringAverage",2008
14,14,"Hunter Mahan",87,3.01,515,171,"Back9Par3ScoringAverage",2008
14,14,"George McNeill",97,3.01,587,195,"Back9Par3ScoringAverage",2008
18,18,"Brad Adamonis",87,3.02,534,177,"Back9Par3ScoringAverage",2008
18,18,"Stephen Ames",83,3.02,495,164,"Back9Par3ScoringAverage",2008
18,18,"Marco Dawson",64,3.02,395,131,"Back9Par3ScoringAverage",2008
18,18,"Glen Day",64,3.02,389,129,"Back9Par3ScoringAverage",2008
18,18,"Jason Day",81,3.02,498,165,"Back9Par3ScoringAverage",2008
18,18,"Nick OHern",82,3.02,490,162,"Back9Par3ScoringAverage",2008
18,18,"Jesper Parnevik",88,3.02,543,180,"Back9Par3ScoringAverage",2008
18,18,"Heath Slocum",104,3.02,644,213,"Back9Par3ScoringAverage",2008
18,18,"Bob Sowards",61,3.02,371,123,"Back9Par3ScoringAverage",2008
18,18,"Steve Stricker",75,3.02,435,144,"Back9Par3ScoringAverage",2008
28,28,"Shane Bertsch",96,3.03,599,198,"Back9Par3ScoringAverage",2008
28,28,"Alex Cejka",75,3.03,472,156,"Back9Par3ScoringAverage",2008
28,28,"Dudley Hart",74,3.03,451,149,"Back9Par3ScoringAverage",2008
28,28,"John Huston",56,3.03,349,115,"Back9Par3ScoringAverage",2008
28,28,"Freddie Jacobson",78,3.03,476,157,"Back9Par3ScoringAverage",2008
28,28,"Richard Johnson",60,3.03,367,121,"Back9Par3ScoringAverage",2008
28,28,"Omar Uresti",74,3.03,455,150,"Back9Par3ScoringAverage",2008
35,35,"Robert Allenby",108,3.04,665,219,"Back9Par3ScoringAverage",2008
35,35,"Tommy Armour III",77,3.04,477,157,"Back9Par3ScoringAverage",2008
35,35,"Ken Duke",116,3.04,724,238,"Back9Par3ScoringAverage",2008
35,35,"Jeff Maggert",86,3.04,542,178,"Back9Par3ScoringAverage",2008
35,35,"Kevin Na",97,3.04,598,197,"Back9Par3ScoringAverage",2008
35,35,"Brenden Pappas",66,3.04,404,133,"Back9Par3ScoringAverage",2008
