"TenthTeeEarlyPar3ScoringAverage_RANKTHISWEEK_2007","TenthTeeEarlyPar3ScoringAverage_RANKLASTWEEK_2007","TenthTeeEarlyPar3ScoringAverage_PLAYERNAME_2007","TenthTeeEarlyPar3ScoringAverage_ROUNDS_2007","TenthTeeEarlyPar3ScoringAverage_AVG_2007","TenthTeeEarlyPar3ScoringAverage_TOTALSTROKES_2007","TenthTeeEarlyPar3ScoringAverage_TOTALHOLES_2007","stat_name","year"
1,1,"Jose Coceres",50,2.78,114,41,"TenthTeeEarlyPar3ScoringAverage",2007
2,2,"Arron Oberholser",69,2.83,68,24,"TenthTeeEarlyPar3ScoringAverage",2007
3,3,"Rod Pampling",92,2.88,147,51,"TenthTeeEarlyPar3ScoringAverage",2007
3,3,"Steve Stricker",81,2.88,115,40,"TenthTeeEarlyPar3ScoringAverage",2007
3,3,"Tiger Woods",63,2.88,115,40,"TenthTeeEarlyPar3ScoringAverage",2007
6,6,"Tim Clark",66,2.92,108,37,"TenthTeeEarlyPar3ScoringAverage",2007
6,6,"Joe Ogilvie",102,2.92,251,86,"TenthTeeEarlyPar3ScoringAverage",2007
6,6,"Jose Maria Olazabal",52,2.92,105,36,"TenthTeeEarlyPar3ScoringAverage",2007
6,6,"Michael Sim",52,2.92,105,36,"TenthTeeEarlyPar3ScoringAverage",2007
10,10,"Robert Allenby",90,2.94,150,51,"TenthTeeEarlyPar3ScoringAverage",2007
10,10,"Heath Slocum",101,2.94,153,52,"TenthTeeEarlyPar3ScoringAverage",2007
12,12,"KJ Choi",87,2.95,121,41,"TenthTeeEarlyPar3ScoringAverage",2007
12,12,"Sergio Garcia",68,2.95,121,41,"TenthTeeEarlyPar3ScoringAverage",2007
12,12,"Peter Lonard",85,2.95,165,56,"TenthTeeEarlyPar3ScoringAverage",2007
12,12,"Shaun Micheel",91,2.95,162,55,"TenthTeeEarlyPar3ScoringAverage",2007
16,16,"Marco Dawson",73,2.96,163,55,"TenthTeeEarlyPar3ScoringAverage",2007
16,16,"Dean Wilson",92,2.96,263,89,"TenthTeeEarlyPar3ScoringAverage",2007
18,18,"Luke Donald",69,2.97,95,32,"TenthTeeEarlyPar3ScoringAverage",2007
18,18,"Craig Lile",77,2.97,232,78,"TenthTeeEarlyPar3ScoringAverage",2007
18,18,"Ryan Palmer",91,2.97,351,118,"TenthTeeEarlyPar3ScoringAverage",2007
18,18,"Henrik Stenson",52,2.97,95,32,"TenthTeeEarlyPar3ScoringAverage",2007
22,22,"Craig Barlow",52,2.98,134,45,"TenthTeeEarlyPar3ScoringAverage",2007
22,22,"Steve Elkington",87,2.98,188,63,"TenthTeeEarlyPar3ScoringAverage",2007
22,22,"Padraig Harrington",64,2.98,170,57,"TenthTeeEarlyPar3ScoringAverage",2007
22,22,"John Senden",97,2.98,244,82,"TenthTeeEarlyPar3ScoringAverage",2007
22,22,"Joey Sindelar",75,2.98,170,57,"TenthTeeEarlyPar3ScoringAverage",2007
22,22,"Vaughn Taylor",91,2.98,173,58,"TenthTeeEarlyPar3ScoringAverage",2007
28,28,"George McNeill",95,2.99,254,85,"TenthTeeEarlyPar3ScoringAverage",2007
28,28,"Brandt Snedeker",105,2.99,206,69,"TenthTeeEarlyPar3ScoringAverage",2007
28,28,"Camilo Villegas",82,2.99,209,70,"TenthTeeEarlyPar3ScoringAverage",2007
31,31,"Stephen Ames",81,3,156,52,"TenthTeeEarlyPar3ScoringAverage",2007
31,31,"Aaron Baddeley",83,3,96,32,"TenthTeeEarlyPar3ScoringAverage",2007
31,31,"Briny Baird",115,3,267,89,"TenthTeeEarlyPar3ScoringAverage",2007
31,31,"David Branshaw",83,3,180,60,"TenthTeeEarlyPar3ScoringAverage",2007
31,31,"Brendon de Jonge",76,3,204,68,"TenthTeeEarlyPar3ScoringAverage",2007
31,31,"Freddie Jacobson",70,3,165,55,"TenthTeeEarlyPar3ScoringAverage",2007
31,31,"Frank Lickliter II",95,3,225,75,"TenthTeeEarlyPar3ScoringAverage",2007
31,31,"John Merrick",92,3,249,83,"TenthTeeEarlyPar3ScoringAverage",2007
31,31,"Bubba Watson",80,3,174,58,"TenthTeeEarlyPar3ScoringAverage",2007
40,40,"Paul Gow",70,3.01,238,79,"TenthTeeEarlyPar3ScoringAverage",2007
40,40,"Richard Johnson",93,3.01,229,76,"TenthTeeEarlyPar3ScoringAverage",2007
40,40,"Craig Kanada",109,3.01,211,70,"TenthTeeEarlyPar3ScoringAverage",2007
40,40,"Doug LaBelle II",104,3.01,319,106,"TenthTeeEarlyPar3ScoringAverage",2007
40,40,"Phil Mickelson",73,3.01,217,72,"TenthTeeEarlyPar3ScoringAverage",2007
40,40,"Dicky Pride",71,3.01,274,91,"TenthTeeEarlyPar3ScoringAverage",2007
40,40,"Jason Schultz",63,3.01,205,68,"TenthTeeEarlyPar3ScoringAverage",2007
47,47,"Mark Brooks",53,3.02,184,61,"TenthTeeEarlyPar3ScoringAverage",2007
47,47,"Bart Bryant",87,3.02,169,56,"TenthTeeEarlyPar3ScoringAverage",2007
47,47,"Daniel Chopra",106,3.02,245,81,"TenthTeeEarlyPar3ScoringAverage",2007
47,47,"Anders Hansen",55,3.02,145,48,"TenthTeeEarlyPar3ScoringAverage",2007
47,47,"Tim Herron",98,3.02,172,57,"TenthTeeEarlyPar3ScoringAverage",2007
47,47,"Charley Hoffman",97,3.02,169,56,"TenthTeeEarlyPar3ScoringAverage",2007
47,47,"Jerry Kelly",101,3.02,190,63,"TenthTeeEarlyPar3ScoringAverage",2007
47,47,"Michael Putnam",96,3.02,193,64,"TenthTeeEarlyPar3ScoringAverage",2007
47,47,"Brett Wetterich",88,3.02,160,53,"TenthTeeEarlyPar3ScoringAverage",2007
56,56,"Alex Cejka",80,3.03,185,61,"TenthTeeEarlyPar3ScoringAverage",2007
56,56,"Brian Davis",101,3.03,218,72,"TenthTeeEarlyPar3ScoringAverage",2007
56,56,"Bob Estes",88,3.03,185,61,"TenthTeeEarlyPar3ScoringAverage",2007
56,56,"Steve Flesch",100,3.03,209,69,"TenthTeeEarlyPar3ScoringAverage",2007
56,56,"Nathan Green",103,3.03,209,69,"TenthTeeEarlyPar3ScoringAverage",2007
56,56,"Steve Marino",106,3.03,218,72,"TenthTeeEarlyPar3ScoringAverage",2007
56,56,"Jeff Overton",60,3.03,88,29,"TenthTeeEarlyPar3ScoringAverage",2007
56,56,"Tim Petrovic",106,3.03,224,74,"TenthTeeEarlyPar3ScoringAverage",2007
56,56,"Justin Rose",63,3.03,97,32,"TenthTeeEarlyPar3ScoringAverage",2007
56,56,"Bo Van Pelt",104,3.03,230,76,"TenthTeeEarlyPar3ScoringAverage",2007
56,56,"Charles Warren",101,3.03,273,90,"TenthTeeEarlyPar3ScoringAverage",2007
67,67,"Michael Allen",74,3.04,207,68,"TenthTeeEarlyPar3ScoringAverage",2007
67,67,"Tommy Armour III",81,3.04,143,47,"TenthTeeEarlyPar3ScoringAverage",2007
67,67,"Cameron Beckman",96,3.04,234,77,"TenthTeeEarlyPar3ScoringAverage",2007
67,67,"Jonathan Byrd",73,3.04,158,52,"TenthTeeEarlyPar3ScoringAverage",2007
67,67,"John Mallinger",96,3.04,207,68,"TenthTeeEarlyPar3ScoringAverage",2007
67,67,"Troy Matteson",87,3.04,152,50,"TenthTeeEarlyPar3ScoringAverage",2007
73,73,"Rich Beem",89,3.05,177,58,"TenthTeeEarlyPar3ScoringAverage",2007
73,73,"Jason Dufner",100,3.05,247,81,"TenthTeeEarlyPar3ScoringAverage",2007
73,73,"Fred Funk",65,3.05,134,44,"TenthTeeEarlyPar3ScoringAverage",2007
73,73,"Jim Furyk",84,3.05,186,61,"TenthTeeEarlyPar3ScoringAverage",2007
73,73,"Brian Gay",107,3.05,284,93,"TenthTeeEarlyPar3ScoringAverage",2007
73,73,"Retief Goosen",50,3.05,61,20,"TenthTeeEarlyPar3ScoringAverage",2007
73,73,"Trevor Immelman",74,3.05,125,41,"TenthTeeEarlyPar3ScoringAverage",2007
73,73,"Zach Johnson",76,3.05,223,73,"TenthTeeEarlyPar3ScoringAverage",2007
73,73,"Cliff Kresge",107,3.05,241,79,"TenthTeeEarlyPar3ScoringAverage",2007
73,73,"John Rollins",102,3.05,223,73,"TenthTeeEarlyPar3ScoringAverage",2007
73,73,"David Toms",80,3.05,168,55,"TenthTeeEarlyPar3ScoringAverage",2007
73,73,"Mike Weir",82,3.05,174,57,"TenthTeeEarlyPar3ScoringAverage",2007
85,85,"Ryan Armour",107,3.06,257,84,"TenthTeeEarlyPar3ScoringAverage",2007
85,85,"DJ Brigman",67,3.06,156,51,"TenthTeeEarlyPar3ScoringAverage",2007
85,85,"Gavin Coles",87,3.06,202,66,"TenthTeeEarlyPar3ScoringAverage",2007
85,85,"Mathew Goggin",97,3.06,248,81,"TenthTeeEarlyPar3ScoringAverage",2007
85,85,"Davis Love III",66,3.06,150,49,"TenthTeeEarlyPar3ScoringAverage",2007
85,85,"Daisuke Maruyama",86,3.06,205,67,"TenthTeeEarlyPar3ScoringAverage",2007
85,85,"Kevin Na",84,3.06,199,65,"TenthTeeEarlyPar3ScoringAverage",2007
85,85,"Pat Perez",84,3.06,98,32,"TenthTeeEarlyPar3ScoringAverage",2007
85,85,"Jeff Quinney",95,3.06,211,69,"TenthTeeEarlyPar3ScoringAverage",2007
85,85,"Adam Scott",69,3.06,159,52,"TenthTeeEarlyPar3ScoringAverage",2007
85,85,"Mark Wilson",87,3.06,147,48,"TenthTeeEarlyPar3ScoringAverage",2007
96,96,"Steve Allan",63,3.07,209,68,"TenthTeeEarlyPar3ScoringAverage",2007
96,96,"Craig Bowden",78,3.07,221,72,"TenthTeeEarlyPar3ScoringAverage",2007
96,96,"Chris DiMarco",79,3.07,166,54,"TenthTeeEarlyPar3ScoringAverage",2007
96,96,"Ken Duke",112,3.07,184,60,"TenthTeeEarlyPar3ScoringAverage",2007
96,96,"Scott Gutschewski",67,3.07,187,61,"TenthTeeEarlyPar3ScoringAverage",2007
96,96,"Lee Janzen",66,3.07,206,67,"TenthTeeEarlyPar3ScoringAverage",2007
96,96,"Shigeki Maruyama",84,3.07,138,45,"TenthTeeEarlyPar3ScoringAverage",2007
96,96,"Billy Mayfair",98,3.07,178,58,"TenthTeeEarlyPar3ScoringAverage",2007
96,96,"Bryce Molder",56,3.07,212,69,"TenthTeeEarlyPar3ScoringAverage",2007
96,96,"Kenny Perry",83,3.07,166,54,"TenthTeeEarlyPar3ScoringAverage",2007
96,96,"Tag Ridings",52,3.07,126,41,"TenthTeeEarlyPar3ScoringAverage",2007
96,96,"Kevin Sutherland",85,3.07,270,88,"TenthTeeEarlyPar3ScoringAverage",2007
96,96,"Chris Tidland",59,3.07,86,28,"TenthTeeEarlyPar3ScoringAverage",2007
96,96,"Bob Tway",103,3.07,322,105,"TenthTeeEarlyPar3ScoringAverage",2007
96,96,"Duffy Waldorf",69,3.07,178,58,"TenthTeeEarlyPar3ScoringAverage",2007
