"TenthTeeLatePar3ScoringAverage_RANKTHISWEEK_2009","TenthTeeLatePar3ScoringAverage_RANKLASTWEEK_2009","TenthTeeLatePar3ScoringAverage_PLAYERNAME_2009","TenthTeeLatePar3ScoringAverage_ROUNDS_2009","TenthTeeLatePar3ScoringAverage_AVG_2009","TenthTeeLatePar3ScoringAverage_TOTALSTROKES_2009","TenthTeeLatePar3ScoringAverage_TOTALHOLES_2009","stat_name","year"
1,1,"Geoff Ogilvy",78,2.75,22,8,"TenthTeeLatePar3ScoringAverage",2009
1,1,"Tiger Woods",64,2.75,11,4,"TenthTeeLatePar3ScoringAverage",2009
3,3,"Patrick Sheehan",51,2.8,115,41,"TenthTeeLatePar3ScoringAverage",2009
4,4,"Cameron Beckman",87,2.84,273,96,"TenthTeeLatePar3ScoringAverage",2009
4,4,"Mike Weir",85,2.84,125,44,"TenthTeeLatePar3ScoringAverage",2009
6,6,"Briny Baird",89,2.86,126,44,"TenthTeeLatePar3ScoringAverage",2009
7,7,"Hunter Mahan",94,2.89,81,28,"TenthTeeLatePar3ScoringAverage",2009
8,8,"Kris Blanks",60,2.9,183,63,"TenthTeeLatePar3ScoringAverage",2009
9,9,"Freddie Jacobson",83,2.91,163,56,"TenthTeeLatePar3ScoringAverage",2009
10,10,"Zach Johnson",94,2.92,73,25,"TenthTeeLatePar3ScoringAverage",2009
11,11,"Fred Couples",54,2.93,88,30,"TenthTeeLatePar3ScoringAverage",2009
12,12,"Jason Day",61,2.94,97,33,"TenthTeeLatePar3ScoringAverage",2009
12,12,"Robert Garrigus",83,2.94,156,53,"TenthTeeLatePar3ScoringAverage",2009
12,12,"Scott McCarron",91,2.94,191,65,"TenthTeeLatePar3ScoringAverage",2009
12,12,"Jay Williamson",69,2.94,191,65,"TenthTeeLatePar3ScoringAverage",2009
16,16,"Nathan Green",104,2.95,239,81,"TenthTeeLatePar3ScoringAverage",2009
16,16,"Chris Riley",77,2.95,180,61,"TenthTeeLatePar3ScoringAverage",2009
18,18,"Tim Clark",81,2.96,157,53,"TenthTeeLatePar3ScoringAverage",2009
18,18,"Matt Weibring",65,2.96,157,53,"TenthTeeLatePar3ScoringAverage",2009
20,20,"Todd Hamilton",83,2.97,190,64,"TenthTeeLatePar3ScoringAverage",2009
20,20,"Steve Marino",98,2.97,214,72,"TenthTeeLatePar3ScoringAverage",2009
20,20,"Rocco Mediate",79,2.97,172,58,"TenthTeeLatePar3ScoringAverage",2009
