"EarlyPar4ScoringAverage_RANKTHISWEEK_2010","EarlyPar4ScoringAverage_RANKLASTWEEK_2010","EarlyPar4ScoringAverage_PLAYERNAME_2010","EarlyPar4ScoringAverage_ROUNDS_2010","EarlyPar4ScoringAverage_AVG_2010","EarlyPar4ScoringAverage_TOTALSTROKES_2010","EarlyPar4ScoringAverage_TOTALHOLES_2010","stat_name","year"
1,1,"Rory McIlroy",54,3.94,1124,285,"EarlyPar4ScoringAverage",2010
2,2,"Matt Kuchar",97,3.95,1811,459,"EarlyPar4ScoringAverage",2010
2,2,"Kevin Sutherland",86,3.95,1760,446,"EarlyPar4ScoringAverage",2010
4,4,"Paul Casey",64,3.96,962,243,"EarlyPar4ScoringAverage",2010
4,4,"Joe Durant",67,3.96,1465,370,"EarlyPar4ScoringAverage",2010
4,4,"Ernie Els",72,3.96,1427,360,"EarlyPar4ScoringAverage",2010
4,4,"Chris Riley",73,3.96,1571,397,"EarlyPar4ScoringAverage",2010
4,4,"Dean Wilson",54,3.96,1271,321,"EarlyPar4ScoringAverage",2010
9,9,"Greg Chalmers",93,3.97,2085,525,"EarlyPar4ScoringAverage",2010
9,9,"Graham DeLaet",88,3.97,1906,480,"EarlyPar4ScoringAverage",2010
9,9,"Luke Donald",71,3.97,1071,270,"EarlyPar4ScoringAverage",2010
9,9,"Jim Furyk",76,3.97,1319,332,"EarlyPar4ScoringAverage",2010
9,9,"Carl Pettersson",99,3.97,2048,516,"EarlyPar4ScoringAverage",2010
14,14,"Stephen Ames",75,3.98,1667,419,"EarlyPar4ScoringAverage",2010
14,14,"Tim Clark",88,3.98,1827,459,"EarlyPar4ScoringAverage",2010
14,14,"Michael Connell",89,3.98,2051,515,"EarlyPar4ScoringAverage",2010
14,14,"Steve Elkington",74,3.98,1509,379,"EarlyPar4ScoringAverage",2010
14,14,"Phil Mickelson",76,3.98,1323,332,"EarlyPar4ScoringAverage",2010
14,14,"Kevin Na",94,3.98,1903,478,"EarlyPar4ScoringAverage",2010
14,14,"Pat Perez",90,3.98,2090,525,"EarlyPar4ScoringAverage",2010
14,14,"Justin Rose",78,3.98,1790,450,"EarlyPar4ScoringAverage",2010
14,14,"Vijay Singh",75,3.98,1691,425,"EarlyPar4ScoringAverage",2010
14,14,"Steve Stricker",73,3.98,1330,334,"EarlyPar4ScoringAverage",2010
14,14,"Bo Van Pelt",104,3.98,2209,555,"EarlyPar4ScoringAverage",2010
25,25,"Ricky Barnes",103,3.99,2126,533,"EarlyPar4ScoringAverage",2010
25,25,"Ben Crane",85,3.99,2049,514,"EarlyPar4ScoringAverage",2010
25,25,"Brian Gay",101,3.99,2294,575,"EarlyPar4ScoringAverage",2010
25,25,"Paul Goydos",78,3.99,1662,417,"EarlyPar4ScoringAverage",2010
25,25,"Charley Hoffman",85,3.99,1748,438,"EarlyPar4ScoringAverage",2010
25,25,"JB Holmes",100,3.99,2308,578,"EarlyPar4ScoringAverage",2010
25,25,"Freddie Jacobson",83,3.99,2121,532,"EarlyPar4ScoringAverage",2010
25,25,"Cliff Kresge",50,3.99,1094,274,"EarlyPar4ScoringAverage",2010
