"FirstTeeEarlyPar5ScoringAverage_RANKTHISWEEK_2011","FirstTeeEarlyPar5ScoringAverage_RANKLASTWEEK_2011","FirstTeeEarlyPar5ScoringAverage_PLAYERNAME_2011","FirstTeeEarlyPar5ScoringAverage_ROUNDS_2011","FirstTeeEarlyPar5ScoringAverage_AVG_2011","FirstTeeEarlyPar5ScoringAverage_TOTALSTROKES_2011","FirstTeeEarlyPar5ScoringAverage_TOTALHOLES_2011","stat_name","year"
1,1,"Brandt Snedeker",85,4.36,240,55,"FirstTeeEarlyPar5ScoringAverage",2011
2,2,"Adam Scott",60,4.38,127,29,"FirstTeeEarlyPar5ScoringAverage",2011
3,3,"Webb Simpson",98,4.39,202,46,"FirstTeeEarlyPar5ScoringAverage",2011
4,4,"Rickie Fowler",84,4.48,278,62,"FirstTeeEarlyPar5ScoringAverage",2011
4,4,"David Toms",78,4.48,260,58,"FirstTeeEarlyPar5ScoringAverage",2011
6,6,"Sergio Garcia",61,4.49,202,45,"FirstTeeEarlyPar5ScoringAverage",2011
6,6,"Bubba Watson",85,4.49,323,72,"FirstTeeEarlyPar5ScoringAverage",2011
8,8,"Hunter Mahan",92,4.5,324,72,"FirstTeeEarlyPar5ScoringAverage",2011
8,8,"Phil Mickelson",79,4.5,297,66,"FirstTeeEarlyPar5ScoringAverage",2011
10,10,"Justin Rose",79,4.51,437,97,"FirstTeeEarlyPar5ScoringAverage",2011
10,10,"Steve Stricker",70,4.51,167,37,"FirstTeeEarlyPar5ScoringAverage",2011
12,12,"Aaron Baddeley",77,4.53,272,60,"FirstTeeEarlyPar5ScoringAverage",2011
12,12,"Stewart Cink",72,4.53,340,75,"FirstTeeEarlyPar5ScoringAverage",2011
14,14,"JP Hayes",56,4.54,177,39,"FirstTeeEarlyPar5ScoringAverage",2011
14,14,"Charles Howell III",108,4.54,395,87,"FirstTeeEarlyPar5ScoringAverage",2011
14,14,"Spencer Levin",113,4.54,463,102,"FirstTeeEarlyPar5ScoringAverage",2011
17,17,"Kyle Stanley",98,4.55,537,118,"FirstTeeEarlyPar5ScoringAverage",2011
17,17,"Gary Woodland",93,4.55,291,64,"FirstTeeEarlyPar5ScoringAverage",2011
19,19,"Shane Bertsch",62,4.56,178,39,"FirstTeeEarlyPar5ScoringAverage",2011
19,19,"JJ Henry",96,4.56,447,98,"FirstTeeEarlyPar5ScoringAverage",2011
19,19,"Tim Herron",85,4.56,319,70,"FirstTeeEarlyPar5ScoringAverage",2011
19,19,"Zach Johnson",79,4.56,410,90,"FirstTeeEarlyPar5ScoringAverage",2011
19,19,"Sung Kang",63,4.56,251,55,"FirstTeeEarlyPar5ScoringAverage",2011
19,19,"Matt Kuchar",94,4.56,219,48,"FirstTeeEarlyPar5ScoringAverage",2011
19,19,"Ryan Palmer",82,4.56,406,89,"FirstTeeEarlyPar5ScoringAverage",2011
