"FirstTeeLatePar5ScoringAverage_RANKTHISWEEK_2005","FirstTeeLatePar5ScoringAverage_RANKLASTWEEK_2005","FirstTeeLatePar5ScoringAverage_PLAYERNAME_2005","FirstTeeLatePar5ScoringAverage_ROUNDS_2005","FirstTeeLatePar5ScoringAverage_AVG_2005","FirstTeeLatePar5ScoringAverage_TOTALSTROKES_2005","FirstTeeLatePar5ScoringAverage_TOTALHOLES_2005","stat_name","year"
1,1,"Tiger Woods",76,4.45,658,148,"FirstTeeLatePar5ScoringAverage",2005
2,2,"Harrison Frazar",105,4.47,559,125,"FirstTeeLatePar5ScoringAverage",2005
3,3,"DJ Brigman",76,4.48,251,56,"FirstTeeLatePar5ScoringAverage",2005
3,3,"David Toms",87,4.48,502,112,"FirstTeeLatePar5ScoringAverage",2005
5,5,"DJ Trahan",81,4.5,378,84,"FirstTeeLatePar5ScoringAverage",2005
6,6,"Arjun Atwal",65,4.51,334,74,"FirstTeeLatePar5ScoringAverage",2005
6,6,"Jeff Brehaut",71,4.51,343,76,"FirstTeeLatePar5ScoringAverage",2005
6,6,"Tim Clark",92,4.51,492,109,"FirstTeeLatePar5ScoringAverage",2005
6,6,"Charles Howell III",95,4.51,451,100,"FirstTeeLatePar5ScoringAverage",2005
10,10,"Bart Bryant",91,4.52,461,102,"FirstTeeLatePar5ScoringAverage",2005
10,10,"Joe Ogilvie",103,4.52,515,114,"FirstTeeLatePar5ScoringAverage",2005
10,10,"Vaughn Taylor",99,4.52,466,103,"FirstTeeLatePar5ScoringAverage",2005
13,13,"John Rollins",97,4.54,486,107,"FirstTeeLatePar5ScoringAverage",2005
14,14,"Mark Calcavecchia",92,4.55,355,78,"FirstTeeLatePar5ScoringAverage",2005
14,14,"Justin Leonard",78,4.55,419,92,"FirstTeeLatePar5ScoringAverage",2005
14,14,"Michael Long",72,4.55,264,58,"FirstTeeLatePar5ScoringAverage",2005
14,14,"Greg Owen",84,4.55,432,95,"FirstTeeLatePar5ScoringAverage",2005
18,18,"Sergio Garcia",73,4.56,492,108,"FirstTeeLatePar5ScoringAverage",2005
18,18,"Retief Goosen",71,4.56,342,75,"FirstTeeLatePar5ScoringAverage",2005
18,18,"Bo Van Pelt",112,4.56,566,124,"FirstTeeLatePar5ScoringAverage",2005
21,21,"Billy Mayfair",114,4.57,576,126,"FirstTeeLatePar5ScoringAverage",2005
21,21,"Sean OHair",103,4.57,494,108,"FirstTeeLatePar5ScoringAverage",2005
21,21,"Geoff Ogilvy",97,4.57,548,120,"FirstTeeLatePar5ScoringAverage",2005
21,21,"Tim Petrovic",97,4.57,320,70,"FirstTeeLatePar5ScoringAverage",2005
21,21,"Tag Ridings",93,4.57,466,102,"FirstTeeLatePar5ScoringAverage",2005
26,26,"Daniel Chopra",108,4.58,403,88,"FirstTeeLatePar5ScoringAverage",2005
26,26,"Paul Gow",78,4.58,302,66,"FirstTeeLatePar5ScoringAverage",2005
26,26,"Padraig Harrington",50,4.58,243,53,"FirstTeeLatePar5ScoringAverage",2005
26,26,"Hunter Mahan",103,4.58,449,98,"FirstTeeLatePar5ScoringAverage",2005
26,26,"Carl Pettersson",109,4.58,527,115,"FirstTeeLatePar5ScoringAverage",2005
26,26,"Loren Roberts",54,4.58,238,52,"FirstTeeLatePar5ScoringAverage",2005
26,26,"John Senden",101,4.58,412,90,"FirstTeeLatePar5ScoringAverage",2005
26,26,"Vijay Singh",111,4.58,916,200,"FirstTeeLatePar5ScoringAverage",2005
26,26,"Steve Stricker",62,4.58,348,76,"FirstTeeLatePar5ScoringAverage",2005
26,26,"Omar Uresti",84,4.58,293,64,"FirstTeeLatePar5ScoringAverage",2005
36,36,"Woody Austin",100,4.59,422,92,"FirstTeeLatePar5ScoringAverage",2005
36,36,"Aaron Baddeley",84,4.59,372,81,"FirstTeeLatePar5ScoringAverage",2005
36,36,"Brian Bateman",98,4.59,340,74,"FirstTeeLatePar5ScoringAverage",2005
36,36,"James Driscoll",73,4.59,266,58,"FirstTeeLatePar5ScoringAverage",2005
36,36,"Jim Furyk",94,4.59,642,140,"FirstTeeLatePar5ScoringAverage",2005
36,36,"Davis Love III",80,4.59,468,102,"FirstTeeLatePar5ScoringAverage",2005
42,42,"Steve Flesch",90,4.6,391,85,"FirstTeeLatePar5ScoringAverage",2005
42,42,"Brent Geiberger",61,4.6,193,42,"FirstTeeLatePar5ScoringAverage",2005
42,42,"Brandt Jobe",96,4.6,474,103,"FirstTeeLatePar5ScoringAverage",2005
42,42,"Brenden Pappas",51,4.6,285,62,"FirstTeeLatePar5ScoringAverage",2005
42,42,"Nick Watney",91,4.6,368,80,"FirstTeeLatePar5ScoringAverage",2005
47,47,"Billy Andrade",83,4.61,507,110,"FirstTeeLatePar5ScoringAverage",2005
47,47,"Jason Bohn",91,4.61,433,94,"FirstTeeLatePar5ScoringAverage",2005
47,47,"Brendan Jones",81,4.61,323,70,"FirstTeeLatePar5ScoringAverage",2005
47,47,"Phil Mickelson",81,4.61,484,105,"FirstTeeLatePar5ScoringAverage",2005
47,47,"Tom Pernice Jr",111,4.61,553,120,"FirstTeeLatePar5ScoringAverage",2005
47,47,"Kevin Stadler",96,4.61,406,88,"FirstTeeLatePar5ScoringAverage",2005
47,47,"Charles Warren",89,4.61,318,69,"FirstTeeLatePar5ScoringAverage",2005
54,54,"Mark Brooks",72,4.62,194,42,"FirstTeeLatePar5ScoringAverage",2005
54,54,"John Huston",90,4.62,397,86,"FirstTeeLatePar5ScoringAverage",2005
54,54,"Kenny Perry",82,4.62,577,125,"FirstTeeLatePar5ScoringAverage",2005
54,54,"Lee Westwood",50,4.62,217,47,"FirstTeeLatePar5ScoringAverage",2005
58,58,"KJ Choi",78,4.63,468,101,"FirstTeeLatePar5ScoringAverage",2005
58,58,"Ben Crane",78,4.63,370,80,"FirstTeeLatePar5ScoringAverage",2005
58,58,"Lucas Glover",88,4.63,454,98,"FirstTeeLatePar5ScoringAverage",2005
58,58,"Mark Hensby",70,4.63,310,67,"FirstTeeLatePar5ScoringAverage",2005
58,58,"Bradley Hughes",52,4.63,139,30,"FirstTeeLatePar5ScoringAverage",2005
58,58,"Neal Lancaster",95,4.63,458,99,"FirstTeeLatePar5ScoringAverage",2005
58,58,"Ted Purdy",122,4.63,519,112,"FirstTeeLatePar5ScoringAverage",2005
58,58,"Chris Smith",93,4.63,509,110,"FirstTeeLatePar5ScoringAverage",2005
66,66,"Danny Briggs",70,4.64,399,86,"FirstTeeLatePar5ScoringAverage",2005
66,66,"John Cook",72,4.64,348,75,"FirstTeeLatePar5ScoringAverage",2005
66,66,"Chris DiMarco",83,4.64,408,88,"FirstTeeLatePar5ScoringAverage",2005
66,66,"Carlos Franco",78,4.64,339,73,"FirstTeeLatePar5ScoringAverage",2005
66,66,"Lee Janzen",75,4.64,334,72,"FirstTeeLatePar5ScoringAverage",2005
66,66,"Frank Lickliter II",100,4.64,422,91,"FirstTeeLatePar5ScoringAverage",2005
66,66,"Ryan Palmer",101,4.64,501,108,"FirstTeeLatePar5ScoringAverage",2005
66,66,"Dennis Paulson",63,4.64,260,56,"FirstTeeLatePar5ScoringAverage",2005
66,66,"Scott Verplank",87,4.64,520,112,"FirstTeeLatePar5ScoringAverage",2005
75,75,"Jonathan Byrd",103,4.65,391,84,"FirstTeeLatePar5ScoringAverage",2005
75,75,"Fred Couples",72,4.65,363,78,"FirstTeeLatePar5ScoringAverage",2005
75,75,"Will Ma Kenzie",75,4.65,316,68,"FirstTeeLatePar5ScoringAverage",2005
75,75,"DA Points",94,4.65,330,71,"FirstTeeLatePar5ScoringAverage",2005
75,75,"Joey Snyder III",102,4.65,456,98,"FirstTeeLatePar5ScoringAverage",2005
75,75,"Charlie Wi",67,4.65,344,74,"FirstTeeLatePar5ScoringAverage",2005
81,81,"Tom Gillis",77,4.66,298,64,"FirstTeeLatePar5ScoringAverage",2005
81,81,"Dudley Hart",84,4.66,597,128,"FirstTeeLatePar5ScoringAverage",2005
