"Front9Round1ScoringAverage_RANKTHISWEEK_2005","Front9Round1ScoringAverage_RANKLASTWEEK_2005","Front9Round1ScoringAverage_PLAYERNAME_2005","Front9Round1ScoringAverage__2005","Front9Round1ScoringAverage_AVG_2005","Front9Round1ScoringAverage_TOTALSTROKES_2005","Front9Round1ScoringAverage_TOTALROUNDS_2005","stat_name","year"
1,1,"Tiger Woods",NA,33.9,678,20,"Front9Round1ScoringAverage",2005
2,2,"Sergio Garcia",NA,34.06,613,18,"Front9Round1ScoringAverage",2005
3,3,"Richard Johnson",NA,34.13,546,16,"Front9Round1ScoringAverage",2005
4,4,"Ben Crane",NA,34.15,683,20,"Front9Round1ScoringAverage",2005
5,5,"Phil Mickelson",NA,34.42,654,19,"Front9Round1ScoringAverage",2005
6,6,"Jesper Parnevik",NA,34.43,792,23,"Front9Round1ScoringAverage",2005
7,7,"Vijay Singh",NA,34.48,1000,29,"Front9Round1ScoringAverage",2005
8,8,"Woody Austin",NA,34.5,1035,30,"Front9Round1ScoringAverage",2005
9,9,"Luke Donald",NA,34.56,553,16,"Front9Round1ScoringAverage",2005
10,10,"Steve Elkington",NA,34.6,692,20,"Front9Round1ScoringAverage",2005
11,11,"Brandt Jobe",NA,34.65,901,26,"Front9Round1ScoringAverage",2005
12,12,"Tim Clark",NA,34.71,833,24,"Front9Round1ScoringAverage",2005
13,13,"Geoff Ogilvy",NA,34.72,868,25,"Front9Round1ScoringAverage",2005
14,14,"Bob Estes",NA,34.8,870,25,"Front9Round1ScoringAverage",2005
14,14,"Billy Mayfair",NA,34.8,1044,30,"Front9Round1ScoringAverage",2005
16,16,"Jason Bohn",NA,34.82,975,28,"Front9Round1ScoringAverage",2005
17,17,"Stewart Cink",NA,34.83,836,24,"Front9Round1ScoringAverage",2005
18,18,"Joe Ogilvie",NA,34.86,1011,29,"Front9Round1ScoringAverage",2005
19,19,"Rod Pampling",NA,34.88,837,24,"Front9Round1ScoringAverage",2005
20,20,"Charlie Wi",NA,34.91,768,22,"Front9Round1ScoringAverage",2005
21,21,"Cameron Beckman",NA,34.93,1048,30,"Front9Round1ScoringAverage",2005
21,21,"Omar Uresti",NA,34.93,943,27,"Front9Round1ScoringAverage",2005
23,23,"Mathias Gronberg",NA,34.94,629,18,"Front9Round1ScoringAverage",2005
23,23,"Adam Scott",NA,34.94,629,18,"Front9Round1ScoringAverage",2005
25,25,"Jeff Brehaut",NA,34.95,769,22,"Front9Round1ScoringAverage",2005
25,25,"Kenny Perry",NA,34.95,769,22,"Front9Round1ScoringAverage",2005
27,27,"Brian Davis",NA,34.96,804,23,"Front9Round1ScoringAverage",2005
28,28,"Jonathan Byrd",NA,34.97,1049,30,"Front9Round1ScoringAverage",2005
29,29,"Arjun Atwal",NA,35,595,17,"Front9Round1ScoringAverage",2005
29,29,"Marco Dawson",NA,35,805,23,"Front9Round1ScoringAverage",2005
29,29,"Dan Forsman",NA,35,560,16,"Front9Round1ScoringAverage",2005
29,29,"David Toms",NA,35,735,21,"Front9Round1ScoringAverage",2005
33,33,"Billy Andrade",NA,35.04,911,26,"Front9Round1ScoringAverage",2005
33,33,"Stuart Appleby",NA,35.04,806,23,"Front9Round1ScoringAverage",2005
33,33,"Olin Browne",NA,35.04,981,28,"Front9Round1ScoringAverage",2005
36,36,"Gavin Coles",NA,35.05,771,22,"Front9Round1ScoringAverage",2005
37,37,"Harrison Frazar",NA,35.07,1052,30,"Front9Round1ScoringAverage",2005
38,38,"Tim Herron",NA,35.11,948,27,"Front9Round1ScoringAverage",2005
38,38,"Bernhard Langer",NA,35.11,667,19,"Front9Round1ScoringAverage",2005
40,40,"Bart Bryant",NA,35.12,913,26,"Front9Round1ScoringAverage",2005
40,40,"Peter Lonard",NA,35.12,913,26,"Front9Round1ScoringAverage",2005
42,42,"Brian Bateman",NA,35.13,1089,31,"Front9Round1ScoringAverage",2005
42,42,"JJ Henry",NA,35.13,1089,31,"Front9Round1ScoringAverage",2005
44,44,"Todd Fischer",NA,35.15,1195,34,"Front9Round1ScoringAverage",2005
44,44,"Sean OHair",NA,35.15,949,27,"Front9Round1ScoringAverage",2005
46,46,"Carlos Franco",NA,35.17,844,24,"Front9Round1ScoringAverage",2005
46,46,"John Huston",NA,35.17,1055,30,"Front9Round1ScoringAverage",2005
46,46,"Will Ma Kenzie",NA,35.17,844,24,"Front9Round1ScoringAverage",2005
49,49,"KJ Choi",NA,35.18,774,22,"Front9Round1ScoringAverage",2005
49,49,"Pat Perez",NA,35.18,985,28,"Front9Round1ScoringAverage",2005
51,51,"Mark Calcavecchia",NA,35.19,915,26,"Front9Round1ScoringAverage",2005
51,51,"Lucas Glover",NA,35.19,950,27,"Front9Round1ScoringAverage",2005
51,51,"Retief Goosen",NA,35.19,563,16,"Front9Round1ScoringAverage",2005
