"EarlyRound1ScoringAverage_RANKTHISWEEK_2016","EarlyRound1ScoringAverage_RANKLASTWEEK_2016","EarlyRound1ScoringAverage_PLAYERNAME_2016","EarlyRound1ScoringAverage__2016","EarlyRound1ScoringAverage_AVG_2016","EarlyRound1ScoringAverage_TOTALSTROKES_2016","EarlyRound1ScoringAverage_TOTALROUNDS_2016","stat_name","year"
1,2,"Shane Bertsch",NA,67.75,271,4,"EarlyRound1ScoringAverage",2016
2,4,"Anirban Lahiri",NA,67.86,475,7,"EarlyRound1ScoringAverage",2016
3,3,"Cameron Percy",NA,68,204,3,"EarlyRound1ScoringAverage",2016
4,4,"Johnson Wagner",NA,68.17,409,6,"EarlyRound1ScoringAverage",2016
5,6,"Chez Reavie",NA,68.2,682,10,"EarlyRound1ScoringAverage",2016
6,7,"Charles Howell III",NA,68.22,614,9,"EarlyRound1ScoringAverage",2016
7,8,"DJ Trahan",NA,68.5,137,2,"EarlyRound1ScoringAverage",2016
8,11,"Shane Lowry",NA,68.67,206,3,"EarlyRound1ScoringAverage",2016
9,1,"Brian Stuard",NA,68.75,275,4,"EarlyRound1ScoringAverage",2016
10,15,"Phil Mickelson",NA,68.86,482,7,"EarlyRound1ScoringAverage",2016
11,16,"Ricky Barnes",NA,69,759,11,"EarlyRound1ScoringAverage",2016
11,16,"Jason Gore",NA,69,483,7,"EarlyRound1ScoringAverage",2016
11,16,"Justin Rose",NA,69,414,6,"EarlyRound1ScoringAverage",2016
11,16,"Bubba Watson",NA,69,207,3,"EarlyRound1ScoringAverage",2016
11,27,"Tim Wilkinson",NA,69,345,5,"EarlyRound1ScoringAverage",2016
16,23,"Martin Laird",NA,69.14,484,7,"EarlyRound1ScoringAverage",2016
16,13,"Brendan Steele",NA,69.14,484,7,"EarlyRound1ScoringAverage",2016
18,26,"Keegan Bradley",NA,69.17,415,6,"EarlyRound1ScoringAverage",2016
19,27,"Francesco Molinari",NA,69.25,277,4,"EarlyRound1ScoringAverage",2016
20,8,"George McNeill",NA,69.29,485,7,"EarlyRound1ScoringAverage",2016
21,29,"David Hearn",NA,69.3,693,10,"EarlyRound1ScoringAverage",2016
22,16,"Paul Casey",NA,69.33,208,3,"EarlyRound1ScoringAverage",2016
23,23,"Adam Hadwin",NA,69.38,555,8,"EarlyRound1ScoringAverage",2016
24,13,"Angel Cabrera",NA,69.43,486,7,"EarlyRound1ScoringAverage",2016
24,32,"Patton Kizzire",NA,69.43,486,7,"EarlyRound1ScoringAverage",2016
26,33,"Matthew Fitzpatrick",NA,69.5,139,2,"EarlyRound1ScoringAverage",2016
26,40,"Retief Goosen",NA,69.5,417,6,"EarlyRound1ScoringAverage",2016
26,16,"Tom Hoge",NA,69.5,556,8,"EarlyRound1ScoringAverage",2016
26,33,"Danny Lee",NA,69.5,417,6,"EarlyRound1ScoringAverage",2016
30,36,"Stuart Appleby",NA,69.57,487,7,"EarlyRound1ScoringAverage",2016
30,36,"Aaron Baddeley",NA,69.57,487,7,"EarlyRound1ScoringAverage",2016
30,36,"Smylie Kaufman",NA,69.57,487,7,"EarlyRound1ScoringAverage",2016
33,40,"Matt Kuchar",NA,69.6,348,5,"EarlyRound1ScoringAverage",2016
34,42,"Emiliano Grillo",NA,69.67,418,6,"EarlyRound1ScoringAverage",2016
35,44,"Freddie Jacobson",NA,69.71,488,7,"EarlyRound1ScoringAverage",2016
35,16,"Hideki Matsuyama",NA,69.71,488,7,"EarlyRound1ScoringAverage",2016
35,44,"Scott Piercy",NA,69.71,488,7,"EarlyRound1ScoringAverage",2016
38,11,"Rory McIlroy",NA,69.75,279,4,"EarlyRound1ScoringAverage",2016
38,47,"Henrik Stenson",NA,69.75,279,4,"EarlyRound1ScoringAverage",2016
40,50,"Chad Campbell",NA,69.78,628,9,"EarlyRound1ScoringAverage",2016
40,47,"Alex Cejka",NA,69.78,628,9,"EarlyRound1ScoringAverage",2016
40,50,"Jeff Overton",NA,69.78,628,9,"EarlyRound1ScoringAverage",2016
43,53,"Jerry Kelly",NA,69.8,349,5,"EarlyRound1ScoringAverage",2016
43,53,"Gary Woodland",NA,69.8,349,5,"EarlyRound1ScoringAverage",2016
45,55,"Mark Hubbard",NA,69.83,838,12,"EarlyRound1ScoringAverage",2016
45,31,"Henrik Norlander",NA,69.83,419,6,"EarlyRound1ScoringAverage",2016
47,33,"David Toms",NA,69.86,489,7,"EarlyRound1ScoringAverage",2016
47,30,"Jhonattan Vegas",NA,69.86,489,7,"EarlyRound1ScoringAverage",2016
49,57,"Zac Blair",NA,69.88,559,8,"EarlyRound1ScoringAverage",2016
49,36,"Scott Brown",NA,69.88,559,8,"EarlyRound1ScoringAverage",2016
49,57,"Charley Hoffman",NA,69.88,559,8,"EarlyRound1ScoringAverage",2016
49,44,"Si Woo Kim",NA,69.88,559,8,"EarlyRound1ScoringAverage",2016
53,61,"KJ Choi",NA,70,420,6,"EarlyRound1ScoringAverage",2016
53,61,"Luke Donald",NA,70,420,6,"EarlyRound1ScoringAverage",2016
53,61,"Brice Garnett",NA,70,350,5,"EarlyRound1ScoringAverage",2016
53,61,"Billy Horschel",NA,70,420,6,"EarlyRound1ScoringAverage",2016
53,61,"Dustin Johnson",NA,70,280,4,"EarlyRound1ScoringAverage",2016
53,61,"Ryan Palmer",NA,70,350,5,"EarlyRound1ScoringAverage",2016
53,61,"Charl Schwartzel",NA,70,280,4,"EarlyRound1ScoringAverage",2016
53,61,"Jordan Spieth",NA,70,350,5,"EarlyRound1ScoringAverage",2016
53,61,"Cameron Tringale",NA,70,420,6,"EarlyRound1ScoringAverage",2016
62,70,"Chesson Hadley",NA,70.1,701,10,"EarlyRound1ScoringAverage",2016
63,57,"Harold Varner III",NA,70.11,631,9,"EarlyRound1ScoringAverage",2016
64,71,"Kevin Na",NA,70.13,561,8,"EarlyRound1ScoringAverage",2016
65,72,"Hiroshi Iwata",NA,70.17,421,6,"EarlyRound1ScoringAverage",2016
66,73,"Derek Ernst",NA,70.2,351,5,"EarlyRound1ScoringAverage",2016
66,50,"Jamie Lovemark",NA,70.2,702,10,"EarlyRound1ScoringAverage",2016
68,76,"Harris English",NA,70.22,632,9,"EarlyRound1ScoringAverage",2016
69,77,"John Huh",NA,70.25,562,8,"EarlyRound1ScoringAverage",2016
69,77,"Ryan Moore",NA,70.25,281,4,"EarlyRound1ScoringAverage",2016
69,77,"Andres Romero",NA,70.25,281,4,"EarlyRound1ScoringAverage",2016
69,23,"Michael Thompson",NA,70.25,562,8,"EarlyRound1ScoringAverage",2016
73,42,"Tony Finau",NA,70.29,492,7,"EarlyRound1ScoringAverage",2016
73,80,"Rob Oppenheim",NA,70.29,492,7,"EarlyRound1ScoringAverage",2016
73,80,"Adam Scott",NA,70.29,492,7,"EarlyRound1ScoringAverage",2016
76,8,"Byeong Hun An",NA,70.33,211,3,"EarlyRound1ScoringAverage",2016
76,82,"Rhein Gibson",NA,70.33,422,6,"EarlyRound1ScoringAverage",2016
76,47,"Matt Jones",NA,70.33,633,9,"EarlyRound1ScoringAverage",2016
79,83,"Jim Herman",NA,70.38,563,8,"EarlyRound1ScoringAverage",2016
79,83,"Boo Weekley",NA,70.38,563,8,"EarlyRound1ScoringAverage",2016
81,85,"Sergio Garcia",NA,70.5,141,2,"EarlyRound1ScoringAverage",2016
81,56,"Fabian Gomez",NA,70.5,564,8,"EarlyRound1ScoringAverage",2016
81,85,"Sung Kang",NA,70.5,564,8,"EarlyRound1ScoringAverage",2016
81,85,"Marc Leishman",NA,70.5,423,6,"EarlyRound1ScoringAverage",2016
81,85,"Steve Stricker",NA,70.5,282,4,"EarlyRound1ScoringAverage",2016
86,60,"Spencer Levin",NA,70.55,776,11,"EarlyRound1ScoringAverage",2016
87,85,"Roberto Castro",NA,70.57,494,7,"EarlyRound1ScoringAverage",2016
87,85,"David Lingmerth",NA,70.57,494,7,"EarlyRound1ScoringAverage",2016
87,85,"Sean OHair",NA,70.57,494,7,"EarlyRound1ScoringAverage",2016
87,93,"Daniel Summerhays",NA,70.57,494,7,"EarlyRound1ScoringAverage",2016
