"FirstTeeEarlyRound3ScoringAverage_RANKTHISWEEK_2005","FirstTeeEarlyRound3ScoringAverage_RANKLASTWEEK_2005","FirstTeeEarlyRound3ScoringAverage_PLAYERNAME_2005","FirstTeeEarlyRound3ScoringAverage__2005","FirstTeeEarlyRound3ScoringAverage_AVG_2005","FirstTeeEarlyRound3ScoringAverage_TOTALSTROKES_2005","FirstTeeEarlyRound3ScoringAverage_TOTALROUNDS_2005","stat_name","year"
1,1,"Ben Curtis",NA,66,66,1,"FirstTeeEarlyRound3ScoringAverage",2005
1,1,"Tiger Woods",NA,66,66,1,"FirstTeeEarlyRound3ScoringAverage",2005
3,3,"Rich Beem",NA,67.5,135,2,"FirstTeeEarlyRound3ScoringAverage",2005
4,4,"Jim Furyk",NA,67.67,406,6,"FirstTeeEarlyRound3ScoringAverage",2005
5,5,"Jose Coceres",NA,68,68,1,"FirstTeeEarlyRound3ScoringAverage",2005
5,5,"Chris Riley",NA,68,68,1,"FirstTeeEarlyRound3ScoringAverage",2005
5,5,"Vijay Singh",NA,68,272,4,"FirstTeeEarlyRound3ScoringAverage",2005
8,8,"Paul Claxton",NA,68.25,273,4,"FirstTeeEarlyRound3ScoringAverage",2005
9,9,"Mathias Gronberg",NA,68.33,205,3,"FirstTeeEarlyRound3ScoringAverage",2005
10,10,"Arron Oberholser",NA,68.4,342,5,"FirstTeeEarlyRound3ScoringAverage",2005
11,11,"Freddie Jacobson",NA,68.5,274,4,"FirstTeeEarlyRound3ScoringAverage",2005
11,11,"Matt Kuchar",NA,68.5,137,2,"FirstTeeEarlyRound3ScoringAverage",2005
11,11,"Tim Petrovic",NA,68.5,274,4,"FirstTeeEarlyRound3ScoringAverage",2005
11,11,"Mark Wilson",NA,68.5,137,2,"FirstTeeEarlyRound3ScoringAverage",2005
15,15,"Brad Faxon",NA,68.57,480,7,"FirstTeeEarlyRound3ScoringAverage",2005
16,16,"Dudley Hart",NA,68.6,343,5,"FirstTeeEarlyRound3ScoringAverage",2005
17,17,"Fred Funk",NA,68.67,618,9,"FirstTeeEarlyRound3ScoringAverage",2005
17,17,"Shaun Micheel",NA,68.67,206,3,"FirstTeeEarlyRound3ScoringAverage",2005
19,19,"Bart Bryant",NA,68.75,550,8,"FirstTeeEarlyRound3ScoringAverage",2005
20,20,"Stephen Leaney",NA,68.83,413,6,"FirstTeeEarlyRound3ScoringAverage",2005
21,21,"Olin Browne",NA,69,345,5,"FirstTeeEarlyRound3ScoringAverage",2005
21,21,"Mark Hensby",NA,69,345,5,"FirstTeeEarlyRound3ScoringAverage",2005
21,21,"Loren Roberts",NA,69,69,1,"FirstTeeEarlyRound3ScoringAverage",2005
21,21,"Justin Rose",NA,69,483,7,"FirstTeeEarlyRound3ScoringAverage",2005
21,21,"David Toms",NA,69,414,6,"FirstTeeEarlyRound3ScoringAverage",2005
21,21,"DJ Trahan",NA,69,345,5,"FirstTeeEarlyRound3ScoringAverage",2005
27,27,"Kent Jones",NA,69.11,622,9,"FirstTeeEarlyRound3ScoringAverage",2005
28,28,"Davis Love III",NA,69.17,415,6,"FirstTeeEarlyRound3ScoringAverage",2005
28,28,"Greg Owen",NA,69.17,415,6,"FirstTeeEarlyRound3ScoringAverage",2005
28,28,"Scott Verplank",NA,69.17,415,6,"FirstTeeEarlyRound3ScoringAverage",2005
31,31,"Billy Andrade",NA,69.2,346,5,"FirstTeeEarlyRound3ScoringAverage",2005
31,31,"Pat Perez",NA,69.2,346,5,"FirstTeeEarlyRound3ScoringAverage",2005
33,33,"Carlos Franco",NA,69.25,277,4,"FirstTeeEarlyRound3ScoringAverage",2005
33,33,"Brian Gay",NA,69.25,554,8,"FirstTeeEarlyRound3ScoringAverage",2005
35,35,"Steve Lowery",NA,69.29,485,7,"FirstTeeEarlyRound3ScoringAverage",2005
36,36,"Jeff Brehaut",NA,69.33,208,3,"FirstTeeEarlyRound3ScoringAverage",2005
36,36,"Chad Campbell",NA,69.33,624,9,"FirstTeeEarlyRound3ScoringAverage",2005
38,38,"Carl Pettersson",NA,69.38,555,8,"FirstTeeEarlyRound3ScoringAverage",2005
