"LateRound4ScoringAverage_RANKTHISWEEK_2009","LateRound4ScoringAverage_RANKLASTWEEK_2009","LateRound4ScoringAverage_PLAYERNAME_2009","LateRound4ScoringAverage__2009","LateRound4ScoringAverage_AVG_2009","LateRound4ScoringAverage_TOTALSTROKES_2009","LateRound4ScoringAverage_TOTALROUNDS_2009","stat_name","year"
1,1,"Brian Vranesh",NA,66.5,133,2,"LateRound4ScoringAverage",2009
2,2,"Jeff Quinney",NA,67.33,202,3,"LateRound4ScoringAverage",2009
3,3,"Eric Axley",NA,68,68,1,"LateRound4ScoringAverage",2009
3,3,"Steve Lowery",NA,68,136,2,"LateRound4ScoringAverage",2009
3,3,"Adam Scott",NA,68,136,2,"LateRound4ScoringAverage",2009
6,6,"Phil Mickelson",NA,68.33,410,6,"LateRound4ScoringAverage",2009
7,7,"Jimmy Walker",NA,68.4,342,5,"LateRound4ScoringAverage",2009
8,8,"Rich Beem",NA,68.5,274,4,"LateRound4ScoringAverage",2009
8,8,"Tom Pernice Jr",NA,68.5,274,4,"LateRound4ScoringAverage",2009
8,8,"Dean Wilson",NA,68.5,274,4,"LateRound4ScoringAverage",2009
11,11,"Steve Stricker",NA,68.63,1098,16,"LateRound4ScoringAverage",2009
12,12,"Steve Elkington",NA,68.67,206,3,"LateRound4ScoringAverage",2009
13,13,"Martin Laird",NA,68.71,481,7,"LateRound4ScoringAverage",2009
14,14,"Mark Calcavecchia",NA,68.75,275,4,"LateRound4ScoringAverage",2009
15,15,"Tiger Woods",NA,68.77,894,13,"LateRound4ScoringAverage",2009
16,16,"Charles Howell III",NA,68.82,757,11,"LateRound4ScoringAverage",2009
17,17,"Hunter Mahan",NA,68.83,826,12,"LateRound4ScoringAverage",2009
18,18,"Fred Couples",NA,69,345,5,"LateRound4ScoringAverage",2009
18,18,"Brian Davis",NA,69,621,9,"LateRound4ScoringAverage",2009
18,18,"Jason Dufner",NA,69,483,7,"LateRound4ScoringAverage",2009
18,18,"John Mallinger",NA,69,276,4,"LateRound4ScoringAverage",2009
22,22,"Brian Gay",NA,69.13,553,8,"LateRound4ScoringAverage",2009
23,23,"Tag Ridings",NA,69.14,484,7,"LateRound4ScoringAverage",2009
24,24,"Harrison Frazar",NA,69.17,415,6,"LateRound4ScoringAverage",2009
24,24,"Bill Haas",NA,69.17,830,12,"LateRound4ScoringAverage",2009
26,26,"Greg Chalmers",NA,69.31,901,13,"LateRound4ScoringAverage",2009
27,27,"Sergio Garcia",NA,69.33,416,6,"LateRound4ScoringAverage",2009
28,28,"Steve Flesch",NA,69.4,347,5,"LateRound4ScoringAverage",2009
29,29,"Chris DiMarco",NA,69.5,417,6,"LateRound4ScoringAverage",2009
29,29,"Greg Kraft",NA,69.5,139,2,"LateRound4ScoringAverage",2009
31,31,"Jim Furyk",NA,69.58,835,12,"LateRound4ScoringAverage",2009
32,32,"Tim Herron",NA,69.63,557,8,"LateRound4ScoringAverage",2009
32,32,"Brandt Snedeker",NA,69.63,557,8,"LateRound4ScoringAverage",2009
34,34,"Jerry Kelly",NA,69.67,627,9,"LateRound4ScoringAverage",2009
34,34,"Matt Weibring",NA,69.67,418,6,"LateRound4ScoringAverage",2009
36,36,"Justin Rose",NA,69.71,488,7,"LateRound4ScoringAverage",2009
37,37,"Stephen Ames",NA,69.73,767,11,"LateRound4ScoringAverage",2009
37,37,"Brett Quigley",NA,69.73,767,11,"LateRound4ScoringAverage",2009
39,39,"David Mathis",NA,69.75,279,4,"LateRound4ScoringAverage",2009
40,40,"Charlie Wi",NA,69.82,768,11,"LateRound4ScoringAverage",2009
41,41,"Cameron Beckman",NA,69.83,419,6,"LateRound4ScoringAverage",2009
42,42,"Chad Campbell",NA,69.86,489,7,"LateRound4ScoringAverage",2009
42,42,"Ernie Els",NA,69.86,489,7,"LateRound4ScoringAverage",2009
44,44,"Freddie Jacobson",NA,69.88,559,8,"LateRound4ScoringAverage",2009
45,45,"Aaron Baddeley",NA,70,210,3,"LateRound4ScoringAverage",2009
45,45,"Derek Fathauer",NA,70,140,2,"LateRound4ScoringAverage",2009
45,45,"Mathew Goggin",NA,70,420,6,"LateRound4ScoringAverage",2009
45,45,"Ryan Palmer",NA,70,350,5,"LateRound4ScoringAverage",2009
45,45,"Scott Sterling",NA,70,140,2,"LateRound4ScoringAverage",2009
