"TenthTeeEarlyRound4ScoringAverage_RANKTHISWEEK_2005","TenthTeeEarlyRound4ScoringAverage_RANKLASTWEEK_2005","TenthTeeEarlyRound4ScoringAverage_PLAYERNAME_2005","TenthTeeEarlyRound4ScoringAverage__2005","TenthTeeEarlyRound4ScoringAverage_AVG_2005","TenthTeeEarlyRound4ScoringAverage_TOTALSTROKES_2005","TenthTeeEarlyRound4ScoringAverage_TOTALROUNDS_2005","stat_name","year"
1,1,"Brad Faxon",NA,66,66,1,"TenthTeeEarlyRound4ScoringAverage",2005
1,1,"Steve Lowery",NA,66,132,2,"TenthTeeEarlyRound4ScoringAverage",2005
1,1,"Kevin Na",NA,66,66,1,"TenthTeeEarlyRound4ScoringAverage",2005
1,1,"Ryan Palmer",NA,66,66,1,"TenthTeeEarlyRound4ScoringAverage",2005
5,5,"Billy Andrade",NA,67,67,1,"TenthTeeEarlyRound4ScoringAverage",2005
5,5,"Geoff Ogilvy",NA,67,67,1,"TenthTeeEarlyRound4ScoringAverage",2005
5,5,"Tag Ridings",NA,67,67,1,"TenthTeeEarlyRound4ScoringAverage",2005
5,5,"Chris Smith",NA,67,67,1,"TenthTeeEarlyRound4ScoringAverage",2005
9,9,"Chad Campbell",NA,68,68,1,"TenthTeeEarlyRound4ScoringAverage",2005
9,9,"Todd Fischer",NA,68,136,2,"TenthTeeEarlyRound4ScoringAverage",2005
9,9,"Bob Heintz",NA,68,68,1,"TenthTeeEarlyRound4ScoringAverage",2005
9,9,"Glen Hnatiuk",NA,68,68,1,"TenthTeeEarlyRound4ScoringAverage",2005
9,9,"Franklin Langham",NA,68,68,1,"TenthTeeEarlyRound4ScoringAverage",2005
9,9,"Davis Love III",NA,68,136,2,"TenthTeeEarlyRound4ScoringAverage",2005
9,9,"Phil Mickelson",NA,68,68,1,"TenthTeeEarlyRound4ScoringAverage",2005
9,9,"Kenny Perry",NA,68,68,1,"TenthTeeEarlyRound4ScoringAverage",2005
9,9,"Kirk Triplett",NA,68,68,1,"TenthTeeEarlyRound4ScoringAverage",2005
9,9,"Bob Tway",NA,68,136,2,"TenthTeeEarlyRound4ScoringAverage",2005
9,9,"Omar Uresti",NA,68,204,3,"TenthTeeEarlyRound4ScoringAverage",2005
20,20,"Stephen Ames",NA,68.5,137,2,"TenthTeeEarlyRound4ScoringAverage",2005
20,20,"Paul Azinger",NA,68.5,137,2,"TenthTeeEarlyRound4ScoringAverage",2005
20,20,"Stewart Cink",NA,68.5,137,2,"TenthTeeEarlyRound4ScoringAverage",2005
20,20,"Charles Howell III",NA,68.5,137,2,"TenthTeeEarlyRound4ScoringAverage",2005
20,20,"Loren Roberts",NA,68.5,137,2,"TenthTeeEarlyRound4ScoringAverage",2005
20,20,"Jeff Sluman",NA,68.5,137,2,"TenthTeeEarlyRound4ScoringAverage",2005
26,26,"Olin Browne",NA,68.67,206,3,"TenthTeeEarlyRound4ScoringAverage",2005
27,27,"Jason Bohn",NA,69,138,2,"TenthTeeEarlyRound4ScoringAverage",2005
27,27,"Jim Carter",NA,69,69,1,"TenthTeeEarlyRound4ScoringAverage",2005
27,27,"Fred Couples",NA,69,69,1,"TenthTeeEarlyRound4ScoringAverage",2005
27,27,"Matt Davidson",NA,69,69,1,"TenthTeeEarlyRound4ScoringAverage",2005
27,27,"Marco Dawson",NA,69,69,1,"TenthTeeEarlyRound4ScoringAverage",2005
27,27,"Dudley Hart",NA,69,69,1,"TenthTeeEarlyRound4ScoringAverage",2005
27,27,"Tim Herron",NA,69,138,2,"TenthTeeEarlyRound4ScoringAverage",2005
27,27,"Ryuji Imada",NA,69,69,1,"TenthTeeEarlyRound4ScoringAverage",2005
27,27,"Michael Long",NA,69,69,1,"TenthTeeEarlyRound4ScoringAverage",2005
27,27,"Arron Oberholser",NA,69,69,1,"TenthTeeEarlyRound4ScoringAverage",2005
27,27,"Rob Rashell",NA,69,69,1,"TenthTeeEarlyRound4ScoringAverage",2005
27,27,"Hidemichi Tanaka",NA,69,69,1,"TenthTeeEarlyRound4ScoringAverage",2005
27,27,"David Toms",NA,69,69,1,"TenthTeeEarlyRound4ScoringAverage",2005
40,40,"Joe Durant",NA,69.33,208,3,"TenthTeeEarlyRound4ScoringAverage",2005
41,41,"Frank Lickliter II",NA,69.5,139,2,"TenthTeeEarlyRound4ScoringAverage",2005
41,41,"John Rollins",NA,69.5,139,2,"TenthTeeEarlyRound4ScoringAverage",2005
43,43,"Zach Johnson",NA,69.67,209,3,"TenthTeeEarlyRound4ScoringAverage",2005
44,44,"Daniel Chopra",NA,70,140,2,"TenthTeeEarlyRound4ScoringAverage",2005
44,44,"Brent Geiberger",NA,70,140,2,"TenthTeeEarlyRound4ScoringAverage",2005
44,44,"Bill Glasson",NA,70,140,2,"TenthTeeEarlyRound4ScoringAverage",2005
44,44,"Shigeki Maruyama",NA,70,140,2,"TenthTeeEarlyRound4ScoringAverage",2005
44,44,"Jesper Parnevik",NA,70,140,2,"TenthTeeEarlyRound4ScoringAverage",2005
44,44,"Tom Pernice Jr",NA,70,70,1,"TenthTeeEarlyRound4ScoringAverage",2005
44,44,"DA Points",NA,70,210,3,"TenthTeeEarlyRound4ScoringAverage",2005
44,44,"Steve Stricker",NA,70,70,1,"TenthTeeEarlyRound4ScoringAverage",2005
44,44,"Brett Wetterich",NA,70,70,1,"TenthTeeEarlyRound4ScoringAverage",2005
53,53,"Bob Estes",NA,70.25,281,4,"TenthTeeEarlyRound4ScoringAverage",2005
54,54,"Patrick Sheehan",NA,70.33,211,3,"TenthTeeEarlyRound4ScoringAverage",2005
55,55,"Briny Baird",NA,70.5,282,4,"TenthTeeEarlyRound4ScoringAverage",2005
55,55,"Matt Gogel",NA,70.5,141,2,"TenthTeeEarlyRound4ScoringAverage",2005
55,55,"Jay Haas",NA,70.5,141,2,"TenthTeeEarlyRound4ScoringAverage",2005
55,55,"DJ Trahan",NA,70.5,141,2,"TenthTeeEarlyRound4ScoringAverage",2005
59,59,"Michael Allen",NA,71,284,4,"TenthTeeEarlyRound4ScoringAverage",2005
59,59,"Cameron Beckman",NA,71,71,1,"TenthTeeEarlyRound4ScoringAverage",2005
59,59,"Mark Calcavecchia",NA,71,71,1,"TenthTeeEarlyRound4ScoringAverage",2005
