"FirstTeeLateRound4ScoringAverage_RANKTHISWEEK_2014","FirstTeeLateRound4ScoringAverage_RANKLASTWEEK_2014","FirstTeeLateRound4ScoringAverage_PLAYERNAME_2014","FirstTeeLateRound4ScoringAverage__2014","FirstTeeLateRound4ScoringAverage_AVG_2014","FirstTeeLateRound4ScoringAverage_TOTALSTROKES_2014","FirstTeeLateRound4ScoringAverage_TOTALROUNDS_2014","stat_name","year"
1,1,"Tim Clark",NA,66.8,334,5,"FirstTeeLateRound4ScoringAverage",2014
2,2,"Mike Weir",NA,67,67,1,"FirstTeeLateRound4ScoringAverage",2014
3,3,"DH Lee",NA,68,68,1,"FirstTeeLateRound4ScoringAverage",2014
3,3,"Troy Matteson",NA,68,204,3,"FirstTeeLateRound4ScoringAverage",2014
3,3,"DA Points",NA,68,68,1,"FirstTeeLateRound4ScoringAverage",2014
3,3,"Shawn Stefani",NA,68,272,4,"FirstTeeLateRound4ScoringAverage",2014
3,3,"Kevin Tway",NA,68,68,1,"FirstTeeLateRound4ScoringAverage",2014
8,8,"David Lingmerth",NA,68.33,205,3,"FirstTeeLateRound4ScoringAverage",2014
9,9,"Charl Schwartzel",NA,68.38,547,8,"FirstTeeLateRound4ScoringAverage",2014
10,10,"Sangmoon Bae",NA,68.5,274,4,"FirstTeeLateRound4ScoringAverage",2014
10,10,"Sergio Garcia",NA,68.5,685,10,"FirstTeeLateRound4ScoringAverage",2014
10,10,"Jeff Maggert",NA,68.5,137,2,"FirstTeeLateRound4ScoringAverage",2014
10,10,"Jim Renner",NA,68.5,137,2,"FirstTeeLateRound4ScoringAverage",2014
10,10,"Boo Weekley",NA,68.5,137,2,"FirstTeeLateRound4ScoringAverage",2014
15,15,"Carl Pettersson",NA,68.63,549,8,"FirstTeeLateRound4ScoringAverage",2014
16,16,"Troy Merritt",NA,68.67,206,3,"FirstTeeLateRound4ScoringAverage",2014
17,17,"David Toms",NA,68.83,413,6,"FirstTeeLateRound4ScoringAverage",2014
18,18,"Jim Furyk",NA,68.86,964,14,"FirstTeeLateRound4ScoringAverage",2014
19,19,"Brian Stuard",NA,68.9,689,10,"FirstTeeLateRound4ScoringAverage",2014
20,20,"Jason Bohn",NA,69,414,6,"FirstTeeLateRound4ScoringAverage",2014
20,20,"Roberto Castro",NA,69,138,2,"FirstTeeLateRound4ScoringAverage",2014
20,20,"Brian Davis",NA,69,276,4,"FirstTeeLateRound4ScoringAverage",2014
20,20,"Ernie Els",NA,69,414,6,"FirstTeeLateRound4ScoringAverage",2014
20,20,"Lucas Glover",NA,69,69,1,"FirstTeeLateRound4ScoringAverage",2014
20,20,"Spencer Levin",NA,69,69,1,"FirstTeeLateRound4ScoringAverage",2014
20,20,"Graeme McDowell",NA,69,552,8,"FirstTeeLateRound4ScoringAverage",2014
20,20,"Jeff Overton",NA,69,276,4,"FirstTeeLateRound4ScoringAverage",2014
20,20,"Heath Slocum",NA,69,276,4,"FirstTeeLateRound4ScoringAverage",2014
20,20,"Tyrone Van Aswegen",NA,69,207,3,"FirstTeeLateRound4ScoringAverage",2014
20,20,"Johnson Wagner",NA,69,138,2,"FirstTeeLateRound4ScoringAverage",2014
31,31,"Zach Johnson",NA,69.08,829,12,"FirstTeeLateRound4ScoringAverage",2014
32,32,"Marc Leishman",NA,69.11,622,9,"FirstTeeLateRound4ScoringAverage",2014
33,33,"Jimmy Walker",NA,69.13,1106,16,"FirstTeeLateRound4ScoringAverage",2014
34,34,"Harris English",NA,69.14,484,7,"FirstTeeLateRound4ScoringAverage",2014
35,35,"Scott Brown",NA,69.17,415,6,"FirstTeeLateRound4ScoringAverage",2014
35,35,"Webb Simpson",NA,69.17,415,6,"FirstTeeLateRound4ScoringAverage",2014
37,37,"Angel Cabrera",NA,69.33,416,6,"FirstTeeLateRound4ScoringAverage",2014
37,37,"Justin Hicks",NA,69.33,416,6,"FirstTeeLateRound4ScoringAverage",2014
39,39,"Ryo Ishikawa",NA,69.43,486,7,"FirstTeeLateRound4ScoringAverage",2014
39,39,"Jerry Kelly",NA,69.43,486,7,"FirstTeeLateRound4ScoringAverage",2014
41,41,"Graham DeLaet",NA,69.45,764,11,"FirstTeeLateRound4ScoringAverage",2014
42,42,"Rickie Fowler",NA,69.5,695,10,"FirstTeeLateRound4ScoringAverage",2014
43,43,"William McGirt",NA,69.56,626,9,"FirstTeeLateRound4ScoringAverage",2014
43,43,"Chris Stroud",NA,69.56,626,9,"FirstTeeLateRound4ScoringAverage",2014
