"TenthTeeLateRound4ScoringAverage_RANKTHISWEEK_2005","TenthTeeLateRound4ScoringAverage_RANKLASTWEEK_2005","TenthTeeLateRound4ScoringAverage_PLAYERNAME_2005","TenthTeeLateRound4ScoringAverage__2005","TenthTeeLateRound4ScoringAverage_AVG_2005","TenthTeeLateRound4ScoringAverage_TOTALSTROKES_2005","TenthTeeLateRound4ScoringAverage_TOTALROUNDS_2005","stat_name","year"
1,1,"Scott Verplank",NA,62,62,1,"TenthTeeLateRound4ScoringAverage",2005
2,2,"Kevin Stadler",NA,64,64,1,"TenthTeeLateRound4ScoringAverage",2005
3,3,"Mark Calcavecchia",NA,65,65,1,"TenthTeeLateRound4ScoringAverage",2005
3,3,"Jim Furyk",NA,65,65,1,"TenthTeeLateRound4ScoringAverage",2005
5,5,"Daniel Chopra",NA,66,66,1,"TenthTeeLateRound4ScoringAverage",2005
5,5,"Stewart Cink",NA,66,66,1,"TenthTeeLateRound4ScoringAverage",2005
5,5,"Tim Petrovic",NA,66,66,1,"TenthTeeLateRound4ScoringAverage",2005
5,5,"Patrick Sheehan",NA,66,66,1,"TenthTeeLateRound4ScoringAverage",2005
5,5,"Jay Williamson",NA,66,66,1,"TenthTeeLateRound4ScoringAverage",2005
10,10,"Fred Couples",NA,68,68,1,"TenthTeeLateRound4ScoringAverage",2005
10,10,"Retief Goosen",NA,68,68,1,"TenthTeeLateRound4ScoringAverage",2005
10,10,"Steve Jones",NA,68,68,1,"TenthTeeLateRound4ScoringAverage",2005
10,10,"Franklin Langham",NA,68,68,1,"TenthTeeLateRound4ScoringAverage",2005
10,10,"Phillip Price",NA,68,68,1,"TenthTeeLateRound4ScoringAverage",2005
10,10,"Rory Sabbatini",NA,68,68,1,"TenthTeeLateRound4ScoringAverage",2005
10,10,"Omar Uresti",NA,68,136,2,"TenthTeeLateRound4ScoringAverage",2005
10,10,"Tjaart van der Walt",NA,68,68,1,"TenthTeeLateRound4ScoringAverage",2005
10,10,"Lee Westwood",NA,68,68,1,"TenthTeeLateRound4ScoringAverage",2005
19,19,"Bob Estes",NA,68.5,137,2,"TenthTeeLateRound4ScoringAverage",2005
19,19,"John Huston",NA,68.5,137,2,"TenthTeeLateRound4ScoringAverage",2005
19,19,"Jonathan Kaye",NA,68.5,137,2,"TenthTeeLateRound4ScoringAverage",2005
19,19,"Billy Mayfair",NA,68.5,137,2,"TenthTeeLateRound4ScoringAverage",2005
19,19,"Duffy Waldorf",NA,68.5,137,2,"TenthTeeLateRound4ScoringAverage",2005
24,24,"Stephen Ames",NA,69,69,1,"TenthTeeLateRound4ScoringAverage",2005
24,24,"Woody Austin",NA,69,69,1,"TenthTeeLateRound4ScoringAverage",2005
24,24,"Matt Gogel",NA,69,69,1,"TenthTeeLateRound4ScoringAverage",2005
24,24,"Jay Haas",NA,69,69,1,"TenthTeeLateRound4ScoringAverage",2005
24,24,"Justin Leonard",NA,69,69,1,"TenthTeeLateRound4ScoringAverage",2005
24,24,"Steve Lowery",NA,69,69,1,"TenthTeeLateRound4ScoringAverage",2005
24,24,"Jose Maria Olazabal",NA,69,69,1,"TenthTeeLateRound4ScoringAverage",2005
31,31,"Marco Dawson",NA,69.5,139,2,"TenthTeeLateRound4ScoringAverage",2005
31,31,"Brenden Pappas",NA,69.5,139,2,"TenthTeeLateRound4ScoringAverage",2005
31,31,"Carl Pettersson",NA,69.5,139,2,"TenthTeeLateRound4ScoringAverage",2005
31,31,"Mark Wilson",NA,69.5,139,2,"TenthTeeLateRound4ScoringAverage",2005
35,35,"Tommy Armour III",NA,70,280,4,"TenthTeeLateRound4ScoringAverage",2005
