"Back9Round5ScoringAverage_RANKTHISWEEK_2006","Back9Round5ScoringAverage_RANKLASTWEEK_2006","Back9Round5ScoringAverage_PLAYERNAME_2006","Back9Round5ScoringAverage__2006","Back9Round5ScoringAverage_AVG_2006","Back9Round5ScoringAverage_TOTALSTROKES_2006","Back9Round5ScoringAverage_TOTALROUNDS_2006","stat_name","year"
1,1,"David Branshaw",NA,32,32,1,"Back9Round5ScoringAverage",2006
1,1,"Lucas Glover",NA,32,32,1,"Back9Round5ScoringAverage",2006
1,1,"Troy Matteson",NA,32,32,1,"Back9Round5ScoringAverage",2006
4,4,"Arjun Atwal",NA,33,33,1,"Back9Round5ScoringAverage",2006
4,4,"Fred Couples",NA,33,33,1,"Back9Round5ScoringAverage",2006
4,4,"Robert Garrigus",NA,33,33,1,"Back9Round5ScoringAverage",2006
4,4,"Ryuji Imada",NA,33,33,1,"Back9Round5ScoringAverage",2006
4,4,"Tom Pernice Jr",NA,33,33,1,"Back9Round5ScoringAverage",2006
4,4,"Carl Pettersson",NA,33,33,1,"Back9Round5ScoringAverage",2006
4,4,"Tag Ridings",NA,33,33,1,"Back9Round5ScoringAverage",2006
11,11,"Billy Andrade",NA,34,34,1,"Back9Round5ScoringAverage",2006
11,11,"Daniel Chopra",NA,34,34,1,"Back9Round5ScoringAverage",2006
11,11,"John Huston",NA,34,34,1,"Back9Round5ScoringAverage",2006
11,11,"Jerry Kelly",NA,34,34,1,"Back9Round5ScoringAverage",2006
11,11,"Jesper Parnevik",NA,34,34,1,"Back9Round5ScoringAverage",2006
11,11,"John Rollins",NA,34,34,1,"Back9Round5ScoringAverage",2006
11,11,"Jeff Sluman",NA,34,34,1,"Back9Round5ScoringAverage",2006
18,18,"John Cook",NA,35,35,1,"Back9Round5ScoringAverage",2006
18,18,"Brian Davis",NA,35,35,1,"Back9Round5ScoringAverage",2006
18,18,"David Duval",NA,35,35,1,"Back9Round5ScoringAverage",2006
18,18,"Bob Estes",NA,35,35,1,"Back9Round5ScoringAverage",2006
18,18,"Steve Flesch",NA,35,35,1,"Back9Round5ScoringAverage",2006
18,18,"Fred Funk",NA,35,35,1,"Back9Round5ScoringAverage",2006
18,18,"Dudley Hart",NA,35,35,1,"Back9Round5ScoringAverage",2006
18,18,"Brandt Jobe",NA,35,35,1,"Back9Round5ScoringAverage",2006
18,18,"Billy Mayfair",NA,35,35,1,"Back9Round5ScoringAverage",2006
18,18,"Phil Mickelson",NA,35,35,1,"Back9Round5ScoringAverage",2006
18,18,"Patrick Sheehan",NA,35,35,1,"Back9Round5ScoringAverage",2006
18,18,"Heath Slocum",NA,35,35,1,"Back9Round5ScoringAverage",2006
30,30,"Paul Azinger",NA,36,36,1,"Back9Round5ScoringAverage",2006
30,30,"Shane Bertsch",NA,36,36,1,"Back9Round5ScoringAverage",2006
30,30,"Olin Browne",NA,36,36,1,"Back9Round5ScoringAverage",2006
30,30,"Mark Calcavecchia",NA,36,36,1,"Back9Round5ScoringAverage",2006
30,30,"Tim Clark",NA,36,36,1,"Back9Round5ScoringAverage",2006
30,30,"Robert Gamez",NA,36,36,1,"Back9Round5ScoringAverage",2006
30,30,"Paul Goydos",NA,36,36,1,"Back9Round5ScoringAverage",2006
30,30,"Bill Haas",NA,36,36,1,"Back9Round5ScoringAverage",2006
30,30,"Richard Johnson",NA,36,36,1,"Back9Round5ScoringAverage",2006
30,30,"Steve Jones",NA,36,36,1,"Back9Round5ScoringAverage",2006
30,30,"Bernhard Langer",NA,36,36,1,"Back9Round5ScoringAverage",2006
30,30,"Justin Leonard",NA,36,36,1,"Back9Round5ScoringAverage",2006
30,30,"JL Lewis",NA,36,36,1,"Back9Round5ScoringAverage",2006
30,30,"Mark OMeara",NA,36,36,1,"Back9Round5ScoringAverage",2006
30,30,"Ryan Palmer",NA,36,36,1,"Back9Round5ScoringAverage",2006
30,30,"Justin Rose",NA,36,36,1,"Back9Round5ScoringAverage",2006
30,30,"Kevin Sutherland",NA,36,36,1,"Back9Round5ScoringAverage",2006
30,30,"Scott Verplank",NA,36,36,1,"Back9Round5ScoringAverage",2006
30,30,"Mike Weir",NA,36,36,1,"Back9Round5ScoringAverage",2006
49,49,"Stephen Ames",NA,37,37,1,"Back9Round5ScoringAverage",2006
49,49,"Woody Austin",NA,37,37,1,"Back9Round5ScoringAverage",2006
49,49,"Rich Beem",NA,37,37,1,"Back9Round5ScoringAverage",2006
49,49,"Jeff Brehaut",NA,37,37,1,"Back9Round5ScoringAverage",2006
49,49,"Chad Campbell",NA,37,37,1,"Back9Round5ScoringAverage",2006
49,49,"Alex Cejka",NA,37,37,1,"Back9Round5ScoringAverage",2006
49,49,"Steve Elkington",NA,37,37,1,"Back9Round5ScoringAverage",2006
49,49,"Todd Fischer",NA,37,37,1,"Back9Round5ScoringAverage",2006
49,49,"Tim Herron",NA,37,37,1,"Back9Round5ScoringAverage",2006
49,49,"Jeff Maggert",NA,37,37,1,"Back9Round5ScoringAverage",2006
49,49,"Shaun Micheel",NA,37,37,1,"Back9Round5ScoringAverage",2006
49,49,"Joe Ogilvie",NA,37,37,1,"Back9Round5ScoringAverage",2006
49,49,"Greg Owen",NA,37,37,1,"Back9Round5ScoringAverage",2006
49,49,"DA Points",NA,37,37,1,"Back9Round5ScoringAverage",2006
49,49,"Rory Sabbatini",NA,37,37,1,"Back9Round5ScoringAverage",2006
49,49,"Dean Wilson",NA,37,37,1,"Back9Round5ScoringAverage",2006
65,65,"Michael Allen",NA,38,38,1,"Back9Round5ScoringAverage",2006
65,65,"Doug Barron",NA,38,38,1,"Back9Round5ScoringAverage",2006
65,65,"Nick Watney",NA,38,38,1,"Back9Round5ScoringAverage",2006
68,68,"Craig Barlow",NA,39,39,1,"Back9Round5ScoringAverage",2006
68,68,"Ben Curtis",NA,39,39,1,"Back9Round5ScoringAverage",2006
