"Round5ScoringAverage_RANKTHISWEEK_2010","Round5ScoringAverage_RANKLASTWEEK_2010","Round5ScoringAverage_PLAYERNAME_2010","Round5ScoringAverage__2010","Round5ScoringAverage_AVG_2010","Round5ScoringAverage_TOTALSTROKES_2010","Round5ScoringAverage_TOTALROUNDS_2010","stat_name","year"
1,1,"Matt Kuchar",NA,63,63,1,"Round5ScoringAverage",2010
2,2,"Bill Haas",NA,64,64,1,"Round5ScoringAverage",2010
3,3,"Tim Clark",NA,65,65,1,"Round5ScoringAverage",2010
3,3,"Brian Gay",NA,65,65,1,"Round5ScoringAverage",2010
3,3,"Bo Van Pelt",NA,65,65,1,"Round5ScoringAverage",2010
6,6,"Chris Couch",NA,66,66,1,"Round5ScoringAverage",2010
6,6,"Brendon de Jonge",NA,66,66,1,"Round5ScoringAverage",2010
6,6,"Joe Durant",NA,66,66,1,"Round5ScoringAverage",2010
6,6,"Matt Jones",NA,66,66,1,"Round5ScoringAverage",2010
6,6,"Derek Lamely",NA,66,66,1,"Round5ScoringAverage",2010
6,6,"Kevin Na",NA,66,66,1,"Round5ScoringAverage",2010
6,6,"Pat Perez",NA,66,66,1,"Round5ScoringAverage",2010
6,6,"Kevin Sutherland",NA,66,66,1,"Round5ScoringAverage",2010
6,6,"DJ Trahan",NA,66,66,1,"Round5ScoringAverage",2010
6,6,"Bubba Watson",NA,66,66,1,"Round5ScoringAverage",2010
6,6,"Mike Weir",NA,66,66,1,"Round5ScoringAverage",2010
17,17,"Ricky Barnes",NA,67,67,1,"Round5ScoringAverage",2010
17,17,"Graham DeLaet",NA,67,67,1,"Round5ScoringAverage",2010
17,17,"Charles Howell III",NA,67,67,1,"Round5ScoringAverage",2010
17,17,"Rod Pampling",NA,67,67,1,"Round5ScoringAverage",2010
17,17,"Alex Prugh",NA,67,67,1,"Round5ScoringAverage",2010
17,17,"Jeff Quinney",NA,67,67,1,"Round5ScoringAverage",2010
17,17,"Vaughn Taylor",NA,67,67,1,"Round5ScoringAverage",2010
17,17,"David Toms",NA,67,67,1,"Round5ScoringAverage",2010
25,25,"Henrik Bjornstad",NA,68,68,1,"Round5ScoringAverage",2010
25,25,"Jason Bohn",NA,68,68,1,"Round5ScoringAverage",2010
25,25,"Michael Bradley",NA,68,68,1,"Round5ScoringAverage",2010
25,25,"Chad Collins",NA,68,68,1,"Round5ScoringAverage",2010
25,25,"Brian Davis",NA,68,68,1,"Round5ScoringAverage",2010
25,25,"Jason Dufner",NA,68,68,1,"Round5ScoringAverage",2010
25,25,"George McNeill",NA,68,68,1,"Round5ScoringAverage",2010
25,25,"Brandt Snedeker",NA,68,68,1,"Round5ScoringAverage",2010
25,25,"Kevin Stadler",NA,68,68,1,"Round5ScoringAverage",2010
25,25,"Josh Teater",NA,68,68,1,"Round5ScoringAverage",2010
25,25,"Chris Wilson",NA,68,68,1,"Round5ScoringAverage",2010
36,36,"Steve Elkington",NA,69,69,1,"Round5ScoringAverage",2010
36,36,"Tom Gillis",NA,69,69,1,"Round5ScoringAverage",2010
36,36,"JP Hayes",NA,69,69,1,"Round5ScoringAverage",2010
36,36,"Richard Johnson",NA,69,69,1,"Round5ScoringAverage",2010
36,36,"Billy Mayfair",NA,69,69,1,"Round5ScoringAverage",2010
36,36,"Ryan Moore",NA,69,69,1,"Round5ScoringAverage",2010
36,36,"Heath Slocum",NA,69,69,1,"Round5ScoringAverage",2010
36,36,"Garrett Willis",NA,69,69,1,"Round5ScoringAverage",2010
44,44,"Bob Estes",NA,70,70,1,"Round5ScoringAverage",2010
44,44,"Freddie Jacobson",NA,70,70,1,"Round5ScoringAverage",2010
44,44,"Carl Pettersson",NA,70,70,1,"Round5ScoringAverage",2010
44,44,"John Senden",NA,70,70,1,"Round5ScoringAverage",2010
44,44,"Michael Sim",NA,70,70,1,"Round5ScoringAverage",2010
44,44,"Kevin Streelman",NA,70,70,1,"Round5ScoringAverage",2010
44,44,"Jerod Turner",NA,70,70,1,"Round5ScoringAverage",2010
51,51,"Matt Bettencourt",NA,71,71,1,"Round5ScoringAverage",2010
51,51,"Greg Chalmers",NA,71,71,1,"Round5ScoringAverage",2010
51,51,"John Merrick",NA,71,71,1,"Round5ScoringAverage",2010
51,51,"Troy Merritt",NA,71,71,1,"Round5ScoringAverage",2010
51,51,"Jeff Overton",NA,71,71,1,"Round5ScoringAverage",2010
51,51,"Brenden Pappas",NA,71,71,1,"Round5ScoringAverage",2010
51,51,"Webb Simpson",NA,71,71,1,"Round5ScoringAverage",2010
51,51,"Roger Tambellini",NA,71,71,1,"Round5ScoringAverage",2010
51,51,"Omar Uresti",NA,71,71,1,"Round5ScoringAverage",2010
60,60,"Chris DiMarco",NA,72,72,1,"Round5ScoringAverage",2010
60,60,"Martin Flores",NA,72,72,1,"Round5ScoringAverage",2010
60,60,"Ryuji Imada",NA,72,72,1,"Round5ScoringAverage",2010
60,60,"Lee Janzen",NA,72,72,1,"Round5ScoringAverage",2010
60,60,"Bill Lunde",NA,72,72,1,"Round5ScoringAverage",2010
60,60,"Greg Owen",NA,72,72,1,"Round5ScoringAverage",2010
60,60,"Ryan Palmer",NA,72,72,1,"Round5ScoringAverage",2010
67,67,"Ben Crane",NA,73,73,1,"Round5ScoringAverage",2010
68,68,"Joe Ogilvie",NA,74,74,1,"Round5ScoringAverage",2010
69,69,"Brett Quigley",NA,75,75,1,"Round5ScoringAverage",2010
70,70,"Paul Goydos",NA,80,80,1,"Round5ScoringAverage",2010
