"EarlyScoringAverage_RANKTHISWEEK_2006","EarlyScoringAverage_RANKLASTWEEK_2006","EarlyScoringAverage_PLAYERNAME_2006","EarlyScoringAverage_ROUNDS_2006","EarlyScoringAverage_AVG_2006","EarlyScoringAverage_TOTALSTROKES_2006","EarlyScoringAverage_TOTALEARLYROUNDS_2006","stat_name","year"
1,1,"Jim Furyk",89,68.43,1916,28,"EarlyScoringAverage",2006
2,2,"Tiger Woods",55,68.53,1028,15,"EarlyScoringAverage",2006
3,3,"Steve Stricker",64,69.33,1872,27,"EarlyScoringAverage",2006
4,4,"Jonathan Byrd",66,69.44,2222,32,"EarlyScoringAverage",2006
5,5,"Justin Rose",98,69.45,2917,42,"EarlyScoringAverage",2006
6,6,"Phil Mickelson",74,69.47,2084,30,"EarlyScoringAverage",2006
7,7,"Arron Oberholser",82,69.62,2576,37,"EarlyScoringAverage",2006
8,8,"Briny Baird",81,69.78,2233,32,"EarlyScoringAverage",2006
9,9,"Trevor Immelman",86,69.81,2513,36,"EarlyScoringAverage",2006
10,10,"Daniel Chopra",110,69.84,3073,44,"EarlyScoringAverage",2006
11,11,"Adam Scott",70,69.85,1886,27,"EarlyScoringAverage",2006
12,12,"Lucas Glover",105,69.91,3146,45,"EarlyScoringAverage",2006
13,13,"Brian Gay",107,70.02,3711,53,"EarlyScoringAverage",2006
13,13,"Vijay Singh",103,70.02,2941,42,"EarlyScoringAverage",2006
15,15,"Luke Donald",66,70.04,1891,27,"EarlyScoringAverage",2006
16,16,"Bo Van Pelt",102,70.17,3298,47,"EarlyScoringAverage",2006
17,17,"Brett Quigley",109,70.2,3089,44,"EarlyScoringAverage",2006
18,18,"Jesper Parnevik",84,70.23,3090,44,"EarlyScoringAverage",2006
19,19,"Tom Pernice Jr",108,70.26,3513,50,"EarlyScoringAverage",2006
20,20,"Hunter Mahan",98,70.28,3514,50,"EarlyScoringAverage",2006
21,21,"Robert Allenby",79,70.33,2532,36,"EarlyScoringAverage",2006
22,22,"Mike Weir",88,70.34,2673,38,"EarlyScoringAverage",2006
23,23,"Brent Geiberger",99,70.35,3658,52,"EarlyScoringAverage",2006
24,24,"Mark Wilson",79,70.37,3026,43,"EarlyScoringAverage",2006
25,25,"Joe Ogilvie",95,70.39,3238,46,"EarlyScoringAverage",2006
25,25,"John Senden",96,70.39,3449,49,"EarlyScoringAverage",2006
25,25,"Kevin Sutherland",100,70.39,3449,49,"EarlyScoringAverage",2006
28,28,"Stewart Cink",93,70.41,2887,41,"EarlyScoringAverage",2006
28,28,"Brett Wetterich",82,70.41,2605,37,"EarlyScoringAverage",2006
30,30,"David Branshaw",98,70.42,3662,52,"EarlyScoringAverage",2006
31,31,"David Toms",76,70.44,1902,27,"EarlyScoringAverage",2006
32,32,"Daisuke Maruyama",83,70.46,2889,41,"EarlyScoringAverage",2006
33,33,"Harrison Frazar",95,70.47,3171,45,"EarlyScoringAverage",2006
33,33,"Shigeki Maruyama",94,70.47,3453,49,"EarlyScoringAverage",2006
35,35,"Charley Hoffman",100,70.48,2960,42,"EarlyScoringAverage",2006
36,36,"Jason Bohn",104,70.51,3878,55,"EarlyScoringAverage",2006
37,37,"Steve Elkington",52,70.52,1763,25,"EarlyScoringAverage",2006
37,37,"Steve Flesch",119,70.52,4584,65,"EarlyScoringAverage",2006
39,39,"Davis Love III",85,70.54,2751,39,"EarlyScoringAverage",2006
40,40,"Rod Pampling",89,70.57,2964,42,"EarlyScoringAverage",2006
40,40,"Scott Verplank",88,70.57,2964,42,"EarlyScoringAverage",2006
42,42,"Greg Owen",79,70.68,2615,37,"EarlyScoringAverage",2006
43,43,"Padraig Harrington",54,70.7,1626,23,"EarlyScoringAverage",2006
44,44,"Ryuji Imada",105,70.71,3889,55,"EarlyScoringAverage",2006
45,45,"Charles Warren",93,70.72,3253,46,"EarlyScoringAverage",2006
46,46,"John Cook",67,70.73,2617,37,"EarlyScoringAverage",2006
46,46,"Corey Pavin",74,70.73,2617,37,"EarlyScoringAverage",2006
48,48,"Stephen Ames",63,70.75,1981,28,"EarlyScoringAverage",2006
48,48,"Olin Browne",108,70.75,4245,60,"EarlyScoringAverage",2006
50,50,"Duffy Waldorf",96,70.76,3609,51,"EarlyScoringAverage",2006
51,51,"Mathias Gronberg",92,70.77,3043,43,"EarlyScoringAverage",2006
51,51,"Chris Riley",86,70.77,2760,39,"EarlyScoringAverage",2006
53,53,"Bob Estes",85,70.78,3185,45,"EarlyScoringAverage",2006
54,54,"Ernie Els",69,70.79,1699,24,"EarlyScoringAverage",2006
54,54,"John Rollins",93,70.79,3044,43,"EarlyScoringAverage",2006
54,54,"Dean Wilson",115,70.79,4035,57,"EarlyScoringAverage",2006
57,57,"Joe Durant",101,70.8,3186,45,"EarlyScoringAverage",2006
57,57,"Richard Johnson",94,70.8,3186,45,"EarlyScoringAverage",2006
57,57,"Vaughn Taylor",88,70.8,3115,44,"EarlyScoringAverage",2006
60,60,"Skip Kendall",72,70.81,2620,37,"EarlyScoringAverage",2006
61,61,"Bubba Dickerson",98,70.83,3825,54,"EarlyScoringAverage",2006
61,61,"Retief Goosen",68,70.83,1700,24,"EarlyScoringAverage",2006
61,61,"Ron Whittaker",81,70.83,2904,41,"EarlyScoringAverage",2006
64,64,"Shaun Micheel",96,70.84,3046,43,"EarlyScoringAverage",2006
65,65,"Frank Lickliter II",99,70.85,3330,47,"EarlyScoringAverage",2006
66,66,"KJ Choi",93,70.86,3543,50,"EarlyScoringAverage",2006
66,66,"Pat Perez",50,70.86,1984,28,"EarlyScoringAverage",2006
68,68,"Dudley Hart",83,70.88,3048,43,"EarlyScoringAverage",2006
68,68,"Greg Kraft",79,70.88,2835,40,"EarlyScoringAverage",2006
68,68,"Geoff Ogilvy",76,70.88,2268,32,"EarlyScoringAverage",2006
68,68,"Bob Tway",81,70.88,2906,41,"EarlyScoringAverage",2006
68,68,"Omar Uresti",61,70.88,2268,32,"EarlyScoringAverage",2006
