"LateScoringAverage_RANKTHISWEEK_2016","LateScoringAverage_RANKLASTWEEK_2016","LateScoringAverage_PLAYERNAME_2016","LateScoringAverage_ROUNDS_2016","LateScoringAverage_AVG_2016","LateScoringAverage_TOTALSTROKES_2016","LateScoringAverage_TOTALLATEROUNDS_2016","stat_name","year"
1,1,"Jason Bohn",37,68.78,1238,18,"LateScoringAverage",2016
2,2,"Kevin Kisner",49,69,1587,23,"LateScoringAverage",2016
3,3,"Adam Scott",39,69.18,1522,22,"LateScoringAverage",2016
4,4,"Rickie Fowler",42,69.38,1804,26,"LateScoringAverage",2016
5,5,"Patrick Reed",53,69.48,1737,25,"LateScoringAverage",2016
6,8,"Bill Haas",42,69.76,1465,21,"LateScoringAverage",2016
6,6,"Justin Thomas",53,69.76,1744,25,"LateScoringAverage",2016
8,6,"Kevin Chappell",49,69.81,1885,27,"LateScoringAverage",2016
9,9,"William McGirt",54,69.82,1536,22,"LateScoringAverage",2016
10,10,"Branden Grace",31,69.85,908,13,"LateScoringAverage",2016
11,12,"Bubba Watson",30,69.93,979,14,"LateScoringAverage",2016
12,13,"Lucas Glover",53,70,1820,26,"LateScoringAverage",2016
12,14,"Hideki Matsuyama",40,70,1540,22,"LateScoringAverage",2016
14,19,"Graeme McDowell",33,70.07,1051,15,"LateScoringAverage",2016
15,10,"Daniel Berger",52,70.09,1612,23,"LateScoringAverage",2016
16,21,"Brandt Snedeker",47,70.13,1613,23,"LateScoringAverage",2016
17,23,"Ryan Palmer",46,70.14,1543,22,"LateScoringAverage",2016
18,25,"Smylie Kaufman",57,70.15,1894,27,"LateScoringAverage",2016
19,26,"Matt Kuchar",46,70.16,1333,19,"LateScoringAverage",2016
19,26,"Kevin Na",52,70.16,1754,25,"LateScoringAverage",2016
21,28,"Jason Dufner",53,70.17,1684,24,"LateScoringAverage",2016
22,29,"Steve Stricker",25,70.18,772,11,"LateScoringAverage",2016
23,16,"Alex Cejka",47,70.23,1545,22,"LateScoringAverage",2016
24,40,"Roberto Castro",55,70.27,2108,30,"LateScoringAverage",2016
25,18,"Ryan Moore",40,70.28,1265,18,"LateScoringAverage",2016
26,36,"Matthew Fitzpatrick",23,70.3,703,10,"LateScoringAverage",2016
26,36,"Russell Knox",48,70.3,1617,23,"LateScoringAverage",2016
28,15,"Patton Kizzire",57,70.31,2039,29,"LateScoringAverage",2016
29,38,"Charl Schwartzel",29,70.33,1055,15,"LateScoringAverage",2016
30,39,"Russell Henley",42,70.35,1618,23,"LateScoringAverage",2016
30,16,"Sean OHair",45,70.35,1618,23,"LateScoringAverage",2016
30,20,"Will Wilcox",47,70.35,1618,23,"LateScoringAverage",2016
33,45,"Fabian Gomez",49,70.37,1337,19,"LateScoringAverage",2016
34,41,"Brooks Koepka",39,70.38,1478,21,"LateScoringAverage",2016
34,35,"Henrik Stenson",30,70.38,1126,16,"LateScoringAverage",2016
36,23,"Luke Donald",49,70.41,1549,22,"LateScoringAverage",2016
37,43,"Dustin Johnson",37,70.43,1620,23,"LateScoringAverage",2016
38,33,"Si Woo Kim",63,70.45,2325,33,"LateScoringAverage",2016
38,30,"Jason Kokrak",52,70.45,1550,22,"LateScoringAverage",2016
40,45,"Jordan Spieth",34,70.47,1339,19,"LateScoringAverage",2016
41,33,"Derek Fathauer",58,70.48,2326,33,"LateScoringAverage",2016
41,21,"Colt Knost",56,70.48,1762,25,"LateScoringAverage",2016
41,43,"Dawie van der Walt",48,70.48,1762,25,"LateScoringAverage",2016
44,49,"Henrik Norlander",41,70.53,1199,17,"LateScoringAverage",2016
45,31,"Francesco Molinari",36,70.56,1129,16,"LateScoringAverage",2016
46,31,"Webb Simpson",34,70.57,988,14,"LateScoringAverage",2016
47,42,"Jamie Lovemark",57,70.58,2188,31,"LateScoringAverage",2016
48,47,"Camilo Villegas",50,70.6,1765,25,"LateScoringAverage",2016
49,87,"Rory McIlroy",37,70.63,1130,16,"LateScoringAverage",2016
50,59,"Tony Finau",49,70.64,1766,25,"LateScoringAverage",2016
51,55,"Aaron Baddeley",51,70.65,1625,23,"LateScoringAverage",2016
52,47,"Charles Howell III",63,70.66,2261,32,"LateScoringAverage",2016
53,71,"Justin Rose",35,70.67,1272,18,"LateScoringAverage",2016
53,53,"Harold Varner III",58,70.67,2332,33,"LateScoringAverage",2016
55,56,"Stewart Cink",45,70.68,1343,19,"LateScoringAverage",2016
55,51,"Ben Martin",48,70.68,1343,19,"LateScoringAverage",2016
57,49,"Thomas Aiken",42,70.71,1202,17,"LateScoringAverage",2016
57,59,"Bryce Molder",50,70.71,1697,24,"LateScoringAverage",2016
59,51,"Jim Herman",55,70.73,1839,26,"LateScoringAverage",2016
60,66,"Brice Garnett",29,70.76,1203,17,"LateScoringAverage",2016
