"BestYTDStreakwoa3Putt_RANKTHISWEEK_2006","BestYTDStreakwoa3Putt_RANKLASTWEEK_2006","BestYTDStreakwoa3Putt_PLAYERNAME_2006","BestYTDStreakwoa3Putt_EVENTS_2006","BestYTDStreakwoa3Putt_BESTSTREAK_2006","BestYTDStreakwoa3Putt_CURRENTSTREAK_2006","stat_name","year"
1,1,"Luke Donald",18,276,18,"BestYTDStreakwoa3Putt",2006
2,2,"Dudley Hart",29,264,20,"BestYTDStreakwoa3Putt",2006
3,3,"DA Points",28,262,87,"BestYTDStreakwoa3Putt",2006
4,4,"Richard Johnson",29,259,259,"BestYTDStreakwoa3Putt",2006
5,5,"Jason Bohn",29,241,15,"BestYTDStreakwoa3Putt",2006
6,6,"Jesper Parnevik",24,239,128,"BestYTDStreakwoa3Putt",2006
7,7,"Daniel Chopra",33,235,233,"BestYTDStreakwoa3Putt",2006
8,8,"Jim Furyk",24,234,61,"BestYTDStreakwoa3Putt",2006
9,9,"Mark Brooks",36,231,10,"BestYTDStreakwoa3Putt",2006
9,9,"Chad Campbell",25,231,1,"BestYTDStreakwoa3Putt",2006
11,11,"Brian Gay",31,230,24,"BestYTDStreakwoa3Putt",2006
12,12,"Brett Quigley",33,229,25,"BestYTDStreakwoa3Putt",2006
13,13,"Shigeki Maruyama",30,228,35,"BestYTDStreakwoa3Putt",2006
14,14,"Shaun Micheel",29,219,20,"BestYTDStreakwoa3Putt",2006
15,15,"Steve Lowery",31,216,107,"BestYTDStreakwoa3Putt",2006
15,15,"Joey Sindelar",29,216,NA,"BestYTDStreakwoa3Putt",2006
17,17,"Kent Jones",32,215,25,"BestYTDStreakwoa3Putt",2006
17,17,"Scott Verplank",25,215,36,"BestYTDStreakwoa3Putt",2006
19,19,"Bill Haas",30,214,7,"BestYTDStreakwoa3Putt",2006
20,20,"Mathias Gronberg",30,213,16,"BestYTDStreakwoa3Putt",2006
21,21,"Steve Flesch",33,212,15,"BestYTDStreakwoa3Putt",2006
22,22,"Jon Mills",27,207,1,"BestYTDStreakwoa3Putt",2006
23,23,"Aaron Baddeley",25,204,162,"BestYTDStreakwoa3Putt",2006
24,24,"Eric Axley",29,202,177,"BestYTDStreakwoa3Putt",2006
25,25,"Angel Cabrera",12,199,53,"BestYTDStreakwoa3Putt",2006
26,26,"Tim Herron",27,197,55,"BestYTDStreakwoa3Putt",2006
27,27,"Greg Kraft",26,196,76,"BestYTDStreakwoa3Putt",2006
28,28,"Greg Chalmers",28,195,90,"BestYTDStreakwoa3Putt",2006
29,29,"Vaughn Taylor",26,194,15,"BestYTDStreakwoa3Putt",2006
30,30,"Patrick Sheehan",34,192,84,"BestYTDStreakwoa3Putt",2006
31,31,"Olin Browne",30,191,12,"BestYTDStreakwoa3Putt",2006
32,32,"Thomas Bjorn",7,190,NA,"BestYTDStreakwoa3Putt",2006
32,32,"Charley Hoffman",29,190,1,"BestYTDStreakwoa3Putt",2006
34,34,"Tom Pernice Jr",33,189,2,"BestYTDStreakwoa3Putt",2006
35,35,"Johan Edfors",4,187,25,"BestYTDStreakwoa3Putt",2006
36,36,"Todd Fischer",35,186,23,"BestYTDStreakwoa3Putt",2006
37,37,"Ron Whittaker",28,185,182,"BestYTDStreakwoa3Putt",2006
38,38,"Duffy Waldorf",28,184,48,"BestYTDStreakwoa3Putt",2006
39,39,"Lucas Glover",31,182,10,"BestYTDStreakwoa3Putt",2006
40,40,"Alex Cejka",30,181,5,"BestYTDStreakwoa3Putt",2006
40,40,"Jason Schultz",28,181,43,"BestYTDStreakwoa3Putt",2006
42,42,"Robert Allenby",22,180,6,"BestYTDStreakwoa3Putt",2006
43,43,"Gabriel Hjertstedt",16,178,14,"BestYTDStreakwoa3Putt",2006
43,43,"Rory Sabbatini",24,178,11,"BestYTDStreakwoa3Putt",2006
45,45,"Joe Durant",28,177,19,"BestYTDStreakwoa3Putt",2006
45,45,"Scott Gutschewski",19,177,1,"BestYTDStreakwoa3Putt",2006
45,45,"Ryan Moore",22,177,19,"BestYTDStreakwoa3Putt",2006
45,45,"Craig Perks",18,177,15,"BestYTDStreakwoa3Putt",2006
45,45,"Lee Westwood",14,177,22,"BestYTDStreakwoa3Putt",2006
50,50,"Ben Crane",26,176,65,"BestYTDStreakwoa3Putt",2006
50,50,"Billy Mayfair",29,176,51,"BestYTDStreakwoa3Putt",2006
52,52,"Henrik Bjornstad",31,175,6,"BestYTDStreakwoa3Putt",2006
52,52,"Nathan Green",30,175,35,"BestYTDStreakwoa3Putt",2006
52,52,"Jerry Kelly",31,175,17,"BestYTDStreakwoa3Putt",2006
52,52,"Larry Mize",18,175,NA,"BestYTDStreakwoa3Putt",2006
52,52,"Jimmy Walker",21,175,28,"BestYTDStreakwoa3Putt",2006
57,57,"Michael Allen",25,171,14,"BestYTDStreakwoa3Putt",2006
58,58,"Marco Dawson",27,170,2,"BestYTDStreakwoa3Putt",2006
59,59,"Shane Bertsch",34,168,10,"BestYTDStreakwoa3Putt",2006
59,59,"Justin Rose",28,168,168,"BestYTDStreakwoa3Putt",2006
61,61,"Steve Stricker",17,166,33,"BestYTDStreakwoa3Putt",2006
62,62,"Mark OMeara",18,165,3,"BestYTDStreakwoa3Putt",2006
62,62,"Corey Pavin",23,165,61,"BestYTDStreakwoa3Putt",2006
64,64,"Dan Forsman",15,164,20,"BestYTDStreakwoa3Putt",2006
64,64,"Troy Matteson",32,164,3,"BestYTDStreakwoa3Putt",2006
66,66,"Chris Riley",27,163,11,"BestYTDStreakwoa3Putt",2006
66,66,"Kevin Sutherland",29,163,6,"BestYTDStreakwoa3Putt",2006
68,68,"Ernie Els",18,162,79,"BestYTDStreakwoa3Putt",2006
69,69,"Billy Andrade",24,161,7,"BestYTDStreakwoa3Putt",2006
69,69,"Briny Baird",25,161,42,"BestYTDStreakwoa3Putt",2006
69,69,"Darron Stiles",15,161,26,"BestYTDStreakwoa3Putt",2006
72,72,"Jay Delsing",14,160,36,"BestYTDStreakwoa3Putt",2006
73,73,"Ben Curtis",26,159,48,"BestYTDStreakwoa3Putt",2006
73,73,"Ian Poulter",15,159,48,"BestYTDStreakwoa3Putt",2006
75,75,"John Huston",27,158,13,"BestYTDStreakwoa3Putt",2006
75,75,"Vijay Singh",27,158,35,"BestYTDStreakwoa3Putt",2006
77,77,"Alex Aragon",26,157,101,"BestYTDStreakwoa3Putt",2006
77,77,"Stewart Cink",26,157,5,"BestYTDStreakwoa3Putt",2006
77,77,"Ryuji Imada",31,157,3,"BestYTDStreakwoa3Putt",2006
77,77,"Frank Lickliter II",29,157,8,"BestYTDStreakwoa3Putt",2006
81,81,"Omar Uresti",22,156,4,"BestYTDStreakwoa3Putt",2006
82,82,"Robert Damron",31,155,9,"BestYTDStreakwoa3Putt",2006
82,82,"Bo Van Pelt",28,155,2,"BestYTDStreakwoa3Putt",2006
84,84,"Stuart Appleby",23,153,12,"BestYTDStreakwoa3Putt",2006
84,84,"Geoff Ogilvy",20,153,44,"BestYTDStreakwoa3Putt",2006
86,86,"Mark Calcavecchia",27,152,11,"BestYTDStreakwoa3Putt",2006
86,86,"Brent Geiberger",30,152,9,"BestYTDStreakwoa3Putt",2006
88,88,"Loren Roberts",4,151,12,"BestYTDStreakwoa3Putt",2006
88,88,"Charles Warren",27,151,6,"BestYTDStreakwoa3Putt",2006
90,90,"Tommy Armour III",25,150,1,"BestYTDStreakwoa3Putt",2006
90,90,"Stephen Leaney",27,150,49,"BestYTDStreakwoa3Putt",2006
90,90,"Jose Maria Olazabal",18,150,64,"BestYTDStreakwoa3Putt",2006
93,93,"Arron Oberholser",23,149,15,"BestYTDStreakwoa3Putt",2006
93,93,"Jeff Overton",28,149,9,"BestYTDStreakwoa3Putt",2006
95,95,"Heath Slocum",30,148,21,"BestYTDStreakwoa3Putt",2006
96,96,"Fred Funk",29,147,9,"BestYTDStreakwoa3Putt",2006
96,96,"Kevin Na",11,147,3,"BestYTDStreakwoa3Putt",2006
98,98,"Arjun Atwal",33,146,122,"BestYTDStreakwoa3Putt",2006
98,98,"Carl Pettersson",28,146,30,"BestYTDStreakwoa3Putt",2006
98,98,"Tiger Woods",15,146,28,"BestYTDStreakwoa3Putt",2006
101,101,"Peter Lonard",22,145,7,"BestYTDStreakwoa3Putt",2006
101,101,"Jeff Maggert",26,145,6,"BestYTDStreakwoa3Putt",2006
101,101,"Tag Ridings",33,145,13,"BestYTDStreakwoa3Putt",2006
104,104,"KJ Choi",26,144,8,"BestYTDStreakwoa3Putt",2006
104,104,"Bob Estes",25,144,119,"BestYTDStreakwoa3Putt",2006
104,104,"DJ Trahan",33,144,20,"BestYTDStreakwoa3Putt",2006
107,107,"Woody Austin",31,143,6,"BestYTDStreakwoa3Putt",2006
