"BestYTD1PuttorBetterStreak_RANKTHISWEEK_2013","BestYTD1PuttorBetterStreak_RANKLASTWEEK_2013","BestYTD1PuttorBetterStreak_PLAYERNAME_2013","BestYTD1PuttorBetterStreak_EVENTS_2013","BestYTD1PuttorBetterStreak_VALUE_2013","stat_name","year"
1,1,"Tim Herron",15,14,"BestYTD1PuttorBetterStreak",2013
2,2,"Sangmoon Bae",26,11,"BestYTD1PuttorBetterStreak",2013
2,2,"Nicolas Colsaerts",17,11,"BestYTD1PuttorBetterStreak",2013
2,2,"James Hahn",26,11,"BestYTD1PuttorBetterStreak",2013
2,2,"Jordan Spieth",23,11,"BestYTD1PuttorBetterStreak",2013
6,6,"Aaron Baddeley",24,10,"BestYTD1PuttorBetterStreak",2013
6,6,"Brian Davis",28,10,"BestYTD1PuttorBetterStreak",2013
6,6,"James Driscoll",23,10,"BestYTD1PuttorBetterStreak",2013
6,6,"Scott Gardiner",23,10,"BestYTD1PuttorBetterStreak",2013
6,6,"Luke Guthrie",27,10,"BestYTD1PuttorBetterStreak",2013
6,6,"Paul Haley II",18,10,"BestYTD1PuttorBetterStreak",2013
6,6,"Jerry Kelly",22,10,"BestYTD1PuttorBetterStreak",2013
6,6,"Chris Kirk",24,10,"BestYTD1PuttorBetterStreak",2013
6,6,"Matt Kuchar",23,10,"BestYTD1PuttorBetterStreak",2013
6,6,"Scott Stallings",27,10,"BestYTD1PuttorBetterStreak",2013
6,6,"Josh Teater",24,10,"BestYTD1PuttorBetterStreak",2013
6,6,"Tom Watson",4,10,"BestYTD1PuttorBetterStreak",2013
18,18,"Steven Bowditch",22,9,"BestYTD1PuttorBetterStreak",2013
18,18,"Matt Every",28,9,"BestYTD1PuttorBetterStreak",2013
18,18,"Rickie Fowler",22,9,"BestYTD1PuttorBetterStreak",2013
18,18,"Padraig Harrington",17,9,"BestYTD1PuttorBetterStreak",2013
18,18,"Charley Hoffman",23,9,"BestYTD1PuttorBetterStreak",2013
18,18,"Billy Horschel",26,9,"BestYTD1PuttorBetterStreak",2013
18,18,"Charles Howell III",26,9,"BestYTD1PuttorBetterStreak",2013
18,18,"Matt Jones",24,9,"BestYTD1PuttorBetterStreak",2013
18,18,"Robert Karlsson",18,9,"BestYTD1PuttorBetterStreak",2013
18,18,"Richard Lee",24,9,"BestYTD1PuttorBetterStreak",2013
18,18,"Justin Leonard",24,9,"BestYTD1PuttorBetterStreak",2013
18,18,"David Lynn",22,9,"BestYTD1PuttorBetterStreak",2013
18,18,"Rory McIlroy",16,9,"BestYTD1PuttorBetterStreak",2013
18,18,"Phil Mickelson",21,9,"BestYTD1PuttorBetterStreak",2013
18,18,"Seung Yul Noh",25,9,"BestYTD1PuttorBetterStreak",2013
18,18,"Geoff Ogilvy",19,9,"BestYTD1PuttorBetterStreak",2013
18,18,"Jeff Overton",24,9,"BestYTD1PuttorBetterStreak",2013
18,18,"Andres Romero",21,9,"BestYTD1PuttorBetterStreak",2013
18,18,"Marcel Siem",9,9,"BestYTD1PuttorBetterStreak",2013
18,18,"Webb Simpson",25,9,"BestYTD1PuttorBetterStreak",2013
18,18,"Kevin Streelman",25,9,"BestYTD1PuttorBetterStreak",2013
18,18,"Cameron Tringale",24,9,"BestYTD1PuttorBetterStreak",2013
