"ConsecutiveSandSaves_RANKTHISWEEK_2006","ConsecutiveSandSaves_RANKLASTWEEK_2006","ConsecutiveSandSaves_PLAYERNAME_2006","ConsecutiveSandSaves_EVENTS_2006","ConsecutiveSandSaves_STREAK_2006","ConsecutiveSandSaves_CURRENTSTREAK_2006","ConsecutiveSandSaves_ROUND_2006","ConsecutiveSandSaves_HOLE_2006","ConsecutiveSandSaves_YEARTOURN_2006","stat_name","year"
1,1,"Duffy Waldorf",28,16,1,1,17,2006200,"ConsecutiveSandSaves",2006
2,2,"David Duval",24,13,NA,4,9,2006020,"ConsecutiveSandSaves",2006
3,3,"Carlos Franco",29,12,NA,1,10,2006100,"ConsecutiveSandSaves",2006
4,4,"Stuart Appleby",23,11,NA,1,1,2006020,"ConsecutiveSandSaves",2006
4,4,"Heath Slocum",30,11,2,2,9,2006330,"ConsecutiveSandSaves",2006
6,6,"Chad Campbell",25,10,NA,3,10,2006200,"ConsecutiveSandSaves",2006
6,6,"Greg Chalmers",28,10,NA,1,11,2006330,"ConsecutiveSandSaves",2006
6,6,"KJ Choi",26,10,1,2,13,2006020,"ConsecutiveSandSaves",2006
6,6,"Fred Couples",17,10,NA,2,1,2006210,"ConsecutiveSandSaves",2006
6,6,"Dudley Hart",29,10,2,1,16,2006220,"ConsecutiveSandSaves",2006
6,6,"JB Holmes",26,10,NA,4,13,2006040,"ConsecutiveSandSaves",2006
6,6,"Corey Pavin",23,10,1,4,3,2006200,"ConsecutiveSandSaves",2006
6,6,"Steve Stricker",17,10,NA,3,11,2006170,"ConsecutiveSandSaves",2006
6,6,"Brett Wetterich",25,10,NA,4,13,2006140,"ConsecutiveSandSaves",2006
15,15,"Woody Austin",31,9,NA,4,4,2006040,"ConsecutiveSandSaves",2006
15,15,"Daniel Chopra",33,9,NA,3,7,2006360,"ConsecutiveSandSaves",2006
15,15,"Kris Cox",28,9,1,2,17,2006320,"ConsecutiveSandSaves",2006
15,15,"Luke Donald",18,9,NA,4,14,2006040,"ConsecutiveSandSaves",2006
15,15,"James Driscoll",29,9,NA,1,10,2006280,"ConsecutiveSandSaves",2006
15,15,"Bob Estes",25,9,NA,4,18,2006330,"ConsecutiveSandSaves",2006
15,15,"SK Ho",2,9,NA,4,15,2006310,"ConsecutiveSandSaves",2006
15,15,"Lee Janzen",28,9,2,2,2,2006430,"ConsecutiveSandSaves",2006
15,15,"Jeff Overton",28,9,1,2,14,2006220,"ConsecutiveSandSaves",2006
15,15,"Jesper Parnevik",24,9,1,4,16,2006020,"ConsecutiveSandSaves",2006
15,15,"Pat Perez",19,9,9,1,7,2006360,"ConsecutiveSandSaves",2006
15,15,"Jerry Smith",29,9,2,1,12,2006430,"ConsecutiveSandSaves",2006
15,15,"David Toms",22,9,NA,1,1,2006100,"ConsecutiveSandSaves",2006
28,28,"Paul Azinger",30,8,5,2,12,2006430,"ConsecutiveSandSaves",2006
