"ConsecutiveFairwaysHit_RANKTHISWEEK_2014","ConsecutiveFairwaysHit_RANKLASTWEEK_2014","ConsecutiveFairwaysHit_PLAYERNAME_2014","ConsecutiveFairwaysHit_EVENTS_2014","ConsecutiveFairwaysHit_BESTSTREAK_2014","ConsecutiveFairwaysHit_CURRENTSTREAK_2014","stat_name","year"
1,1,"David Toms",20,36,4,"ConsecutiveFairwaysHit",2014
2,2,"Jim Furyk",21,28,5,"ConsecutiveFairwaysHit",2014
2,2,"Justin Hicks",30,28,7,"ConsecutiveFairwaysHit",2014
4,4,"Alvaro Quiros",2,27,NA,"ConsecutiveFairwaysHit",2014
5,5,"Brendon de Jonge",31,26,2,"ConsecutiveFairwaysHit",2014
5,5,"Scott Gardiner",18,26,NA,"ConsecutiveFairwaysHit",2014
7,7,"Graeme McDowell",17,25,3,"ConsecutiveFairwaysHit",2014
7,7,"Bo Van Pelt",25,25,4,"ConsecutiveFairwaysHit",2014
9,9,"Kevin Kisner",26,24,1,"ConsecutiveFairwaysHit",2014
10,10,"Jason Dufner",17,23,5,"ConsecutiveFairwaysHit",2014
10,10,"Heath Slocum",23,23,NA,"ConsecutiveFairwaysHit",2014
10,10,"Cameron Tringale",31,23,NA,"ConsecutiveFairwaysHit",2014
13,13,"Hunter Mahan",25,22,2,"ConsecutiveFairwaysHit",2014
14,14,"Brian Davis",28,21,NA,"ConsecutiveFairwaysHit",2014
14,14,"Joe Durant",15,21,1,"ConsecutiveFairwaysHit",2014
14,14,"David Hearn",28,21,4,"ConsecutiveFairwaysHit",2014
14,14,"Rashid Ismail",1,21,NA,"ConsecutiveFairwaysHit",2014
14,14,"Francesco Molinari",12,21,NA,"ConsecutiveFairwaysHit",2014
14,14,"Pat Perez",25,21,1,"ConsecutiveFairwaysHit",2014
14,14,"John Peterson",25,21,NA,"ConsecutiveFairwaysHit",2014
14,14,"Boo Weekley",24,21,1,"ConsecutiveFairwaysHit",2014
22,22,"Trevor Immelman",28,20,NA,"ConsecutiveFairwaysHit",2014
22,22,"Ryo Ishikawa",24,20,1,"ConsecutiveFairwaysHit",2014
22,22,"Bernhard Langer",1,20,3,"ConsecutiveFairwaysHit",2014
22,22,"Kevin Na",27,20,1,"ConsecutiveFairwaysHit",2014
22,22,"Kevin Stadler",26,20,1,"ConsecutiveFairwaysHit",2014
22,22,"Kevin Streelman",24,20,1,"ConsecutiveFairwaysHit",2014
28,28,"Jason Bohn",25,19,NA,"ConsecutiveFairwaysHit",2014
28,28,"Tim Clark",26,19,NA,"ConsecutiveFairwaysHit",2014
28,28,"Lucas Glover",26,19,3,"ConsecutiveFairwaysHit",2014
28,28,"Billy Hurley III",26,19,2,"ConsecutiveFairwaysHit",2014
28,28,"Thongchai Jaidee",9,19,1,"ConsecutiveFairwaysHit",2014
28,28,"Miguel Angel Jimenez",8,19,1,"ConsecutiveFairwaysHit",2014
28,28,"Zach Johnson",26,19,1,"ConsecutiveFairwaysHit",2014
28,28,"Will Ma Kenzie",27,19,3,"ConsecutiveFairwaysHit",2014
28,28,"Hideki Matsuyama",24,19,1,"ConsecutiveFairwaysHit",2014
28,28,"Kyle Stanley",28,19,1,"ConsecutiveFairwaysHit",2014
28,28,"Chris Stroud",25,19,NA,"ConsecutiveFairwaysHit",2014
28,28,"Brian Stuard",29,19,1,"ConsecutiveFairwaysHit",2014
28,28,"Daniel Summerhays",27,19,NA,"ConsecutiveFairwaysHit",2014
28,28,"Tim Wilkinson",25,19,1,"ConsecutiveFairwaysHit",2014
42,42,"Greg Chalmers",27,18,1,"ConsecutiveFairwaysHit",2014
42,42,"Ben Crane",25,18,4,"ConsecutiveFairwaysHit",2014
42,42,"Derek Ernst",28,18,NA,"ConsecutiveFairwaysHit",2014
42,42,"Sergio Garcia",16,18,NA,"ConsecutiveFairwaysHit",2014
42,42,"Davis Love III",22,18,NA,"ConsecutiveFairwaysHit",2014
42,42,"George McNeill",24,18,NA,"ConsecutiveFairwaysHit",2014
42,42,"Ryan Moore",24,18,NA,"ConsecutiveFairwaysHit",2014
42,42,"Geoff Ogilvy",26,18,NA,"ConsecutiveFairwaysHit",2014
42,42,"Dicky Pride",13,18,2,"ConsecutiveFairwaysHit",2014
42,42,"Adam Scott",17,18,NA,"ConsecutiveFairwaysHit",2014
42,42,"Nick Watney",25,18,1,"ConsecutiveFairwaysHit",2014
53,53,"Woody Austin",22,17,3,"ConsecutiveFairwaysHit",2014
53,53,"Scott Brown",30,17,NA,"ConsecutiveFairwaysHit",2014
53,53,"Mark Calcavecchia",8,17,NA,"ConsecutiveFairwaysHit",2014
