"ConsecutiveGIR_RANKTHISWEEK_2010","ConsecutiveGIR_RANKLASTWEEK_2010","ConsecutiveGIR_PLAYERNAME_2010","ConsecutiveGIR_EVENTS_2010","ConsecutiveGIR_STREAK_2010","ConsecutiveGIR_CURRENTSTREAK_2010","ConsecutiveGIR_ROUND_2010","ConsecutiveGIR_HOLE_2010","ConsecutiveGIR_YEARTOURN_2010","stat_name","year"
1,1,"Craig Bowden",20,35,6,2,7,2010330,"ConsecutiveGIR",2010
1,1,"Rocco Mediate",25,35,1,4,11,2010330,"ConsecutiveGIR",2010
3,3,"Mark Wilson",28,34,NA,2,10,2010460,"ConsecutiveGIR",2010
4,4,"Charles Warren",21,32,4,1,13,2010490,"ConsecutiveGIR",2010
5,5,"Jerry Kelly",29,31,NA,2,8,2010340,"ConsecutiveGIR",2010
5,5,"Rory Sabbatini",26,31,NA,4,13,2010230,"ConsecutiveGIR",2010
7,7,"Brent Delahoussaye",21,30,7,4,9,2010330,"ConsecutiveGIR",2010
8,8,"Marc Leishman",26,29,NA,2,9,2010330,"ConsecutiveGIR",2010
8,8,"Billy Mayfair",26,29,NA,4,4,2010340,"ConsecutiveGIR",2010
8,8,"Rod Pampling",26,29,NA,1,7,2010290,"ConsecutiveGIR",2010
8,8,"Jimmy Walker",27,29,1,3,4,2010330,"ConsecutiveGIR",2010
12,12,"Joe Durant",19,28,2,1,5,2010370,"ConsecutiveGIR",2010
13,13,"Alex Prugh",28,27,1,2,2,2010370,"ConsecutiveGIR",2010
13,13,"Charlie Wi",27,27,NA,2,8,2010100,"ConsecutiveGIR",2010
15,15,"Chad Campbell",28,26,12,1,10,2010150,"ConsecutiveGIR",2010
15,15,"Brendon de Jonge",32,26,1,3,8,2010330,"ConsecutiveGIR",2010
15,15,"Lucas Glover",23,26,9,2,9,2010010,"ConsecutiveGIR",2010
15,15,"Tim Herron",24,26,NA,2,3,2010330,"ConsecutiveGIR",2010
15,15,"Zach Johnson",25,26,5,1,4,2010230,"ConsecutiveGIR",2010
15,15,"John Senden",30,26,NA,4,13,2010440,"ConsecutiveGIR",2010
15,15,"Kevin Sutherland",25,26,1,4,8,2010140,"ConsecutiveGIR",2010
15,15,"Roger Tambellini",26,26,4,3,12,2010330,"ConsecutiveGIR",2010
23,23,"JP Hayes",25,25,3,2,12,2010060,"ConsecutiveGIR",2010
23,23,"Charles Howell III",28,25,5,1,8,2010330,"ConsecutiveGIR",2010
23,23,"Justin Leonard",27,25,1,1,1,2010370,"ConsecutiveGIR",2010
23,23,"Steve Lowery",25,25,NA,3,5,2010440,"ConsecutiveGIR",2010
23,23,"Edoardo Molinari",8,25,2,2,18,2010310,"ConsecutiveGIR",2010
28,28,"Ben Crane",24,24,1,1,3,2010040,"ConsecutiveGIR",2010
28,28,"Ben Curtis",24,24,NA,4,18,2010260,"ConsecutiveGIR",2010
28,28,"Glen Day",13,24,2,1,13,2010330,"ConsecutiveGIR",2010
28,28,"Troy Matteson",28,24,NA,1,8,2010010,"ConsecutiveGIR",2010
28,28,"Graeme McDowell",10,24,NA,3,18,2010310,"ConsecutiveGIR",2010
28,28,"Pat Perez",27,24,NA,4,4,2010330,"ConsecutiveGIR",2010
34,34,"Kris Blanks",30,23,2,2,18,2010220,"ConsecutiveGIR",2010
34,34,"Freddie Jacobson",24,23,1,3,4,2010030,"ConsecutiveGIR",2010
34,34,"Brett Quigley",29,23,NA,1,16,2010460,"ConsecutiveGIR",2010
34,34,"Kevin Streelman",28,23,NA,2,8,2010340,"ConsecutiveGIR",2010
34,34,"DJ Trahan",27,23,1,2,14,2010370,"ConsecutiveGIR",2010
39,39,"Robert Allenby",22,22,NA,1,11,2010440,"ConsecutiveGIR",2010
39,39,"Ricky Barnes",28,22,15,1,7,2010330,"ConsecutiveGIR",2010
39,39,"Mathew Goggin",28,22,1,1,1,2010290,"ConsecutiveGIR",2010
39,39,"JJ Henry",27,22,NA,4,8,2010370,"ConsecutiveGIR",2010
39,39,"Michael Letzig",27,22,NA,2,5,2010370,"ConsecutiveGIR",2010
39,39,"Spencer Levin",31,22,NA,1,9,2010290,"ConsecutiveGIR",2010
39,39,"Kenny Perry",20,22,NA,4,2,2010010,"ConsecutiveGIR",2010
39,39,"Robert Rock",1,22,10,1,2,2010310,"ConsecutiveGIR",2010
39,39,"John Rollins",26,22,NA,2,16,2010330,"ConsecutiveGIR",2010
39,39,"Nicholas Thompson",29,22,NA,4,16,2010330,"ConsecutiveGIR",2010
39,39,"Omar Uresti",27,22,6,3,14,2010370,"ConsecutiveGIR",2010
39,39,"Boo Weekley",27,22,NA,2,3,2010030,"ConsecutiveGIR",2010
39,39,"Jay Williamson",24,22,2,4,15,2010340,"ConsecutiveGIR",2010
39,39,"Garrett Willis",24,22,8,2,10,2010330,"ConsecutiveGIR",2010
53,53,"Briny Baird",28,21,1,1,6,2010030,"ConsecutiveGIR",2010
53,53,"Cameron Beckman",25,21,4,1,15,2010440,"ConsecutiveGIR",2010
53,53,"Michael Bradley",24,21,3,3,4,2010440,"ConsecutiveGIR",2010
53,53,"Stewart Cink",23,21,1,1,14,2010010,"ConsecutiveGIR",2010
53,53,"Steve Elkington",22,21,1,3,14,2010340,"ConsecutiveGIR",2010
53,53,"Bob Estes",26,21,1,2,13,2010150,"ConsecutiveGIR",2010
53,53,"Sergio Garcia",15,21,1,2,3,2010330,"ConsecutiveGIR",2010
53,53,"Bill Haas",25,21,1,1,12,2010440,"ConsecutiveGIR",2010
53,53,"Martin Kaymer",10,21,NA,2,5,2010360,"ConsecutiveGIR",2010
53,53,"Anthony Kim",14,21,NA,1,3,2010090,"ConsecutiveGIR",2010
53,53,"Matt Kuchar",26,21,2,2,8,2010010,"ConsecutiveGIR",2010
53,53,"John Mallinger",29,21,3,2,11,2010300,"ConsecutiveGIR",2010
53,53,"Ryan Moore",24,21,NA,3,17,2010010,"ConsecutiveGIR",2010
53,53,"Scott Piercy",28,21,NA,1,14,2010330,"ConsecutiveGIR",2010
53,53,"Heath Slocum",25,21,NA,1,11,2010440,"ConsecutiveGIR",2010
53,53,"Kevin Stadler",28,21,NA,1,13,2010090,"ConsecutiveGIR",2010
53,53,"Vaughn Taylor",26,21,NA,2,13,2010030,"ConsecutiveGIR",2010
53,53,"Josh Teater",31,21,NA,2,1,2010060,"ConsecutiveGIR",2010
53,53,"Marc Turnesa",7,21,1,1,14,2010460,"ConsecutiveGIR",2010
53,53,"Bubba Watson",22,21,NA,5,8,2010030,"ConsecutiveGIR",2010
73,73,"Paul Casey",17,20,NA,2,18,2010310,"ConsecutiveGIR",2010
73,73,"Simon Dyson",8,20,NA,1,5,2010310,"ConsecutiveGIR",2010
73,73,"Martin Flores",26,20,1,2,1,2010030,"ConsecutiveGIR",2010
73,73,"Lee Janzen",26,20,NA,3,1,2010230,"ConsecutiveGIR",2010
73,73,"Kent Jones",9,20,6,3,13,2010300,"ConsecutiveGIR",2010
73,73,"Martin Laird",26,20,3,1,9,2010010,"ConsecutiveGIR",2010
73,73,"Davis Love III",24,20,NA,4,18,2010440,"ConsecutiveGIR",2010
73,73,"John Merrick",31,20,NA,3,16,2010290,"ConsecutiveGIR",2010
73,73,"Sean OHair",25,20,1,4,15,2010280,"ConsecutiveGIR",2010
73,73,"Greg Owen",27,20,3,2,5,2010370,"ConsecutiveGIR",2010
73,73,"Webb Simpson",31,20,NA,3,3,2010460,"ConsecutiveGIR",2010
73,73,"Chris Stroud",27,20,2,3,8,2010320,"ConsecutiveGIR",2010
73,73,"Johnson Wagner",28,20,2,1,13,2010450,"ConsecutiveGIR",2010
86,86,"Blake Adams",26,19,NA,1,7,2010440,"ConsecutiveGIR",2010
86,86,"Arjun Atwal",13,19,NA,1,16,2010220,"ConsecutiveGIR",2010
86,86,"Jason Bohn",25,19,NA,3,2,2010060,"ConsecutiveGIR",2010
86,86,"Alex Cejka",28,19,1,1,13,2010200,"ConsecutiveGIR",2010
86,86,"Fred Couples",7,19,1,4,3,2010050,"ConsecutiveGIR",2010
86,86,"John Daly",20,19,8,2,16,2010270,"ConsecutiveGIR",2010
86,86,"Steve Flesch",25,19,3,1,15,2010370,"ConsecutiveGIR",2010
86,86,"Robert Garrigus",22,19,NA,2,1,2010220,"ConsecutiveGIR",2010
86,86,"Mathias Gronberg",22,19,NA,1,16,2010440,"ConsecutiveGIR",2010
86,86,"Kevin Johnson",26,19,1,3,17,2010030,"ConsecutiveGIR",2010
86,86,"Dustin Johnson",23,19,4,1,13,2010010,"ConsecutiveGIR",2010
86,86,"Bill Lunde",28,19,5,4,16,2010030,"ConsecutiveGIR",2010
86,86,"Garth Mulroy",19,19,3,3,5,2010340,"ConsecutiveGIR",2010
86,86,"Cameron Percy",25,19,NA,3,1,2010490,"ConsecutiveGIR",2010
86,86,"Roland Thatcher",26,19,1,1,18,2010340,"ConsecutiveGIR",2010
86,86,"Steven Tiley",1,19,NA,1,1,2010310,"ConsecutiveGIR",2010
86,86,"Dean Wilson",18,19,NA,2,5,2010450,"ConsecutiveGIR",2010
103,103,"Michael Allen",17,18,NA,1,4,2010040,"ConsecutiveGIR",2010
103,103,"Henrik Bjornstad",26,18,NA,3,17,2010030,"ConsecutiveGIR",2010
103,103,"Greg Chalmers",27,18,NA,4,3,2010240,"ConsecutiveGIR",2010
103,103,"David Duval",24,18,1,2,1,2010370,"ConsecutiveGIR",2010
103,103,"Rickie Fowler",28,18,12,2,17,2010060,"ConsecutiveGIR",2010
103,103,"Jim Furyk",21,18,NA,2,12,2010360,"ConsecutiveGIR",2010
103,103,"Jason Gore",10,18,NA,1,8,2010370,"ConsecutiveGIR",2010
103,103,"Paul Goydos",25,18,3,1,17,2010290,"ConsecutiveGIR",2010
103,103,"Alex Hamilton",2,18,1,2,9,2010440,"ConsecutiveGIR",2010
103,103,"Soren Hansen",7,18,2,1,1,2010310,"ConsecutiveGIR",2010
103,103,"JB Holmes",26,18,NA,4,14,2010400,"ConsecutiveGIR",2010
103,103,"Richard Johnson",27,18,5,1,7,2010330,"ConsecutiveGIR",2010
103,103,"Jeff Maggert",28,18,2,1,12,2010440,"ConsecutiveGIR",2010
103,103,"George McNeill",28,18,NA,1,5,2010440,"ConsecutiveGIR",2010
103,103,"Shaun Micheel",21,18,NA,1,13,2010180,"ConsecutiveGIR",2010
103,103,"Phil Mickelson",20,18,NA,1,10,2010060,"ConsecutiveGIR",2010
103,103,"Francesco Molinari",8,18,1,2,1,2010200,"ConsecutiveGIR",2010
103,103,"Kevin Na",26,18,2,2,10,2010330,"ConsecutiveGIR",2010
103,103,"Joe Ogilvie",32,18,NA,2,6,2010440,"ConsecutiveGIR",2010
103,103,"Jeff Overton",26,18,NA,1,8,2010030,"ConsecutiveGIR",2010
103,103,"DA Points",29,18,3,2,9,2010290,"ConsecutiveGIR",2010
103,103,"Aron Price",22,18,NA,2,1,2010300,"ConsecutiveGIR",2010
103,103,"Jeff Quinney",29,18,1,2,13,2010370,"ConsecutiveGIR",2010
103,103,"Jason Schultz",1,18,4,1,5,2010220,"ConsecutiveGIR",2010
103,103,"Jeev Milkha Singh",19,18,NA,1,1,2010370,"ConsecutiveGIR",2010
103,103,"Paul Stankowski",18,18,12,3,10,2010290,"ConsecutiveGIR",2010
103,103,"Chris Tidland",24,18,1,4,17,2010450,"ConsecutiveGIR",2010
103,103,"David Toms",25,18,NA,4,8,2010370,"ConsecutiveGIR",2010
103,103,"Scott Verplank",22,18,NA,1,13,2010310,"ConsecutiveGIR",2010
103,103,"Brett Wetterich",16,18,1,1,15,2010340,"ConsecutiveGIR",2010
133,133,"Stephen Ames",23,17,8,3,3,2010010,"ConsecutiveGIR",2010
133,133,"Craig Barlow",10,17,1,2,17,2010370,"ConsecutiveGIR",2010
133,133,"Jonathan Byrd",26,17,7,2,6,2010460,"ConsecutiveGIR",2010
133,133,"Tim Clark",24,17,NA,4,6,2010020,"ConsecutiveGIR",2010
133,133,"Chad Collins",26,17,4,3,4,2010370,"ConsecutiveGIR",2010
133,133,"Jason Day",24,17,NA,4,9,2010060,"ConsecutiveGIR",2010
133,133,"Chris DiMarco",25,17,NA,1,6,2010280,"ConsecutiveGIR",2010
133,133,"Tom Gillis",27,17,1,3,1,2010370,"ConsecutiveGIR",2010
133,133,"Retief Goosen",19,17,NA,2,6,2010270,"ConsecutiveGIR",2010
133,133,"Jeff Gove",22,17,NA,2,16,2010030,"ConsecutiveGIR",2010
133,133,"Billy Horschel",4,17,12,2,15,2010030,"ConsecutiveGIR",2010
133,133,"Ryuji Imada",28,17,NA,2,4,2010460,"ConsecutiveGIR",2010
133,133,"Trevor Immelman",19,17,NA,4,11,2010160,"ConsecutiveGIR",2010
133,133,"Paul Lawrie",1,17,1,1,5,2010310,"ConsecutiveGIR",2010
133,133,"Shane Lowry",2,17,NA,1,3,2010310,"ConsecutiveGIR",2010
133,133,"Hunter Mahan",25,17,2,2,5,2010090,"ConsecutiveGIR",2010
133,133,"Steve Marino",24,17,NA,2,16,2010310,"ConsecutiveGIR",2010
133,133,"Rory McIlroy",16,17,1,2,5,2010240,"ConsecutiveGIR",2010
133,133,"Troy Merritt",29,17,1,2,15,2010440,"ConsecutiveGIR",2010
133,133,"Geoff Ogilvy",19,17,1,4,5,2010390,"ConsecutiveGIR",2010
133,133,"Brenden Pappas",24,17,NA,3,10,2010180,"ConsecutiveGIR",2010
133,133,"Tim Petrovic",32,17,NA,2,3,2010330,"ConsecutiveGIR",2010
133,133,"Fran Quinn",7,17,NA,2,4,2010060,"ConsecutiveGIR",2010
133,133,"Vijay Singh",24,17,NA,3,15,2010400,"ConsecutiveGIR",2010
133,133,"Brian Stuard",28,17,1,1,6,2010330,"ConsecutiveGIR",2010
133,133,"Cameron Tringale",22,17,NA,3,9,2010460,"ConsecutiveGIR",2010
133,133,"Vance Veazey",23,17,6,2,1,2010370,"ConsecutiveGIR",2010
133,133,"Nick Watney",24,17,3,3,6,2010410,"ConsecutiveGIR",2010
161,161,"Rich Beem",11,16,NA,2,9,2010130,"ConsecutiveGIR",2010
161,161,"Justin Bolli",23,16,NA,1,6,2010290,"ConsecutiveGIR",2010
161,161,"Mark Calcavecchia",16,16,1,1,18,2010310,"ConsecutiveGIR",2010
161,161,"Michael Connell",25,16,1,2,5,2010340,"ConsecutiveGIR",2010
161,161,"Ernie Els",20,16,NA,1,18,2010040,"ConsecutiveGIR",2010
161,161,"Ross Fisher",10,16,5,1,1,2010310,"ConsecutiveGIR",2010
161,161,"Anders Hansen",6,16,5,1,18,2010310,"ConsecutiveGIR",2010
161,161,"Matt Jones",27,16,NA,3,15,2010440,"ConsecutiveGIR",2010
161,161,"Greg Kraft",22,16,1,3,3,2010460,"ConsecutiveGIR",2010
161,161,"Derek Lamely",28,16,NA,4,3,2010030,"ConsecutiveGIR",2010
161,161,"Bryce Molder",26,16,NA,3,14,2010060,"ConsecutiveGIR",2010
161,161,"Louis Oosthuizen",5,16,NA,2,13,2010260,"ConsecutiveGIR",2010
161,161,"Ian Poulter",15,16,NA,3,13,2010090,"ConsecutiveGIR",2010
161,161,"Kirk Triplett",11,16,4,4,8,2010370,"ConsecutiveGIR",2010
161,161,"Jerod Turner",21,16,NA,1,11,2010060,"ConsecutiveGIR",2010
161,161,"Lee Westwood",11,16,NA,3,10,2010150,"ConsecutiveGIR",2010
161,161,"Tiger Woods",12,16,5,1,1,2010310,"ConsecutiveGIR",2010
161,161,"YE Yang",21,16,NA,1,1,2010310,"ConsecutiveGIR",2010
179,179,"Joseph Bramlett",2,15,NA,1,9,2010450,"ConsecutiveGIR",2010
179,179,"Andrew Coltart",1,15,1,1,5,2010310,"ConsecutiveGIR",2010
179,179,"Brian Davis",32,15,1,2,17,2010450,"ConsecutiveGIR",2010
179,179,"Marco Dawson",10,15,4,2,9,2010270,"ConsecutiveGIR",2010
179,179,"Graham DeLaet",28,15,8,2,2,2010460,"ConsecutiveGIR",2010
179,179,"James Driscoll",26,15,NA,1,12,2010450,"ConsecutiveGIR",2010
179,179,"Matt Every",18,15,NA,4,6,2010030,"ConsecutiveGIR",2010
179,179,"Carlos Franco",11,15,5,1,4,2010340,"ConsecutiveGIR",2010
179,179,"Harrison Frazar",17,15,NA,3,10,2010030,"ConsecutiveGIR",2010
179,179,"Todd Hamilton",20,15,1,1,3,2010440,"ConsecutiveGIR",2010
179,179,"Skip Kendall",18,15,NA,4,8,2010330,"ConsecutiveGIR",2010
179,179,"Jeff Klauk",13,15,1,2,13,2010040,"ConsecutiveGIR",2010
179,179,"Cliff Kresge",17,15,NA,4,5,2010270,"ConsecutiveGIR",2010
179,179,"David Lutterus",25,15,NA,1,11,2010490,"ConsecutiveGIR",2010
179,179,"Scott McCarron",29,15,NA,2,14,2010460,"ConsecutiveGIR",2010
179,179,"Ryan Palmer",27,15,NA,1,16,2010020,"ConsecutiveGIR",2010
179,179,"Chez Reavie",15,15,NA,1,15,2010060,"ConsecutiveGIR",2010
179,179,"Chris Riley",24,15,1,3,3,2010330,"ConsecutiveGIR",2010
179,179,"Justin Rose",22,15,NA,2,13,2010040,"ConsecutiveGIR",2010
179,179,"Adam Scott",20,15,NA,1,8,2010150,"ConsecutiveGIR",2010
179,179,"Brandt Snedeker",26,15,1,2,3,2010360,"ConsecutiveGIR",2010
179,179,"Shunsuke Sonoda",1,15,NA,1,5,2010310,"ConsecutiveGIR",2010
