"LowestRound_RANKTHISWEEK_2013","LowestRound_RANKLASTWEEK_2013","LowestRound_PLAYERNAME_2013","LowestRound_ROUNDS_2013","LowestRound_VALUE_2013","LowestRound_TOURNCOURSE_2013","LowestRound_ROUND_2013","stat_name","year"
1,1,"Jim Furyk",80,59,NA,2,"LowestRound",2013
2,2,"Keegan Bradley",88,60,NA,1,"LowestRound",2013
2,2,"Phil Mickelson",78,60,NA,1,"LowestRound",2013
4,4,"Charley Hoffman",84,61,NA,1,"LowestRound",2013
4,4,"Matt Kuchar",93,61,NA,3,"LowestRound",2013
4,4,"Scott Piercy",78,61,NA,4,"LowestRound",2013
4,4,"Chez Reavie",72,61,NA,2,"LowestRound",2013
4,4,"Tiger Woods",61,61,NA,2,"LowestRound",2013
9,9,"Kevin Chappell",80,62,NA,3,"LowestRound",2013
9,9,"Franklin Corpening",4,62,NA,4,"LowestRound",2013
9,9,"Graham DeLaet",94,62,NA,3,"LowestRound",2013
9,9,"Harris English",95,62,NA,3,"LowestRound",2013
9,9,"Matt Every",89,62,NA,2,"LowestRound",2013
9,9,"Tommy Gainey",84,62,NA,1,"LowestRound",2013
9,9,"Lucas Glover",65,62,NA,2,"LowestRound",2013
9,9,"James Hahn",78,62,NA,4,"LowestRound",2013
9,9,"John Huh",88,62,NA,2,"LowestRound",2013
9,9,"Matt Jones",83,62,NA,4,"LowestRound",2013
9,9,"Chris Kirk",89,62,NA,2,"LowestRound",2013
9,9,"Scott Langley",79,62,NA,1,"LowestRound",2013
9,9,"David Lingmerth",68,62,NA,4,"LowestRound",2013
9,9,"Hunter Mahan",91,62,NA,1,"LowestRound",2013
9,9,"Billy Mayfair",34,62,NA,2,"LowestRound",2013
9,9,"John Merrick",79,62,NA,2,"LowestRound",2013
9,9,"Ryan Palmer",79,62,NA,1,"LowestRound",2013
9,9,"Jordan Spieth",82,62,NA,4,"LowestRound",2013
9,9,"Brian Stuard",78,62,NA,3,"LowestRound",2013
9,9,"Daniel Summerhays",83,62,NA,3,"LowestRound",2013
9,9,"David Toms",49,62,NA,4,"LowestRound",2013
9,9,"Johnson Wagner",64,62,NA,1,"LowestRound",2013
31,31,"Scott Brown",65,63,NA,2,"LowestRound",2013
31,31,"Angel Cabrera",73,63,NA,4,"LowestRound",2013
31,31,"Roberto Castro",97,63,NA,1,"LowestRound",2013
31,31,"Bud Cauley",67,63,NA,2,"LowestRound",2013
31,31,"Tim Clark",64,63,NA,4,"LowestRound",2013
31,31,"Erik Compton",74,63,NA,2,"LowestRound",2013
31,31,"Brian Davis",91,63,NA,1,"LowestRound",2013
31,31,"Jason Dufner",78,63,NA,2,"LowestRound",2013
31,31,"Bob Estes",66,63,NA,4,"LowestRound",2013
31,31,"Martin Flores",83,63,NA,4,"LowestRound",2013
31,31,"Brian Gay",79,63,NA,4,"LowestRound",2013
31,31,"Tom Gillis",69,63,NA,2,"LowestRound",2013
31,31,"Luke Guthrie",82,63,NA,2,"LowestRound",2013
31,31,"Padraig Harrington",52,63,NA,3,"LowestRound",2013
31,31,"Russell Henley",80,63,NA,4,"LowestRound",2013
31,31,"Morgan Hoffmann",64,63,NA,3,"LowestRound",2013
31,31,"Dustin Johnson",71,63,NA,3,"LowestRound",2013
31,31,"Martin Kaymer",61,63,NA,4,"LowestRound",2013
31,31,"Jason Kokrak",78,63,NA,1,"LowestRound",2013
31,31,"Martin Laird",68,63,NA,4,"LowestRound",2013
31,31,"Pat Perez",69,63,NA,2,"LowestRound",2013
31,31,"Patrick Reed",83,63,NA,2,"LowestRound",2013
31,31,"John Rollins",77,63,NA,1,"LowestRound",2013
31,31,"Justin Rose",62,63,NA,2,"LowestRound",2013
31,31,"Charl Schwartzel",69,63,NA,1,"LowestRound",2013
31,31,"Webb Simpson",92,63,NA,4,"LowestRound",2013
31,31,"Brandt Snedeker",79,63,NA,1,"LowestRound",2013
31,31,"Kevin Stadler",83,63,NA,4,"LowestRound",2013
31,31,"Scott Stallings",79,63,NA,3,"LowestRound",2013
31,31,"Henrik Stenson",65,63,NA,2,"LowestRound",2013
31,31,"Steve Stricker",51,63,NA,3,"LowestRound",2013
31,31,"Bubba Watson",76,63,NA,1,"LowestRound",2013
31,31,"Boo Weekley",100,63,NA,4,"LowestRound",2013
31,31,"Charlie Wi",75,63,NA,2,"LowestRound",2013
31,31,"YE Yang",56,63,NA,4,"LowestRound",2013
66,66,"Mark Anderson",4,64,NA,2,"LowestRound",2013
66,66,"Aaron Baddeley",68,64,NA,1,"LowestRound",2013
66,66,"Sangmoon Bae",83,64,NA,2,"LowestRound",2013
66,66,"Ricky Barnes",74,64,NA,1,"LowestRound",2013
66,66,"Cameron Beckman",20,64,NA,2,"LowestRound",2013
66,66,"Matt Bettencourt",29,64,NA,2,"LowestRound",2013
66,66,"Jason Bohn",70,64,NA,3,"LowestRound",2013
66,66,"Greg Chalmers",77,64,NA,1,"LowestRound",2013
66,66,"Ben Crane",62,64,NA,3,"LowestRound",2013
66,66,"Ross Fisher",44,64,NA,1,"LowestRound",2013
66,66,"Steve Flesch",17,64,NA,2,"LowestRound",2013
66,66,"Rickie Fowler",75,64,NA,2,"LowestRound",2013
66,66,"Sergio Garcia",65,64,NA,2,"LowestRound",2013
66,66,"Scott Gardiner",61,64,NA,2,"LowestRound",2013
66,66,"Fabian Gomez",65,64,NA,2,"LowestRound",2013
66,66,"Andres Gonzales",42,64,NA,4,"LowestRound",2013
66,66,"Bill Haas",85,64,NA,3,"LowestRound",2013
66,66,"David Hearn",88,64,NA,3,"LowestRound",2013
66,66,"Justin Hicks",79,64,NA,2,"LowestRound",2013
66,66,"Billy Horschel",96,64,NA,4,"LowestRound",2013
66,66,"Charles Howell III",87,64,NA,4,"LowestRound",2013
66,66,"Trevor Immelman",73,64,NA,2,"LowestRound",2013
66,66,"Zach Johnson",84,64,NA,1,"LowestRound",2013
66,66,"Robert Karlsson",56,64,NA,1,"LowestRound",2013
66,66,"Jerry Kelly",75,64,NA,2,"LowestRound",2013
66,66,"Russell Knox",38,64,NA,1,"LowestRound",2013
66,66,"Doug LaBelle II",72,64,NA,1,"LowestRound",2013
66,66,"Steve LeBrun",66,64,NA,4,"LowestRound",2013
66,66,"DH Lee",65,64,NA,4,"LowestRound",2013
66,66,"Marc Leishman",77,64,NA,3,"LowestRound",2013
66,66,"Jeff Maggert",63,64,NA,1,"LowestRound",2013
66,66,"Troy Matteson",68,64,NA,2,"LowestRound",2013
66,66,"Rory McIlroy",56,64,NA,3,"LowestRound",2013
66,66,"George McNeill",68,64,NA,2,"LowestRound",2013
66,66,"Bryce Molder",82,64,NA,4,"LowestRound",2013
66,66,"Kevin Na",22,64,NA,2,"LowestRound",2013
66,66,"Henrik Norlander",70,64,NA,2,"LowestRound",2013
66,66,"Jeff Overton",78,64,NA,4,"LowestRound",2013
66,66,"Jin Park",52,64,NA,1,"LowestRound",2013
66,66,"John Peterson",21,64,NA,1,"LowestRound",2013
66,66,"DA Points",87,64,NA,1,"LowestRound",2013
66,66,"Ted Potter Jr",65,64,NA,1,"LowestRound",2013
66,66,"Dicky Pride",71,64,NA,3,"LowestRound",2013
66,66,"Adam Scott",61,64,NA,4,"LowestRound",2013
66,66,"Joey Snyder III",38,64,NA,2,"LowestRound",2013
66,66,"Brendan Steele",86,64,NA,3,"LowestRound",2013
66,66,"Robert Streb",75,64,NA,4,"LowestRound",2013
66,66,"Chris Stroud",88,64,NA,1,"LowestRound",2013
66,66,"Nicholas Thompson",99,64,NA,3,"LowestRound",2013
66,66,"Brendon Todd",37,64,NA,4,"LowestRound",2013
66,66,"Bo Van Pelt",72,64,NA,4,"LowestRound",2013
66,66,"Camilo Villegas",79,64,NA,1,"LowestRound",2013
66,66,"Jimmy Walker",84,64,NA,3,"LowestRound",2013
66,66,"Nick Watney",88,64,NA,4,"LowestRound",2013
66,66,"Gary Woodland",94,64,NA,2,"LowestRound",2013
121,121,"Stephen Ames",49,65,NA,1,"LowestRound",2013
121,121,"Billy Andrade",9,65,NA,4,"LowestRound",2013
121,121,"Woody Austin",21,65,NA,2,"LowestRound",2013
121,121,"Shane Bertsch",4,65,NA,3,"LowestRound",2013
121,121,"Justin Bolli",59,65,NA,4,"LowestRound",2013
121,121,"Steven Bowditch",67,65,NA,4,"LowestRound",2013
121,121,"Michael Bradley",56,65,NA,1,"LowestRound",2013
121,121,"Chad Campbell",78,65,NA,3,"LowestRound",2013
121,121,"Patrick Cantlay",18,65,NA,1,"LowestRound",2013
121,121,"KJ Choi",85,65,NA,2,"LowestRound",2013
121,121,"Gary Christian",26,65,NA,2,"LowestRound",2013
121,121,"Nicolas Colsaerts",50,65,NA,1,"LowestRound",2013
121,121,"Glen Day",19,65,NA,4,"LowestRound",2013
121,121,"Brendon de Jonge",110,65,NA,4,"LowestRound",2013
121,121,"Ken Duke",87,65,NA,3,"LowestRound",2013
121,121,"Ernie Els",63,65,NA,4,"LowestRound",2013
121,121,"Zack Fischer",10,65,NA,2,"LowestRound",2013
121,121,"Brad Fritsch",81,65,NA,2,"LowestRound",2013
121,121,"Robert Garrigus",69,65,NA,1,"LowestRound",2013
121,121,"Jeff Gove",44,65,NA,2,"LowestRound",2013
121,121,"Branden Grace",35,65,NA,1,"LowestRound",2013
121,121,"Brian Harman",89,65,NA,2,"LowestRound",2013
121,121,"JJ Henry",83,65,NA,3,"LowestRound",2013
121,121,"Jim Herman",59,65,NA,4,"LowestRound",2013
121,121,"Ryuji Imada",18,65,NA,1,"LowestRound",2013
121,121,"Freddie Jacobson",63,65,NA,2,"LowestRound",2013
121,121,"Miguel Angel Jimenez",12,65,NA,3,"LowestRound",2013
121,121,"Brandt Jobe",62,65,NA,2,"LowestRound",2013
121,121,"Kevin Kisner",4,65,NA,1,"LowestRound",2013
121,121,"Colt Knost",69,65,NA,2,"LowestRound",2013
121,121,"Hank Kuehne",16,65,NA,1,"LowestRound",2013
121,121,"Neal Lancaster",18,65,NA,1,"LowestRound",2013
121,121,"Richard Lee",81,65,NA,2,"LowestRound",2013
121,121,"Justin Leonard",86,65,NA,1,"LowestRound",2013
121,121,"David Lynn",70,65,NA,2,"LowestRound",2013
121,121,"John Mallinger",39,65,NA,1,"LowestRound",2013
121,121,"David Mathis",71,65,NA,2,"LowestRound",2013
121,121,"Hideki Matsuyama",26,65,NA,2,"LowestRound",2013
121,121,"Graeme McDowell",53,65,NA,2,"LowestRound",2013
121,121,"Ryan Moore",72,65,NA,3,"LowestRound",2013
121,121,"Geoff Ogilvy",57,65,NA,4,"LowestRound",2013
121,121,"Louis Oosthuizen",30,65,NA,3,"LowestRound",2013
121,121,"Greg Owen",73,65,NA,1,"LowestRound",2013
121,121,"Rod Pampling",46,65,NA,1,"LowestRound",2013
