"VictoryLeaders_RANKTHISWEEK_2012","VictoryLeaders_RANKLASTWEEK_2012","VictoryLeaders_PLAYERNAME_2012","VictoryLeaders_EVENTS_2012","VictoryLeaders_VICTORIES_2012","stat_name","year"
1,1,"Rory McIlroy",16,4,"VictoryLeaders",2012
2,2,"Tiger Woods",19,3,"VictoryLeaders",2012
3,3,"Jason Dufner",22,2,"VictoryLeaders",2012
3,3,"Zach Johnson",25,2,"VictoryLeaders",2012
3,3,"Hunter Mahan",23,2,"VictoryLeaders",2012
3,3,"Brandt Snedeker",22,2,"VictoryLeaders",2012
7,7,"Charlie Beljan",22,1,"VictoryLeaders",2012
7,7,"Jonas Blixt",21,1,"VictoryLeaders",2012
7,7,"Keegan Bradley",25,1,"VictoryLeaders",2012
7,7,"Ben Curtis",19,1,"VictoryLeaders",2012
7,7,"Luke Donald",17,1,"VictoryLeaders",2012
7,7,"Ernie Els",22,1,"VictoryLeaders",2012
7,7,"Rickie Fowler",23,1,"VictoryLeaders",2012
7,7,"Tommy Gainey",32,1,"VictoryLeaders",2012
7,7,"Sergio Garcia",16,1,"VictoryLeaders",2012
7,7,"Bill Haas",23,1,"VictoryLeaders",2012
7,7,"JJ Henry",28,1,"VictoryLeaders",2012
7,7,"John Huh",28,1,"VictoryLeaders",2012
7,7,"Dustin Johnson",19,1,"VictoryLeaders",2012
7,7,"Matt Kuchar",22,1,"VictoryLeaders",2012
7,7,"Marc Leishman",23,1,"VictoryLeaders",2012
7,7,"George McNeill",25,1,"VictoryLeaders",2012
7,7,"Phil Mickelson",22,1,"VictoryLeaders",2012
7,7,"Ryan Moore",24,1,"VictoryLeaders",2012
7,7,"Carl Pettersson",26,1,"VictoryLeaders",2012
7,7,"Scott Piercy",28,1,"VictoryLeaders",2012
7,7,"Ted Potter Jr",25,1,"VictoryLeaders",2012
7,7,"Ian Poulter",15,1,"VictoryLeaders",2012
7,7,"Justin Rose",19,1,"VictoryLeaders",2012
7,7,"Webb Simpson",22,1,"VictoryLeaders",2012
7,7,"Scott Stallings",27,1,"VictoryLeaders",2012
7,7,"Kyle Stanley",27,1,"VictoryLeaders",2012
7,7,"Steve Stricker",19,1,"VictoryLeaders",2012
7,7,"Johnson Wagner",27,1,"VictoryLeaders",2012
7,7,"Nick Watney",26,1,"VictoryLeaders",2012
7,7,"Bubba Watson",19,1,"VictoryLeaders",2012
7,7,"Mark Wilson",25,1,"VictoryLeaders",2012
38,38,"Frank Adams III",1,NA,"VictoryLeaders",2012
38,38,"Blake Adams",32,NA,"VictoryLeaders",2012
38,38,"Thomas Aiken",4,NA,"VictoryLeaders",2012
38,38,"Lonny Alexander",2,NA,"VictoryLeaders",2012
38,38,"Steven Alker",1,NA,"VictoryLeaders",2012
38,38,"Steve Allan",0,NA,"VictoryLeaders",2012
38,38,"Fulton Allem",3,NA,"VictoryLeaders",2012
38,38,"Michael Allen",3,NA,"VictoryLeaders",2012
38,38,"Robert Allenby",27,NA,"VictoryLeaders",2012
38,38,"Max Alverio",1,NA,"VictoryLeaders",2012
38,38,"Stephen Ames",20,NA,"VictoryLeaders",2012
38,38,"Mark Anderson",25,NA,"VictoryLeaders",2012
38,38,"Billy Andrade",1,NA,"VictoryLeaders",2012
38,38,"Stuart Appleby",24,NA,"VictoryLeaders",2012
38,38,"Alex Aragon",1,NA,"VictoryLeaders",2012
38,38,"Connor Arendell",0,NA,"VictoryLeaders",2012
38,38,"Alvaro Arizabaleta",1,NA,"VictoryLeaders",2012
38,38,"Wu Ashun",0,NA,"VictoryLeaders",2012
38,38,"Arjun Atwal",27,NA,"VictoryLeaders",2012
38,38,"Woody Austin",7,NA,"VictoryLeaders",2012
38,38,"Eric Axley",3,NA,"VictoryLeaders",2012
38,38,"Aaron Baddeley",22,NA,"VictoryLeaders",2012
38,38,"Sangmoon Bae",25,NA,"VictoryLeaders",2012
38,38,"Briny Baird",13,NA,"VictoryLeaders",2012
38,38,"Matthew Baldwin",2,NA,"VictoryLeaders",2012
38,38,"Daniel Balin",1,NA,"VictoryLeaders",2012
38,38,"Craig Barlow",7,NA,"VictoryLeaders",2012
38,38,"Ricky Barnes",28,NA,"VictoryLeaders",2012
38,38,"Brian Bateman",4,NA,"VictoryLeaders",2012
38,38,"Cameron Beckman",26,NA,"VictoryLeaders",2012
38,38,"Lee Bedford",0,NA,"VictoryLeaders",2012
38,38,"Rich Beem",10,NA,"VictoryLeaders",2012
38,38,"Notah Begay III",5,NA,"VictoryLeaders",2012
