"Front9LowestRound_RANKTHISWEEK_2009","Front9LowestRound_RANKLASTWEEK_2009","Front9LowestRound_PLAYERNAME_2009","Front9LowestRound__2009","Front9LowestRound_LOWRND_2009","stat_name","year"
1,1,"Chris Riley",NA,27,"Front9LowestRound",2009
2,2,"Kevin Na",NA,28,"Front9LowestRound",2009
2,2,"Bo Van Pelt",NA,28,"Front9LowestRound",2009
4,4,"Tim Clark",NA,29,"Front9LowestRound",2009
4,4,"Joe Durant",NA,29,"Front9LowestRound",2009
4,4,"Jim Furyk",NA,29,"Front9LowestRound",2009
4,4,"Paul Goydos",NA,29,"Front9LowestRound",2009
4,4,"Skip Kendall",NA,29,"Front9LowestRound",2009
4,4,"Anthony Kim",NA,29,"Front9LowestRound",2009
4,4,"Jeff Klauk",NA,29,"Front9LowestRound",2009
4,4,"Martin Laird",NA,29,"Front9LowestRound",2009
4,4,"Michael Letzig",NA,29,"Front9LowestRound",2009
4,4,"Steve Lowery",NA,29,"Front9LowestRound",2009
4,4,"Troy Matteson",NA,29,"Front9LowestRound",2009
4,4,"Kenny Perry",NA,29,"Front9LowestRound",2009
4,4,"Jeev Milkha Singh",NA,29,"Front9LowestRound",2009
4,4,"Darron Stiles",NA,29,"Front9LowestRound",2009
4,4,"Vaughn Taylor",NA,29,"Front9LowestRound",2009
4,4,"Nicholas Thompson",NA,29,"Front9LowestRound",2009
4,4,"Scott Verplank",NA,29,"Front9LowestRound",2009
4,4,"Jimmy Walker",NA,29,"Front9LowestRound",2009
22,22,"Aaron Baddeley",NA,30,"Front9LowestRound",2009
22,22,"Briny Baird",NA,30,"Front9LowestRound",2009
22,22,"Cameron Beckman",NA,30,"Front9LowestRound",2009
22,22,"Jason Bohn",NA,30,"Front9LowestRound",2009
22,22,"Bart Bryant",NA,30,"Front9LowestRound",2009
22,22,"Mark Calcavecchia",NA,30,"Front9LowestRound",2009
22,22,"Paul Casey",NA,30,"Front9LowestRound",2009
22,22,"Greg Chalmers",NA,30,"Front9LowestRound",2009
22,22,"Fred Couples",NA,30,"Front9LowestRound",2009
22,22,"Ben Crane",NA,30,"Front9LowestRound",2009
22,22,"Jason Day",NA,30,"Front9LowestRound",2009
22,22,"Chris DiMarco",NA,30,"Front9LowestRound",2009
22,22,"Jason Dufner",NA,30,"Front9LowestRound",2009
22,22,"Ken Duke",NA,30,"Front9LowestRound",2009
22,22,"Steve Elkington",NA,30,"Front9LowestRound",2009
22,22,"Harrison Frazar",NA,30,"Front9LowestRound",2009
22,22,"Brian Gay",NA,30,"Front9LowestRound",2009
22,22,"Mathew Goggin",NA,30,"Front9LowestRound",2009
22,22,"Bill Haas",NA,30,"Front9LowestRound",2009
22,22,"Tim Herron",NA,30,"Front9LowestRound",2009
22,22,"Charley Hoffman",NA,30,"Front9LowestRound",2009
22,22,"Charles Howell III",NA,30,"Front9LowestRound",2009
22,22,"Ryuji Imada",NA,30,"Front9LowestRound",2009
22,22,"Zach Johnson",NA,30,"Front9LowestRound",2009
22,22,"Dustin Johnson",NA,30,"Front9LowestRound",2009
22,22,"Matt Jones",NA,30,"Front9LowestRound",2009
22,22,"Jerry Kelly",NA,30,"Front9LowestRound",2009
22,22,"Colt Knost",NA,30,"Front9LowestRound",2009
22,22,"Justin Leonard",NA,30,"Front9LowestRound",2009
22,22,"Frank Lickliter II",NA,30,"Front9LowestRound",2009
22,22,"Peter Lonard",NA,30,"Front9LowestRound",2009
22,22,"Jamie Lovemark",NA,30,"Front9LowestRound",2009
22,22,"John Mallinger",NA,30,"Front9LowestRound",2009
22,22,"Prayad Marksaeng",NA,30,"Front9LowestRound",2009
22,22,"Scott McCarron",NA,30,"Front9LowestRound",2009
22,22,"John Merrick",NA,30,"Front9LowestRound",2009
22,22,"Phil Mickelson",NA,30,"Front9LowestRound",2009
22,22,"Bryce Molder",NA,30,"Front9LowestRound",2009
22,22,"Greg Owen",NA,30,"Front9LowestRound",2009
22,22,"Ryan Palmer",NA,30,"Front9LowestRound",2009
22,22,"David Peoples",NA,30,"Front9LowestRound",2009
22,22,"Pat Perez",NA,30,"Front9LowestRound",2009
22,22,"Scott Piercy",NA,30,"Front9LowestRound",2009
22,22,"Brett Quigley",NA,30,"Front9LowestRound",2009
22,22,"Jeff Quinney",NA,30,"Front9LowestRound",2009
22,22,"John Rollins",NA,30,"Front9LowestRound",2009
22,22,"Vijay Singh",NA,30,"Front9LowestRound",2009
22,22,"Heath Slocum",NA,30,"Front9LowestRound",2009
22,22,"Kevin Stadler",NA,30,"Front9LowestRound",2009
22,22,"Scott Sterling",NA,30,"Front9LowestRound",2009
22,22,"Kevin Streelman",NA,30,"Front9LowestRound",2009
22,22,"Chris Stroud",NA,30,"Front9LowestRound",2009
22,22,"Kevin Sutherland",NA,30,"Front9LowestRound",2009
22,22,"Charles Warren",NA,30,"Front9LowestRound",2009
22,22,"Nick Watney",NA,30,"Front9LowestRound",2009
22,22,"Bubba Watson",NA,30,"Front9LowestRound",2009
22,22,"Charlie Wi",NA,30,"Front9LowestRound",2009
22,22,"Dean Wilson",NA,30,"Front9LowestRound",2009
22,22,"Tiger Woods",NA,30,"Front9LowestRound",2009
81,81,"Brad Adamonis",NA,31,"Front9LowestRound",2009
81,81,"Robert Allenby",NA,31,"Front9LowestRound",2009
81,81,"Stephen Ames",NA,31,"Front9LowestRound",2009
81,81,"Billy Anderson",NA,31,"Front9LowestRound",2009
81,81,"Woody Austin",NA,31,"Front9LowestRound",2009
81,81,"Eric Axley",NA,31,"Front9LowestRound",2009
81,81,"Paul Azinger",NA,31,"Front9LowestRound",2009
81,81,"Craig Barlow",NA,31,"Front9LowestRound",2009
81,81,"Brian Bateman",NA,31,"Front9LowestRound",2009
81,81,"Rich Beem",NA,31,"Front9LowestRound",2009
81,81,"David Berganio Jr",NA,31,"Front9LowestRound",2009
81,81,"Matt Bettencourt",NA,31,"Front9LowestRound",2009
81,81,"Kris Blanks",NA,31,"Front9LowestRound",2009
