"Back9LowestRound_RANKTHISWEEK_2014","Back9LowestRound_RANKLASTWEEK_2014","Back9LowestRound_PLAYERNAME_2014","Back9LowestRound_ROUNDS_2014","Back9LowestRound_LOWRND_2014","stat_name","year"
1,1,"Paul Casey",56,27,"Back9LowestRound",2014
1,1,"Sergio Garcia",61,27,"Back9LowestRound",2014
3,3,"Kevin Streelman",79,28,"Back9LowestRound",2014
4,4,"Ryo Ishikawa",75,29,"Back9LowestRound",2014
4,4,"Chris Kirk",105,29,"Back9LowestRound",2014
4,4,"Geoff Ogilvy",84,29,"Back9LowestRound",2014
4,4,"Ryan Palmer",85,29,"Back9LowestRound",2014
4,4,"Brendan Steele",89,29,"Back9LowestRound",2014
4,4,"Tim Wilkinson",86,29,"Back9LowestRound",2014
10,10,"Scott Brown",100,30,"Back9LowestRound",2014
10,10,"Jonathan Byrd",76,30,"Back9LowestRound",2014
10,10,"Tim Clark",75,30,"Back9LowestRound",2014
10,10,"Chad Collins",78,30,"Back9LowestRound",2014
10,10,"Brendon de Jonge",109,30,"Back9LowestRound",2014
10,10,"Brad Fritsch",50,30,"Back9LowestRound",2014
10,10,"Robert Garrigus",80,30,"Back9LowestRound",2014
10,10,"Russell Henley",92,30,"Back9LowestRound",2014
10,10,"Justin Hicks",103,30,"Back9LowestRound",2014
10,10,"Morgan Hoffmann",103,30,"Back9LowestRound",2014
10,10,"Freddie Jacobson",91,30,"Back9LowestRound",2014
10,10,"Zach Johnson",97,30,"Back9LowestRound",2014
10,10,"Martin Kaymer",65,30,"Back9LowestRound",2014
10,10,"Martin Laird",66,30,"Back9LowestRound",2014
10,10,"Danny Lee",84,30,"Back9LowestRound",2014
10,10,"Justin Leonard",75,30,"Back9LowestRound",2014
10,10,"Davis Love III",74,30,"Back9LowestRound",2014
10,10,"Jamie Lovemark",64,30,"Back9LowestRound",2014
10,10,"Troy Matteson",62,30,"Back9LowestRound",2014
10,10,"William McGirt",96,30,"Back9LowestRound",2014
10,10,"Rory McIlroy",66,30,"Back9LowestRound",2014
