"EarlyLowestRound_RANKTHISWEEK_2013","EarlyLowestRound_RANKLASTWEEK_2013","EarlyLowestRound_PLAYERNAME_2013","EarlyLowestRound__2013","EarlyLowestRound_LOWRND_2013","stat_name","year"
1,1,"Keegan Bradley",NA,60,"EarlyLowestRound",2013
1,1,"Phil Mickelson",NA,60,"EarlyLowestRound",2013
3,3,"Matt Kuchar",NA,61,"EarlyLowestRound",2013
3,3,"Chez Reavie",NA,61,"EarlyLowestRound",2013
5,5,"Kevin Chappell",NA,62,"EarlyLowestRound",2013
5,5,"Franklin Corpening",NA,62,"EarlyLowestRound",2013
5,5,"Graham DeLaet",NA,62,"EarlyLowestRound",2013
5,5,"Tommy Gainey",NA,62,"EarlyLowestRound",2013
5,5,"Matt Jones",NA,62,"EarlyLowestRound",2013
5,5,"Chris Kirk",NA,62,"EarlyLowestRound",2013
5,5,"Hunter Mahan",NA,62,"EarlyLowestRound",2013
5,5,"John Merrick",NA,62,"EarlyLowestRound",2013
5,5,"Ryan Palmer",NA,62,"EarlyLowestRound",2013
5,5,"Jordan Spieth",NA,62,"EarlyLowestRound",2013
5,5,"Brian Stuard",NA,62,"EarlyLowestRound",2013
5,5,"Johnson Wagner",NA,62,"EarlyLowestRound",2013
17,17,"Angel Cabrera",NA,63,"EarlyLowestRound",2013
17,17,"Roberto Castro",NA,63,"EarlyLowestRound",2013
17,17,"Erik Compton",NA,63,"EarlyLowestRound",2013
17,17,"Bob Estes",NA,63,"EarlyLowestRound",2013
17,17,"Martin Flores",NA,63,"EarlyLowestRound",2013
17,17,"Jim Furyk",NA,63,"EarlyLowestRound",2013
17,17,"Tom Gillis",NA,63,"EarlyLowestRound",2013
17,17,"Luke Guthrie",NA,63,"EarlyLowestRound",2013
17,17,"Padraig Harrington",NA,63,"EarlyLowestRound",2013
17,17,"Russell Henley",NA,63,"EarlyLowestRound",2013
17,17,"Morgan Hoffmann",NA,63,"EarlyLowestRound",2013
17,17,"John Huh",NA,63,"EarlyLowestRound",2013
17,17,"Dustin Johnson",NA,63,"EarlyLowestRound",2013
17,17,"Martin Kaymer",NA,63,"EarlyLowestRound",2013
17,17,"Jason Kokrak",NA,63,"EarlyLowestRound",2013
17,17,"Pat Perez",NA,63,"EarlyLowestRound",2013
17,17,"Patrick Reed",NA,63,"EarlyLowestRound",2013
17,17,"Justin Rose",NA,63,"EarlyLowestRound",2013
17,17,"Charl Schwartzel",NA,63,"EarlyLowestRound",2013
17,17,"Webb Simpson",NA,63,"EarlyLowestRound",2013
17,17,"Brandt Snedeker",NA,63,"EarlyLowestRound",2013
17,17,"Kevin Stadler",NA,63,"EarlyLowestRound",2013
17,17,"Scott Stallings",NA,63,"EarlyLowestRound",2013
17,17,"Daniel Summerhays",NA,63,"EarlyLowestRound",2013
17,17,"YE Yang",NA,63,"EarlyLowestRound",2013
42,42,"Aaron Baddeley",NA,64,"EarlyLowestRound",2013
42,42,"Sangmoon Bae",NA,64,"EarlyLowestRound",2013
42,42,"Ricky Barnes",NA,64,"EarlyLowestRound",2013
42,42,"Cameron Beckman",NA,64,"EarlyLowestRound",2013
42,42,"Jason Bohn",NA,64,"EarlyLowestRound",2013
42,42,"Harris English",NA,64,"EarlyLowestRound",2013
42,42,"Steve Flesch",NA,64,"EarlyLowestRound",2013
42,42,"Rickie Fowler",NA,64,"EarlyLowestRound",2013
42,42,"Sergio Garcia",NA,64,"EarlyLowestRound",2013
42,42,"Scott Gardiner",NA,64,"EarlyLowestRound",2013
42,42,"Fabian Gomez",NA,64,"EarlyLowestRound",2013
42,42,"Justin Hicks",NA,64,"EarlyLowestRound",2013
42,42,"Billy Horschel",NA,64,"EarlyLowestRound",2013
42,42,"Zach Johnson",NA,64,"EarlyLowestRound",2013
42,42,"Robert Karlsson",NA,64,"EarlyLowestRound",2013
42,42,"Jerry Kelly",NA,64,"EarlyLowestRound",2013
42,42,"Russell Knox",NA,64,"EarlyLowestRound",2013
42,42,"Steve LeBrun",NA,64,"EarlyLowestRound",2013
