"LateLowestRound_RANKTHISWEEK_2013","LateLowestRound_RANKLASTWEEK_2013","LateLowestRound_PLAYERNAME_2013","LateLowestRound__2013","LateLowestRound_LOWRND_2013","stat_name","year"
1,1,"Jim Furyk",NA,59,"LateLowestRound",2013
2,2,"Charley Hoffman",NA,61,"LateLowestRound",2013
2,2,"Scott Piercy",NA,61,"LateLowestRound",2013
2,2,"Tiger Woods",NA,61,"LateLowestRound",2013
5,5,"Harris English",NA,62,"LateLowestRound",2013
5,5,"Matt Every",NA,62,"LateLowestRound",2013
5,5,"Lucas Glover",NA,62,"LateLowestRound",2013
5,5,"James Hahn",NA,62,"LateLowestRound",2013
5,5,"John Huh",NA,62,"LateLowestRound",2013
5,5,"Scott Langley",NA,62,"LateLowestRound",2013
5,5,"David Lingmerth",NA,62,"LateLowestRound",2013
5,5,"Billy Mayfair",NA,62,"LateLowestRound",2013
5,5,"Daniel Summerhays",NA,62,"LateLowestRound",2013
5,5,"David Toms",NA,62,"LateLowestRound",2013
15,15,"Scott Brown",NA,63,"LateLowestRound",2013
15,15,"Bud Cauley",NA,63,"LateLowestRound",2013
15,15,"Tim Clark",NA,63,"LateLowestRound",2013
15,15,"Brian Davis",NA,63,"LateLowestRound",2013
15,15,"Jason Dufner",NA,63,"LateLowestRound",2013
15,15,"Martin Flores",NA,63,"LateLowestRound",2013
15,15,"Brian Gay",NA,63,"LateLowestRound",2013
15,15,"Russell Henley",NA,63,"LateLowestRound",2013
15,15,"Matt Kuchar",NA,63,"LateLowestRound",2013
15,15,"Martin Laird",NA,63,"LateLowestRound",2013
15,15,"John Rollins",NA,63,"LateLowestRound",2013
15,15,"Webb Simpson",NA,63,"LateLowestRound",2013
15,15,"Brandt Snedeker",NA,63,"LateLowestRound",2013
15,15,"Henrik Stenson",NA,63,"LateLowestRound",2013
15,15,"Steve Stricker",NA,63,"LateLowestRound",2013
15,15,"Bubba Watson",NA,63,"LateLowestRound",2013
15,15,"Boo Weekley",NA,63,"LateLowestRound",2013
15,15,"Charlie Wi",NA,63,"LateLowestRound",2013
33,33,"Mark Anderson",NA,64,"LateLowestRound",2013
33,33,"Matt Bettencourt",NA,64,"LateLowestRound",2013
33,33,"Greg Chalmers",NA,64,"LateLowestRound",2013
33,33,"Ben Crane",NA,64,"LateLowestRound",2013
33,33,"Graham DeLaet",NA,64,"LateLowestRound",2013
33,33,"Ross Fisher",NA,64,"LateLowestRound",2013
33,33,"Andres Gonzales",NA,64,"LateLowestRound",2013
33,33,"Luke Guthrie",NA,64,"LateLowestRound",2013
33,33,"Bill Haas",NA,64,"LateLowestRound",2013
33,33,"David Hearn",NA,64,"LateLowestRound",2013
33,33,"Billy Horschel",NA,64,"LateLowestRound",2013
33,33,"Charles Howell III",NA,64,"LateLowestRound",2013
