"FirstTeeEarlyLowestRound_RANKTHISWEEK_2012","FirstTeeEarlyLowestRound_RANKLASTWEEK_2012","FirstTeeEarlyLowestRound_PLAYERNAME_2012","FirstTeeEarlyLowestRound_ROUNDS_2012","FirstTeeEarlyLowestRound_LOWRND_2012","stat_name","year"
1,1,"Brian Harman",101,61,"FirstTeeEarlyLowestRound",2012
1,1,"Padraig Harrington",67,61,"FirstTeeEarlyLowestRound",2012
1,1,"Tim Herron",88,61,"FirstTeeEarlyLowestRound",2012
1,1,"Hunter Mahan",88,61,"FirstTeeEarlyLowestRound",2012
5,5,"Brendon de Jonge",115,62,"FirstTeeEarlyLowestRound",2012
5,5,"Troy Kelly",68,62,"FirstTeeEarlyLowestRound",2012
5,5,"Spencer Levin",81,62,"FirstTeeEarlyLowestRound",2012
5,5,"Scott Piercy",95,62,"FirstTeeEarlyLowestRound",2012
5,5,"Kyle Stanley",86,62,"FirstTeeEarlyLowestRound",2012
5,5,"Jimmy Walker",101,62,"FirstTeeEarlyLowestRound",2012
5,5,"Tiger Woods",69,62,"FirstTeeEarlyLowestRound",2012
12,12,"Keegan Bradley",90,63,"FirstTeeEarlyLowestRound",2012
12,12,"Roberto Castro",92,63,"FirstTeeEarlyLowestRound",2012
12,12,"Graham DeLaet",79,63,"FirstTeeEarlyLowestRound",2012
12,12,"David Mathis",83,63,"FirstTeeEarlyLowestRound",2012
12,12,"Graeme McDowell",55,63,"FirstTeeEarlyLowestRound",2012
12,12,"Vijay Singh",99,63,"FirstTeeEarlyLowestRound",2012
12,12,"Scott Stallings",78,63,"FirstTeeEarlyLowestRound",2012
12,12,"David Toms",60,63,"FirstTeeEarlyLowestRound",2012
12,12,"Lee Westwood",60,63,"FirstTeeEarlyLowestRound",2012
21,21,"Blake Adams",107,64,"FirstTeeEarlyLowestRound",2012
21,21,"Ricky Barnes",92,64,"FirstTeeEarlyLowestRound",2012
21,21,"Tommy Biershenk",74,64,"FirstTeeEarlyLowestRound",2012
21,21,"Jonas Blixt",72,64,"FirstTeeEarlyLowestRound",2012
21,21,"Jason Bohn",81,64,"FirstTeeEarlyLowestRound",2012
21,21,"Chad Campbell",84,64,"FirstTeeEarlyLowestRound",2012
21,21,"Greg Chalmers",88,64,"FirstTeeEarlyLowestRound",2012
21,21,"Will Claxton",99,64,"FirstTeeEarlyLowestRound",2012
21,21,"Ben Crane",73,64,"FirstTeeEarlyLowestRound",2012
21,21,"Ken Duke",104,64,"FirstTeeEarlyLowestRound",2012
21,21,"Harris English",98,64,"FirstTeeEarlyLowestRound",2012
21,21,"Bob Estes",78,64,"FirstTeeEarlyLowestRound",2012
21,21,"Jonathan Fly",4,64,"FirstTeeEarlyLowestRound",2012
21,21,"Robert Garrigus",89,64,"FirstTeeEarlyLowestRound",2012
21,21,"Tom Gillis",75,64,"FirstTeeEarlyLowestRound",2012
21,21,"Branden Grace",22,64,"FirstTeeEarlyLowestRound",2012
21,21,"JB Holmes",90,64,"FirstTeeEarlyLowestRound",2012
21,21,"Billy Horschel",63,64,"FirstTeeEarlyLowestRound",2012
21,21,"John Huh",99,64,"FirstTeeEarlyLowestRound",2012
21,21,"Chris Kirk",93,64,"FirstTeeEarlyLowestRound",2012
21,21,"Kelly Kraft",26,64,"FirstTeeEarlyLowestRound",2012
21,21,"Justin Leonard",79,64,"FirstTeeEarlyLowestRound",2012
21,21,"Frank Lickliter II",22,64,"FirstTeeEarlyLowestRound",2012
21,21,"Edward Loar",59,64,"FirstTeeEarlyLowestRound",2012
21,21,"Davis Love III",64,64,"FirstTeeEarlyLowestRound",2012
21,21,"Jamie Lovemark",44,64,"FirstTeeEarlyLowestRound",2012
21,21,"Jeff Maggert",83,64,"FirstTeeEarlyLowestRound",2012
21,21,"Phil Mickelson",79,64,"FirstTeeEarlyLowestRound",2012
21,21,"Jeff Overton",101,64,"FirstTeeEarlyLowestRound",2012
