"TenthTeeEarlyLowestRound_RANKTHISWEEK_2009","TenthTeeEarlyLowestRound_RANKLASTWEEK_2009","TenthTeeEarlyLowestRound_PLAYERNAME_2009","TenthTeeEarlyLowestRound_ROUNDS_2009","TenthTeeEarlyLowestRound_LOWRND_2009","stat_name","year"
1,1,"Steve Stricker",81,61,"TenthTeeEarlyLowestRound",2009
1,1,"Mike Weir",85,61,"TenthTeeEarlyLowestRound",2009
3,3,"Kris Blanks",60,62,"TenthTeeEarlyLowestRound",2009
3,3,"Jim Furyk",86,62,"TenthTeeEarlyLowestRound",2009
3,3,"Mathew Goggin",76,62,"TenthTeeEarlyLowestRound",2009
3,3,"JP Hayes",43,62,"TenthTeeEarlyLowestRound",2009
3,3,"Anthony Kim",76,62,"TenthTeeEarlyLowestRound",2009
3,3,"Marc Leishman",91,62,"TenthTeeEarlyLowestRound",2009
3,3,"James Nitties",86,62,"TenthTeeEarlyLowestRound",2009
3,3,"Tom Pernice Jr",82,62,"TenthTeeEarlyLowestRound",2009
11,11,"Stephen Ames",77,63,"TenthTeeEarlyLowestRound",2009
11,11,"Briny Baird",89,63,"TenthTeeEarlyLowestRound",2009
11,11,"Tim Clark",81,63,"TenthTeeEarlyLowestRound",2009
11,11,"Ben Crane",93,63,"TenthTeeEarlyLowestRound",2009
11,11,"Brian Gay",96,63,"TenthTeeEarlyLowestRound",2009
11,11,"JJ Henry",97,63,"TenthTeeEarlyLowestRound",2009
11,11,"Cliff Kresge",78,63,"TenthTeeEarlyLowestRound",2009
11,11,"Steve Lowery",83,63,"TenthTeeEarlyLowestRound",2009
11,11,"Jarrod Lyle",65,63,"TenthTeeEarlyLowestRound",2009
11,11,"Hunter Mahan",94,63,"TenthTeeEarlyLowestRound",2009
11,11,"Scott McCarron",91,63,"TenthTeeEarlyLowestRound",2009
11,11,"John Merrick",91,63,"TenthTeeEarlyLowestRound",2009
11,11,"Phil Mickelson",66,63,"TenthTeeEarlyLowestRound",2009
11,11,"Kevin Na",91,63,"TenthTeeEarlyLowestRound",2009
11,11,"Kenny Perry",92,63,"TenthTeeEarlyLowestRound",2009
11,11,"Tim Petrovic",97,63,"TenthTeeEarlyLowestRound",2009
11,11,"Andres Romero",58,63,"TenthTeeEarlyLowestRound",2009
11,11,"Chris Stroud",88,63,"TenthTeeEarlyLowestRound",2009
11,11,"Vaughn Taylor",88,63,"TenthTeeEarlyLowestRound",2009
11,11,"Nick Watney",86,63,"TenthTeeEarlyLowestRound",2009
11,11,"Gary Woodland",53,63,"TenthTeeEarlyLowestRound",2009
11,11,"Tiger Woods",64,63,"TenthTeeEarlyLowestRound",2009
33,33,"Tommy Armour III",58,64,"TenthTeeEarlyLowestRound",2009
33,33,"Cameron Beckman",87,64,"TenthTeeEarlyLowestRound",2009
33,33,"Mark Calcavecchia",72,64,"TenthTeeEarlyLowestRound",2009
33,33,"Chad Campbell",90,64,"TenthTeeEarlyLowestRound",2009
33,33,"Greg Chalmers",85,64,"TenthTeeEarlyLowestRound",2009
33,33,"James Driscoll",49,64,"TenthTeeEarlyLowestRound",2009
33,33,"Rickie Fowler",20,64,"TenthTeeEarlyLowestRound",2009
33,33,"Sergio Garcia",59,64,"TenthTeeEarlyLowestRound",2009
33,33,"Charley Hoffman",97,64,"TenthTeeEarlyLowestRound",2009
33,33,"John Huston",39,64,"TenthTeeEarlyLowestRound",2009
33,33,"Zach Johnson",94,64,"TenthTeeEarlyLowestRound",2009
33,33,"Matt Jones",56,64,"TenthTeeEarlyLowestRound",2009
33,33,"Matt Kuchar",82,64,"TenthTeeEarlyLowestRound",2009
33,33,"Justin Leonard",95,64,"TenthTeeEarlyLowestRound",2009
33,33,"Troy Matteson",95,64,"TenthTeeEarlyLowestRound",2009
33,33,"Sean OHair",80,64,"TenthTeeEarlyLowestRound",2009
33,33,"DA Points",99,64,"TenthTeeEarlyLowestRound",2009
33,33,"Rick Price",54,64,"TenthTeeEarlyLowestRound",2009
33,33,"Chez Reavie",81,64,"TenthTeeEarlyLowestRound",2009
33,33,"Rory Sabbatini",81,64,"TenthTeeEarlyLowestRound",2009
33,33,"John Senden",100,64,"TenthTeeEarlyLowestRound",2009
33,33,"Vijay Singh",71,64,"TenthTeeEarlyLowestRound",2009
33,33,"Jeev Milkha Singh",49,64,"TenthTeeEarlyLowestRound",2009
33,33,"Brandt Snedeker",81,64,"TenthTeeEarlyLowestRound",2009
33,33,"Kevin Streelman",97,64,"TenthTeeEarlyLowestRound",2009
33,33,"Kevin Sutherland",96,64,"TenthTeeEarlyLowestRound",2009
