"FirstTeeLateLowestRound_RANKTHISWEEK_2010","FirstTeeLateLowestRound_RANKLASTWEEK_2010","FirstTeeLateLowestRound_PLAYERNAME_2010","FirstTeeLateLowestRound_ROUNDS_2010","FirstTeeLateLowestRound_LOWRND_2010","stat_name","year"
1,1,"Stuart Appleby",101,59,"FirstTeeLateLowestRound",2010
2,2,"Steve Stricker",73,60,"FirstTeeLateLowestRound",2010
3,3,"DA Points",90,61,"FirstTeeLateLowestRound",2010
4,4,"Retief Goosen",75,62,"FirstTeeLateLowestRound",2010
4,4,"Charley Hoffman",85,62,"FirstTeeLateLowestRound",2010
4,4,"John Mallinger",78,62,"FirstTeeLateLowestRound",2010
4,4,"Rory McIlroy",54,62,"FirstTeeLateLowestRound",2010
4,4,"Cameron Percy",73,62,"FirstTeeLateLowestRound",2010
4,4,"Michael Sim",64,62,"FirstTeeLateLowestRound",2010
4,4,"Bubba Watson",77,62,"FirstTeeLateLowestRound",2010
11,11,"Chris Couch",66,63,"FirstTeeLateLowestRound",2010
11,11,"Brendon de Jonge",114,63,"FirstTeeLateLowestRound",2010
11,11,"Graham DeLaet",88,63,"FirstTeeLateLowestRound",2010
11,11,"Lee Janzen",77,63,"FirstTeeLateLowestRound",2010
11,11,"Matt Kuchar",97,63,"FirstTeeLateLowestRound",2010
11,11,"Martin Laird",91,63,"FirstTeeLateLowestRound",2010
11,11,"Justin Leonard",89,63,"FirstTeeLateLowestRound",2010
11,11,"Jeff Maggert",76,63,"FirstTeeLateLowestRound",2010
11,11,"Scott McCarron",90,63,"FirstTeeLateLowestRound",2010
11,11,"Shaun Micheel",70,63,"FirstTeeLateLowestRound",2010
11,11,"Ryan Palmer",84,63,"FirstTeeLateLowestRound",2010
11,11,"Brandt Snedeker",89,63,"FirstTeeLateLowestRound",2010
11,11,"Chris Stroud",90,63,"FirstTeeLateLowestRound",2010
11,11,"Boo Weekley",88,63,"FirstTeeLateLowestRound",2010
25,25,"Aaron Baddeley",94,64,"FirstTeeLateLowestRound",2010
25,25,"Cameron Beckman",68,64,"FirstTeeLateLowestRound",2010
25,25,"Jonathan Byrd",85,64,"FirstTeeLateLowestRound",2010
25,25,"Ben Crane",85,64,"FirstTeeLateLowestRound",2010
25,25,"Ben Curtis",78,64,"FirstTeeLateLowestRound",2010
25,25,"Joe Durant",67,64,"FirstTeeLateLowestRound",2010
25,25,"David Duval",71,64,"FirstTeeLateLowestRound",2010
25,25,"Ernie Els",72,64,"FirstTeeLateLowestRound",2010
25,25,"Rickie Fowler",98,64,"FirstTeeLateLowestRound",2010
25,25,"Jim Furyk",76,64,"FirstTeeLateLowestRound",2010
25,25,"Robert Garrigus",71,64,"FirstTeeLateLowestRound",2010
25,25,"Lucas Glover",75,64,"FirstTeeLateLowestRound",2010
25,25,"Bill Haas",87,64,"FirstTeeLateLowestRound",2010
25,25,"Padraig Harrington",57,64,"FirstTeeLateLowestRound",2010
25,25,"Mark Hensby",39,64,"FirstTeeLateLowestRound",2010
25,25,"Charles Howell III",103,64,"FirstTeeLateLowestRound",2010
25,25,"Zach Johnson",93,64,"FirstTeeLateLowestRound",2010
25,25,"Richard Johnson",90,64,"FirstTeeLateLowestRound",2010
25,25,"Dustin Johnson",83,64,"FirstTeeLateLowestRound",2010
25,25,"Matt Jones",89,64,"FirstTeeLateLowestRound",2010
25,25,"Will Ma Kenzie",72,64,"FirstTeeLateLowestRound",2010
25,25,"Brock Mackenzie",4,64,"FirstTeeLateLowestRound",2010
25,25,"Hunter Mahan",85,64,"FirstTeeLateLowestRound",2010
25,25,"Rocco Mediate",71,64,"FirstTeeLateLowestRound",2010
25,25,"Troy Merritt",86,64,"FirstTeeLateLowestRound",2010
25,25,"James Nitties",92,64,"FirstTeeLateLowestRound",2010
25,25,"Sean OHair",84,64,"FirstTeeLateLowestRound",2010
25,25,"Geoff Ogilvy",62,64,"FirstTeeLateLowestRound",2010
25,25,"Carl Pettersson",99,64,"FirstTeeLateLowestRound",2010
25,25,"Scott Piercy",88,64,"FirstTeeLateLowestRound",2010
25,25,"Alistair Presnell",4,64,"FirstTeeLateLowestRound",2010
25,25,"Jeff Quinney",91,64,"FirstTeeLateLowestRound",2010
25,25,"Chris Riley",73,64,"FirstTeeLateLowestRound",2010
25,25,"Justin Rose",78,64,"FirstTeeLateLowestRound",2010
25,25,"Webb Simpson",98,64,"FirstTeeLateLowestRound",2010
25,25,"Paul Stankowski",62,64,"FirstTeeLateLowestRound",2010
25,25,"Kevin Streelman",90,64,"FirstTeeLateLowestRound",2010
25,25,"Kevin Sutherland",86,64,"FirstTeeLateLowestRound",2010
25,25,"David Toms",86,64,"FirstTeeLateLowestRound",2010
25,25,"Scott Verplank",74,64,"FirstTeeLateLowestRound",2010
65,65,"Robert Allenby",76,65,"FirstTeeLateLowestRound",2010
65,65,"Stephen Ames",75,65,"FirstTeeLateLowestRound",2010
65,65,"Arjun Atwal",47,65,"FirstTeeLateLowestRound",2010
65,65,"Ricky Barnes",103,65,"FirstTeeLateLowestRound",2010
65,65,"Matt Bettencourt",91,65,"FirstTeeLateLowestRound",2010
65,65,"Kris Blanks",91,65,"FirstTeeLateLowestRound",2010
65,65,"Greg Chalmers",93,65,"FirstTeeLateLowestRound",2010
65,65,"Daniel Chopra",74,65,"FirstTeeLateLowestRound",2010
65,65,"Tim Clark",88,65,"FirstTeeLateLowestRound",2010
65,65,"Michael Connell",89,65,"FirstTeeLateLowestRound",2010
65,65,"Brian Davis",101,65,"FirstTeeLateLowestRound",2010
65,65,"Glen Day",38,65,"FirstTeeLateLowestRound",2010
65,65,"Jason Day",82,65,"FirstTeeLateLowestRound",2010
65,65,"Luke Donald",71,65,"FirstTeeLateLowestRound",2010
65,65,"Matt Every",60,65,"FirstTeeLateLowestRound",2010
65,65,"Martin Flores",75,65,"FirstTeeLateLowestRound",2010
65,65,"Tom Gillis",97,65,"FirstTeeLateLowestRound",2010
65,65,"Paul Goydos",78,65,"FirstTeeLateLowestRound",2010
65,65,"Nathan Green",86,65,"FirstTeeLateLowestRound",2010
65,65,"JP Hayes",79,65,"FirstTeeLateLowestRound",2010
65,65,"Trevor Immelman",55,65,"FirstTeeLateLowestRound",2010
65,65,"Anthony Kim",45,65,"FirstTeeLateLowestRound",2010
65,65,"Beon Yeong Lee",2,65,"FirstTeeLateLowestRound",2010
65,65,"Spencer Levin",110,65,"FirstTeeLateLowestRound",2010
65,65,"Davis Love III",79,65,"FirstTeeLateLowestRound",2010
65,65,"Steve Marino",81,65,"FirstTeeLateLowestRound",2010
65,65,"Troy Matteson",84,65,"FirstTeeLateLowestRound",2010
65,65,"Ryan Moore",80,65,"FirstTeeLateLowestRound",2010
65,65,"Kevin Na",94,65,"FirstTeeLateLowestRound",2010
65,65,"Louis Oosthuizen",14,65,"FirstTeeLateLowestRound",2010
65,65,"Greg Owen",69,65,"FirstTeeLateLowestRound",2010
65,65,"Pat Perez",90,65,"FirstTeeLateLowestRound",2010
65,65,"Tim Petrovic",105,65,"FirstTeeLateLowestRound",2010
65,65,"Aron Price",70,65,"FirstTeeLateLowestRound",2010
65,65,"Alex Prugh",88,65,"FirstTeeLateLowestRound",2010
65,65,"John Rollins",81,65,"FirstTeeLateLowestRound",2010
65,65,"Andres Romero",73,65,"FirstTeeLateLowestRound",2010
65,65,"Adam Scott",70,65,"FirstTeeLateLowestRound",2010
65,65,"John Senden",103,65,"FirstTeeLateLowestRound",2010
65,65,"Brian Stuard",81,65,"FirstTeeLateLowestRound",2010
65,65,"Roger Tambellini",77,65,"FirstTeeLateLowestRound",2010
65,65,"Josh Teater",101,65,"FirstTeeLateLowestRound",2010
65,65,"Chris Tidland",77,65,"FirstTeeLateLowestRound",2010
65,65,"Omar Uresti",74,65,"FirstTeeLateLowestRound",2010
65,65,"Bo Van Pelt",104,65,"FirstTeeLateLowestRound",2010
65,65,"Johnson Wagner",85,65,"FirstTeeLateLowestRound",2010
65,65,"Charles Warren",64,65,"FirstTeeLateLowestRound",2010
65,65,"Nick Watney",91,65,"FirstTeeLateLowestRound",2010
65,65,"Charlie Wi",95,65,"FirstTeeLateLowestRound",2010
65,65,"Garrett Willis",82,65,"FirstTeeLateLowestRound",2010
65,65,"Dean Wilson",54,65,"FirstTeeLateLowestRound",2010
116,116,"Blake Adams",84,66,"FirstTeeLateLowestRound",2010
116,116,"Michael Allen",49,66,"FirstTeeLateLowestRound",2010
116,116,"Woody Austin",93,66,"FirstTeeLateLowestRound",2010
116,116,"Briny Baird",87,66,"FirstTeeLateLowestRound",2010
116,116,"Jason Bohn",84,66,"FirstTeeLateLowestRound",2010
116,116,"Chad Campbell",95,66,"FirstTeeLateLowestRound",2010
116,116,"Paul Casey",64,66,"FirstTeeLateLowestRound",2010
116,116,"KJ Choi",82,66,"FirstTeeLateLowestRound",2010
116,116,"Stewart Cink",84,66,"FirstTeeLateLowestRound",2010
116,116,"Michael Clark II",16,66,"FirstTeeLateLowestRound",2010
116,116,"Fred Couples",22,66,"FirstTeeLateLowestRound",2010
116,116,"John Daly",63,66,"FirstTeeLateLowestRound",2010
116,116,"Marco Dawson",30,66,"FirstTeeLateLowestRound",2010
116,116,"Chris DiMarco",88,66,"FirstTeeLateLowestRound",2010
116,116,"Bradley Dredge",4,66,"FirstTeeLateLowestRound",2010
116,116,"Steve Elkington",74,66,"FirstTeeLateLowestRound",2010
116,116,"Bob Estes",79,66,"FirstTeeLateLowestRound",2010
116,116,"Brad Faxon",58,66,"FirstTeeLateLowestRound",2010
116,116,"Harrison Frazar",44,66,"FirstTeeLateLowestRound",2010
116,116,"Brian Gay",101,66,"FirstTeeLateLowestRound",2010
116,116,"Peter Hanson",25,66,"FirstTeeLateLowestRound",2010
116,116,"JJ Henry",92,66,"FirstTeeLateLowestRound",2010
116,116,"Tim Herron",79,66,"FirstTeeLateLowestRound",2010
116,116,"JB Holmes",100,66,"FirstTeeLateLowestRound",2010
116,116,"Ryuji Imada",90,66,"FirstTeeLateLowestRound",2010
116,116,"Martin Kaymer",32,66,"FirstTeeLateLowestRound",2010
116,116,"Jerry Kelly",99,66,"FirstTeeLateLowestRound",2010
116,116,"Skip Kendall",58,66,"FirstTeeLateLowestRound",2010
116,116,"Cliff Kresge",50,66,"FirstTeeLateLowestRound",2010
116,116,"Marc Leishman",87,66,"FirstTeeLateLowestRound",2010
116,116,"Michael Letzig",84,66,"FirstTeeLateLowestRound",2010
116,116,"Jamie Lovemark",14,66,"FirstTeeLateLowestRound",2010
116,116,"Bill Lunde",79,66,"FirstTeeLateLowestRound",2010
