"Top5FinalRoundPerformance_RANKTHISWEEK_2007","Top5FinalRoundPerformance_RANKLASTWEEK_2007","Top5FinalRoundPerformance_PLAYERNAME_2007","Top5FinalRoundPerformance_EVENTS_2007","Top5FinalRoundPerformance_PctTIMESIMPROVED_2007","Top5FinalRoundPerformance_OFTIMESIMPROVED_2007","stat_name","year"
1,1,"Robert Allenby",28,100,1,"Top5FinalRoundPerformance",2007
1,1,"Brian Bateman",18,100,1,"Top5FinalRoundPerformance",2007
1,1,"David Branshaw",30,100,1,"Top5FinalRoundPerformance",2007
1,1,"Bart Bryant",25,100,1,"Top5FinalRoundPerformance",2007
1,1,"Andrew Buckle",26,100,1,"Top5FinalRoundPerformance",2007
1,1,"Mark Calcavecchia",28,100,3,"Top5FinalRoundPerformance",2007
1,1,"Chad Campbell",28,100,1,"Top5FinalRoundPerformance",2007
1,1,"Tim Clark",19,100,3,"Top5FinalRoundPerformance",2007
1,1,"Jose Coceres",17,100,2,"Top5FinalRoundPerformance",2007
1,1,"Ben Curtis",25,100,1,"Top5FinalRoundPerformance",2007
1,1,"Brian Davis",28,100,1,"Top5FinalRoundPerformance",2007
1,1,"Steve Flesch",31,100,2,"Top5FinalRoundPerformance",2007
1,1,"Fred Funk",22,100,2,"Top5FinalRoundPerformance",2007
1,1,"Jim Furyk",23,100,3,"Top5FinalRoundPerformance",2007
1,1,"Sergio Garcia",19,100,3,"Top5FinalRoundPerformance",2007
1,1,"Paul Goydos",19,100,1,"Top5FinalRoundPerformance",2007
1,1,"Nathan Green",29,100,1,"Top5FinalRoundPerformance",2007
1,1,"Mathias Gronberg",31,100,1,"Top5FinalRoundPerformance",2007
1,1,"Mark Hensby",25,100,1,"Top5FinalRoundPerformance",2007
1,1,"Tim Herron",27,100,1,"Top5FinalRoundPerformance",2007
1,1,"Charley Hoffman",30,100,1,"Top5FinalRoundPerformance",2007
1,1,"JB Holmes",24,100,1,"Top5FinalRoundPerformance",2007
1,1,"Matt Kuchar",26,100,1,"Top5FinalRoundPerformance",2007
1,1,"Stephen Leaney",26,100,1,"Top5FinalRoundPerformance",2007
1,1,"Tom Lehman",19,100,2,"Top5FinalRoundPerformance",2007
1,1,"Davis Love III",21,100,1,"Top5FinalRoundPerformance",2007
