"DrivingDistanceAllDrives_RANKTHISWEEK_2013","DrivingDistanceAllDrives_RANKLASTWEEK_2013","DrivingDistanceAllDrives_PLAYERNAME_2013","DrivingDistanceAllDrives_ROUNDS_2013","DrivingDistanceAllDrives_ALLDRIVES_2013","DrivingDistanceAllDrives_TOTALDISTANCE_2013","DrivingDistanceAllDrives_OFDRIVES_2013","stat_name","year"
1,1,"Bubba Watson",76,297.7,246757,829,"DrivingDistanceAllDrives",2013
2,2,"Dustin Johnson",71,296.1,212301,717,"DrivingDistanceAllDrives",2013
3,3,"Rory McIlroy",56,294.8,168921,573,"DrivingDistanceAllDrives",2013
4,4,"Nicolas Colsaerts",50,294.7,148544,504,"DrivingDistanceAllDrives",2013
5,5,"Luke List",65,292.6,211812,724,"DrivingDistanceAllDrives",2013
6,6,"Robert Garrigus",69,291.9,198490,680,"DrivingDistanceAllDrives",2013
7,7,"Gary Woodland",94,291.1,337443,1159,"DrivingDistanceAllDrives",2013
8,8,"Kyle Stanley",71,291,245064,842,"DrivingDistanceAllDrives",2013
9,9,"Keegan Bradley",88,290.5,293678,1011,"DrivingDistanceAllDrives",2013
10,10,"Scott Piercy",78,290.3,252287,869,"DrivingDistanceAllDrives",2013
11,11,"Scott Stallings",79,289.7,267376,923,"DrivingDistanceAllDrives",2013
12,12,"Eric Meierdierks",48,289.6,149130,515,"DrivingDistanceAllDrives",2013
13,13,"Jason Day",86,289.3,245883,850,"DrivingDistanceAllDrives",2013
14,14,"Ryan Palmer",79,289.2,277587,960,"DrivingDistanceAllDrives",2013
15,15,"Jason Kokrak",78,289.1,290291,1004,"DrivingDistanceAllDrives",2013
16,16,"Morgan Hoffmann",64,288.6,213816,741,"DrivingDistanceAllDrives",2013
17,17,"Steven Bowditch",67,288.4,233021,808,"DrivingDistanceAllDrives",2013
17,17,"Adam Scott",61,288.4,176511,612,"DrivingDistanceAllDrives",2013
19,19,"Martin Flores",83,288,305008,1059,"DrivingDistanceAllDrives",2013
20,20,"Angel Cabrera",73,287.6,228344,794,"DrivingDistanceAllDrives",2013
20,20,"Jimmy Walker",84,287.6,300270,1044,"DrivingDistanceAllDrives",2013
22,22,"Charles Howell III",87,287.1,320932,1118,"DrivingDistanceAllDrives",2013
22,22,"Shawn Stefani",63,287.1,199281,694,"DrivingDistanceAllDrives",2013
24,24,"Derek Ernst",58,286.8,196481,685,"DrivingDistanceAllDrives",2013
25,25,"John Rollins",77,286.7,271213,946,"DrivingDistanceAllDrives",2013
26,26,"Nick Watney",88,286.5,292541,1021,"DrivingDistanceAllDrives",2013
27,27,"Charlie Beljan",62,286.3,220432,770,"DrivingDistanceAllDrives",2013
28,28,"Andres Romero",63,286.2,207808,726,"DrivingDistanceAllDrives",2013
28,28,"Charl Schwartzel",69,286.2,216394,756,"DrivingDistanceAllDrives",2013
30,30,"Martin Laird",68,286.1,210606,736,"DrivingDistanceAllDrives",2013
