"GIRPercentageLess125yards_RANKTHISWEEK_2007","GIRPercentageLess125yards_RANKLASTWEEK_2007","GIRPercentageLess125yards_PLAYERNAME_2007","GIRPercentageLess125yards_ROUNDS_2007","GIRPercentageLess125yards_Pct_2007","GIRPercentageLess125yards_GREENSHIT_2007","GIRPercentageLess125yards_TOTALHOLES_2007","GIRPercentageLess125yards_RELATIVETOPAR_2007","stat_name","year"
1,1,"Jeff Sluman",60,88.06,177,201,-0.39,"GIRPercentageLess125yards",2007
2,2,"Jose Maria Olazabal",52,86.88,139,160,-0.43,"GIRPercentageLess125yards",2007
3,3,"Steve Stricker",81,86.52,276,319,-0.5,"GIRPercentageLess125yards",2007
4,4,"Stephen Ames",81,86.08,266,309,-0.39,"GIRPercentageLess125yards",2007
5,5,"Cameron Beckman",96,85.92,409,476,-0.41,"GIRPercentageLess125yards",2007
6,6,"Tiger Woods",63,85.91,189,220,-0.53,"GIRPercentageLess125yards",2007
7,7,"Robert Allenby",90,85.37,315,369,-0.45,"GIRPercentageLess125yards",2007
8,8,"Adam Scott",69,85.27,272,319,-0.51,"GIRPercentageLess125yards",2007
9,9,"Jeff Gove",103,85.14,441,518,-0.38,"GIRPercentageLess125yards",2007
10,10,"Rich Beem",89,85,323,380,-0.46,"GIRPercentageLess125yards",2007
10,10,"Justin Leonard",95,85,340,400,-0.36,"GIRPercentageLess125yards",2007
12,12,"Justin Rose",63,84.85,168,198,-0.41,"GIRPercentageLess125yards",2007
13,13,"Stephen Leaney",82,84.78,284,335,-0.36,"GIRPercentageLess125yards",2007
14,14,"Joey Sindelar",75,84.71,288,340,-0.38,"GIRPercentageLess125yards",2007
15,15,"JJ Henry",86,84.57,307,363,-0.44,"GIRPercentageLess125yards",2007
16,16,"Phil Mickelson",73,84.49,256,303,-0.54,"GIRPercentageLess125yards",2007
17,17,"Mathew Goggin",97,84.32,414,491,-0.42,"GIRPercentageLess125yards",2007
18,18,"Lee Janzen",66,84.29,220,261,-0.38,"GIRPercentageLess125yards",2007
19,19,"Jim Furyk",84,84.14,260,309,-0.44,"GIRPercentageLess125yards",2007
20,20,"Sergio Garcia",68,83.97,220,262,-0.46,"GIRPercentageLess125yards",2007
21,21,"Michael Putnam",96,83.75,366,437,-0.39,"GIRPercentageLess125yards",2007
22,22,"John Senden",97,83.6,372,445,-0.45,"GIRPercentageLess125yards",2007
23,23,"Chris Riley",59,83.59,219,262,-0.4,"GIRPercentageLess125yards",2007
23,23,"Brandt Snedeker",105,83.59,331,396,-0.44,"GIRPercentageLess125yards",2007
25,25,"Arron Oberholser",69,83.58,224,268,-0.41,"GIRPercentageLess125yards",2007
26,26,"Craig Barlow",52,83.52,218,261,-0.42,"GIRPercentageLess125yards",2007
27,27,"Tim Petrovic",106,83.44,408,489,-0.47,"GIRPercentageLess125yards",2007
28,28,"Matt Kuchar",85,83.38,281,337,-0.39,"GIRPercentageLess125yards",2007
29,29,"Brett Wetterich",88,83.29,339,407,-0.44,"GIRPercentageLess125yards",2007
30,30,"Bubba Dickerson",51,83.21,228,274,-0.4,"GIRPercentageLess125yards",2007
31,31,"Shigeki Maruyama",84,83.12,320,385,-0.44,"GIRPercentageLess125yards",2007
31,31,"Billy Mayfair",98,83.12,320,385,-0.44,"GIRPercentageLess125yards",2007
33,33,"Alex Cejka",80,83.03,367,442,-0.41,"GIRPercentageLess125yards",2007
34,34,"Joe Durant",88,83.02,352,424,-0.34,"GIRPercentageLess125yards",2007
35,35,"Kent Jones",97,83.01,381,459,-0.43,"GIRPercentageLess125yards",2007
36,36,"Ernie Els",59,82.99,200,241,-0.47,"GIRPercentageLess125yards",2007
37,37,"Vijay Singh",102,82.97,414,499,-0.47,"GIRPercentageLess125yards",2007
38,38,"David Toms",80,82.93,272,328,-0.39,"GIRPercentageLess125yards",2007
39,39,"Steve Flesch",100,82.89,378,456,-0.38,"GIRPercentageLess125yards",2007
40,40,"Woody Austin",95,82.82,347,419,-0.39,"GIRPercentageLess125yards",2007
41,41,"Jerry Kelly",101,82.81,318,384,-0.42,"GIRPercentageLess125yards",2007
42,42,"Briny Baird",115,82.79,486,587,-0.41,"GIRPercentageLess125yards",2007
43,43,"Michael Allen",74,82.78,274,331,-0.42,"GIRPercentageLess125yards",2007
44,44,"Craig Kanada",109,82.77,389,470,-0.35,"GIRPercentageLess125yards",2007
45,45,"Stewart Cink",91,82.75,307,371,-0.46,"GIRPercentageLess125yards",2007
46,46,"Bob Heintz",85,82.74,326,394,-0.44,"GIRPercentageLess125yards",2007
47,47,"Geoff Ogilvy",84,82.72,316,382,-0.42,"GIRPercentageLess125yards",2007
48,48,"Michael Boyd",61,82.69,234,283,-0.32,"GIRPercentageLess125yards",2007
49,49,"Nick OHern",72,82.66,205,248,-0.44,"GIRPercentageLess125yards",2007
50,50,"Stuart Appleby",74,82.47,254,308,-0.41,"GIRPercentageLess125yards",2007
51,51,"Billy Andrade",88,82.42,347,421,-0.44,"GIRPercentageLess125yards",2007
52,52,"Freddie Jacobson",70,82.37,299,363,-0.43,"GIRPercentageLess125yards",2007
53,53,"Tom Lehman",62,82.35,196,238,-0.36,"GIRPercentageLess125yards",2007
53,53,"Bubba Watson",80,82.35,378,459,-0.43,"GIRPercentageLess125yards",2007
55,55,"Will Ma Kenzie",100,82.34,429,521,-0.42,"GIRPercentageLess125yards",2007
56,56,"Ryuji Imada",104,82.24,375,456,-0.45,"GIRPercentageLess125yards",2007
57,57,"Nathan Green",103,82.2,351,427,-0.47,"GIRPercentageLess125yards",2007
58,58,"Richard Johnson",93,82.02,301,367,-0.33,"GIRPercentageLess125yards",2007
59,59,"Corey Pavin",81,82,246,300,-0.43,"GIRPercentageLess125yards",2007
