"ProximitytoHole_RANKTHISWEEK_2006","ProximitytoHole_RANKLASTWEEK_2006","ProximitytoHole_PLAYERNAME_2006","ProximitytoHole_ROUNDS_2006","ProximitytoHole_AVG_2006","ProximitytoHole_TOTALDISTANCEFEET_2006","ProximitytoHole_OFATTEMPTS_2006","ProximitytoHole_GIRRANK_2006","stat_name","year"
1,1,"Steve Stricker",64,NA,29341,929,24,"ProximitytoHole",2006
1,1,"Tiger Woods",55,NA,21020.917,665,1,"ProximitytoHole",2006
3,3,"Jim Furyk",89,NA,38404.75,1214,4,"ProximitytoHole",2006
4,4,"Tim Clark",80,NA,33267.667,1038,80,"ProximitytoHole",2006
5,5,"Fred Funk",106,NA,48933.75,1523,65,"ProximitytoHole",2006
5,5,"Scott Verplank",88,NA,39267.417,1220,77,"ProximitytoHole",2006
7,7,"Kenny Perry",73,NA,34651.5,1074,15,"ProximitytoHole",2006
7,7,"Heath Slocum",96,NA,48477.083,1504,34,"ProximitytoHole",2006
9,9,"Justin Rose",98,NA,50012.583,1539,29,"ProximitytoHole",2006
9,9,"Kirk Triplett",58,NA,28445.833,876,104,"ProximitytoHole",2006
11,11,"Omar Uresti",61,NA,29661.833,911,64,"ProximitytoHole",2006
12,12,"Robert Gamez",94,NA,48114.167,1469,115,"ProximitytoHole",2006
13,13,"Chris DiMarco",83,NA,35816.5,1089,60,"ProximitytoHole",2006
14,14,"Stewart Cink",93,NA,43605.917,1311,114,"ProximitytoHole",2006
15,15,"Bart Bryant",87,NA,42659.5,1275,16,"ProximitytoHole",2006
15,15,"Jerry Smith",94,NA,50593.583,1509,55,"ProximitytoHole",2006
17,17,"Bob May",65,NA,32216.583,960,13,"ProximitytoHole",2006
17,17,"Ian Poulter",53,NA,25285.583,752,75,"ProximitytoHole",2006
17,17,"Joey Sindelar",90,NA,45676.083,1361,17,"ProximitytoHole",2006
20,20,"Brian Gay",107,NA,60277.333,1788,153,"ProximitytoHole",2006
20,20,"Adam Scott",70,NA,30980.833,917,12,"ProximitytoHole",2006
22,22,"JP Hayes",55,NA,30095.25,889,127,"ProximitytoHole",2006
22,22,"Jeff Sluman",101,NA,50327.917,1486,108,"ProximitytoHole",2006
24,24,"Briny Baird",81,NA,42550.417,1256,5,"ProximitytoHole",2006
24,24,"Padraig Harrington",54,NA,23101.833,681,109,"ProximitytoHole",2006
24,24,"Corey Pavin",74,NA,34721.75,1024,145,"ProximitytoHole",2006
24,24,"David Toms",76,NA,37625.917,1109,71,"ProximitytoHole",2006
28,28,"Skip Kendall",72,NA,35700.167,1049,43,"ProximitytoHole",2006
29,29,"Olin Browne",108,NA,52302.25,1536,126,"ProximitytoHole",2006
29,29,"John Cook",67,NA,33506.75,983,67,"ProximitytoHole",2006
29,29,"Zach Johnson",98,NA,46971.75,1379,49,"ProximitytoHole",2006
29,29,"Justin Leonard",83,NA,39556.583,1161,149,"ProximitytoHole",2006
33,33,"Bob Estes",85,NA,45982.167,1346,51,"ProximitytoHole",2006
33,33,"Trevor Immelman",86,NA,44648.417,1308,14,"ProximitytoHole",2006
35,35,"Woody Austin",107,NA,56896,1663,167,"ProximitytoHole",2006
35,35,"Greg Kraft",79,NA,41077.917,1200,164,"ProximitytoHole",2006
37,37,"Alex Cejka",93,NA,48985.5,1428,35,"ProximitytoHole",2006
37,37,"Joe Durant",101,NA,59003.25,1717,6,"ProximitytoHole",2006
37,37,"Rory Sabbatini",84,NA,39298.25,1145,122,"ProximitytoHole",2006
40,40,"Chad Campbell",91,NA,41397.583,1204,38,"ProximitytoHole",2006
40,40,"Robert Damron",91,NA,50564.333,1469,146,"ProximitytoHole",2006
40,40,"Patrick Sheehan",104,NA,53477.583,1555,139,"ProximitytoHole",2006
40,40,"Brett Wetterich",82,NA,45003.5,1307,33,"ProximitytoHole",2006
44,44,"Stephen Ames",63,NA,27225.083,790,58,"ProximitytoHole",2006
44,44,"Paul Goydos",72,NA,39503.833,1146,104,"ProximitytoHole",2006
44,44,"Stephen Leaney",84,NA,47551.5,1377,45,"ProximitytoHole",2006
47,47,"Michael Allen",84,NA,44432.917,1284,166,"ProximitytoHole",2006
47,47,"Shane Bertsch",104,NA,55637.917,1607,139,"ProximitytoHole",2006
49,49,"Phil Mickelson",74,NA,29248.25,844,21,"ProximitytoHole",2006
49,49,"Joe Ogilvie",95,NA,48415.833,1397,111,"ProximitytoHole",2006
51,51,"Ben Curtis",86,NA,41784.083,1201,107,"ProximitytoHole",2006
51,51,"Luke Donald",66,NA,26830.5,773,74,"ProximitytoHole",2006
53,53,"David Branshaw",98,NA,54287.333,1558,7,"ProximitytoHole",2006
53,53,"Jerry Kelly",100,NA,52391.5,1505,46,"ProximitytoHole",2006
53,53,"Arron Oberholser",82,NA,38745.75,1112,11,"ProximitytoHole",2006
56,56,"Billy Andrade",78,NA,37425,1073,62,"ProximitytoHole",2006
56,56,"Jason Bohn",104,NA,55886.167,1599,84,"ProximitytoHole",2006
56,56,"Kris Cox",83,NA,44947.833,1287,63,"ProximitytoHole",2006
56,56,"Robert Garrigus",85,NA,46104.333,1321,119,"ProximitytoHole",2006
56,56,"Davis Love III",85,NA,35475.917,1015,54,"ProximitytoHole",2006
61,61,"Tommy Armour III",65,NA,33143.917,948,142,"ProximitytoHole",2006
61,61,"John Senden",96,NA,49417.5,1413,3,"ProximitytoHole",2006
61,61,"Charles Warren",93,NA,50735.083,1449,28,"ProximitytoHole",2006
61,61,"Mark Wilson",79,NA,45138.333,1290,26,"ProximitytoHole",2006
65,65,"David Duval",71,NA,33195.667,947,187,"ProximitytoHole",2006
65,65,"Ron Whittaker",81,NA,44602.833,1272,75,"ProximitytoHole",2006
67,67,"Peter Lonard",77,NA,41629.5,1183,155,"ProximitytoHole",2006
67,67,"Shaun Micheel",96,NA,48978.083,1393,36,"ProximitytoHole",2006
67,67,"Vaughn Taylor",88,NA,48490.75,1378,134,"ProximitytoHole",2006
70,70,"Jonathan Kaye",95,NA,54211.25,1538,19,"ProximitytoHole",2006
70,70,"Mike Weir",88,NA,39943.083,1132,59,"ProximitytoHole",2006
