"Puttingfrom4_RANKTHISWEEK_2009","Puttingfrom4_RANKLASTWEEK_2009","Puttingfrom4_PLAYERNAME_2009","Puttingfrom4_ROUNDS_2009","Puttingfrom4_PctMADE_2009","Puttingfrom4_ATTEMPTS_2009","Puttingfrom4_PUTTSMADE_2009","stat_name","year"
1,1,"Freddie Jacobson",83,98.59,142,140,"Puttingfrom4",2009
2,2,"Jim Furyk",86,96.85,127,123,"Puttingfrom4",2009
3,3,"Nick Watney",86,96.82,157,152,"Puttingfrom4",2009
4,4,"Matt Kuchar",82,96.53,144,139,"Puttingfrom4",2009
5,5,"Luke Donald",79,96.4,111,107,"Puttingfrom4",2009
6,6,"Tiger Woods",64,96.12,103,99,"Puttingfrom4",2009
7,7,"Mark Calcavecchia",72,95.74,141,135,"Puttingfrom4",2009
8,8,"Tommy Armour III",58,95.5,111,106,"Puttingfrom4",2009
9,9,"Greg Chalmers",85,95.48,155,148,"Puttingfrom4",2009
10,10,"Nathan Green",104,95.45,220,210,"Puttingfrom4",2009
10,10,"Lee Janzen",74,95.45,110,105,"Puttingfrom4",2009
12,12,"Spencer Levin",75,95.38,130,124,"Puttingfrom4",2009
13,13,"Brad Faxon",59,95.37,108,103,"Puttingfrom4",2009
14,14,"Richard Johnson",85,95.3,149,142,"Puttingfrom4",2009
15,15,"Tim Clark",81,95.27,148,141,"Puttingfrom4",2009
16,16,"Angel Cabrera",55,95.24,84,80,"Puttingfrom4",2009
17,17,"Ben Crane",93,95.19,187,178,"Puttingfrom4",2009
17,17,"Scott McCarron",91,95.19,187,178,"Puttingfrom4",2009
19,19,"Jason Dufner",90,95.18,166,158,"Puttingfrom4",2009
20,20,"Jeff Klauk",97,95.14,185,176,"Puttingfrom4",2009
21,21,"Brendon de Jonge",90,95.04,121,115,"Puttingfrom4",2009
22,22,"Brian Gay",96,94.77,172,163,"Puttingfrom4",2009
23,23,"Kevin Na",91,94.7,151,143,"Puttingfrom4",2009
23,23,"Kenny Perry",92,94.7,151,143,"Puttingfrom4",2009
23,23,"YE Yang",83,94.7,151,143,"Puttingfrom4",2009
26,26,"Jeff Overton",92,94.65,187,177,"Puttingfrom4",2009
27,27,"Daniel Chopra",89,94.59,185,175,"Puttingfrom4",2009
28,28,"Kevin Sutherland",96,94.56,147,139,"Puttingfrom4",2009
29,29,"Brian Bateman",55,94.44,108,102,"Puttingfrom4",2009
30,30,"Justin Leonard",95,94.41,143,135,"Puttingfrom4",2009
31,31,"Charley Hoffman",97,94.3,158,149,"Puttingfrom4",2009
32,32,"Eric Axley",71,94.29,140,132,"Puttingfrom4",2009
33,33,"Pat Perez",74,94.16,137,129,"Puttingfrom4",2009
34,34,"Ian Poulter",59,94.06,101,95,"Puttingfrom4",2009
35,35,"Ryan Moore",89,94.04,151,142,"Puttingfrom4",2009
36,36,"Joe Ogilvie",85,93.98,166,156,"Puttingfrom4",2009
36,36,"Tim Petrovic",97,93.98,166,156,"Puttingfrom4",2009
38,38,"Scott Verplank",88,93.88,147,138,"Puttingfrom4",2009
39,39,"Jerry Kelly",90,93.87,163,153,"Puttingfrom4",2009
40,40,"Anthony Kim",76,93.85,130,122,"Puttingfrom4",2009
41,41,"Parker McLachlin",71,93.81,113,106,"Puttingfrom4",2009
42,42,"George McNeill",82,93.79,145,136,"Puttingfrom4",2009
43,43,"Ben Curtis",63,93.68,95,89,"Puttingfrom4",2009
43,43,"Matt Jones",56,93.68,95,89,"Puttingfrom4",2009
45,45,"Mike Weir",85,93.66,142,133,"Puttingfrom4",2009
46,46,"Geoff Ogilvy",78,93.53,139,130,"Puttingfrom4",2009
47,47,"Retief Goosen",74,93.52,108,101,"Puttingfrom4",2009
48,48,"David Mathis",82,93.43,137,128,"Puttingfrom4",2009
49,49,"Phil Mickelson",66,93.39,121,113,"Puttingfrom4",2009
50,50,"Robert Allenby",71,93.33,90,84,"Puttingfrom4",2009
51,51,"Bill Haas",91,93.29,164,153,"Puttingfrom4",2009
52,52,"David Duval",56,93.27,104,97,"Puttingfrom4",2009
53,53,"Chad Campbell",90,93.08,130,121,"Puttingfrom4",2009
54,54,"Justin Rose",71,93.04,115,107,"Puttingfrom4",2009
55,55,"Kevin Streelman",97,92.97,185,172,"Puttingfrom4",2009
56,56,"Michael Allen",73,92.86,112,104,"Puttingfrom4",2009
56,56,"Stephen Ames",77,92.86,126,117,"Puttingfrom4",2009
56,56,"Peter Tomasulo",61,92.86,112,104,"Puttingfrom4",2009
59,59,"Kent Jones",73,92.8,125,116,"Puttingfrom4",2009
60,60,"Charles Warren",63,92.78,97,90,"Puttingfrom4",2009
61,61,"David Toms",98,92.76,152,141,"Puttingfrom4",2009
62,62,"Ryuji Imada",85,92.75,138,128,"Puttingfrom4",2009
63,63,"Steve Marino",98,92.73,165,153,"Puttingfrom4",2009
64,64,"Chris Stroud",88,92.72,151,140,"Puttingfrom4",2009
65,65,"Harrison Frazar",93,92.57,175,162,"Puttingfrom4",2009
66,66,"Dean Wilson",81,92.55,161,149,"Puttingfrom4",2009
67,67,"Bart Bryant",58,92.52,107,99,"Puttingfrom4",2009
68,68,"James Nitties",86,92.49,173,160,"Puttingfrom4",2009
69,69,"Zach Johnson",94,92.35,183,169,"Puttingfrom4",2009
70,70,"Padraig Harrington",66,92.31,91,84,"Puttingfrom4",2009
70,70,"Ryan Palmer",78,92.31,156,144,"Puttingfrom4",2009
72,72,"Bo Van Pelt",100,92.23,206,190,"Puttingfrom4",2009
