"ApproachPuttPerformance_RANKTHISWEEK_2007","ApproachPuttPerformance_RANKLASTWEEK_2007","ApproachPuttPerformance_PLAYERNAME_2007","ApproachPuttPerformance_ROUNDS_2007","ApproachPuttPerformance_VALUE_2007","ApproachPuttPerformance_ATTEMPTS_2007","ApproachPuttPerformance_TOTALDISTANCEFEET_2007","stat_name","year"
1,1,"Sergio Garcia",68,NA,578,1153,"ApproachPuttPerformance",2007
1,1,"Steve Stricker",81,NA,669,1353.75,"ApproachPuttPerformance",2007
3,3,"Mark Brooks",53,NA,461,951.917,"ApproachPuttPerformance",2007
3,3,"Jim Furyk",84,NA,730,1548.25,"ApproachPuttPerformance",2007
3,3,"Retief Goosen",50,NA,365,769.083,"ApproachPuttPerformance",2007
3,3,"Nick OHern",72,NA,589,1218.917,"ApproachPuttPerformance",2007
3,3,"Tiger Woods",63,NA,453,952.833,"ApproachPuttPerformance",2007
8,8,"Jose Coceres",50,NA,432,946.25,"ApproachPuttPerformance",2007
8,8,"Anders Hansen",55,NA,383,844.083,"ApproachPuttPerformance",2007
8,8,"Padraig Harrington",64,NA,453,999.167,"ApproachPuttPerformance",2007
8,8,"Bob Heintz",85,NA,747,1627.833,"ApproachPuttPerformance",2007
8,8,"Jose Maria Olazabal",52,NA,374,803.583,"ApproachPuttPerformance",2007
8,8,"Tag Ridings",52,NA,474,1035.5,"ApproachPuttPerformance",2007
8,8,"Jeff Sluman",60,NA,480,1038.167,"ApproachPuttPerformance",2007
8,8,"Scott Verplank",82,NA,617,1338.917,"ApproachPuttPerformance",2007
8,8,"Camilo Villegas",82,NA,742,1592.583,"ApproachPuttPerformance",2007
17,17,"Alex Cejka",80,NA,813,1849.833,"ApproachPuttPerformance",2007
17,17,"Stewart Cink",91,NA,771,1764.667,"ApproachPuttPerformance",2007
17,17,"Marco Dawson",73,NA,681,1534.083,"ApproachPuttPerformance",2007
17,17,"Glen Day",85,NA,826,1881.167,"ApproachPuttPerformance",2007
17,17,"Luke Donald",69,NA,517,1157.75,"ApproachPuttPerformance",2007
17,17,"Ken Duke",112,NA,1008,2229.5,"ApproachPuttPerformance",2007
17,17,"Ernie Els",59,NA,470,1052.917,"ApproachPuttPerformance",2007
17,17,"Bob Estes",88,NA,817,1825.75,"ApproachPuttPerformance",2007
17,17,"Jeff Gove",103,NA,1110,2461.083,"ApproachPuttPerformance",2007
17,17,"JJ Henry",86,NA,786,1799.75,"ApproachPuttPerformance",2007
17,17,"Mark Hensby",81,NA,753,1717.25,"ApproachPuttPerformance",2007
