"TotalHoleOuts_RANKTHISWEEK_2009","TotalHoleOuts_RANKLASTWEEK_2009","TotalHoleOuts_PLAYERNAME_2009","TotalHoleOuts_ROUNDS_2009","TotalHoleOuts_HOLEOUTS_2009","stat_name","year"
1,1,"Dustin Johnson",85,21,"TotalHoleOuts",2009
2,2,"Tim Herron",87,20,"TotalHoleOuts",2009
2,2,"Chris Riley",77,20,"TotalHoleOuts",2009
4,4,"Jim Furyk",86,18,"TotalHoleOuts",2009
4,4,"Paul Goydos",79,18,"TotalHoleOuts",2009
6,6,"Ben Crane",93,17,"TotalHoleOuts",2009
6,6,"Nicholas Thompson",96,17,"TotalHoleOuts",2009
6,6,"Dean Wilson",81,17,"TotalHoleOuts",2009
9,9,"Zach Johnson",94,16,"TotalHoleOuts",2009
10,10,"Alex Cejka",82,15,"TotalHoleOuts",2009
10,10,"Chris DiMarco",97,15,"TotalHoleOuts",2009
10,10,"Steve Elkington",70,15,"TotalHoleOuts",2009
10,10,"Charley Hoffman",97,15,"TotalHoleOuts",2009
10,10,"Lee Janzen",74,15,"TotalHoleOuts",2009
10,10,"James Nitties",86,15,"TotalHoleOuts",2009
10,10,"Scott Piercy",85,15,"TotalHoleOuts",2009
10,10,"Ted Purdy",101,15,"TotalHoleOuts",2009
10,10,"Webb Simpson",94,15,"TotalHoleOuts",2009
10,10,"David Toms",98,15,"TotalHoleOuts",2009
20,20,"Brian Gay",96,14,"TotalHoleOuts",2009
20,20,"Jeff Klauk",97,14,"TotalHoleOuts",2009
20,20,"Michael Letzig",96,14,"TotalHoleOuts",2009
20,20,"Spencer Levin",75,14,"TotalHoleOuts",2009
20,20,"John Merrick",91,14,"TotalHoleOuts",2009
20,20,"Corey Pavin",73,14,"TotalHoleOuts",2009
20,20,"Rory Sabbatini",81,14,"TotalHoleOuts",2009
20,20,"Kevin Streelman",97,14,"TotalHoleOuts",2009
20,20,"Vaughn Taylor",88,14,"TotalHoleOuts",2009
20,20,"Bubba Watson",73,14,"TotalHoleOuts",2009
20,20,"Boo Weekley",79,14,"TotalHoleOuts",2009
31,31,"Brad Adamonis",70,13,"TotalHoleOuts",2009
31,31,"Greg Chalmers",85,13,"TotalHoleOuts",2009
31,31,"Lucas Glover",93,13,"TotalHoleOuts",2009
31,31,"Justin Leonard",95,13,"TotalHoleOuts",2009
31,31,"Rod Pampling",72,13,"TotalHoleOuts",2009
31,31,"Ian Poulter",59,13,"TotalHoleOuts",2009
31,31,"Jeff Quinney",78,13,"TotalHoleOuts",2009
31,31,"Chez Reavie",81,13,"TotalHoleOuts",2009
39,39,"Harrison Frazar",93,12,"TotalHoleOuts",2009
39,39,"Padraig Harrington",66,12,"TotalHoleOuts",2009
39,39,"Matt Jones",56,12,"TotalHoleOuts",2009
39,39,"Hunter Mahan",94,12,"TotalHoleOuts",2009
39,39,"Steve Marino",98,12,"TotalHoleOuts",2009
39,39,"Geoff Ogilvy",78,12,"TotalHoleOuts",2009
39,39,"Pat Perez",74,12,"TotalHoleOuts",2009
39,39,"Tim Petrovic",97,12,"TotalHoleOuts",2009
39,39,"Heath Slocum",95,12,"TotalHoleOuts",2009
39,39,"Scott Verplank",88,12,"TotalHoleOuts",2009
39,39,"Nick Watney",86,12,"TotalHoleOuts",2009
50,50,"Woody Austin",84,11,"TotalHoleOuts",2009
50,50,"Briny Baird",89,11,"TotalHoleOuts",2009
50,50,"Matt Bettencourt",98,11,"TotalHoleOuts",2009
50,50,"Jason Day",61,11,"TotalHoleOuts",2009
50,50,"Ken Duke",87,11,"TotalHoleOuts",2009
50,50,"Bob Estes",78,11,"TotalHoleOuts",2009
50,50,"Retief Goosen",74,11,"TotalHoleOuts",2009
50,50,"Bill Haas",91,11,"TotalHoleOuts",2009
50,50,"Charles Howell III",99,11,"TotalHoleOuts",2009
50,50,"Ryuji Imada",85,11,"TotalHoleOuts",2009
50,50,"Peter Lonard",86,11,"TotalHoleOuts",2009
50,50,"Davis Love III",89,11,"TotalHoleOuts",2009
50,50,"Steve Lowery",83,11,"TotalHoleOuts",2009
50,50,"David Mathis",82,11,"TotalHoleOuts",2009
50,50,"Troy Matteson",95,11,"TotalHoleOuts",2009
50,50,"Leif Olson",51,11,"TotalHoleOuts",2009
50,50,"Vijay Singh",71,11,"TotalHoleOuts",2009
50,50,"Bo Van Pelt",100,11,"TotalHoleOuts",2009
50,50,"Camilo Villegas",76,11,"TotalHoleOuts",2009
50,50,"Brian Vranesh",51,11,"TotalHoleOuts",2009
50,50,"Johnson Wagner",81,11,"TotalHoleOuts",2009
50,50,"Charlie Wi",92,11,"TotalHoleOuts",2009
72,72,"Eric Axley",71,10,"TotalHoleOuts",2009
72,72,"Aaron Baddeley",66,10,"TotalHoleOuts",2009
72,72,"Cameron Beckman",87,10,"TotalHoleOuts",2009
72,72,"Daniel Chopra",89,10,"TotalHoleOuts",2009
72,72,"Stewart Cink",79,10,"TotalHoleOuts",2009
72,72,"Tim Clark",81,10,"TotalHoleOuts",2009
72,72,"Brian Davis",103,10,"TotalHoleOuts",2009
72,72,"Robert Garrigus",83,10,"TotalHoleOuts",2009
72,72,"Kent Jones",73,10,"TotalHoleOuts",2009
72,72,"Jerry Kelly",90,10,"TotalHoleOuts",2009
72,72,"Martin Laird",72,10,"TotalHoleOuts",2009
72,72,"Jarrod Lyle",65,10,"TotalHoleOuts",2009
72,72,"John Mallinger",90,10,"TotalHoleOuts",2009
72,72,"Rocco Mediate",79,10,"TotalHoleOuts",2009
72,72,"Tom Pernice Jr",82,10,"TotalHoleOuts",2009
72,72,"Kenny Perry",92,10,"TotalHoleOuts",2009
72,72,"DA Points",99,10,"TotalHoleOuts",2009
72,72,"Tag Ridings",50,10,"TotalHoleOuts",2009
72,72,"Steve Stricker",81,10,"TotalHoleOuts",2009
72,72,"Jimmy Walker",74,10,"TotalHoleOuts",2009
72,72,"Matt Weibring",65,10,"TotalHoleOuts",2009
72,72,"Casey Wittenberg",71,10,"TotalHoleOuts",2009
94,94,"Robert Allenby",71,9,"TotalHoleOuts",2009
94,94,"Mark Brooks",55,9,"TotalHoleOuts",2009
94,94,"Mark Calcavecchia",72,9,"TotalHoleOuts",2009
94,94,"Chad Campbell",90,9,"TotalHoleOuts",2009
94,94,"Fred Couples",54,9,"TotalHoleOuts",2009
94,94,"Brendon de Jonge",90,9,"TotalHoleOuts",2009
94,94,"Luke Donald",79,9,"TotalHoleOuts",2009
94,94,"Jason Dufner",90,9,"TotalHoleOuts",2009
94,94,"Jason Gore",74,9,"TotalHoleOuts",2009
