"LongestHoleOutsinyards_RANKTHISWEEK_2011","LongestHoleOutsinyards_RANKLASTWEEK_2011","LongestHoleOutsinyards_PLAYERNAME_2011","LongestHoleOutsinyards_ROUNDS_2011","LongestHoleOutsinyards_DISTANCE_2011","LongestHoleOutsinyards_TOURNAMENT_2011","LongestHoleOutsinyards_ROUNDCOURSE_2011","LongestHoleOutsinyards_HOLE_2011","stat_name","year"
1,1,"Fabian Gomez",84,247,NA,1,15,"LongestHoleOutsinyards",2011
2,2,"Nate Smith",66,221,NA,3,5,"LongestHoleOutsinyards",2011
3,3,"Scott Stallings",84,214,NA,3,8,"LongestHoleOutsinyards",2011
4,4,"JB Holmes",57,213,NA,3,15,"LongestHoleOutsinyards",2011
5,5,"Sung Kang",63,209,NA,3,12,"LongestHoleOutsinyards",2011
5,6,"Nick OHern",89,209,NA,2,12,"LongestHoleOutsinyards",2011
7,7,"Jim Furyk",87,204,NA,4,8,"LongestHoleOutsinyards",2011
7,8,"Cameron Tringale",110,204,NA,1,8,"LongestHoleOutsinyards",2011
9,9,"Scott Gutschewski",67,199,NA,2,14,"LongestHoleOutsinyards",2011
10,10,"Shaun Micheel",77,198,NA,2,17,"LongestHoleOutsinyards",2011
11,11,"Skip Kendall",14,196,NA,1,15,"LongestHoleOutsinyards",2011
12,12,"Robert Allenby",84,195,NA,4,14,"LongestHoleOutsinyards",2011
13,13,"Steve Stricker",70,189,NA,2,8,"LongestHoleOutsinyards",2011
15,15,"Jason Day",76,187,NA,4,14,"LongestHoleOutsinyards",2011
16,16,"Trevor Immelman",84,186,NA,3,1,"LongestHoleOutsinyards",2011
17,17,"Darren Clarke",10,184,NA,1,8,"LongestHoleOutsinyards",2011
18,18,"Marc Turnesa",54,179,NA,1,17,"LongestHoleOutsinyards",2011
18,19,"Vaughn Taylor",89,179,NA,3,5,"LongestHoleOutsinyards",2011
20,20,"Daniel Summerhays",75,177,NA,2,17,"LongestHoleOutsinyards",2011
21,21,"Brendan Steele",89,175,NA,2,12,"LongestHoleOutsinyards",2011
22,22,"Rory Sabbatini",85,173,NA,3,16,"LongestHoleOutsinyards",2011
22,23,"Phil Mickelson",79,173,NA,3,12,"LongestHoleOutsinyards",2011
24,24,"Jeff Overton",92,171,NA,2,11,"LongestHoleOutsinyards",2011
24,25,"Brandt Jobe",100,171,NA,4,7,"LongestHoleOutsinyards",2011
27,27,"Chris Couch",73,166,NA,5,13,"LongestHoleOutsinyards",2011
28,28,"Justin Rose",79,164,NA,4,15,"LongestHoleOutsinyards",2011
29,29,"Stuart Appleby",65,163,NA,1,16,"LongestHoleOutsinyards",2011
30,30,"David Toms",78,161,NA,3,7,"LongestHoleOutsinyards",2011
31,31,"Will Strickler",51,160,NA,2,1,"LongestHoleOutsinyards",2011
31,32,"Heath Slocum",89,160,NA,2,17,"LongestHoleOutsinyards",2011
