"BirdieorBetterPercentage_RANKTHISWEEK_2005","BirdieorBetterPercentage_RANKLASTWEEK_2005","BirdieorBetterPercentage_PLAYERNAME_2005","BirdieorBetterPercentage_ROUNDS_2005","BirdieorBetterPercentage_Pct_2005","BirdieorBetterPercentage_TOTALBIRDIES_2005","BirdieorBetterPercentage_TOTALHOLES_2005","BirdieorBetterPercentage_GIRRANK_2005","stat_name","year"
1,1,"Tiger Woods",76,26.13,348,1332,6,"BirdieorBetterPercentage",2005
2,2,"Phil Mickelson",81,24.77,330,1332,47,"BirdieorBetterPercentage",2005
3,3,"Brenden Pappas",51,23.64,217,918,108,"BirdieorBetterPercentage",2005
4,4,"Arjun Atwal",65,23.25,272,1170,106,"BirdieorBetterPercentage",2005
5,5,"David Toms",87,23.09,320,1386,39,"BirdieorBetterPercentage",2005
6,6,"Tag Ridings",93,22.89,375,1638,97,"BirdieorBetterPercentage",2005
7,7,"Scott Verplank",87,22.74,352,1548,61,"BirdieorBetterPercentage",2005
8,8,"Vijay Singh",111,22.68,445,1962,4,"BirdieorBetterPercentage",2005
9,9,"Harrison Frazar",105,22.33,406,1818,58,"BirdieorBetterPercentage",2005
10,10,"Tim Clark",92,22.22,348,1566,123,"BirdieorBetterPercentage",2005
10,10,"Scott Gutschewski",86,22.22,328,1476,33,"BirdieorBetterPercentage",2005
12,12,"Ryan Palmer",101,22.11,386,1746,89,"BirdieorBetterPercentage",2005
13,13,"Geoff Ogilvy",97,22.04,369,1674,53,"BirdieorBetterPercentage",2005
14,14,"Tim Herron",100,21.94,391,1782,96,"BirdieorBetterPercentage",2005
15,15,"Ben Crane",78,21.85,291,1332,161,"BirdieorBetterPercentage",2005
16,16,"Fred Couples",72,21.81,267,1224,25,"BirdieorBetterPercentage",2005
16,16,"Bob Heintz",67,21.81,263,1206,189,"BirdieorBetterPercentage",2005
18,18,"Steve Stricker",62,21.77,243,1116,180,"BirdieorBetterPercentage",2005
19,19,"Kenny Perry",82,21.74,313,1440,3,"BirdieorBetterPercentage",2005
20,20,"Bo Van Pelt",112,21.63,436,2016,18,"BirdieorBetterPercentage",2005
21,21,"Jim Furyk",94,21.62,362,1674,7,"BirdieorBetterPercentage",2005
22,22,"Richard Johnson",50,21.56,194,900,28,"BirdieorBetterPercentage",2005
23,23,"Vaughn Taylor",99,21.55,384,1782,80,"BirdieorBetterPercentage",2005
23,23,"Brett Wetterich",76,21.55,287,1332,24,"BirdieorBetterPercentage",2005
25,25,"Charles Warren",89,21.52,337,1566,16,"BirdieorBetterPercentage",2005
26,26,"Davis Love III",80,21.48,290,1350,51,"BirdieorBetterPercentage",2005
27,27,"Billy Mayfair",114,21.46,425,1980,10,"BirdieorBetterPercentage",2005
28,28,"Retief Goosen",71,21.4,235,1098,38,"BirdieorBetterPercentage",2005
29,29,"Joe Ogilvie",103,21.38,381,1782,172,"BirdieorBetterPercentage",2005
30,30,"Woody Austin",100,21.33,384,1800,120,"BirdieorBetterPercentage",2005
31,31,"Sergio Garcia",73,21.32,261,1224,1,"BirdieorBetterPercentage",2005
32,32,"Mark Calcavecchia",92,21.3,345,1620,76,"BirdieorBetterPercentage",2005
33,33,"Marco Dawson",82,21.27,314,1476,37,"BirdieorBetterPercentage",2005
34,34,"Kevin Stadler",96,21.26,352,1656,116,"BirdieorBetterPercentage",2005
35,35,"Dan Forsman",52,21.22,191,900,14,"BirdieorBetterPercentage",2005
36,36,"Robert Allenby",95,21.16,339,1602,11,"BirdieorBetterPercentage",2005
37,37,"John Daly",78,21.13,289,1368,152,"BirdieorBetterPercentage",2005
38,38,"Lucas Glover",88,21.12,327,1548,35,"BirdieorBetterPercentage",2005
39,39,"Jonathan Kaye",77,21.1,281,1332,53,"BirdieorBetterPercentage",2005
40,40,"Billy Andrade",83,21.08,315,1494,132,"BirdieorBetterPercentage",2005
41,41,"Hunter Mahan",103,21.07,383,1818,52,"BirdieorBetterPercentage",2005
42,42,"John Huston",90,21.06,326,1548,130,"BirdieorBetterPercentage",2005
43,43,"Chris Smith",93,21.03,352,1674,13,"BirdieorBetterPercentage",2005
44,44,"Bart Bryant",91,21,344,1638,17,"BirdieorBetterPercentage",2005
45,45,"Darron Stiles",78,20.98,287,1368,60,"BirdieorBetterPercentage",2005
46,46,"Dudley Hart",84,20.97,317,1512,61,"BirdieorBetterPercentage",2005
46,46,"Rod Pampling",89,20.97,317,1512,82,"BirdieorBetterPercentage",2005
48,48,"Hunter Haas",83,20.96,298,1422,128,"BirdieorBetterPercentage",2005
49,49,"Jeff Brehaut",71,20.9,252,1206,5,"BirdieorBetterPercentage",2005
50,50,"Steve Lowery",100,20.89,361,1728,113,"BirdieorBetterPercentage",2005
51,51,"Aaron Baddeley",84,20.87,308,1476,191,"BirdieorBetterPercentage",2005
51,51,"Duffy Waldorf",86,20.87,308,1476,64,"BirdieorBetterPercentage",2005
51,51,"Dean Wilson",86,20.87,323,1548,81,"BirdieorBetterPercentage",2005
54,54,"Frank Lickliter II",100,20.83,360,1728,83,"BirdieorBetterPercentage",2005
55,55,"Zach Johnson",96,20.82,356,1710,53,"BirdieorBetterPercentage",2005
55,55,"Justin Rose",99,20.82,356,1710,29,"BirdieorBetterPercentage",2005
