"PuttingfromGrtr10_RANKTHISWEEK_2009","PuttingfromGrtr10_RANKLASTWEEK_2009","PuttingfromGrtr10_PLAYERNAME_2009","PuttingfromGrtr10_ROUNDS_2009","PuttingfromGrtr10_PctMADE_2009","PuttingfromGrtr10_ATTEMPTS_2009","PuttingfromGrtr10_PUTTSMADE_2009","stat_name","year"
1,1,"Luke Donald",79,20.06,618,124,"PuttingfromGrtr10",2009
2,2,"Greg Chalmers",85,19.67,737,145,"PuttingfromGrtr10",2009
3,3,"Kevin Na",91,19.37,790,153,"PuttingfromGrtr10",2009
4,4,"Matt Kuchar",82,19.15,726,139,"PuttingfromGrtr10",2009
5,5,"Webb Simpson",94,19.11,858,164,"PuttingfromGrtr10",2009
6,6,"Matt Bettencourt",98,18.92,925,175,"PuttingfromGrtr10",2009
7,7,"Dean Wilson",81,18.86,721,136,"PuttingfromGrtr10",2009
8,8,"Parker McLachlin",71,18.77,666,125,"PuttingfromGrtr10",2009
9,9,"Lee Janzen",74,18.72,625,117,"PuttingfromGrtr10",2009
10,10,"Geoff Ogilvy",78,18.29,585,107,"PuttingfromGrtr10",2009
11,11,"Brad Faxon",59,18.25,515,94,"PuttingfromGrtr10",2009
11,11,"Pat Perez",74,18.25,630,115,"PuttingfromGrtr10",2009
13,13,"Bob Heintz",59,18.18,506,92,"PuttingfromGrtr10",2009
14,14,"Brandt Snedeker",81,18.07,675,122,"PuttingfromGrtr10",2009
15,15,"Stephen Ames",77,17.99,628,113,"PuttingfromGrtr10",2009
16,16,"Tim Clark",81,17.91,592,106,"PuttingfromGrtr10",2009
17,17,"Jason Day",61,17.78,523,93,"PuttingfromGrtr10",2009
18,18,"Mark Brooks",55,17.73,406,72,"PuttingfromGrtr10",2009
19,19,"Michael Letzig",96,17.65,878,155,"PuttingfromGrtr10",2009
20,20,"Ryuji Imada",85,17.51,674,118,"PuttingfromGrtr10",2009
21,21,"Jim Furyk",86,17.36,645,112,"PuttingfromGrtr10",2009
22,22,"Rod Pampling",72,17.35,657,114,"PuttingfromGrtr10",2009
23,23,"Justin Rose",71,17.33,600,104,"PuttingfromGrtr10",2009
