"BirdieorBetterPercentage200yards_RANKTHISWEEK_2008","BirdieorBetterPercentage200yards_RANKLASTWEEK_2008","BirdieorBetterPercentage200yards_PLAYERNAME_2008","BirdieorBetterPercentage200yards_ROUNDS_2008","BirdieorBetterPercentage200yards_Pct_2008","BirdieorBetterPercentage200yards_TOTALBIRDIES_2008","BirdieorBetterPercentage200yards_TOTALHOLES_2008","stat_name","year"
1,1,"Nick Watney",96,39.53,151,382,"BirdieorBetterPercentage200yards",2008
2,2,"Robert Garrigus",90,39.52,147,372,"BirdieorBetterPercentage200yards",2008
3,3,"Michael Letzig",88,38.46,110,286,"BirdieorBetterPercentage200yards",2008
4,4,"Fred Couples",60,37.85,81,214,"BirdieorBetterPercentage200yards",2008
5,5,"Adam Scott",51,37.33,56,150,"BirdieorBetterPercentage200yards",2008
6,6,"Brenden Pappas",66,36.92,72,195,"BirdieorBetterPercentage200yards",2008
7,7,"Dustin Johnson",92,36.62,115,314,"BirdieorBetterPercentage200yards",2008
8,8,"Stewart Cink",87,36.54,95,260,"BirdieorBetterPercentage200yards",2008
9,9,"Phil Mickelson",80,36.09,96,266,"BirdieorBetterPercentage200yards",2008
9,9,"Pat Perez",93,36.09,122,338,"BirdieorBetterPercentage200yards",2008
11,11,"Kevin Stadler",90,35.62,104,292,"BirdieorBetterPercentage200yards",2008
12,12,"Tag Ridings",88,35.42,119,336,"BirdieorBetterPercentage200yards",2008
13,13,"Charley Hoffman",94,35.33,118,334,"BirdieorBetterPercentage200yards",2008
14,14,"Martin Laird",98,35.31,119,337,"BirdieorBetterPercentage200yards",2008
15,15,"Ryan Palmer",69,35.14,78,222,"BirdieorBetterPercentage200yards",2008
16,16,"Mathew Goggin",91,34.87,121,347,"BirdieorBetterPercentage200yards",2008
17,17,"Camilo Villegas",79,34.7,93,268,"BirdieorBetterPercentage200yards",2008
18,18,"Bill Haas",99,34.44,124,360,"BirdieorBetterPercentage200yards",2008
19,19,"Bubba Watson",97,34.38,121,352,"BirdieorBetterPercentage200yards",2008
20,20,"JB Holmes",86,34.33,103,300,"BirdieorBetterPercentage200yards",2008
21,21,"Davis Love III",78,34.3,83,242,"BirdieorBetterPercentage200yards",2008
22,22,"Rory Sabbatini",77,34.13,86,252,"BirdieorBetterPercentage200yards",2008
23,23,"Carlos Franco",73,34.04,80,235,"BirdieorBetterPercentage200yards",2008
24,24,"Vijay Singh",82,33.21,91,274,"BirdieorBetterPercentage200yards",2008
25,25,"Mark Hensby",71,33.2,80,241,"BirdieorBetterPercentage200yards",2008
26,26,"James Driscoll",85,33.12,105,317,"BirdieorBetterPercentage200yards",2008
27,27,"Harrison Frazar",73,33.04,76,230,"BirdieorBetterPercentage200yards",2008
28,28,"Steve Allan",58,32.98,62,188,"BirdieorBetterPercentage200yards",2008
29,29,"Lucas Glover",91,32.92,106,322,"BirdieorBetterPercentage200yards",2008
30,30,"Sergio Garcia",72,32.91,77,234,"BirdieorBetterPercentage200yards",2008
31,31,"Padraig Harrington",52,32.85,45,137,"BirdieorBetterPercentage200yards",2008
32,32,"Jonathan Byrd",88,32.83,109,332,"BirdieorBetterPercentage200yards",2008
33,33,"Mathias Gronberg",87,32.82,106,323,"BirdieorBetterPercentage200yards",2008
34,34,"Jason Day",81,32.8,103,314,"BirdieorBetterPercentage200yards",2008
35,35,"John Huston",56,32.74,55,168,"BirdieorBetterPercentage200yards",2008
36,36,"Jason Allred",63,32.64,63,193,"BirdieorBetterPercentage200yards",2008
37,37,"Charles Howell III",101,32.49,115,354,"BirdieorBetterPercentage200yards",2008
38,38,"Woody Austin",109,32.4,116,358,"BirdieorBetterPercentage200yards",2008
39,39,"Daniel Chopra",84,32.34,87,269,"BirdieorBetterPercentage200yards",2008
40,40,"Aaron Baddeley",76,32.33,86,266,"BirdieorBetterPercentage200yards",2008
41,41,"Boo Weekley",86,32.14,81,252,"BirdieorBetterPercentage200yards",2008
42,42,"Parker McLachlin",88,31.85,93,292,"BirdieorBetterPercentage200yards",2008
43,43,"Nicholas Thompson",113,31.81,132,415,"BirdieorBetterPercentage200yards",2008
44,44,"Tommy Gainey",60,31.79,55,173,"BirdieorBetterPercentage200yards",2008
45,45,"Jesper Parnevik",88,31.72,98,309,"BirdieorBetterPercentage200yards",2008
45,45,"Tom Scherrer",56,31.72,46,145,"BirdieorBetterPercentage200yards",2008
47,47,"Kyle Thompson",70,31.49,57,181,"BirdieorBetterPercentage200yards",2008
48,48,"Brad Adamonis",87,31.38,91,290,"BirdieorBetterPercentage200yards",2008
49,49,"Andres Romero",69,31.28,66,211,"BirdieorBetterPercentage200yards",2008
50,50,"Sean OHair",81,31.27,81,259,"BirdieorBetterPercentage200yards",2008
51,51,"Anthony Kim",81,31.18,82,263,"BirdieorBetterPercentage200yards",2008
51,51,"Bo Van Pelt",101,31.18,111,356,"BirdieorBetterPercentage200yards",2008
53,53,"Jason Gore",94,31.05,95,306,"BirdieorBetterPercentage200yards",2008
54,54,"George McNeill",97,30.97,118,381,"BirdieorBetterPercentage200yards",2008
55,55,"Tim Herron",97,30.48,96,315,"BirdieorBetterPercentage200yards",2008
56,56,"Kevin Na",97,30.25,108,357,"BirdieorBetterPercentage200yards",2008
57,57,"John Merrick",98,30.23,91,301,"BirdieorBetterPercentage200yards",2008
58,58,"Troy Matteson",94,30.22,110,364,"BirdieorBetterPercentage200yards",2008
59,59,"Todd Demsey",80,30.15,79,262,"BirdieorBetterPercentage200yards",2008
60,60,"Matt Jones",95,30.12,103,342,"BirdieorBetterPercentage200yards",2008
61,61,"Charles Warren",79,30.09,96,319,"BirdieorBetterPercentage200yards",2008
62,62,"DJ Trahan",94,30,96,320,"BirdieorBetterPercentage200yards",2008
63,63,"Steve Marino",119,29.9,119,398,"BirdieorBetterPercentage200yards",2008
64,64,"Johnson Wagner",83,29.82,85,285,"BirdieorBetterPercentage200yards",2008
65,65,"Hunter Mahan",87,29.77,89,299,"BirdieorBetterPercentage200yards",2008
66,66,"Ted Purdy",68,29.65,67,226,"BirdieorBetterPercentage200yards",2008
67,67,"Joe Ogilvie",100,29.63,104,351,"BirdieorBetterPercentage200yards",2008
67,67,"Kenny Perry",97,29.63,112,378,"BirdieorBetterPercentage200yards",2008
69,69,"Jeff Overton",103,29.51,103,349,"BirdieorBetterPercentage200yards",2008
70,70,"Kevin Streelman",114,29.5,113,383,"BirdieorBetterPercentage200yards",2008
71,71,"Peter Lonard",92,29.48,97,329,"BirdieorBetterPercentage200yards",2008
72,72,"Steve Stricker",75,29.44,68,231,"BirdieorBetterPercentage200yards",2008
73,73,"Kevin Sutherland",98,29.27,108,369,"BirdieorBetterPercentage200yards",2008
74,74,"KJ Choi",74,29,67,231,"BirdieorBetterPercentage200yards",2008
75,75,"Bob Sowards",61,28.96,53,183,"BirdieorBetterPercentage200yards",2008
76,76,"Mark Calcavecchia",67,28.85,60,208,"BirdieorBetterPercentage200yards",2008
