"BirdieorBetterPercentage125150ya_RANKTHISWEEK_2015","BirdieorBetterPercentage125150ya_RANKLASTWEEK_2015","BirdieorBetterPercentage125150ya_PLAYERNAME_2015","BirdieorBetterPercentage125150ya_ROUNDS_2015","BirdieorBetterPercentage125150ya_Pct_2015","BirdieorBetterPercentage125150ya_TOTALBIRDIES_2015","BirdieorBetterPercentage125150ya_TOTALHOLES_2015","stat_name","year"
1,1,"Jordan Spieth",91,31.91,60,188,"BirdieorBetterPercentage125150ya",2015
2,2,"Pat Perez",96,27.35,67,245,"BirdieorBetterPercentage125150ya",2015
3,3,"Jerry Kelly",79,26.84,51,190,"BirdieorBetterPercentage125150ya",2015
4,4,"DA Points",72,26.11,41,157,"BirdieorBetterPercentage125150ya",2015
5,5,"Justin Leonard",61,26.03,38,146,"BirdieorBetterPercentage125150ya",2015
6,6,"Ryan Palmer",80,25.84,46,178,"BirdieorBetterPercentage125150ya",2015
7,7,"Andres Romero",69,25.77,42,163,"BirdieorBetterPercentage125150ya",2015
8,8,"Paul Casey",87,25.34,56,221,"BirdieorBetterPercentage125150ya",2015
9,9,"Erik Compton",86,25,55,220,"BirdieorBetterPercentage125150ya",2015
9,9,"Tyrone Van Aswegen",58,25,34,136,"BirdieorBetterPercentage125150ya",2015
11,11,"Jason Gore",76,24.86,46,185,"BirdieorBetterPercentage125150ya",2015
12,12,"Mark Wilson",89,24.69,59,239,"BirdieorBetterPercentage125150ya",2015
13,13,"Whee Kim",71,24.57,43,175,"BirdieorBetterPercentage125150ya",2015
14,14,"Jonathan Byrd",69,24.38,39,160,"BirdieorBetterPercentage125150ya",2015
15,15,"Patrick Reed",103,23.77,53,223,"BirdieorBetterPercentage125150ya",2015
16,16,"John Merrick",78,23.73,42,177,"BirdieorBetterPercentage125150ya",2015
17,17,"Danny Lee",120,23.7,64,270,"BirdieorBetterPercentage125150ya",2015
18,18,"Ryo Ishikawa",90,23.64,61,258,"BirdieorBetterPercentage125150ya",2015
19,19,"Alex Cejka",94,23.48,62,264,"BirdieorBetterPercentage125150ya",2015
20,20,"Tom Hoge",83,23.47,50,213,"BirdieorBetterPercentage125150ya",2015
21,21,"Jeff Overton",94,23.35,53,227,"BirdieorBetterPercentage125150ya",2015
22,22,"Scott Piercy",90,23.26,60,258,"BirdieorBetterPercentage125150ya",2015
23,23,"Russell Knox",96,23.19,64,276,"BirdieorBetterPercentage125150ya",2015
24,24,"Ian Poulter",68,22.86,32,140,"BirdieorBetterPercentage125150ya",2015
25,25,"Billy Horschel",99,22.77,46,202,"BirdieorBetterPercentage125150ya",2015
25,25,"Steve Wheatcroft",87,22.77,51,224,"BirdieorBetterPercentage125150ya",2015
27,27,"Jimmy Walker",89,22.63,43,190,"BirdieorBetterPercentage125150ya",2015
28,28,"Andrew Putnam",68,22.54,32,142,"BirdieorBetterPercentage125150ya",2015
29,29,"Steven Bowditch",103,22.46,64,285,"BirdieorBetterPercentage125150ya",2015
30,30,"Brendan Steele",88,22.44,57,254,"BirdieorBetterPercentage125150ya",2015
31,31,"JB Holmes",89,22.39,45,201,"BirdieorBetterPercentage125150ya",2015
32,32,"Chris Kirk",76,22.3,33,148,"BirdieorBetterPercentage125150ya",2015
33,33,"Billy Hurley III",83,22.29,35,157,"BirdieorBetterPercentage125150ya",2015
34,34,"Blayne Barber",76,22.28,45,202,"BirdieorBetterPercentage125150ya",2015
35,35,"Hideki Matsuyama",95,22.17,49,221,"BirdieorBetterPercentage125150ya",2015
36,36,"John Huh",102,22.13,56,253,"BirdieorBetterPercentage125150ya",2015
37,37,"Greg Owen",58,22.05,28,127,"BirdieorBetterPercentage125150ya",2015
38,38,"Sangmoon Bae",98,21.96,56,255,"BirdieorBetterPercentage125150ya",2015
39,39,"Kevin Chappell",86,21.93,50,228,"BirdieorBetterPercentage125150ya",2015
40,40,"Johnson Wagner",68,21.91,39,178,"BirdieorBetterPercentage125150ya",2015
41,41,"Justin Rose",69,21.62,32,148,"BirdieorBetterPercentage125150ya",2015
42,42,"Steven Alker",62,21.6,35,162,"BirdieorBetterPercentage125150ya",2015
