"BirdieorBetterPercentageLess125_RANKTHISWEEK_2007","BirdieorBetterPercentageLess125_RANKLASTWEEK_2007","BirdieorBetterPercentageLess125_PLAYERNAME_2007","BirdieorBetterPercentageLess125_ROUNDS_2007","BirdieorBetterPercentageLess125_Pct_2007","BirdieorBetterPercentageLess125_TOTALBIRDIES_2007","BirdieorBetterPercentageLess125_TOTALHOLES_2007","stat_name","year"
1,1,"Craig Bowden",78,31.63,99,313,"BirdieorBetterPercentageLess125",2007
2,2,"Steve Stricker",81,29.86,83,278,"BirdieorBetterPercentageLess125",2007
3,3,"Ian Poulter",63,28.66,47,164,"BirdieorBetterPercentageLess125",2007
4,4,"Tiger Woods",63,28.57,38,133,"BirdieorBetterPercentageLess125",2007
5,5,"Rocco Mediate",72,28.52,79,277,"BirdieorBetterPercentageLess125",2007
6,6,"Corey Pavin",81,28.09,75,267,"BirdieorBetterPercentageLess125",2007
7,7,"Bob Heintz",85,27.78,90,324,"BirdieorBetterPercentageLess125",2007
8,8,"Fred Funk",65,27.6,61,221,"BirdieorBetterPercentageLess125",2007
9,9,"Scott Verplank",82,27.4,57,208,"BirdieorBetterPercentageLess125",2007
10,10,"Jim Furyk",84,27.39,66,241,"BirdieorBetterPercentageLess125",2007
11,11,"Bob Estes",88,27.3,92,337,"BirdieorBetterPercentageLess125",2007
12,12,"Jeff Sluman",60,26.79,45,168,"BirdieorBetterPercentageLess125",2007
13,13,"Mark Calcavecchia",93,26.73,85,318,"BirdieorBetterPercentageLess125",2007
14,14,"Jerry Kelly",101,26.6,79,297,"BirdieorBetterPercentageLess125",2007
15,15,"Bart Bryant",87,26.55,73,275,"BirdieorBetterPercentageLess125",2007
16,16,"Chris Riley",59,26.34,59,224,"BirdieorBetterPercentageLess125",2007
17,17,"Billy Andrade",88,26.18,83,317,"BirdieorBetterPercentageLess125",2007
18,18,"Stewart Cink",91,26.12,76,291,"BirdieorBetterPercentageLess125",2007
19,19,"Woody Austin",95,26.09,84,322,"BirdieorBetterPercentageLess125",2007
20,20,"Jesper Parnevik",88,25.93,77,297,"BirdieorBetterPercentageLess125",2007
21,21,"Jonathan Byrd",73,25.86,60,232,"BirdieorBetterPercentageLess125",2007
22,22,"Tim Clark",66,25.71,63,245,"BirdieorBetterPercentageLess125",2007
23,23,"Shigeki Maruyama",84,25.66,88,343,"BirdieorBetterPercentageLess125",2007
24,24,"Darron Stiles",65,25.62,62,242,"BirdieorBetterPercentageLess125",2007
25,25,"Brendon de Jonge",76,25.56,80,313,"BirdieorBetterPercentageLess125",2007
26,26,"Frank Lickliter II",95,25.44,87,342,"BirdieorBetterPercentageLess125",2007
27,27,"Brian Gay",107,25.41,109,429,"BirdieorBetterPercentageLess125",2007
28,28,"Rich Beem",89,25.37,68,268,"BirdieorBetterPercentageLess125",2007
29,29,"Adam Scott",69,25.35,54,213,"BirdieorBetterPercentageLess125",2007
30,30,"Freddie Jacobson",70,25.17,73,290,"BirdieorBetterPercentageLess125",2007
31,31,"Phil Mickelson",73,25.13,49,195,"BirdieorBetterPercentageLess125",2007
32,32,"Chris Stroud",66,25.1,62,247,"BirdieorBetterPercentageLess125",2007
33,33,"Kenny Perry",83,24.83,73,294,"BirdieorBetterPercentageLess125",2007
34,34,"Heath Slocum",101,24.8,92,371,"BirdieorBetterPercentageLess125",2007
35,35,"Sean OHair",98,24.77,81,327,"BirdieorBetterPercentageLess125",2007
36,36,"Geoff Ogilvy",84,24.75,74,299,"BirdieorBetterPercentageLess125",2007
37,37,"Glen Day",85,24.5,86,351,"BirdieorBetterPercentageLess125",2007
38,38,"Tripp Isenhour",86,24.41,72,295,"BirdieorBetterPercentageLess125",2007
39,39,"Ryuji Imada",104,24.18,88,364,"BirdieorBetterPercentageLess125",2007
39,39,"Tom Johnson",74,24.18,59,244,"BirdieorBetterPercentageLess125",2007
41,41,"Cameron Beckman",96,24.04,81,337,"BirdieorBetterPercentageLess125",2007
42,42,"Pat Perez",84,23.97,58,242,"BirdieorBetterPercentageLess125",2007
43,43,"Robert Gamez",88,23.93,73,305,"BirdieorBetterPercentageLess125",2007
44,44,"David Toms",80,23.88,64,268,"BirdieorBetterPercentageLess125",2007
45,45,"Vijay Singh",102,23.82,81,340,"BirdieorBetterPercentageLess125",2007
46,46,"Kirk Triplett",77,23.79,74,311,"BirdieorBetterPercentageLess125",2007
47,47,"Steve Allan",63,23.77,53,223,"BirdieorBetterPercentageLess125",2007
47,47,"Jarrod Lyle",77,23.77,77,324,"BirdieorBetterPercentageLess125",2007
49,49,"Tim Petrovic",106,23.73,84,354,"BirdieorBetterPercentageLess125",2007
50,50,"Arron Oberholser",69,23.72,51,215,"BirdieorBetterPercentageLess125",2007
51,51,"Justin Rose",63,23.65,35,148,"BirdieorBetterPercentageLess125",2007
52,52,"Craig Lile",77,23.63,69,292,"BirdieorBetterPercentageLess125",2007
53,53,"John Mallinger",96,23.54,89,378,"BirdieorBetterPercentageLess125",2007
54,54,"Gavin Coles",87,23.43,71,303,"BirdieorBetterPercentageLess125",2007
54,54,"Steve Elkington",87,23.43,67,286,"BirdieorBetterPercentageLess125",2007
56,56,"Nick OHern",72,23.38,47,201,"BirdieorBetterPercentageLess125",2007
57,57,"Stephen Ames",81,23.36,57,244,"BirdieorBetterPercentageLess125",2007
58,58,"JP Hayes",89,23.31,83,356,"BirdieorBetterPercentageLess125",2007
59,59,"Will Ma Kenzie",100,23.29,85,365,"BirdieorBetterPercentageLess125",2007
60,60,"Charley Hoffman",97,23.2,84,362,"BirdieorBetterPercentageLess125",2007
61,61,"Robert Garrigus",95,23.1,88,381,"BirdieorBetterPercentageLess125",2007
