"ScramblingfromtheSand_RANKTHISWEEK_2009","ScramblingfromtheSand_RANKLASTWEEK_2009","ScramblingfromtheSand_PLAYERNAME_2009","ScramblingfromtheSand_ROUNDS_2009","ScramblingfromtheSand_Pct_2009","ScramblingfromtheSand_SUCCESSES_2009","ScramblingfromtheSand_ATTEMPTS_2009","stat_name","year"
1,1,"Matt Kuchar",82,69.57,64,92,"ScramblingfromtheSand",2009
2,2,"Tiger Woods",64,68.85,42,61,"ScramblingfromtheSand",2009
3,3,"Brad Adamonis",70,63.75,51,80,"ScramblingfromtheSand",2009
4,4,"Webb Simpson",94,63.19,91,144,"ScramblingfromtheSand",2009
5,5,"Luke Donald",79,62.07,72,116,"ScramblingfromtheSand",2009
5,5,"Matt Weibring",65,62.07,36,58,"ScramblingfromtheSand",2009
7,7,"Rod Pampling",72,61.86,60,97,"ScramblingfromtheSand",2009
8,8,"George McNeill",82,61.74,71,115,"ScramblingfromtheSand",2009
9,9,"Kevin Na",91,61.59,85,138,"ScramblingfromtheSand",2009
10,10,"Bob Heintz",59,61.54,40,65,"ScramblingfromtheSand",2009
10,10,"David Mathis",82,61.54,64,104,"ScramblingfromtheSand",2009
12,12,"Ian Poulter",59,61.02,36,59,"ScramblingfromtheSand",2009
13,13,"Jason Day",61,60.66,37,61,"ScramblingfromtheSand",2009
14,14,"Chris DiMarco",97,60,69,115,"ScramblingfromtheSand",2009
15,15,"Zach Johnson",94,59.6,59,99,"ScramblingfromtheSand",2009
16,16,"Jim Furyk",86,59.52,50,84,"ScramblingfromtheSand",2009
16,16,"Brian Gay",96,59.52,75,126,"ScramblingfromtheSand",2009
18,18,"Geoff Ogilvy",78,59.3,51,86,"ScramblingfromtheSand",2009
19,19,"Jimmy Walker",74,59.14,55,93,"ScramblingfromtheSand",2009
20,20,"Mike Weir",85,59.13,68,115,"ScramblingfromtheSand",2009
21,21,"Cameron Beckman",87,59.04,49,83,"ScramblingfromtheSand",2009
22,22,"Bryce Molder",69,59.02,36,61,"ScramblingfromtheSand",2009
23,23,"Chris Riley",77,59,59,100,"ScramblingfromtheSand",2009
24,24,"JJ Henry",97,58.54,48,82,"ScramblingfromtheSand",2009
25,25,"Charlie Wi",92,58.47,69,118,"ScramblingfromtheSand",2009
26,26,"Steve Flesch",77,58.42,59,101,"ScramblingfromtheSand",2009
27,27,"KJ Choi",65,58.33,35,60,"ScramblingfromtheSand",2009
28,28,"Lucas Glover",93,58.25,60,103,"ScramblingfromtheSand",2009
29,29,"Padraig Harrington",66,58.11,43,74,"ScramblingfromtheSand",2009
29,29,"Spencer Levin",75,58.11,43,74,"ScramblingfromtheSand",2009
31,31,"Parker McLachlin",71,58.1,61,105,"ScramblingfromtheSand",2009
32,32,"Cliff Kresge",78,58.06,54,93,"ScramblingfromtheSand",2009
33,33,"Mark Wilson",99,58.02,76,131,"ScramblingfromtheSand",2009
34,34,"Mark Calcavecchia",72,57.97,40,69,"ScramblingfromtheSand",2009
35,35,"Nick OHern",90,57.94,62,107,"ScramblingfromtheSand",2009
36,36,"Michael Letzig",96,57.89,66,114,"ScramblingfromtheSand",2009
36,36,"Kevin Stadler",65,57.89,33,57,"ScramblingfromtheSand",2009
38,38,"Joe Ogilvie",85,57.85,70,121,"ScramblingfromtheSand",2009
39,39,"Angel Cabrera",55,57.63,34,59,"ScramblingfromtheSand",2009
40,40,"Kevin Sutherland",96,57.45,54,94,"ScramblingfromtheSand",2009
41,41,"David Duval",56,57.41,31,54,"ScramblingfromtheSand",2009
42,42,"Ken Duke",87,57.27,63,110,"ScramblingfromtheSand",2009
43,43,"Nathan Green",104,57.14,80,140,"ScramblingfromtheSand",2009
43,43,"Brandt Snedeker",81,57.14,56,98,"ScramblingfromtheSand",2009
45,45,"Ryuji Imada",85,57.02,65,114,"ScramblingfromtheSand",2009
46,46,"Glen Day",79,56.98,49,86,"ScramblingfromtheSand",2009
47,47,"Tim Clark",81,56.76,42,74,"ScramblingfromtheSand",2009
48,48,"Bill Haas",91,56.7,55,97,"ScramblingfromtheSand",2009
49,49,"Briny Baird",89,56.57,56,99,"ScramblingfromtheSand",2009
50,50,"Justin Rose",71,56.47,48,85,"ScramblingfromtheSand",2009
51,51,"Hunter Mahan",94,56.44,57,101,"ScramblingfromtheSand",2009
52,52,"Anthony Kim",76,56.32,49,87,"ScramblingfromtheSand",2009
53,53,"Tom Pernice Jr",82,56.14,64,114,"ScramblingfromtheSand",2009
54,54,"Jerry Kelly",90,55.91,71,127,"ScramblingfromtheSand",2009
55,55,"Retief Goosen",74,55.56,50,90,"ScramblingfromtheSand",2009
55,55,"Matt Jones",56,55.56,25,45,"ScramblingfromtheSand",2009
57,57,"John Senden",100,55.46,66,119,"ScramblingfromtheSand",2009
58,58,"Ben Curtis",63,55.42,46,83,"ScramblingfromtheSand",2009
59,59,"Jason Gore",74,55.26,42,76,"ScramblingfromtheSand",2009
60,60,"Steve Stricker",81,55.21,53,96,"ScramblingfromtheSand",2009
61,61,"Tim Petrovic",97,54.96,72,131,"ScramblingfromtheSand",2009
62,62,"Corey Pavin",73,54.95,50,91,"ScramblingfromtheSand",2009
63,63,"Scott Verplank",88,54.92,67,122,"ScramblingfromtheSand",2009
64,64,"Jay Williamson",69,54.84,34,62,"ScramblingfromtheSand",2009
65,65,"Tim Herron",87,54.78,63,115,"ScramblingfromtheSand",2009
66,66,"Jeff Maggert",79,54.74,52,95,"ScramblingfromtheSand",2009
67,67,"Woody Austin",84,54.55,60,110,"ScramblingfromtheSand",2009
67,67,"Aaron Baddeley",66,54.55,54,99,"ScramblingfromtheSand",2009
67,67,"Richard Johnson",85,54.55,60,110,"ScramblingfromtheSand",2009
67,67,"Dustin Johnson",85,54.55,42,77,"ScramblingfromtheSand",2009
67,67,"Aron Price",89,54.55,54,99,"ScramblingfromtheSand",2009
72,72,"YE Yang",83,54.46,55,101,"ScramblingfromtheSand",2009
73,73,"Brian Davis",103,54.4,68,125,"ScramblingfromtheSand",2009
74,74,"Mark Brooks",55,54.17,39,72,"ScramblingfromtheSand",2009
75,75,"Dean Wilson",81,54.12,46,85,"ScramblingfromtheSand",2009
76,76,"Sergio Garcia",59,54.1,33,61,"ScramblingfromtheSand",2009
77,77,"Ben Crane",93,54.01,74,137,"ScramblingfromtheSand",2009
78,78,"Freddie Jacobson",83,53.92,55,102,"ScramblingfromtheSand",2009
79,79,"Lee Janzen",74,53.85,56,104,"ScramblingfromtheSand",2009
80,80,"Robert Allenby",71,53.33,32,60,"ScramblingfromtheSand",2009
80,80,"Justin Leonard",95,53.33,56,105,"ScramblingfromtheSand",2009
82,82,"Rory Sabbatini",81,53.26,49,92,"ScramblingfromtheSand",2009
82,82,"David Toms",98,53.26,49,92,"ScramblingfromtheSand",2009
84,84,"Bill Lunde",83,53.19,50,94,"ScramblingfromtheSand",2009
84,84,"Carl Pettersson",86,53.19,50,94,"ScramblingfromtheSand",2009
86,86,"Brendon de Jonge",90,52.88,55,104,"ScramblingfromtheSand",2009
87,87,"Alex Cejka",82,52.81,47,89,"ScramblingfromtheSand",2009
87,87,"Stewart Cink",79,52.81,47,89,"ScramblingfromtheSand",2009
89,89,"Kenny Perry",92,52.63,40,76,"ScramblingfromtheSand",2009
90,90,"Marc Leishman",91,52.38,55,105,"ScramblingfromtheSand",2009
91,91,"Jarrod Lyle",65,52,39,75,"ScramblingfromtheSand",2009
91,91,"Chez Reavie",81,52,52,100,"ScramblingfromtheSand",2009
93,93,"Eric Axley",71,51.65,47,91,"ScramblingfromtheSand",2009
93,93,"Jeff Quinney",78,51.65,47,91,"ScramblingfromtheSand",2009
95,95,"Daniel Chopra",89,51.64,63,122,"ScramblingfromtheSand",2009
96,96,"Nick Watney",86,51.61,48,93,"ScramblingfromtheSand",2009
97,97,"Charley Hoffman",97,51.35,57,111,"ScramblingfromtheSand",2009
97,97,"Nicholas Thompson",96,51.35,57,111,"ScramblingfromtheSand",2009
99,99,"Mathew Goggin",76,51.19,43,84,"ScramblingfromtheSand",2009
100,100,"Pat Perez",74,51.14,45,88,"ScramblingfromtheSand",2009
101,101,"Davis Love III",89,51.02,50,98,"ScramblingfromtheSand",2009
101,101,"Darron Stiles",52,51.02,25,49,"ScramblingfromtheSand",2009
103,103,"Vaughn Taylor",88,50.93,55,108,"ScramblingfromtheSand",2009
104,104,"John Rollins",92,50.85,60,118,"ScramblingfromtheSand",2009
105,105,"Scott McCarron",91,50.81,63,124,"ScramblingfromtheSand",2009
106,106,"Vijay Singh",71,50.77,33,65,"ScramblingfromtheSand",2009
107,107,"Stephen Ames",77,50.75,34,67,"ScramblingfromtheSand",2009
108,108,"Casey Wittenberg",71,50.67,38,75,"ScramblingfromtheSand",2009
109,109,"Steve Elkington",70,50.59,43,85,"ScramblingfromtheSand",2009
110,110,"Brad Faxon",59,50.43,58,115,"ScramblingfromtheSand",2009
111,111,"Jeff Klauk",97,50.38,67,133,"ScramblingfromtheSand",2009
112,112,"Chad Campbell",90,50,35,70,"ScramblingfromtheSand",2009
112,112,"Ernie Els",70,50,41,82,"ScramblingfromtheSand",2009
112,112,"Derek Fathauer",63,50,43,86,"ScramblingfromtheSand",2009
112,112,"Todd Hamilton",83,50,49,98,"ScramblingfromtheSand",2009
112,112,"Phil Mickelson",66,50,36,72,"ScramblingfromtheSand",2009
