"ScramblingfromtheRough_RANKTHISWEEK_2007","ScramblingfromtheRough_RANKLASTWEEK_2007","ScramblingfromtheRough_PLAYERNAME_2007","ScramblingfromtheRough_ROUNDS_2007","ScramblingfromtheRough_Pct_2007","ScramblingfromtheRough_SUCCESSES_2007","ScramblingfromtheRough_ATTEMPTS_2007","stat_name","year"
1,1,"Tiger Woods",63,69.05,58,84,"ScramblingfromtheRough",2007
2,2,"Heath Slocum",101,65.31,128,196,"ScramblingfromtheRough",2007
3,3,"Bo Van Pelt",104,64.86,144,222,"ScramblingfromtheRough",2007
4,4,"Steve Stricker",81,64.79,92,142,"ScramblingfromtheRough",2007
5,5,"Steve Elkington",87,63.68,128,201,"ScramblingfromtheRough",2007
5,5,"Dean Wilson",92,63.68,135,212,"ScramblingfromtheRough",2007
7,7,"Jim Furyk",84,63.5,87,137,"ScramblingfromtheRough",2007
8,8,"Nathan Green",103,63.25,148,234,"ScramblingfromtheRough",2007
9,9,"Nick OHern",72,63.23,98,155,"ScramblingfromtheRough",2007
10,10,"Chris Riley",59,62.69,84,134,"ScramblingfromtheRough",2007
11,11,"John Mallinger",96,62.6,164,262,"ScramblingfromtheRough",2007
12,12,"John Rollins",102,62.23,145,233,"ScramblingfromtheRough",2007
13,13,"Rory Sabbatini",81,62.09,113,182,"ScramblingfromtheRough",2007
14,14,"Tom Pernice Jr",104,62.01,142,229,"ScramblingfromtheRough",2007
15,15,"Phil Mickelson",73,61.84,94,152,"ScramblingfromtheRough",2007
16,16,"Kenny Perry",83,61.76,105,170,"ScramblingfromtheRough",2007
17,17,"Craig Bowden",78,61.54,112,182,"ScramblingfromtheRough",2007
18,18,"Justin Leonard",95,60.77,127,209,"ScramblingfromtheRough",2007
19,19,"Kevin Sutherland",85,60.63,97,160,"ScramblingfromtheRough",2007
20,20,"Kevin Na",84,60.62,137,226,"ScramblingfromtheRough",2007
21,21,"Ken Duke",112,60.53,161,266,"ScramblingfromtheRough",2007
22,22,"Bart Bryant",87,60.24,100,166,"ScramblingfromtheRough",2007
23,23,"Aaron Baddeley",83,60.21,115,191,"ScramblingfromtheRough",2007
24,24,"Paul Goydos",60,60.13,92,153,"ScramblingfromtheRough",2007
25,25,"Gavin Coles",87,60,135,225,"ScramblingfromtheRough",2007
25,25,"Matt Kuchar",85,60,111,185,"ScramblingfromtheRough",2007
25,25,"Arron Oberholser",69,60,96,160,"ScramblingfromtheRough",2007
25,25,"Brandt Snedeker",105,60,129,215,"ScramblingfromtheRough",2007
29,29,"Ian Poulter",63,59.69,77,129,"ScramblingfromtheRough",2007
30,30,"Shaun Micheel",91,59.68,111,186,"ScramblingfromtheRough",2007
31,31,"Padraig Harrington",64,59.57,84,141,"ScramblingfromtheRough",2007
32,32,"Zach Johnson",76,59.06,88,149,"ScramblingfromtheRough",2007
33,33,"Jerry Kelly",101,59.04,111,188,"ScramblingfromtheRough",2007
34,34,"Woody Austin",95,58.85,113,192,"ScramblingfromtheRough",2007
35,35,"Mark Brooks",53,58.82,60,102,"ScramblingfromtheRough",2007
35,35,"Stephen Leaney",82,58.82,100,170,"ScramblingfromtheRough",2007
35,35,"Craig Lile",77,58.82,120,204,"ScramblingfromtheRough",2007
38,38,"Trevor Immelman",74,58.65,78,133,"ScramblingfromtheRough",2007
39,39,"Kirk Triplett",77,58.64,95,162,"ScramblingfromtheRough",2007
40,40,"Daniel Chopra",106,58.53,151,258,"ScramblingfromtheRough",2007
41,41,"KJ Choi",87,58.33,105,180,"ScramblingfromtheRough",2007
42,42,"Scott Verplank",82,58.22,85,146,"ScramblingfromtheRough",2007
43,43,"Carl Pettersson",111,58.2,142,244,"ScramblingfromtheRough",2007
44,44,"Vaughn Taylor",91,58.19,103,177,"ScramblingfromtheRough",2007
45,45,"Nick Watney",87,58.15,107,184,"ScramblingfromtheRough",2007
46,46,"John Senden",97,57.87,103,178,"ScramblingfromtheRough",2007
47,47,"Glen Day",85,57.73,112,194,"ScramblingfromtheRough",2007
48,48,"Jeff Brehaut",59,57.72,71,123,"ScramblingfromtheRough",2007
49,49,"Corey Pavin",81,57.67,124,215,"ScramblingfromtheRough",2007
50,50,"Jason Schultz",63,57.58,95,165,"ScramblingfromtheRough",2007
50,50,"Mark Wilson",87,57.58,114,198,"ScramblingfromtheRough",2007
52,52,"Tim Petrovic",106,57.54,145,252,"ScramblingfromtheRough",2007
53,53,"Jose Coceres",50,57.45,54,94,"ScramblingfromtheRough",2007
54,54,"Lucas Glover",98,57.44,112,195,"ScramblingfromtheRough",2007
55,55,"Billy Mayfair",98,57.4,97,169,"ScramblingfromtheRough",2007
56,56,"Frank Lickliter II",95,57.33,133,232,"ScramblingfromtheRough",2007
57,57,"Steve Lowery",74,57.22,103,180,"ScramblingfromtheRough",2007
58,58,"Jonathan Byrd",73,57.14,88,154,"ScramblingfromtheRough",2007
58,58,"Jason Gore",86,57.14,108,189,"ScramblingfromtheRough",2007
60,60,"Tim Clark",66,57.03,73,128,"ScramblingfromtheRough",2007
61,61,"Ryuji Imada",104,57.02,134,235,"ScramblingfromtheRough",2007
62,62,"Tom Byrum",50,57.01,61,107,"ScramblingfromtheRough",2007
