"ScramblingfromtheFringe_RANKTHISWEEK_2009","ScramblingfromtheFringe_RANKLASTWEEK_2009","ScramblingfromtheFringe_PLAYERNAME_2009","ScramblingfromtheFringe_ROUNDS_2009","ScramblingfromtheFringe_Pct_2009","ScramblingfromtheFringe_SUCCESSES_2009","ScramblingfromtheFringe_ATTEMPTS_2009","stat_name","year"
1,1,"Tiger Woods",64,100,45,45,"ScramblingfromtheFringe",2009
2,2,"Phil Mickelson",66,97.73,43,44,"ScramblingfromtheFringe",2009
3,3,"Steve Stricker",81,96.77,60,62,"ScramblingfromtheFringe",2009
4,4,"Robert Garrigus",83,96.15,50,52,"ScramblingfromtheFringe",2009
5,5,"Tim Petrovic",97,95.88,93,97,"ScramblingfromtheFringe",2009
6,6,"Aaron Baddeley",66,95.35,41,43,"ScramblingfromtheFringe",2009
7,7,"Ian Poulter",59,95.12,39,41,"ScramblingfromtheFringe",2009
8,8,"Retief Goosen",74,94.74,54,57,"ScramblingfromtheFringe",2009
9,9,"YE Yang",83,94.64,53,56,"ScramblingfromtheFringe",2009
10,10,"John Mallinger",90,94.44,68,72,"ScramblingfromtheFringe",2009
11,11,"Zach Johnson",94,94.29,66,70,"ScramblingfromtheFringe",2009
12,12,"Scott Sterling",51,94.12,32,34,"ScramblingfromtheFringe",2009
13,13,"Bill Haas",91,93.94,62,66,"ScramblingfromtheFringe",2009
14,14,"Carl Pettersson",86,93.55,58,62,"ScramblingfromtheFringe",2009
15,15,"Davis Love III",89,93.51,72,77,"ScramblingfromtheFringe",2009
16,16,"Charles Warren",63,93.48,43,46,"ScramblingfromtheFringe",2009
17,17,"Steve Marino",98,93.44,57,61,"ScramblingfromtheFringe",2009
18,18,"Hunter Mahan",94,93.42,71,76,"ScramblingfromtheFringe",2009
19,19,"Kevin Stadler",65,93.22,55,59,"ScramblingfromtheFringe",2009
20,20,"Camilo Villegas",76,93.18,41,44,"ScramblingfromtheFringe",2009
21,21,"Todd Hamilton",83,93.1,54,58,"ScramblingfromtheFringe",2009
22,22,"Kent Jones",73,92.98,53,57,"ScramblingfromtheFringe",2009
23,23,"Brad Adamonis",70,92.86,65,70,"ScramblingfromtheFringe",2009
23,23,"Matt Weibring",65,92.86,52,56,"ScramblingfromtheFringe",2009
23,23,"Mark Wilson",99,92.86,65,70,"ScramblingfromtheFringe",2009
26,26,"Jerry Kelly",90,92.75,64,69,"ScramblingfromtheFringe",2009
27,27,"Bryce Molder",69,92.73,51,55,"ScramblingfromtheFringe",2009
28,28,"Bob Heintz",59,92.68,38,41,"ScramblingfromtheFringe",2009
29,29,"Matt Kuchar",82,92.65,63,68,"ScramblingfromtheFringe",2009
30,30,"Greg Chalmers",85,92.59,50,54,"ScramblingfromtheFringe",2009
31,31,"Lucas Glover",93,92.41,73,79,"ScramblingfromtheFringe",2009
32,32,"Dean Wilson",81,92.31,60,65,"ScramblingfromtheFringe",2009
33,33,"Kevin Na",91,92,69,75,"ScramblingfromtheFringe",2009
33,33,"Geoff Ogilvy",78,92,46,50,"ScramblingfromtheFringe",2009
35,35,"Jim Furyk",86,91.94,57,62,"ScramblingfromtheFringe",2009
36,36,"Matt Jones",56,91.84,45,49,"ScramblingfromtheFringe",2009
37,37,"George McNeill",82,91.78,67,73,"ScramblingfromtheFringe",2009
38,38,"Bart Bryant",58,91.67,33,36,"ScramblingfromtheFringe",2009
38,38,"Ben Curtis",63,91.67,33,36,"ScramblingfromtheFringe",2009
38,38,"Jarrod Lyle",65,91.67,44,48,"ScramblingfromtheFringe",2009
41,41,"Heath Slocum",95,91.57,76,83,"ScramblingfromtheFringe",2009
42,42,"Vijay Singh",71,91.49,43,47,"ScramblingfromtheFringe",2009
43,43,"Tom Lehman",55,91.43,32,35,"ScramblingfromtheFringe",2009
44,44,"Ernie Els",70,91.38,53,58,"ScramblingfromtheFringe",2009
45,45,"Harrison Frazar",93,91.23,52,57,"ScramblingfromtheFringe",2009
45,45,"Colt Knost",71,91.23,52,57,"ScramblingfromtheFringe",2009
47,47,"Ricky Barnes",67,91.11,41,45,"ScramblingfromtheFringe",2009
48,48,"Jason Dufner",90,91.04,61,67,"ScramblingfromtheFringe",2009
49,49,"Daniel Chopra",89,90.91,70,77,"ScramblingfromtheFringe",2009
49,49,"Ryuji Imada",85,90.91,60,66,"ScramblingfromtheFringe",2009
49,49,"Jeff Klauk",97,90.91,70,77,"ScramblingfromtheFringe",2009
52,52,"Michael Letzig",96,90.8,79,87,"ScramblingfromtheFringe",2009
53,53,"Joe Ogilvie",85,90.79,69,76,"ScramblingfromtheFringe",2009
53,53,"Chris Riley",77,90.79,69,76,"ScramblingfromtheFringe",2009
55,55,"Woody Austin",84,90.77,59,65,"ScramblingfromtheFringe",2009
55,55,"Ryan Moore",89,90.77,59,65,"ScramblingfromtheFringe",2009
57,57,"Kris Blanks",60,90.74,49,54,"ScramblingfromtheFringe",2009
57,57,"Spencer Levin",75,90.74,49,54,"ScramblingfromtheFringe",2009
59,59,"Patrick Sheehan",51,90.7,39,43,"ScramblingfromtheFringe",2009
60,60,"Nicholas Thompson",96,90.67,68,75,"ScramblingfromtheFringe",2009
61,61,"Charlie Wi",92,90.41,66,73,"ScramblingfromtheFringe",2009
62,62,"Bo Van Pelt",100,90.36,75,83,"ScramblingfromtheFringe",2009
63,63,"Stewart Cink",79,90.32,56,62,"ScramblingfromtheFringe",2009
64,64,"Angel Cabrera",55,90.24,37,41,"ScramblingfromtheFringe",2009
65,65,"Casey Wittenberg",71,90.16,55,61,"ScramblingfromtheFringe",2009
66,66,"Brandt Snedeker",81,90.14,64,71,"ScramblingfromtheFringe",2009
67,67,"Jeff Maggert",79,89.87,71,79,"ScramblingfromtheFringe",2009
68,68,"Tim Herron",87,89.86,62,69,"ScramblingfromtheFringe",2009
69,69,"Steve Elkington",70,89.83,53,59,"ScramblingfromtheFringe",2009
70,70,"Luke Donald",79,89.8,44,49,"ScramblingfromtheFringe",2009
71,71,"Steve Flesch",77,89.71,61,68,"ScramblingfromtheFringe",2009
71,71,"James Nitties",86,89.71,61,68,"ScramblingfromtheFringe",2009
73,73,"Troy Matteson",95,89.61,69,77,"ScramblingfromtheFringe",2009
74,74,"Kenny Perry",92,89.55,60,67,"ScramblingfromtheFringe",2009
74,74,"Scott Verplank",88,89.55,60,67,"ScramblingfromtheFringe",2009
76,76,"Ben Crane",93,89.53,77,86,"ScramblingfromtheFringe",2009
77,77,"Sergio Garcia",59,89.47,34,38,"ScramblingfromtheFringe",2009
77,77,"Rocco Mediate",79,89.47,51,57,"ScramblingfromtheFringe",2009
79,79,"Cameron Beckman",87,89.41,76,85,"ScramblingfromtheFringe",2009
80,80,"Kevin Streelman",97,89.39,59,66,"ScramblingfromtheFringe",2009
80,80,"Johnson Wagner",81,89.39,59,66,"ScramblingfromtheFringe",2009
80,80,"Mike Weir",85,89.39,59,66,"ScramblingfromtheFringe",2009
83,83,"Mark Brooks",55,89.36,42,47,"ScramblingfromtheFringe",2009
84,84,"Ryan Palmer",78,89.23,58,65,"ScramblingfromtheFringe",2009
84,84,"Kevin Sutherland",96,89.23,58,65,"ScramblingfromtheFringe",2009
86,86,"Marc Leishman",91,89.19,66,74,"ScramblingfromtheFringe",2009
86,86,"Nick OHern",90,89.19,66,74,"ScramblingfromtheFringe",2009
88,88,"Webb Simpson",94,89.16,74,83,"ScramblingfromtheFringe",2009
89,89,"Greg Kraft",51,89.09,49,55,"ScramblingfromtheFringe",2009
90,90,"David Mathis",82,89.06,57,64,"ScramblingfromtheFringe",2009
90,90,"Chez Reavie",81,89.06,57,64,"ScramblingfromtheFringe",2009
92,92,"John Senden",100,88.89,72,81,"ScramblingfromtheFringe",2009
93,93,"Bob Estes",78,88.73,63,71,"ScramblingfromtheFringe",2009
93,93,"Bill Lunde",83,88.73,63,71,"ScramblingfromtheFringe",2009
95,95,"Martin Laird",72,88.68,47,53,"ScramblingfromtheFringe",2009
96,96,"Rick Price",54,88.64,39,44,"ScramblingfromtheFringe",2009
97,97,"Jonathan Byrd",89,88.46,69,78,"ScramblingfromtheFringe",2009
97,97,"Lee Janzen",74,88.46,46,52,"ScramblingfromtheFringe",2009
97,97,"DJ Trahan",96,88.46,69,78,"ScramblingfromtheFringe",2009
97,97,"Jay Williamson",69,88.46,46,52,"ScramblingfromtheFringe",2009
101,101,"Eric Axley",71,88.37,38,43,"ScramblingfromtheFringe",2009
101,101,"Jason Day",61,88.37,38,43,"ScramblingfromtheFringe",2009
103,103,"Scott McCarron",91,88.31,68,77,"ScramblingfromtheFringe",2009
104,104,"Tommy Armour III",58,88.24,45,51,"ScramblingfromtheFringe",2009
104,104,"Freddie Jacobson",83,88.24,60,68,"ScramblingfromtheFringe",2009
104,104,"Bubba Watson",73,88.24,45,51,"ScramblingfromtheFringe",2009
107,107,"Mathew Goggin",76,88.14,52,59,"ScramblingfromtheFringe",2009
107,107,"Rory Sabbatini",81,88.14,52,59,"ScramblingfromtheFringe",2009
109,109,"Brian Davis",103,88.1,74,84,"ScramblingfromtheFringe",2009
110,110,"Rod Pampling",72,87.93,51,58,"ScramblingfromtheFringe",2009
111,111,"Pat Perez",74,87.88,58,66,"ScramblingfromtheFringe",2009
112,112,"Nathan Green",104,87.8,72,82,"ScramblingfromtheFringe",2009
113,113,"Jimmy Walker",74,87.72,50,57,"ScramblingfromtheFringe",2009
114,114,"Rich Beem",77,87.5,49,56,"ScramblingfromtheFringe",2009
114,114,"Tim Clark",81,87.5,56,64,"ScramblingfromtheFringe",2009
116,116,"Jeff Overton",92,87.36,76,87,"ScramblingfromtheFringe",2009
117,117,"Justin Leonard",95,87.34,69,79,"ScramblingfromtheFringe",2009
118,118,"Tom Pernice Jr",82,87.32,62,71,"ScramblingfromtheFringe",2009
119,119,"Brett Quigley",92,87.18,68,78,"ScramblingfromtheFringe",2009
120,120,"Ken Duke",87,87.14,61,70,"ScramblingfromtheFringe",2009
121,121,"Kirk Triplett",60,86.96,60,69,"ScramblingfromtheFringe",2009
122,122,"Sean OHair",80,86.89,53,61,"ScramblingfromtheFringe",2009
