"ScramblingfromOtherLocations_RANKTHISWEEK_2011","ScramblingfromOtherLocations_RANKLASTWEEK_2011","ScramblingfromOtherLocations_PLAYERNAME_2011","ScramblingfromOtherLocations_ROUNDS_2011","ScramblingfromOtherLocations_Pct_2011","ScramblingfromOtherLocations_SUCCESSES_2011","ScramblingfromOtherLocations_ATTEMPTS_2011","stat_name","year"
1,1,"Chris Couch",73,70.8,80,113,"ScramblingfromOtherLocations",2011
2,2,"YE Yang",63,68.66,46,67,"ScramblingfromOtherLocations",2011
3,3,"Steve Marino",76,68.6,83,121,"ScramblingfromOtherLocations",2011
4,4,"Charles Howell III",108,68,119,175,"ScramblingfromOtherLocations",2011
5,5,"Brandt Snedeker",85,67.97,87,128,"ScramblingfromOtherLocations",2011
6,6,"JP Hayes",56,67.86,76,112,"ScramblingfromOtherLocations",2011
7,7,"Greg Chalmers",88,67.6,121,179,"ScramblingfromOtherLocations",2011
8,8,"Nick Watney",80,67.54,77,114,"ScramblingfromOtherLocations",2011
9,9,"Aaron Baddeley",77,67.5,54,80,"ScramblingfromOtherLocations",2011
10,10,"Steve Stricker",70,67.09,53,79,"ScramblingfromOtherLocations",2011
11,11,"Jerry Kelly",85,66.94,81,121,"ScramblingfromOtherLocations",2011
12,12,"Rod Pampling",72,66.67,74,111,"ScramblingfromOtherLocations",2011
13,13,"Brian Gay",90,66.46,107,161,"ScramblingfromOtherLocations",2011
14,14,"Tim Herron",85,65.64,107,163,"ScramblingfromOtherLocations",2011
15,15,"James Driscoll",71,65.25,92,141,"ScramblingfromOtherLocations",2011
16,16,"KJ Choi",77,65.22,60,92,"ScramblingfromOtherLocations",2011
17,17,"Scott McCarron",65,65.14,71,109,"ScramblingfromOtherLocations",2011
18,18,"Mark Wilson",89,65.05,67,103,"ScramblingfromOtherLocations",2011
19,19,"Ben Crane",76,64.93,87,134,"ScramblingfromOtherLocations",2011
19,19,"Freddie Jacobson",92,64.93,87,134,"ScramblingfromOtherLocations",2011
21,21,"Garrett Willis",71,64.75,79,122,"ScramblingfromOtherLocations",2011
22,22,"Zach Johnson",79,64.71,66,102,"ScramblingfromOtherLocations",2011
23,23,"Michael Connell",76,64.57,113,175,"ScramblingfromOtherLocations",2011
24,24,"Luke Donald",73,64.21,61,95,"ScramblingfromOtherLocations",2011
25,25,"Blake Adams",116,64.15,136,212,"ScramblingfromOtherLocations",2011
25,25,"Andres Gonzales",60,64.15,68,106,"ScramblingfromOtherLocations",2011
27,27,"Jim Herman",69,63.93,78,122,"ScramblingfromOtherLocations",2011
28,28,"Kevin Na",84,63.76,95,149,"ScramblingfromOtherLocations",2011
29,29,"Hunter Haas",96,63.29,100,158,"ScramblingfromOtherLocations",2011
30,30,"Chad Campbell",99,63.16,84,133,"ScramblingfromOtherLocations",2011
30,30,"Tim Petrovic",88,63.16,120,190,"ScramblingfromOtherLocations",2011
32,32,"Scott Piercy",78,63.11,77,122,"ScramblingfromOtherLocations",2011
32,32,"Jimmy Walker",79,63.11,77,122,"ScramblingfromOtherLocations",2011
34,34,"Spencer Levin",113,62.89,100,159,"ScramblingfromOtherLocations",2011
35,35,"Chris Riley",76,62.84,93,148,"ScramblingfromOtherLocations",2011
36,36,"Alexandre Rocha",65,62.83,71,113,"ScramblingfromOtherLocations",2011
37,37,"Nathan Green",81,62.8,103,164,"ScramblingfromOtherLocations",2011
38,38,"Joe Durant",71,62.73,69,110,"ScramblingfromOtherLocations",2011
39,39,"Nick OHern",89,62.65,104,166,"ScramblingfromOtherLocations",2011
40,40,"Woody Austin",59,62.38,63,101,"ScramblingfromOtherLocations",2011
41,41,"Briny Baird",60,62.37,58,93,"ScramblingfromOtherLocations",2011
41,41,"Harrison Frazar",58,62.37,58,93,"ScramblingfromOtherLocations",2011
43,43,"Charlie Wi",83,62.35,106,170,"ScramblingfromOtherLocations",2011
44,44,"Charl Schwartzel",58,62.32,43,69,"ScramblingfromOtherLocations",2011
45,45,"Dean Wilson",62,62.31,81,130,"ScramblingfromOtherLocations",2011
46,46,"Jim Furyk",87,62.2,79,127,"ScramblingfromOtherLocations",2011
46,46,"John Merrick",71,62.2,79,127,"ScramblingfromOtherLocations",2011
48,48,"Jim Renner",65,61.98,75,121,"ScramblingfromOtherLocations",2011
49,49,"David Mathis",83,61.74,92,149,"ScramblingfromOtherLocations",2011
49,49,"Kevin Streelman",90,61.74,92,149,"ScramblingfromOtherLocations",2011
51,51,"Jason Day",76,61.68,66,107,"ScramblingfromOtherLocations",2011
52,52,"Chris Stroud",88,61.59,85,138,"ScramblingfromOtherLocations",2011
53,53,"Ben Curtis",66,61.54,80,130,"ScramblingfromOtherLocations",2011
53,53,"Davis Love III",70,61.54,56,91,"ScramblingfromOtherLocations",2011
53,53,"Vaughn Taylor",89,61.54,104,169,"ScramblingfromOtherLocations",2011
56,56,"Trevor Immelman",84,61.27,87,142,"ScramblingfromOtherLocations",2011
57,57,"Stephen Ames",69,61.15,85,139,"ScramblingfromOtherLocations",2011
58,58,"Matt Kuchar",94,61.02,72,118,"ScramblingfromOtherLocations",2011
59,59,"Webb Simpson",98,60.94,78,128,"ScramblingfromOtherLocations",2011
60,60,"Bill Haas",93,60.91,67,110,"ScramblingfromOtherLocations",2011
61,61,"Chris DiMarco",93,60.76,96,158,"ScramblingfromOtherLocations",2011
61,61,"JJ Henry",96,60.76,96,158,"ScramblingfromOtherLocations",2011
63,63,"Bo Van Pelt",92,60.71,68,112,"ScramblingfromOtherLocations",2011
64,64,"Shane Bertsch",62,60.53,69,114,"ScramblingfromOtherLocations",2011
64,64,"Alex Cejka",59,60.53,46,76,"ScramblingfromOtherLocations",2011
64,64,"Matt McQuillan",59,60.53,69,114,"ScramblingfromOtherLocations",2011
67,67,"Jonathan Byrd",83,60.48,75,124,"ScramblingfromOtherLocations",2011
68,68,"Billy Mayfair",94,60.4,90,149,"ScramblingfromOtherLocations",2011
69,69,"Brian Davis",105,60.38,96,159,"ScramblingfromOtherLocations",2011
70,70,"Justin Leonard",82,60.23,103,171,"ScramblingfromOtherLocations",2011
71,71,"Anthony Kim",72,60.18,68,113,"ScramblingfromOtherLocations",2011
72,72,"Josh Teater",104,60,114,190,"ScramblingfromOtherLocations",2011
73,73,"Ryan Moore",79,59.84,73,122,"ScramblingfromOtherLocations",2011
74,74,"Tom Gillis",55,59.81,64,107,"ScramblingfromOtherLocations",2011
75,75,"Aron Price",58,59.69,77,129,"ScramblingfromOtherLocations",2011
76,76,"Brendan Steele",89,59.5,72,121,"ScramblingfromOtherLocations",2011
77,77,"Arjun Atwal",91,59.39,98,165,"ScramblingfromOtherLocations",2011
78,78,"Michael Thompson",79,59.35,73,123,"ScramblingfromOtherLocations",2011
79,79,"Kris Blanks",92,59.33,89,150,"ScramblingfromOtherLocations",2011
