"Scramblingfrom1020yards_RANKTHISWEEK_2008","Scramblingfrom1020yards_RANKLASTWEEK_2008","Scramblingfrom1020yards_PLAYERNAME_2008","Scramblingfrom1020yards_ROUNDS_2008","Scramblingfrom1020yards_Pct_2008","Scramblingfrom1020yards_SUCCESSES_2008","Scramblingfrom1020yards_ATTEMPTS_2008","stat_name","year"
1,1,"Corey Pavin",69,72.93,132,181,"Scramblingfrom1020yards",2008
2,2,"Phil Mickelson",80,72.08,111,154,"Scramblingfrom1020yards",2008
3,3,"Mike Weir",88,71.43,120,168,"Scramblingfrom1020yards",2008
4,4,"Steve Stricker",75,71.32,97,136,"Scramblingfrom1020yards",2008
5,5,"John Rollins",94,71.19,173,243,"Scramblingfrom1020yards",2008
6,6,"Padraig Harrington",52,71.11,64,90,"Scramblingfrom1020yards",2008
7,7,"Tim Herron",97,71.05,162,228,"Scramblingfrom1020yards",2008
8,8,"Shigeki Maruyama",50,70.97,88,124,"Scramblingfrom1020yards",2008
9,9,"Richard Johnson",77,70.32,154,219,"Scramblingfrom1020yards",2008
10,10,"Brian Gay",102,70.13,162,231,"Scramblingfrom1020yards",2008
11,11,"KJ Choi",74,69.92,93,133,"Scramblingfrom1020yards",2008
12,12,"Tom Lehman",51,69.72,76,109,"Scramblingfrom1020yards",2008
13,13,"Eric Axley",113,69.55,169,243,"Scramblingfrom1020yards",2008
14,14,"Jeff Quinney",87,69.35,138,199,"Scramblingfrom1020yards",2008
15,15,"Scott McCarron",63,69.29,97,140,"Scramblingfrom1020yards",2008
16,16,"Freddie Jacobson",78,69.23,108,156,"Scramblingfrom1020yards",2008
17,17,"Justin Leonard",101,69.13,103,149,"Scramblingfrom1020yards",2008
18,18,"Charlie Wi",97,69.06,154,223,"Scramblingfrom1020yards",2008
19,19,"Steve Flesch",95,68.98,129,187,"Scramblingfrom1020yards",2008
20,20,"Nick OHern",82,68.93,122,177,"Scramblingfrom1020yards",2008
21,21,"Omar Uresti",74,68.89,124,180,"Scramblingfrom1020yards",2008
22,22,"Ryuji Imada",80,68.82,128,186,"Scramblingfrom1020yards",2008
23,23,"Chris Riley",51,68.64,81,118,"Scramblingfrom1020yards",2008
24,24,"Lee Janzen",89,68.56,133,194,"Scramblingfrom1020yards",2008
25,25,"Daniel Chopra",84,68.5,137,200,"Scramblingfrom1020yards",2008
26,26,"Dudley Hart",74,68.48,113,165,"Scramblingfrom1020yards",2008
27,27,"Stephen Ames",83,68.39,106,155,"Scramblingfrom1020yards",2008
28,28,"Retief Goosen",59,68.33,82,120,"Scramblingfrom1020yards",2008
29,29,"Vaughn Taylor",103,68.14,154,226,"Scramblingfrom1020yards",2008
30,30,"Tom Pernice Jr",104,67.87,169,249,"Scramblingfrom1020yards",2008
31,31,"Carl Pettersson",110,67.79,181,267,"Scramblingfrom1020yards",2008
32,32,"Jonathan Byrd",88,67.48,139,206,"Scramblingfrom1020yards",2008
33,33,"Mark Wilson",107,67.45,172,255,"Scramblingfrom1020yards",2008
34,34,"Jesper Parnevik",88,67.43,147,218,"Scramblingfrom1020yards",2008
35,35,"Geoff Ogilvy",65,67.42,89,132,"Scramblingfrom1020yards",2008
36,36,"Pat Perez",93,67.37,128,190,"Scramblingfrom1020yards",2008
37,37,"Brenden Pappas",66,67.36,97,144,"Scramblingfrom1020yards",2008
38,38,"Brett Quigley",80,67.33,136,202,"Scramblingfrom1020yards",2008
39,39,"Mathias Gronberg",87,67.32,138,205,"Scramblingfrom1020yards",2008
40,40,"Nick Watney",96,67.3,142,211,"Scramblingfrom1020yards",2008
41,41,"Tom Scherrer",56,67.26,76,113,"Scramblingfrom1020yards",2008
42,42,"Chez Reavie",102,67.13,145,216,"Scramblingfrom1020yards",2008
43,43,"Glen Day",64,67.11,100,149,"Scramblingfrom1020yards",2008
44,44,"Tim Petrovic",97,67.08,161,240,"Scramblingfrom1020yards",2008
45,45,"JP Hayes",67,67.05,116,173,"Scramblingfrom1020yards",2008
46,46,"Scott Sterling",89,67.03,124,185,"Scramblingfrom1020yards",2008
47,47,"Mathew Goggin",91,66.99,138,206,"Scramblingfrom1020yards",2008
48,48,"Brian Davis",108,66.92,178,266,"Scramblingfrom1020yards",2008
49,49,"Stewart Cink",87,66.91,93,139,"Scramblingfrom1020yards",2008
49,49,"Bob Tway",70,66.91,93,139,"Scramblingfrom1020yards",2008
51,51,"Stuart Appleby",87,66.84,125,187,"Scramblingfrom1020yards",2008
52,52,"Jon Mills",95,66.83,133,199,"Scramblingfrom1020yards",2008
53,53,"Kevin Na",97,66.79,183,274,"Scramblingfrom1020yards",2008
54,54,"Gavin Coles",54,66.67,76,114,"Scramblingfrom1020yards",2008
54,54,"Ernie Els",51,66.67,62,93,"Scramblingfrom1020yards",2008
54,54,"Trevor Immelman",70,66.67,82,123,"Scramblingfrom1020yards",2008
54,54,"Tim Wilkinson",95,66.67,156,234,"Scramblingfrom1020yards",2008
58,58,"Tim Clark",90,66.51,141,212,"Scramblingfrom1020yards",2008
59,59,"Zach Johnson",85,66.06,109,165,"Scramblingfrom1020yards",2008
59,59,"Scott Verplank",82,66.06,109,165,"Scramblingfrom1020yards",2008
61,61,"Andres Romero",69,66.01,101,153,"Scramblingfrom1020yards",2008
62,62,"Bart Bryant",81,65.98,128,194,"Scramblingfrom1020yards",2008
63,63,"Kenneth Ferrie",72,65.81,102,155,"Scramblingfrom1020yards",2008
63,63,"Billy Mayfair",103,65.81,154,234,"Scramblingfrom1020yards",2008
65,65,"Cliff Kresge",84,65.76,121,184,"Scramblingfrom1020yards",2008
66,66,"Brandt Snedeker",85,65.73,117,178,"Scramblingfrom1020yards",2008
67,67,"Chad Collins",72,65.52,114,174,"Scramblingfrom1020yards",2008
67,67,"Nathan Green",95,65.52,171,261,"Scramblingfrom1020yards",2008
69,69,"Dean Wilson",109,65.45,161,246,"Scramblingfrom1020yards",2008
70,70,"Craig Kanada",65,65.36,100,153,"Scramblingfrom1020yards",2008
71,71,"Doug LaBelle II",65,65.35,83,127,"Scramblingfrom1020yards",2008
72,72,"Matt Jones",95,65.34,164,251,"Scramblingfrom1020yards",2008
73,73,"Jason Allred",63,65.25,92,141,"Scramblingfrom1020yards",2008
74,74,"Briny Baird",113,65.2,163,250,"Scramblingfrom1020yards",2008
75,75,"Marc Turnesa",87,65.09,138,212,"Scramblingfrom1020yards",2008
76,76,"Marco Dawson",64,65.07,95,146,"Scramblingfrom1020yards",2008
77,77,"Charles Howell III",101,65.05,134,206,"Scramblingfrom1020yards",2008
79,79,"Steve Marino",119,65,156,240,"Scramblingfrom1020yards",2008
80,80,"Brett Rumford",72,64.85,107,165,"Scramblingfrom1020yards",2008
81,81,"Matt Kuchar",88,64.84,118,182,"Scramblingfrom1020yards",2008
82,82,"Rocco Mediate",87,64.8,127,196,"Scramblingfrom1020yards",2008
83,83,"Nicholas Thompson",113,64.79,184,284,"Scramblingfrom1020yards",2008
84,84,"Adam Scott",51,64.71,55,85,"Scramblingfrom1020yards",2008
85,85,"Paul Claxton",63,64.62,84,130,"Scramblingfrom1020yards",2008
86,86,"Jeff Maggert",86,64.58,124,192,"Scramblingfrom1020yards",2008
87,87,"Rod Pampling",83,64.53,111,172,"Scramblingfrom1020yards",2008
88,88,"Jeff Overton",103,64.41,152,236,"Scramblingfrom1020yards",2008
89,89,"Jim Furyk",95,64.36,121,188,"Scramblingfrom1020yards",2008
90,90,"Parker McLachlin",88,64.32,119,185,"Scramblingfrom1020yards",2008
91,91,"Jerry Kelly",89,64.16,111,173,"Scramblingfrom1020yards",2008
92,92,"Patrick Sheehan",124,64.1,175,273,"Scramblingfrom1020yards",2008
92,92,"Kevin Sutherland",98,64.1,125,195,"Scramblingfrom1020yards",2008
94,94,"Sean OHair",81,64.09,116,181,"Scramblingfrom1020yards",2008
95,95,"Jeff Gove",50,64,64,100,"Scramblingfrom1020yards",2008
95,95,"Steve Lowery",74,64,128,200,"Scramblingfrom1020yards",2008
97,97,"Ben Curtis",80,63.95,110,172,"Scramblingfrom1020yards",2008
97,97,"Ryan Palmer",69,63.95,94,147,"Scramblingfrom1020yards",2008
99,99,"Kent Jones",68,63.93,78,122,"Scramblingfrom1020yards",2008
100,100,"Peter Lonard",92,63.85,136,213,"Scramblingfrom1020yards",2008
101,101,"Todd Hamilton",92,63.73,123,193,"Scramblingfrom1020yards",2008
102,102,"Harrison Frazar",73,63.7,86,135,"Scramblingfrom1020yards",2008
102,102,"Rory Sabbatini",77,63.7,86,135,"Scramblingfrom1020yards",2008
104,104,"Aaron Baddeley",76,63.58,96,151,"Scramblingfrom1020yards",2008
105,105,"John Mallinger",95,63.5,167,263,"Scramblingfrom1020yards",2008
106,106,"David Toms",70,63.45,92,145,"Scramblingfrom1020yards",2008
107,107,"Ian Poulter",51,63.37,64,101,"Scramblingfrom1020yards",2008
108,108,"Woody Austin",109,63.3,119,188,"Scramblingfrom1020yards",2008
109,109,"James Driscoll",85,63.24,129,204,"Scramblingfrom1020yards",2008
110,110,"Anthony Kim",81,63.19,103,163,"Scramblingfrom1020yards",2008
110,110,"Hunter Mahan",87,63.19,91,144,"Scramblingfrom1020yards",2008
112,112,"Jason Day",81,63.18,139,220,"Scramblingfrom1020yards",2008
113,113,"Brad Adamonis",87,63.08,123,195,"Scramblingfrom1020yards",2008
113,113,"YE Yang",89,63.08,135,214,"Scramblingfrom1020yards",2008
115,115,"Alejandro Canizares",52,62.86,66,105,"Scramblingfrom1020yards",2008
116,116,"Ben Crane",86,62.84,115,183,"Scramblingfrom1020yards",2008
116,116,"Chris DiMarco",87,62.84,137,218,"Scramblingfrom1020yards",2008
118,118,"Jin Park",85,62.81,125,199,"Scramblingfrom1020yards",2008
119,119,"Frank Lickliter II",107,62.75,155,247,"Scramblingfrom1020yards",2008
120,120,"Charley Hoffman",94,62.72,143,228,"Scramblingfrom1020yards",2008
121,121,"Ted Purdy",68,62.68,89,142,"Scramblingfrom1020yards",2008
122,122,"Fred Couples",60,62.6,82,131,"Scramblingfrom1020yards",2008
123,123,"John Merrick",98,62.58,102,163,"Scramblingfrom1020yards",2008
124,124,"JJ Henry",108,62.56,142,227,"Scramblingfrom1020yards",2008
125,125,"Will Ma Kenzie",62,62.5,105,168,"Scramblingfrom1020yards",2008
125,125,"DJ Trahan",94,62.5,125,200,"Scramblingfrom1020yards",2008
127,127,"Ken Duke",116,62.41,171,274,"Scramblingfrom1020yards",2008
127,127,"John Riegger",73,62.41,83,133,"Scramblingfrom1020yards",2008
129,129,"John Huston",56,62.38,63,101,"Scramblingfrom1020yards",2008
130,130,"Michael Letzig",88,62.33,134,215,"Scramblingfrom1020yards",2008
131,131,"Paul Goydos",78,62.3,119,191,"Scramblingfrom1020yards",2008
132,132,"Jason Gore",94,62.17,143,230,"Scramblingfrom1020yards",2008
133,133,"Bob Sowards",61,62.12,82,132,"Scramblingfrom1020yards",2008
134,134,"Kenny Perry",97,62.1,154,248,"Scramblingfrom1020yards",2008
135,135,"Todd Demsey",80,62.07,126,203,"Scramblingfrom1020yards",2008
136,136,"Rich Beem",90,62.05,121,195,"Scramblingfrom1020yards",2008
137,137,"Lucas Glover",91,61.9,130,210,"Scramblingfrom1020yards",2008
138,138,"Olin Browne",77,61.86,120,194,"Scramblingfrom1020yards",2008
139,139,"Troy Matteson",94,61.74,142,230,"Scramblingfrom1020yards",2008
140,140,"Michael Allen",91,61.72,129,209,"Scramblingfrom1020yards",2008
141,141,"Kevin Streelman",114,61.64,143,232,"Scramblingfrom1020yards",2008
142,142,"Bo Van Pelt",101,61.63,151,245,"Scramblingfrom1020yards",2008
143,143,"John Senden",93,61.62,114,185,"Scramblingfrom1020yards",2008
144,144,"Johnson Wagner",83,61.58,109,177,"Scramblingfrom1020yards",2008
145,145,"Shane Bertsch",96,61.57,149,242,"Scramblingfrom1020yards",2008
146,146,"David Duval",51,61.54,64,104,"Scramblingfrom1020yards",2008
