"Scramblingfrom_RANKTHISWEEK_2005","Scramblingfrom_RANKLASTWEEK_2005","Scramblingfrom_PLAYERNAME_2005","Scramblingfrom_ROUNDS_2005","Scramblingfrom_Pct_2005","Scramblingfrom_SUCCESSES_2005","Scramblingfrom_ATTEMPTS_2005","stat_name","year"
1,1,"Jose Maria Olazabal",55,96.15,50,52,"Scramblingfrom",2005
2,2,"Jerry Kelly",101,94.74,108,114,"Scramblingfrom",2005
3,3,"Steve Stricker",62,93.67,74,79,"Scramblingfrom",2005
4,4,"Loren Roberts",54,93.55,58,62,"Scramblingfrom",2005
5,5,"Dudley Hart",84,92.63,88,95,"Scramblingfrom",2005
6,6,"Tjaart van der Walt",56,92.31,60,65,"Scramblingfrom",2005
7,7,"Kirk Triplett",55,91.67,44,48,"Scramblingfrom",2005
8,8,"Mathias Gronberg",60,91.58,87,95,"Scramblingfrom",2005
9,9,"Padraig Harrington",50,91.49,43,47,"Scramblingfrom",2005
10,10,"Brett Quigley",96,91.11,82,90,"Scramblingfrom",2005
11,11,"Lucas Glover",88,90.91,100,110,"Scramblingfrom",2005
12,12,"Jeff Brehaut",71,90.77,59,65,"Scramblingfrom",2005
13,13,"Kevin Na",88,90.6,106,117,"Scramblingfrom",2005
14,14,"Glen Hnatiuk",59,90.57,48,53,"Scramblingfrom",2005
15,15,"Tom Pernice Jr",111,90.51,124,137,"Scramblingfrom",2005
16,16,"Olin Browne",99,90.29,93,103,"Scramblingfrom",2005
17,17,"Jason Bohn",91,90,90,100,"Scramblingfrom",2005
18,18,"Ben Curtis",65,89.71,61,68,"Scramblingfrom",2005
19,19,"Bob Heintz",67,89.61,69,77,"Scramblingfrom",2005
20,20,"Geoff Ogilvy",97,89.58,86,96,"Scramblingfrom",2005
21,21,"Brenden Pappas",51,89.39,59,66,"Scramblingfrom",2005
22,22,"Jonathan Byrd",103,89.29,100,112,"Scramblingfrom",2005
22,22,"Scott Gutschewski",86,89.29,75,84,"Scramblingfrom",2005
24,24,"Stuart Appleby",84,89.16,74,83,"Scramblingfrom",2005
25,25,"Matt Davidson",53,89.06,57,64,"Scramblingfrom",2005
26,26,"Glen Day",80,88.99,97,109,"Scramblingfrom",2005
27,27,"John Daly",78,88.89,80,90,"Scramblingfrom",2005
27,27,"Justin Leonard",78,88.89,64,72,"Scramblingfrom",2005
29,29,"Neal Lancaster",95,88.79,103,116,"Scramblingfrom",2005
30,30,"Rocco Mediate",73,88.78,87,98,"Scramblingfrom",2005
31,31,"Gavin Coles",70,88.76,79,89,"Scramblingfrom",2005
32,32,"Omar Uresti",84,88.68,94,106,"Scramblingfrom",2005
