"SandSavesfrom30yards_RANKTHISWEEK_2005","SandSavesfrom30yards_RANKLASTWEEK_2005","SandSavesfrom30yards_PLAYERNAME_2005","SandSavesfrom30yards_ROUNDS_2005","SandSavesfrom30yards_Pct_2005","SandSavesfrom30yards_OFSAVES_2005","SandSavesfrom30yards_OFBUNKERS_2005","stat_name","year"
1,1,"Mark Calcavecchia",92,76.92,10,13,"SandSavesfrom30yards",2005
2,2,"Lee Janzen",75,72.73,8,11,"SandSavesfrom30yards",2005
3,3,"Sergio Garcia",73,71.43,5,7,"SandSavesfrom30yards",2005
3,3,"Jay Haas",54,71.43,5,7,"SandSavesfrom30yards",2005
5,5,"Scott Gutschewski",86,66.67,6,9,"SandSavesfrom30yards",2005
5,5,"Glen Hnatiuk",59,66.67,6,9,"SandSavesfrom30yards",2005
5,5,"Zach Johnson",96,66.67,8,12,"SandSavesfrom30yards",2005
5,5,"Rod Pampling",89,66.67,2,3,"SandSavesfrom30yards",2005
9,9,"Justin Rose",99,64.71,11,17,"SandSavesfrom30yards",2005
10,10,"Freddie Jacobson",72,62.5,5,8,"SandSavesfrom30yards",2005
11,11,"Craig Barlow",81,60,3,5,"SandSavesfrom30yards",2005
11,11,"Brendan Jones",81,60,6,10,"SandSavesfrom30yards",2005
11,11,"Geoff Ogilvy",97,60,9,15,"SandSavesfrom30yards",2005
11,11,"Brenden Pappas",51,60,3,5,"SandSavesfrom30yards",2005
11,11,"Adam Scott",72,60,3,5,"SandSavesfrom30yards",2005
16,16,"Mike Weir",71,58.33,7,12,"SandSavesfrom30yards",2005
17,17,"Dean Wilson",86,57.89,11,19,"SandSavesfrom30yards",2005
18,18,"Stephen Ames",82,57.14,4,7,"SandSavesfrom30yards",2005
18,18,"Ryuji Imada",78,57.14,4,7,"SandSavesfrom30yards",2005
18,18,"Omar Uresti",84,57.14,8,14,"SandSavesfrom30yards",2005
21,21,"Jim Furyk",94,54.55,6,11,"SandSavesfrom30yards",2005
21,21,"Tiger Woods",76,54.55,6,11,"SandSavesfrom30yards",2005
23,23,"Bob Heintz",67,53.85,7,13,"SandSavesfrom30yards",2005
24,24,"Robert Damron",89,52.94,9,17,"SandSavesfrom30yards",2005
25,25,"Billy Andrade",83,52.38,11,21,"SandSavesfrom30yards",2005
26,26,"Jason Bohn",91,50,3,6,"SandSavesfrom30yards",2005
26,26,"Fred Couples",72,50,1,2,"SandSavesfrom30yards",2005
26,26,"Ben Curtis",65,50,4,8,"SandSavesfrom30yards",2005
26,26,"James Driscoll",73,50,4,8,"SandSavesfrom30yards",2005
26,26,"John Elliott",58,50,6,12,"SandSavesfrom30yards",2005
26,26,"Carlos Franco",78,50,3,6,"SandSavesfrom30yards",2005
26,26,"Tim Herron",100,50,7,14,"SandSavesfrom30yards",2005
26,26,"Len Mattiace",86,50,13,26,"SandSavesfrom30yards",2005
26,26,"Shaun Micheel",81,50,5,10,"SandSavesfrom30yards",2005
26,26,"Kevin Na",88,50,4,8,"SandSavesfrom30yards",2005
26,26,"Joe Ogilvie",103,50,10,20,"SandSavesfrom30yards",2005
26,26,"Jose Maria Olazabal",55,50,3,6,"SandSavesfrom30yards",2005
26,26,"Chris Riley",67,50,1,2,"SandSavesfrom30yards",2005
26,26,"Rory Sabbatini",81,50,4,8,"SandSavesfrom30yards",2005
26,26,"Nick Watney",91,50,7,14,"SandSavesfrom30yards",2005
41,41,"Daniel Chopra",108,47.62,10,21,"SandSavesfrom30yards",2005
42,42,"Aaron Baddeley",84,47.06,8,17,"SandSavesfrom30yards",2005
42,42,"Cameron Beckman",96,47.06,8,17,"SandSavesfrom30yards",2005
42,42,"Bo Van Pelt",112,47.06,8,17,"SandSavesfrom30yards",2005
45,45,"Tim Clark",92,46.67,7,15,"SandSavesfrom30yards",2005
45,45,"Brad Faxon",75,46.67,7,15,"SandSavesfrom30yards",2005
45,45,"Hunter Haas",83,46.67,7,15,"SandSavesfrom30yards",2005
45,45,"Sean OHair",103,46.67,7,15,"SandSavesfrom30yards",2005
45,45,"Brett Quigley",96,46.67,7,15,"SandSavesfrom30yards",2005
50,50,"Dudley Hart",84,46.15,6,13,"SandSavesfrom30yards",2005
50,50,"Greg Owen",84,46.15,6,13,"SandSavesfrom30yards",2005
52,52,"Steve Allan",102,45.45,5,11,"SandSavesfrom30yards",2005
52,52,"Franklin Langham",91,45.45,5,11,"SandSavesfrom30yards",2005
52,52,"Carl Pettersson",109,45.45,5,11,"SandSavesfrom30yards",2005
52,52,"Ian Poulter",62,45.45,5,11,"SandSavesfrom30yards",2005
56,56,"Michael Long",72,44.44,4,9,"SandSavesfrom30yards",2005
56,56,"Dennis Paulson",63,44.44,4,9,"SandSavesfrom30yards",2005
56,56,"Kirk Triplett",55,44.44,4,9,"SandSavesfrom30yards",2005
56,56,"Charlie Wi",67,44.44,4,9,"SandSavesfrom30yards",2005
60,60,"Jose Coceres",56,43.75,7,16,"SandSavesfrom30yards",2005
60,60,"Skip Kendall",80,43.75,7,16,"SandSavesfrom30yards",2005
62,62,"Stuart Appleby",84,42.86,3,7,"SandSavesfrom30yards",2005
62,62,"Chris DiMarco",83,42.86,3,7,"SandSavesfrom30yards",2005
62,62,"Tom Lehman",69,42.86,3,7,"SandSavesfrom30yards",2005
62,62,"Loren Roberts",54,42.86,3,7,"SandSavesfrom30yards",2005
62,62,"Vijay Singh",111,42.86,9,21,"SandSavesfrom30yards",2005
62,62,"Jeff Sluman",94,42.86,6,14,"SandSavesfrom30yards",2005
62,62,"Duffy Waldorf",86,42.86,6,14,"SandSavesfrom30yards",2005
62,62,"Mark Wilson",74,42.86,6,14,"SandSavesfrom30yards",2005
70,70,"Todd Hamilton",94,41.67,5,12,"SandSavesfrom30yards",2005
71,71,"Tom Byrum",83,41.18,7,17,"SandSavesfrom30yards",2005
71,71,"Stewart Cink",98,41.18,7,17,"SandSavesfrom30yards",2005
73,73,"Tag Ridings",93,40.91,9,22,"SandSavesfrom30yards",2005
74,74,"Glen Day",80,40,4,10,"SandSavesfrom30yards",2005
74,74,"Brandt Jobe",96,40,4,10,"SandSavesfrom30yards",2005
74,74,"Tim Petrovic",97,40,6,15,"SandSavesfrom30yards",2005
74,74,"Lee Westwood",50,40,2,5,"SandSavesfrom30yards",2005
78,78,"Billy Mayfair",114,38.89,7,18,"SandSavesfrom30yards",2005
79,79,"Neal Lancaster",95,37.5,6,16,"SandSavesfrom30yards",2005
80,80,"Joe Durant",81,36.84,7,19,"SandSavesfrom30yards",2005
81,81,"Matt Gogel",78,36.36,4,11,"SandSavesfrom30yards",2005
81,81,"Kent Jones",99,36.36,4,11,"SandSavesfrom30yards",2005
81,81,"Davis Love III",80,36.36,4,11,"SandSavesfrom30yards",2005
81,81,"David Toms",87,36.36,4,11,"SandSavesfrom30yards",2005
85,85,"Ryan Palmer",101,35.29,6,17,"SandSavesfrom30yards",2005
86,86,"Jason Allred",75,33.33,5,15,"SandSavesfrom30yards",2005
86,86,"Tommy Armour III",103,33.33,3,9,"SandSavesfrom30yards",2005
86,86,"Arjun Atwal",65,33.33,5,15,"SandSavesfrom30yards",2005
86,86,"Rich Beem",66,33.33,3,9,"SandSavesfrom30yards",2005
86,86,"DJ Brigman",76,33.33,5,15,"SandSavesfrom30yards",2005
86,86,"Jonathan Byrd",103,33.33,6,18,"SandSavesfrom30yards",2005
86,86,"Brian Davis",75,33.33,2,6,"SandSavesfrom30yards",2005
86,86,"Luke Donald",67,33.33,1,3,"SandSavesfrom30yards",2005
86,86,"Brent Geiberger",61,33.33,4,12,"SandSavesfrom30yards",2005
86,86,"Lucas Glover",88,33.33,7,21,"SandSavesfrom30yards",2005
86,86,"Jeff Hart",63,33.33,2,6,"SandSavesfrom30yards",2005
86,86,"Will Ma Kenzie",75,33.33,3,9,"SandSavesfrom30yards",2005
86,86,"Hunter Mahan",103,33.33,6,18,"SandSavesfrom30yards",2005
86,86,"Rocco Mediate",73,33.33,2,6,"SandSavesfrom30yards",2005
86,86,"Mark OMeara",66,33.33,3,9,"SandSavesfrom30yards",2005
86,86,"Steve Stricker",62,33.33,3,9,"SandSavesfrom30yards",2005
86,86,"Vaughn Taylor",99,33.33,6,18,"SandSavesfrom30yards",2005
103,103,"Chris Smith",93,31.25,5,16,"SandSavesfrom30yards",2005
104,104,"Michael Allen",90,30.77,4,13,"SandSavesfrom30yards",2005
104,104,"Charles Howell III",95,30.77,4,13,"SandSavesfrom30yards",2005
104,104,"Jonathan Kaye",77,30.77,4,13,"SandSavesfrom30yards",2005
104,104,"Jerry Kelly",101,30.77,4,13,"SandSavesfrom30yards",2005
104,104,"Joey Snyder III",102,30.77,4,13,"SandSavesfrom30yards",2005
109,109,"Jeff Brehaut",71,30,3,10,"SandSavesfrom30yards",2005
109,109,"John Senden",101,30,3,10,"SandSavesfrom30yards",2005
109,109,"DJ Trahan",81,30,6,20,"SandSavesfrom30yards",2005
112,112,"Brian Bateman",98,29.41,5,17,"SandSavesfrom30yards",2005
